tanggal,NAV,AUM,currency
2022-09-05,999.03,NA,IDR
2022-09-06,999.13,NA,IDR
2022-09-08,1001.18,NA,IDR
2022-09-12,1004.06,NA,IDR
2022-09-13,1005.11,NA,IDR
2022-09-15,1003.16,NA,IDR
2022-09-19,1001.74,NA,IDR
2022-09-21,1001.56,NA,IDR
2022-09-23,996.62,NA,IDR
2022-09-26,993.68,NA,IDR
2022-09-28,995.35,NA,IDR
2022-09-30,997.76,NA,IDR
2022-10-01,NA,357420000.0,IDR
2022-10-03,998.1,NA,IDR
2022-10-05,1000.25,NA,IDR
2022-10-07,999.11,NA,IDR
2022-10-10,997.3,NA,IDR
2022-10-11,994.74,NA,IDR
2022-10-13,995.23,NA,IDR
2022-10-14,994.48,NA,IDR
2022-10-17,992.42,NA,IDR
2022-10-18,993.09,NA,IDR
2022-10-20,989.78,NA,IDR
2022-10-24,986.03,NA,IDR
2022-10-25,985.49,NA,IDR
2022-10-27,989.62,NA,IDR
2022-10-31,990.6,NA,IDR
2022-11-01,993.33,366540000.0,IDR
2022-11-03,994.35,NA,IDR
2022-11-07,992.49,NA,IDR
2022-11-09,993.87,NA,IDR
2022-11-11,999.72,NA,IDR
2022-11-14,1000.83,NA,IDR
2022-11-16,1003.97,NA,IDR
2022-11-18,1002.35,NA,IDR
2022-11-21,1002.9,NA,IDR
2022-11-23,1009.61,NA,IDR
2022-11-25,1013.29,NA,IDR
2022-11-28,1013.57,NA,IDR
2022-11-29,1014.75,NA,IDR
2022-12-01,1022.97,143090000.0,IDR
2022-12-02,1025.23,NA,IDR
2022-12-05,1024.44,NA,IDR
2022-12-06,1024.19,NA,IDR
2022-12-08,1022.13,NA,IDR
2022-12-12,1022.9,NA,IDR
2022-12-13,1022.42,NA,IDR
2022-12-15,1018.87,NA,IDR
2022-12-19,1019.82,NA,IDR
2022-12-20,1020.0,NA,IDR
2022-12-22,1019.73,NA,IDR
2022-12-26,1020.46,NA,IDR
2022-12-28,1020.66,NA,IDR
2022-12-30,1021.2,NA,IDR
2023-01-01,NA,124670000.0,IDR
2023-01-02,1021.47,NA,IDR
2023-01-04,1020.98,NA,IDR
2023-01-06,1021.63,NA,IDR
2023-01-09,1023.66,NA,IDR
2023-01-11,1024.4,NA,IDR
2023-01-13,1026.31,NA,IDR
2023-01-16,1025.77,NA,IDR
2023-01-17,1024.7,NA,IDR
2023-01-19,1026.73,NA,IDR
2023-01-20,1025.35,NA,IDR
2023-01-24,1025.44,NA,IDR
2023-01-26,1024.3,NA,IDR
2023-01-30,1025.45,NA,IDR
