tanggal,NAV,AUM,currency
2001-04-26,811.38,NA,IDR
2001-05-11,860.78,NA,IDR
2001-05-28,896.35,NA,IDR
2001-06-14,936.26,NA,IDR
2001-07-02,949.95,NA,IDR
2001-07-19,1045.74,NA,IDR
2001-08-06,987.96,NA,IDR
2001-08-24,1008.59,NA,IDR
2001-09-12,979.8,NA,IDR
2001-09-28,873.6,NA,IDR
2001-10-16,838.12,NA,IDR
2001-11-05,840.23,NA,IDR
2001-11-21,883.33,NA,IDR
2001-12-10,860.54,NA,IDR
2001-12-26,863.09,NA,IDR
2002-01-14,951.81,NA,IDR
2002-01-31,1068.49,NA,IDR
2002-02-18,1104.44,NA,IDR
2002-03-13,1122.23,NA,IDR
2002-04-24,1376.72,NA,IDR
2002-05-02,1376.72,NA,IDR
2002-05-20,1359.38,NA,IDR
2002-06-05,1369.97,NA,IDR
2002-06-24,1350.93,NA,IDR
2002-07-10,1231.34,NA,IDR
2002-07-29,1169.03,NA,IDR
2002-08-15,1128.67,NA,IDR
2002-09-02,1118.71,NA,IDR
2002-09-19,1020.98,NA,IDR
2002-10-07,1002.39,NA,IDR
2002-10-25,868.74,NA,IDR
2002-11-12,915.75,NA,IDR
2002-12-02,964.9,NA,IDR
2002-12-17,1004.55,NA,IDR
2003-01-06,1010.78,NA,IDR
2003-01-22,1019.52,NA,IDR
2003-02-10,1010.65,NA,IDR
2003-02-27,994.96,NA,IDR
2003-03-17,945.01,NA,IDR
2003-04-03,989.45,NA,IDR
2003-04-21,1125.18,NA,IDR
2003-05-09,1198.54,NA,IDR
2003-05-27,1225.29,NA,IDR
2003-06-13,1298.58,NA,IDR
2003-07-01,1315.73,NA,IDR
2003-07-21,1355.29,NA,IDR
2003-08-06,1261.22,NA,IDR
2003-08-25,1340.62,NA,IDR
2003-09-10,1454.07,NA,IDR
2003-09-29,1526.16,NA,IDR
2003-10-16,1643.95,NA,IDR
2003-11-03,1589.18,NA,IDR
2003-11-21,1533.06,NA,IDR
2003-12-08,1629.24,NA,IDR
2003-12-29,1714.58,NA,IDR
2004-01-13,1853.23,NA,IDR
2004-01-30,NA,19830.0,IDR
2004-02-03,1780.74,NA,IDR
2004-02-18,1937.95,NA,IDR
2004-02-27,NA,19720.0,IDR
2004-03-08,1969.35,NA,IDR
2004-03-24,1841.67,NA,IDR
2004-03-31,NA,18490.0,IDR
2004-04-12,1940.23,NA,IDR
2004-04-29,2058.89,NA,IDR
2004-04-30,NA,20560.0,IDR
2004-05-17,1656.65,NA,IDR
2004-05-31,NA,22710.0,IDR
2004-06-04,1728.51,NA,IDR
2004-06-21,1715.54,NA,IDR
2004-06-30,NA,22541.6,IDR
2004-07-09,1916.13,NA,IDR
2004-07-27,1924.5,NA,IDR
2004-07-30,NA,23230.0,IDR
2004-08-16,1888.44,NA,IDR
2004-08-31,1906.57,21880.0,IDR
2004-09-21,2103.8,NA,IDR
2004-09-30,NA,22236.6,IDR
2004-10-06,2204.75,NA,IDR
2004-10-25,2154.86,NA,IDR
2004-10-29,NA,23960.0,IDR
2004-11-11,2374.63,NA,IDR
2004-11-29,2482.35,NA,IDR
2004-11-30,NA,31720.0,IDR
2004-12-16,2458.19,NA,IDR
2004-12-30,NA,31650.0,IDR
2005-01-03,2595.49,NA,IDR
2005-01-24,2657.6,NA,IDR
2005-01-31,NA,34890.0,IDR
2005-02-08,2719.93,NA,IDR
2005-02-24,NA,39830.0,IDR
2005-02-25,2884.2,NA,IDR
