tanggal,NAV,AUM
2007-05-15,NA,68670.0
2007-05-21,1015.82,NA
2007-05-29,NA,109900.0
2007-05-30,1020.94,NA
2007-06-11,NA,139730.0
2007-06-12,1031.13,NA
2007-06-25,1040.15,163770.0
2007-07-09,1064.95,184080.0
2007-07-20,NA,196460.0
2007-07-23,1129.92,NA
2007-08-02,NA,197350.0
2007-08-06,1058.99,NA
2007-08-15,NA,177450.0
2007-08-20,985.26,NA
2007-08-28,NA,190456.0
2007-09-03,1053.19,NA
2007-09-11,NA,192290.0
2007-09-13,1059.46,NA
2007-09-24,NA,207690.0
2007-09-26,1125.16,NA
2007-10-08,NA,213440.0
2007-10-09,1199.32,NA
2007-10-22,NA,206440.0
2007-10-23,1201.88,NA
2007-11-02,NA,219260.0
2007-11-05,1236.64,NA
2007-11-15,NA,213726.0
2007-11-19,1235.4,NA
2007-11-28,NA,213590.0
2007-12-04,1322.96,NA
2007-12-12,NA,216400.0
2007-12-17,1273.32,NA
2007-12-26,NA,212950.0
2007-12-28,1313.81,NA
2008-01-07,NA,218360.0
2008-01-14,1347.98,NA
2008-01-21,NA,199867.0
2008-01-23,1190.32,NA
2008-02-04,NA,217900.0
2008-02-08,1294.67,NA
2008-02-15,NA,217980.0
2008-02-19,1320.9,NA
2008-02-28,NA,212780.0
2008-03-03,1289.5,NA
2008-03-12,NA,199256.0
2008-03-17,1096.44,NA
2008-03-26,NA,187840.0
2008-03-31,1157.25,NA
2008-04-08,NA,173290.0
2008-04-14,1089.58,NA
2008-04-21,NA,180310.0
2008-04-25,1081.31,NA
2008-05-05,NA,182220.0
2008-05-08,1164.19,NA
2008-05-19,NA,191940.0
2008-05-22,1213.69,NA
2008-05-30,NA,187532.0
2008-06-04,1160.22,NA
2008-06-12,NA,184838.0
2008-06-17,1188.77,NA
2008-06-25,NA,182750.0
2008-07-01,1217.83,NA
2008-07-09,NA,169220.0
2008-07-14,1118.44,NA
2008-07-22,NA,151380.0
2008-07-28,1068.43,NA
2008-08-04,NA,150570.0
2008-08-11,985.7,NA
2008-08-19,NA,131223.0
2008-08-25,997.82,NA
