tanggal,NAV,AUM,currency
2010-08-16,NA,6.74,USD
2010-08-18,1.0,NA,USD
2010-08-27,NA,39.7,USD
2010-08-30,1.0,NA,USD
2010-09-06,NA,62.79,USD
2010-09-15,1.0,NA,USD
2010-09-17,NA,72.49,USD
2010-09-20,1.0,NA,USD
2010-09-28,NA,84.19,USD
2010-09-29,1.0,NA,USD
2010-10-08,NA,97.7,USD
2010-10-11,1.01,NA,USD
2010-10-19,NA,112.2,USD
2010-10-21,1.01,NA,USD
2010-11-01,1.01,126.76,USD
2010-11-10,NA,131.89,USD
2010-11-12,1.0,NA,USD
2010-11-22,0.99,134.44,USD
2010-12-01,NA,136.67,USD
2010-12-03,0.99,NA,USD
2010-12-13,NA,136.54,USD
2010-12-14,0.98,NA,USD
2010-12-22,NA,129.72,USD
2010-12-27,0.97,NA,USD
2011-01-03,NA,131.74,USD
2011-01-05,0.99,NA,USD
2011-01-13,NA,130.1,USD
2011-01-17,0.98,NA,USD
2011-01-24,NA,122.89,USD
2011-01-26,0.97,NA,USD
2011-02-04,NA,118.86,USD
2011-02-07,0.96,NA,USD
2011-02-14,NA,113.38,USD
2011-02-17,0.96,NA,USD
2011-02-24,NA,109.54,USD
2011-02-28,0.97,NA,USD
2011-03-07,NA,106.75,USD
2011-03-11,0.97,NA,USD
2011-03-18,NA,101.98,USD
2011-03-22,0.97,NA,USD
2011-03-29,NA,99.72,USD
2011-04-01,0.97,NA,USD
2011-04-08,NA,97.13,USD
2011-04-12,0.97,NA,USD
2011-04-19,NA,93.37,USD
2011-04-25,0.97,NA,USD
2011-05-02,NA,91.13,USD
2011-05-04,0.98,NA,USD
2011-05-10,NA,87.89,USD
2011-05-16,0.99,NA,USD
2011-05-23,NA,83.8,USD
2011-05-26,0.99,NA,USD
2011-06-01,NA,81.46,USD
2011-06-06,0.99,NA,USD
2011-06-13,NA,79.42,USD
2011-06-16,1.0,NA,USD
2011-06-22,NA,75.57,USD
2011-06-27,0.99,NA,USD
2011-07-04,NA,74.92,USD
2011-07-08,1.0,NA,USD
2011-07-14,NA,72.5,USD
2011-07-19,1.0,NA,USD
2011-07-25,NA,69.9,USD
2011-07-29,1.01,NA,USD
2011-08-04,NA,69.6,USD
2011-08-09,1.01,NA,USD
2011-08-15,NA,63.37,USD
2011-08-22,1.02,NA,USD
