tanggal,NAV,AUM
2003-10-27,1002.38,NA
2003-11-11,1003.08,NA
2003-12-01,1006.55,NA
2003-12-15,1009.93,NA
2003-12-29,1013.47,NA
2004-01-14,1020.07,NA
2004-01-30,1024.86,1458652.0
2004-02-16,1029.4,NA
2004-02-27,NA,1593934.0
2004-03-01,1034.14,NA
2004-03-17,1038.69,NA
2004-03-31,NA,1547889.0
2004-04-02,1042.98,NA
2004-04-19,1047.43,NA
2004-04-30,NA,1599415.0
2004-05-04,1051.78,NA
2004-05-21,1049.1,NA
2004-05-31,NA,1327883.0
2004-06-07,1052.48,NA
2004-06-21,1054.2,NA
2004-06-30,NA,1242254.0
2004-07-07,1058.48,NA
2004-07-23,1061.19,NA
2004-07-30,NA,1185273.0
2004-08-09,1064.09,NA
2004-08-23,1067.15,NA
2004-08-31,NA,1119678.0
2004-09-08,1070.56,NA
2004-09-24,1074.32,NA
2004-09-30,NA,1111653.0
2004-10-11,1077.95,NA
2004-10-26,1079.58,NA
2004-10-29,NA,1062618.0
2004-11-11,1083.17,NA
2004-11-29,1087.79,NA
2004-11-30,NA,1017608.0
2004-12-13,1089.39,NA
2004-12-29,1091.81,NA
2004-12-30,NA,940000.0
2005-01-14,1099.34,NA
2005-01-31,1103.76,940000.0
2005-02-14,1105.13,NA
2005-02-24,NA,830000.0
2005-03-02,1107.4,NA
2005-03-07,NA,796473.0
2005-03-18,1107.27,NA
2005-03-22,NA,716397.0
2005-04-04,1104.45,NA
2005-04-06,NA,660000.0
2005-04-19,1104.76,NA
2005-04-25,NA,620000.0
2005-05-06,1107.29,NA
2005-05-09,NA,620000.0
2005-05-23,1110.61,620000.0
2005-06-06,1111.47,NA
2005-06-08,NA,630000.0
2005-06-22,1114.17,NA
2005-06-23,NA,630000.0
2005-07-08,1111.69,NA
2005-07-11,NA,610000.0
2005-07-25,1115.17,570000.0
2005-08-09,1113.62,530000.0
2005-08-24,1104.45,NA
2005-08-25,NA,465043.0
2005-09-09,1088.14,NA
2005-09-12,NA,335450.0
2005-09-26,1059.01,233930.0
2005-10-11,1065.11,198070.0
2005-10-27,1070.64,179050.0
2005-11-11,NA,176410.0
2005-11-14,1073.83,NA
2005-11-28,1080.11,170570.0
2005-12-12,NA,181140.0
2005-12-14,1087.5,NA
2005-12-28,NA,205670.0
2006-01-02,1092.9,NA
2006-01-13,NA,221520.0
2006-01-16,1100.36,NA
2006-01-30,NA,212420.0
2006-02-01,1107.28,NA
2006-02-13,NA,219620.0
2006-02-15,1113.83,NA
2006-03-01,NA,211590.0
2006-03-03,1125.97,NA
2006-03-17,NA,197600.0
2006-03-20,1128.86,NA
2006-04-03,NA,231100.0
2006-04-04,1134.0,NA
2006-04-17,NA,209520.0
2006-04-20,1143.59,NA
2006-05-02,NA,199230.0
2006-05-08,1150.61,NA
2006-05-18,NA,186670.0
2006-05-22,1152.44,NA
2006-06-02,NA,181870.0
2006-06-07,1152.84,NA
2006-06-19,NA,174470.0
2006-06-23,1157.1,NA
2006-07-04,NA,168110.0
2006-07-10,1167.45,NA
2006-07-19,NA,168130.0
2006-07-25,1175.19,NA
2006-08-04,NA,172400.0
2006-08-09,1183.6,NA
2006-08-22,NA,172840.0
2006-08-25,1189.4,NA
2006-09-04,NA,172970.0
2006-09-11,1197.79,NA
2006-09-20,NA,177140.0
2006-09-26,1206.06,NA
2006-10-06,NA,174720.0
2006-10-12,1211.56,NA
2006-10-30,1219.34,174070.0
2006-11-06,NA,172570.0
2006-11-13,1224.7,NA
2006-11-21,NA,174900.0
2006-11-29,1230.29,NA
2006-12-07,NA,176900.0
2006-12-15,1238.38,NA
2006-12-26,NA,171550.0
2007-01-02,1243.68,NA
2007-01-08,NA,165710.0
2007-01-16,1249.12,NA
2007-01-23,NA,160150.0
2007-02-01,1253.88,NA
2007-02-08,NA,180350.0
2007-02-16,1254.69,NA
2007-02-23,NA,206850.0
2007-03-05,1258.66,NA
2007-03-12,NA,207350.0
2007-03-20,1264.71,NA
2007-03-26,NA,213410.0
2007-04-05,1269.47,NA
2007-04-11,NA,251310.0
2007-04-23,1273.96,NA
2007-04-27,NA,260000.0
2007-05-07,1278.23,NA
2007-05-14,NA,247770.0
2007-05-23,1284.98,NA
2007-05-28,NA,252130.0
2007-06-08,1289.79,NA
2007-06-13,NA,245090.0
2007-06-25,1294.57,NA
2007-06-28,NA,241710.0
2007-07-10,1298.8,NA
2007-07-16,NA,239680.0
2007-07-26,1300.99,NA
2007-07-30,NA,235325.0
2007-08-10,1301.39,NA
2007-08-14,NA,218490.0
2007-08-27,1300.74,NA
2007-08-30,NA,213750.0
2007-09-11,1304.79,NA
2007-09-14,NA,209610.0
2007-09-27,1310.62,NA
2007-10-01,NA,201720.0
2007-10-18,1319.25,199970.0
2007-10-29,1321.76,NA
2007-10-31,NA,214440.0
2007-11-14,1324.28,NA
2007-11-16,NA,229440.0
2007-11-30,1324.52,NA
2007-12-04,NA,210170.0
2007-12-17,1330.5,201860.0
2008-01-02,1331.07,203020.0
2008-01-17,1333.32,NA
2008-01-18,NA,174440.0
2008-02-04,1338.8,207580.0
2008-02-18,1343.11,221720.0
2008-03-04,1343.02,256573.0
2008-03-24,1344.3,191003.0
2008-04-07,1332.42,183740.0
2008-04-21,1337.75,184320.0
2008-05-06,NA,179740.0
2008-05-07,1334.24,NA
2008-05-23,1339.46,184730.0
2008-06-06,NA,167600.0
2008-06-09,1339.56,NA
2008-06-23,NA,164133.0
2008-06-24,1340.31,NA
2008-07-08,NA,192150.0
2008-07-10,1348.86,NA
2008-07-23,NA,153840.0
2008-07-28,1365.64,NA
2008-08-08,NA,147440.0
2008-08-11,1369.27,NA
2008-08-25,NA,141600.0
2008-08-26,1369.78,NA
2008-09-08,NA,138970.0
2008-09-11,1363.22,NA
2008-09-24,NA,119530.0
2008-09-29,1368.79,NA
2008-10-09,NA,104170.0
2008-10-13,1331.6,NA
2008-10-27,NA,63010.0
2008-10-29,1262.17,NA
2008-11-10,NA,57980.0
2008-11-14,1307.84,NA
2008-11-25,NA,49865.5
2008-12-01,1310.18,NA
2008-12-11,NA,46170.0
2008-12-16,1314.67,NA
2008-12-26,NA,46470.0
2009-01-05,1319.83,NA
2009-01-12,NA,46200.0
2009-01-19,1325.12,NA
2009-01-27,NA,45240.0
2009-02-02,1325.83,NA
2009-02-11,NA,45190.0
2009-02-17,1332.5,NA
2009-02-27,NA,44850.0
2009-03-05,1336.24,NA
2009-03-16,NA,44490.0
2009-03-23,1340.53,NA
2009-03-30,NA,44080.0
2009-04-06,1345.84,NA
2009-04-15,NA,43450.0
2009-04-22,1349.78,NA
2009-05-01,NA,45070.0
2009-05-08,1353.65,NA
2009-05-18,NA,45170.0
2009-05-25,1356.76,NA
2009-06-01,NA,45300.0
2009-06-09,1364.11,NA
2009-06-16,NA,44880.0
2009-06-25,1363.43,NA
2009-07-02,NA,45026.0
2009-07-13,1371.61,NA
2009-07-21,NA,45460.0
2009-07-27,1372.79,NA
2009-08-03,NA,44187.5
2009-08-11,1374.14,NA
2009-08-18,NA,43850.0
2009-08-27,1381.24,NA
2009-09-03,NA,42630.0
2009-09-14,1383.02,NA
2009-09-24,NA,42540.0
2009-09-28,1388.01,NA
2009-10-05,NA,42500.0
2009-10-14,1391.09,NA
