tanggal,NAV,AUM,currency
2024-04-05,1000.78,NA,IDR
2024-04-16,1000.3,NA,IDR
2024-04-17,998.03,NA,IDR
2024-04-18,998.26,NA,IDR
2024-04-19,997.78,NA,IDR
2024-04-22,997.45,NA,IDR
2024-04-23,997.15,NA,IDR
2024-04-24,998.16,NA,IDR
2024-04-25,997.44,NA,IDR
2024-04-26,997.88,NA,IDR
2024-04-29,998.45,NA,IDR
2024-04-30,998.79,NA,IDR
2024-05-01,NA,53450000.0,IDR
2024-05-02,1000.52,NA,IDR
2024-05-03,1002.85,NA,IDR
2024-05-06,1004.06,NA,IDR
2024-05-07,1004.26,NA,IDR
2024-05-08,1004.38,NA,IDR
2024-05-13,1004.25,NA,IDR
2024-05-14,1004.04,NA,IDR
2024-05-15,1004.92,NA,IDR
2024-05-16,1006.66,NA,IDR
2024-05-21,1006.19,NA,IDR
2024-05-22,1006.16,NA,IDR
2024-05-27,1006.13,NA,IDR
2024-05-28,1006.34,NA,IDR
2024-05-29,1005.58,NA,IDR
2024-05-30,1005.52,NA,IDR
2024-05-31,1005.98,NA,IDR
2024-06-01,NA,290730000.0,IDR
2024-06-03,1006.13,NA,IDR
2024-06-04,1005.87,NA,IDR
2024-06-05,1005.95,NA,IDR
2024-06-06,1005.78,NA,IDR
2024-06-07,1006.32,NA,IDR
2024-06-10,1005.87,NA,IDR
2024-06-11,1005.62,NA,IDR
2024-06-12,1005.93,NA,IDR
2024-06-13,1006.13,NA,IDR
2024-06-14,1005.26,NA,IDR
2024-06-19,1005.64,NA,IDR
2024-06-20,1005.82,NA,IDR
2024-06-21,1006.05,NA,IDR
2024-06-24,1006.62,NA,IDR
2024-06-25,1007.3,NA,IDR
2024-06-26,1007.68,NA,IDR
2024-06-27,1008.02,NA,IDR
2024-06-28,1008.89,NA,IDR
2024-07-01,1008.88,417260000.0,IDR
2024-07-02,1008.33,NA,IDR
2024-07-03,1008.48,NA,IDR
2024-07-04,1009.04,NA,IDR
2024-07-05,1009.4,NA,IDR
2024-07-08,1009.83,NA,IDR
2024-07-09,1009.67,NA,IDR
2024-07-10,1009.77,NA,IDR
2024-07-11,1010.31,NA,IDR
2024-07-12,1011.33,NA,IDR
2024-07-15,1010.97,NA,IDR
2024-07-16,1011.13,NA,IDR
2024-07-17,1011.69,NA,IDR
2024-07-18,1012.28,NA,IDR
2024-07-22,1012.07,NA,IDR
2024-07-23,1012.3,NA,IDR
2024-07-24,1012.82,NA,IDR
2024-07-25,1012.97,NA,IDR
2024-07-26,1013.24,NA,IDR
2024-07-29,1013.59,NA,IDR
2024-07-30,1013.46,NA,IDR
2024-07-31,1014.04,NA,IDR
2024-08-01,1014.85,510000000.0,IDR
2024-08-02,1015.16,NA,IDR
2024-08-05,1016.38,NA,IDR
2024-08-06,1015.68,NA,IDR
2024-08-07,1015.7,NA,IDR
2024-08-08,1016.14,NA,IDR
2024-08-09,1016.13,NA,IDR
2024-08-12,1016.25,NA,IDR
2024-08-13,1016.09,NA,IDR
2024-08-14,1017.04,NA,IDR
2024-08-15,1017.62,NA,IDR
2024-08-16,1017.64,NA,IDR
2024-08-19,1018.42,NA,IDR
2024-08-20,1018.74,NA,IDR
2024-08-21,1019.37,NA,IDR
2024-08-22,1019.18,NA,IDR
2024-08-23,1019.43,NA,IDR
2024-08-26,1020.33,NA,IDR
2024-08-27,1020.07,NA,IDR
2024-08-28,1020.18,NA,IDR
2024-08-29,1020.66,NA,IDR
2024-08-30,1020.72,NA,IDR
2024-09-01,NA,600000000.0,IDR
2024-09-02,1021.14,NA,IDR
2024-09-03,1020.99,NA,IDR
2024-09-04,1020.82,NA,IDR
2024-09-05,1021.35,NA,IDR
2024-09-06,1021.46,NA,IDR
2024-09-09,1021.61,NA,IDR
2024-09-10,1021.45,NA,IDR
2024-09-11,1022.22,NA,IDR
2024-09-12,1022.37,NA,IDR
2024-09-13,1022.3,NA,IDR
2024-09-17,1023.26,NA,IDR
2024-09-18,1023.61,NA,IDR
2024-09-19,1024.78,NA,IDR
2024-09-20,1027.02,NA,IDR
2024-09-23,1026.78,NA,IDR
2024-09-24,1026.69,NA,IDR
2024-09-25,1027.09,NA,IDR
2024-09-26,1026.93,NA,IDR
2024-09-27,1027.24,NA,IDR
2024-09-30,1027.6,NA,IDR
2024-10-01,1027.19,950000000.0,IDR
2024-10-02,1026.95,NA,IDR
2024-10-03,1026.71,NA,IDR
2024-10-04,1025.9,NA,IDR
2024-10-07,1024.84,NA,IDR
2024-10-09,1024.45,NA,IDR
2024-10-10,1024.91,NA,IDR
2024-10-14,1026.04,NA,IDR
2024-10-15,1026.39,NA,IDR
2024-10-17,1027.04,NA,IDR
2024-10-18,1026.93,NA,IDR
2024-10-22,1025.95,NA,IDR
2024-10-23,1024.67,NA,IDR
2024-10-24,1025.22,NA,IDR
2024-10-25,1025.98,NA,IDR
2024-10-28,1025.2,NA,IDR
2024-10-29,1025.39,NA,IDR
2024-10-30,1025.63,NA,IDR
2024-10-31,1026.13,NA,IDR
2024-11-01,1027.05,890000000.0,IDR
2024-11-04,1027.32,NA,IDR
2024-11-06,1026.49,NA,IDR
2024-11-07,1027.33,NA,IDR
2024-11-08,1028.1,NA,IDR
2024-11-11,1029.35,NA,IDR
2024-11-12,1028.18,NA,IDR
2024-11-13,1026.72,NA,IDR
2024-11-14,1026.33,NA,IDR
2024-11-15,1027.22,NA,IDR
2024-11-18,1028.57,NA,IDR
2024-11-21,1028.12,NA,IDR
2024-11-22,1027.59,NA,IDR
2024-11-25,1027.97,NA,IDR
2024-11-26,1027.75,NA,IDR
2024-11-28,1028.41,NA,IDR
2024-11-29,1029.09,NA,IDR
2024-12-01,NA,600000000.0,IDR
2024-12-02,1029.08,NA,IDR
2024-12-04,1029.11,NA,IDR
2024-12-05,1029.4,NA,IDR
2024-12-06,1028.88,NA,IDR
2024-12-09,1028.92,NA,IDR
2024-12-10,1028.6,NA,IDR
2024-12-11,1028.86,NA,IDR
2024-12-12,1029.01,NA,IDR
2024-12-13,1028.79,NA,IDR
2024-12-16,1028.93,NA,IDR
2024-12-17,1028.05,NA,IDR
2024-12-18,1027.78,NA,IDR
2024-12-19,1027.09,NA,IDR
2024-12-20,1026.59,NA,IDR
2024-12-23,1027.32,NA,IDR
2024-12-24,1027.44,NA,IDR
2024-12-27,1027.97,NA,IDR
2024-12-30,1028.37,NA,IDR
2025-01-02,1029.73,NA,IDR
2025-01-03,1029.65,NA,IDR
2025-01-06,1030.38,NA,IDR
2025-01-07,1029.94,NA,IDR
2025-01-08,1029.6,NA,IDR
2025-01-09,1028.94,NA,IDR
2025-01-10,1029.1,NA,IDR
2025-01-13,1027.89,NA,IDR
2025-01-14,1026.13,NA,IDR
2025-01-15,1025.41,NA,IDR
2025-01-16,1027.27,NA,IDR
2025-01-17,1029.33,NA,IDR
2025-01-20,1030.11,NA,IDR
2025-01-21,1031.1,NA,IDR
2025-01-22,1031.43,NA,IDR
2025-01-23,1032.2,NA,IDR
2025-01-24,1034.27,NA,IDR
2025-01-30,1034.23,NA,IDR
2025-01-31,1034.48,NA,IDR
2025-02-03,1034.1,NA,IDR
2025-02-04,1035.38,NA,IDR
