tanggal,NAV,AUM,currency
2022-10-01,NA,21950000000.0,IDR
2022-11-01,NA,37300000000.0,IDR
2022-12-01,NA,45620000000.0,IDR
2023-01-01,NA,45470000000.0,IDR
2023-02-01,NA,45000000000.0,IDR
2023-03-01,NA,47020000000.0,IDR
2023-04-01,NA,28260000000.0,IDR
2023-05-01,NA,28320000000.0,IDR
2023-05-30,1074.07,NA,IDR
2023-06-01,NA,30270000000.0,IDR
2023-06-05,1065.66,NA,IDR
2023-06-06,1064.99,NA,IDR
2023-06-07,1063.88,NA,IDR
2023-06-08,1069.32,NA,IDR
2023-06-09,1067.63,NA,IDR
2023-06-12,1071.91,NA,IDR
2023-06-13,1075.94,NA,IDR
2023-06-14,1070.71,NA,IDR
2023-06-16,1071.79,NA,IDR
2023-06-19,1068.11,NA,IDR
2023-06-21,1073.64,NA,IDR
2023-06-22,1062.86,NA,IDR
2023-06-23,1062.7,NA,IDR
2023-06-26,1069.05,NA,IDR
2023-06-27,1072.24,NA,IDR
2023-07-01,NA,36020000000.0,IDR
2023-07-03,1076.98,NA,IDR
2023-07-05,1076.01,NA,IDR
2023-07-06,1076.73,NA,IDR
2023-07-07,1067.96,NA,IDR
2023-07-10,1070.86,NA,IDR
2023-07-11,1077.25,NA,IDR
2023-07-12,1083.82,NA,IDR
2023-07-13,1081.04,NA,IDR
2023-07-17,1086.7,NA,IDR
2023-07-18,1083.56,NA,IDR
2023-07-20,1088.47,NA,IDR
2023-07-21,1091.79,NA,IDR
2023-07-24,1087.4,NA,IDR
2023-07-25,1090.04,NA,IDR
2023-07-26,1097.13,NA,IDR
2023-07-27,1084.88,NA,IDR
2023-07-28,1084.73,NA,IDR
2023-07-31,1086.63,NA,IDR
2023-08-01,1086.85,106450000000.0,IDR
2023-08-03,1095.98,NA,IDR
2023-08-04,1083.78,NA,IDR
2023-08-07,1094.82,NA,IDR
2023-08-08,1089.94,NA,IDR
2023-08-09,1103.69,NA,IDR
2023-08-10,1104.77,NA,IDR
2023-08-11,1103.6,NA,IDR
2023-08-14,1105.86,NA,IDR
2023-08-15,1097.3,NA,IDR
2023-08-16,1094.55,NA,IDR
2023-08-18,1089.36,NA,IDR
2023-08-21,1084.96,NA,IDR
2023-08-23,1092.6,NA,IDR
2023-08-24,1089.97,NA,IDR
2023-08-25,1094.61,NA,IDR
2023-08-28,1092.74,NA,IDR
2023-08-29,1098.17,NA,IDR
2023-08-30,1097.2,NA,IDR
2023-09-01,1097.57,164230000000.0,IDR
2023-09-04,1099.53,NA,IDR
2023-09-06,1094.43,NA,IDR
2023-09-07,1086.73,NA,IDR
2023-09-08,1076.48,NA,IDR
2023-09-11,1083.73,NA,IDR
2023-09-12,1078.35,NA,IDR
2023-09-13,1077.27,NA,IDR
2023-09-14,1078.17,NA,IDR
2023-09-18,1075.45,NA,IDR
2023-09-19,1085.34,NA,IDR
2023-09-21,1088.94,NA,IDR
2023-09-22,1090.47,NA,IDR
2023-09-25,1082.46,NA,IDR
2023-09-26,1073.2,NA,IDR
2023-09-27,1071.62,NA,IDR
2023-09-29,1068.79,NA,IDR
2023-10-01,NA,130039999999.99998,IDR
2023-10-02,1077.36,NA,IDR
2023-10-03,1082.34,NA,IDR
2023-10-05,1070.79,NA,IDR
2023-10-06,1070.04,NA,IDR
2023-10-09,1063.87,NA,IDR
2023-10-10,1065.14,NA,IDR
2023-10-11,1065.36,NA,IDR
2023-10-12,1068.85,NA,IDR
2023-10-13,1064.63,NA,IDR
2023-10-16,1056.65,NA,IDR
2023-10-17,1050.19,NA,IDR
2023-10-18,1041.28,NA,IDR
2023-10-20,1031.57,NA,IDR
2023-10-23,1016.32,NA,IDR
2023-10-25,1031.13,NA,IDR
2023-10-26,1003.47,NA,IDR
2023-10-27,1008.9,NA,IDR
2023-10-30,1010.43,NA,IDR
2023-10-31,1008.09,NA,IDR
2023-11-01,993.4,121180000000.0,IDR
2023-11-03,1021.53,NA,IDR
2023-11-06,1037.88,NA,IDR
2023-11-08,1029.22,NA,IDR
2023-11-09,1029.36,NA,IDR
2023-11-10,1016.77,NA,IDR
2023-11-13,1016.76,NA,IDR
2023-11-14,1018.84,NA,IDR
2023-11-15,1036.13,NA,IDR
2023-11-16,1036.47,NA,IDR
2023-11-20,1030.47,NA,IDR
2023-11-21,1025.5,NA,IDR
2023-11-23,1035.4,NA,IDR
2023-11-24,1036.21,NA,IDR
2023-11-27,1035.39,NA,IDR
2023-11-28,1037.98,NA,IDR
2023-11-29,1036.15,NA,IDR
2023-11-30,1044.25,NA,IDR
2023-12-01,NA,126570000000.0,IDR
2023-12-04,1055.5,NA,IDR
2023-12-05,1054.85,NA,IDR
2023-12-07,1053.66,NA,IDR
2023-12-08,1053.1,NA,IDR
2023-12-11,1039.98,NA,IDR
2023-12-12,1043.52,NA,IDR
2023-12-13,1036.63,NA,IDR
2023-12-14,1067.28,NA,IDR
2023-12-15,1070.77,NA,IDR
2023-12-18,1059.6,NA,IDR
2023-12-19,1068.72,NA,IDR
2023-12-20,1070.38,NA,IDR
2023-12-22,1075.83,NA,IDR
2023-12-27,1075.46,NA,IDR
2023-12-28,1084.79,NA,IDR
2023-12-29,1083.14,NA,IDR
2024-01-01,NA,90970000000.0,IDR
2024-01-02,1089.76,NA,IDR
2024-01-03,1081.08,NA,IDR
2024-01-05,1100.31,NA,IDR
2024-01-08,1092.27,NA,IDR
2024-01-10,1093.1,NA,IDR
2024-01-11,1096.06,NA,IDR
2024-01-12,1107.62,NA,IDR
2024-01-15,1104.9,NA,IDR
2024-01-16,1103.9,NA,IDR
2024-01-17,1100.32,NA,IDR
2024-01-18,1097.12,NA,IDR
2024-01-22,1094.91,NA,IDR
2024-01-23,1088.77,NA,IDR
2024-01-25,1072.5,NA,IDR
2024-01-26,1061.74,NA,IDR
2024-01-29,1078.82,NA,IDR
2024-01-30,1091.12,NA,IDR
2024-01-31,1092.27,NA,IDR
2024-02-01,1098.9,62060000000.0,IDR
2024-02-05,1097.55,NA,IDR
2024-02-06,1103.03,NA,IDR
2024-02-07,1106.81,NA,IDR
2024-02-12,1120.06,NA,IDR
2024-02-13,1106.55,NA,IDR
2024-02-15,1123.29,NA,IDR
2024-02-16,1130.92,NA,IDR
2024-02-19,1121.62,NA,IDR
2024-02-20,1138.45,NA,IDR
2024-02-21,1134.22,NA,IDR
2024-02-22,1123.42,NA,IDR
2024-02-23,1113.68,NA,IDR
2024-02-26,1113.43,NA,IDR
2024-02-27,1112.94,NA,IDR
2024-02-28,1120.61,NA,IDR
2024-02-29,1108.93,NA,IDR
2024-03-01,1104.48,59420000000.0,IDR
2024-03-04,1096.55,NA,IDR
2024-03-05,1096.49,NA,IDR
2024-03-06,1111.97,NA,IDR
2024-03-07,1119.12,NA,IDR
2024-03-08,1124.95,NA,IDR
2024-03-13,1127.62,NA,IDR
2024-03-14,1145.29,NA,IDR
2024-03-15,1129.96,NA,IDR
2024-03-18,1126.23,NA,IDR
2024-03-19,1130.34,NA,IDR
2024-03-20,1133.2,NA,IDR
2024-03-21,1132.23,NA,IDR
2024-03-22,1133.74,NA,IDR
2024-03-25,1147.39,NA,IDR
2024-03-26,1142.95,NA,IDR
2024-03-27,1134.66,NA,IDR
2024-03-28,1130.4,NA,IDR
2024-04-01,1111.08,71430000000.0,IDR
2024-04-02,1103.39,NA,IDR
2024-04-03,1081.19,NA,IDR
2024-04-04,1100.67,NA,IDR
2024-04-05,1094.59,NA,IDR
2024-04-16,1053.59,NA,IDR
2024-04-17,1050.91,NA,IDR
2024-04-18,1060.19,NA,IDR
2024-04-19,1044.5,NA,IDR
2024-04-22,1043.26,NA,IDR
2024-04-23,1055.84,NA,IDR
2024-04-24,1065.4,NA,IDR
2024-04-25,1055.86,NA,IDR
2024-04-26,1026.87,NA,IDR
2024-04-29,1041.32,NA,IDR
2024-04-30,1053.22,NA,IDR
2024-05-01,NA,71840000000.0,IDR
2024-05-02,1017.46,NA,IDR
2024-05-03,1026.5,NA,IDR
2024-05-06,1029.64,NA,IDR
2024-05-07,1018.12,NA,IDR
2024-05-08,1007.27,NA,IDR
2024-05-13,1011.47,NA,IDR
2024-05-14,1014.5,NA,IDR
2024-05-15,1024.44,NA,IDR
2024-05-16,1037.06,NA,IDR
2024-05-17,1049.47,NA,IDR
2024-05-20,1028.0,NA,IDR
2024-05-21,1009.25,NA,IDR
2024-05-22,1014.92,NA,IDR
2024-05-27,1000.98,NA,IDR
2024-05-28,1011.85,NA,IDR
2024-05-29,992.0,NA,IDR
2024-05-30,981.14,NA,IDR
2024-06-01,NA,72300000000.0,IDR
2024-06-03,1000.63,NA,IDR
2024-06-04,1006.55,NA,IDR
