tanggal,NAV,AUM
2011-02-23,NA,57261.8
2011-02-24,995.63,NA
2011-03-07,1014.55,NA
2011-03-17,1015.56,NA
2011-03-28,1041.91,NA
2011-04-07,1075.6,NA
2011-04-18,1075.38,NA
2011-04-27,1081.78,NA
2011-05-09,1073.28,NA
2011-05-18,1110.72,NA
2011-05-30,1094.51,NA
2011-05-31,NA,153000.0
2011-06-08,1115.18,NA
2011-06-20,1101.85,NA
2011-06-30,1145.82,164730.0
2011-07-11,1185.02,NA
2011-07-20,1202.84,NA
2011-07-29,NA,222680.0
2011-08-01,1261.97,NA
2011-08-10,1198.0,NA
2011-08-22,1209.42,NA
2011-09-05,1193.25,NA
2011-09-12,1212.04,NA
2011-09-20,1183.24,NA
2011-09-28,NA,451690.0
2011-10-03,1071.41,NA
2011-10-11,1133.6,NA
2011-10-24,1166.15,NA
2011-10-31,NA,530000.0
2011-11-01,1140.35,NA
2011-11-14,1184.91,NA
2011-11-22,1167.88,NA
2011-11-30,NA,550000.0
2011-12-05,1179.64,NA
2011-12-13,1153.13,NA
2011-12-23,1163.82,NA
2011-12-30,NA,540000.0
2012-01-03,1180.22,NA
2012-01-13,1196.43,NA
2012-01-24,1215.29,NA
2012-01-31,NA,500000.0
2012-02-03,1227.91,NA
2012-02-14,1218.52,NA
2012-02-24,1181.16,NA
2012-02-29,NA,510000.0
2012-03-05,1217.09,NA
2012-03-16,1225.21,NA
2012-03-26,1221.93,NA
2012-03-30,NA,496720.0
2012-04-09,1245.54,NA
2012-04-16,1248.12,NA
2012-04-27,1273.97,NA
2012-04-30,NA,510000.0
2012-05-07,1307.65,NA
2012-05-21,1257.94,NA
2012-05-28,1260.39,NA
2012-05-31,NA,560000.0
2012-06-07,1249.55,NA
2012-06-18,1281.83,NA
2012-06-28,1267.51,NA
2012-06-29,NA,540000.0
2012-07-09,1301.07,NA
2012-07-19,1352.43,NA
2012-07-30,1345.79,NA
2012-07-31,NA,520000.0
2012-08-09,1339.67,NA
2012-08-23,1344.72,NA
2012-08-30,1310.38,NA
2012-08-31,NA,433450.0
2012-09-10,1356.51,NA
2012-09-20,1339.34,NA
2012-09-28,NA,455400.0
2012-10-01,1352.78,NA
2012-10-11,1396.08,NA
2012-10-22,1423.72,NA
2012-10-31,1402.66,540000.0
2012-11-12,1391.18,NA
2012-11-21,1395.2,NA
2012-11-30,NA,810000.0
2012-12-03,1438.79,NA
2012-12-12,1435.33,NA
2012-12-26,1421.1,NA
2012-12-28,NA,1008478.0
2013-01-02,1418.46,NA
2013-01-14,1408.72,NA
2013-01-23,1424.95,NA
2013-01-31,NA,970473.0
2013-02-04,1429.52,NA
2013-02-13,1454.31,NA
2013-02-25,1513.09,NA
2013-02-28,NA,880000.0
2013-03-06,1581.13,NA
2013-03-18,1588.71,NA
2013-03-26,1600.89,NA
2013-03-28,NA,1271227.0
2013-04-08,1603.89,NA
2013-04-16,1637.01,NA
2013-04-29,1675.93,NA
2013-04-30,NA,1514225.0
2013-05-07,1711.29,NA
2013-05-20,1808.67,NA
2013-05-28,1791.04,NA
2013-05-31,NA,1894930.0
2013-06-07,1671.31,NA
2013-06-18,1675.03,NA
2013-06-28,1661.5,2715793.0
2013-07-09,1486.61,NA
2013-07-19,1593.9,NA
2013-07-30,1518.96,NA
2013-07-31,NA,2586831.0
2013-08-12,1499.42,NA
2013-08-20,1351.37,NA
2013-08-30,1344.67,2364793.0
2013-09-09,1301.3,NA
2013-09-20,1466.21,NA
2013-09-30,1360.91,2374555.0
2013-10-11,1421.09,NA
2013-10-21,1442.51,NA
2013-10-31,NA,2625078.0
2013-11-01,1376.12,NA
2013-11-11,1359.27,NA
2013-11-21,1311.16,NA
2013-11-29,NA,2424475.0
2013-12-02,1315.94,NA
2013-12-12,1280.09,NA
2013-12-23,1278.93,NA
2013-12-30,NA,2428245.0
2014-01-02,1330.34,NA
2014-01-13,1370.07,NA
2014-01-23,1407.84,NA
2014-01-30,NA,2570111.0
2014-02-03,1372.01,NA
