tanggal,NAV,AUM
2012-10-03,1000.22,NA
2012-10-12,1000.33,NA
2012-10-22,1000.65,NA
2012-10-31,1008.32,NA
2012-11-09,1017.03,NA
2012-11-19,1025.94,NA
2012-11-27,1027.47,NA
2012-12-07,1029.12,NA
2012-12-17,1035.11,NA
2012-12-26,1035.9,NA
2013-01-03,1040.07,NA
2013-01-14,1028.04,NA
2013-01-22,1029.51,NA
2013-01-31,1026.36,NA
2013-02-11,1031.27,NA
2013-02-19,1034.33,NA
2013-02-28,1033.57,NA
2013-03-11,1035.68,NA
2013-03-18,1031.41,NA
2013-03-27,1018.75,NA
2013-04-08,1014.91,NA
2013-04-15,1029.15,NA
2013-04-24,1033.08,NA
2013-05-03,1027.69,NA
2013-05-13,1036.7,NA
2013-05-22,1024.8,NA
2013-05-31,1009.41,NA
2013-06-10,989.95,NA
2013-06-19,976.54,NA
2013-06-28,956.84,NA
2013-07-08,930.21,NA
2013-07-16,910.51,NA
2013-07-25,927.4,NA
2013-08-12,940.3,NA
2013-08-13,937.31,NA
2013-08-22,903.29,NA
2013-09-02,908.79,NA
2013-09-10,890.3,NA
2013-09-19,939.92,NA
2013-09-30,909.04,NA
2013-10-07,929.01,NA
2013-10-17,957.4,NA
2013-10-28,994.76,NA
2013-11-04,948.5,NA
2013-11-13,906.43,NA
2013-11-22,897.72,NA
2013-12-02,898.87,NA
2013-12-11,898.87,NA
2013-12-20,915.8,NA
2013-12-30,915.17,NA
2014-01-08,888.96,NA
2014-01-17,912.47,NA
2014-01-27,889.78,NA
2014-02-04,889.85,NA
2014-02-14,909.8,NA
2014-02-24,924.86,NA
2014-03-04,934.16,NA
2014-03-13,936.96,NA
2014-03-24,939.91,NA
2014-04-01,945.13,NA
2014-04-10,947.81,NA
2014-04-21,949.39,NA
2014-04-28,951.32,NA
2014-05-08,949.59,NA
2014-05-19,953.93,NA
2014-05-26,953.76,NA
2014-06-04,955.54,NA
2014-06-16,957.72,NA
2014-06-23,958.48,NA
2014-07-02,958.92,NA
2014-07-11,961.76,NA
2014-07-21,965.8,NA
2014-08-04,965.84,NA
2014-08-08,961.43,NA
2014-08-18,964.18,NA
2014-08-26,966.93,NA
2014-09-05,983.25,NA
2014-09-15,971.19,NA
2014-09-23,976.15,NA
2014-10-02,967.83,NA
2014-10-13,974.73,NA
2014-10-21,1000.36,NA
2014-10-30,993.44,NA
2014-11-10,1004.5,NA
2014-11-17,1008.24,NA
2014-11-27,1027.09,NA
2014-12-08,1020.4,NA
2014-12-15,986.96,NA
2014-12-24,1019.95,NA
2015-01-05,1019.12,NA
2015-01-12,1037.44,NA
2015-01-21,1073.09,NA
2015-01-30,1091.07,NA
2015-02-09,1091.77,NA
2015-02-16,1073.92,NA
2015-02-18,1101.17,NA
2015-02-23,1067.37,NA
2015-02-27,1079.2,NA
2015-03-02,1077.25,NA
2015-03-09,1054.87,NA
2015-03-10,1055.69,NA
2015-03-17,1067.24,NA
2015-03-25,1079.11,NA
2015-03-27,1075.56,NA
2015-04-01,1074.93,NA
2015-04-06,1077.33,NA
2015-04-09,1078.94,NA
2015-04-14,1076.29,NA
2015-04-16,1072.63,NA
2015-04-23,1065.89,NA
2015-04-24,1065.43,NA
2015-05-04,1057.72,NA
2015-05-11,1040.25,NA
2015-05-12,1037.61,NA
2015-05-18,1049.83,NA
2015-05-21,1047.43,NA
2015-05-25,1046.81,NA
2015-06-01,1045.13,NA
2015-06-08,1024.31,NA
2015-06-09,1028.4,NA
2015-06-15,1029.39,NA
2015-06-18,1034.88,NA
2015-06-23,1047.41,NA
2015-06-29,1049.35,NA
2015-06-30,1052.06,NA
2015-07-06,1060.27,NA
2015-07-07,1061.68,NA
2015-07-15,1051.64,NA
2015-07-22,1052.33,NA
2015-07-27,1052.6,NA
2015-07-30,1042.69,NA
2015-08-03,1043.21,NA
2015-08-06,1046.75,NA
2015-08-12,1032.76,NA
2015-08-14,1035.37,NA
2015-08-21,1029.93,NA
2015-08-31,1036.03,NA
2015-09-07,1027.18,NA
2015-09-09,1024.41,NA
2015-09-14,1019.23,NA
2015-09-18,1026.73,NA
2015-09-21,1029.46,NA
2015-09-28,1008.67,NA
2015-10-05,1027.92,NA
2015-10-07,1052.39,NA
2015-10-13,1054.79,NA
2015-10-16,1050.41,NA
2015-10-20,1048.92,NA
2015-10-26,1053.54,NA
2015-10-28,1053.77,NA
2015-11-03,1046.7,NA
2015-11-04,1050.1,NA
2015-11-12,1057.67,NA
2015-11-19,1061.09,NA
2015-11-23,1061.16,NA
2015-11-26,1067.91,NA
2015-12-01,1069.62,NA
2015-12-04,1072.66,NA
2015-12-10,1071.41,NA
2015-12-11,1068.72,NA
2015-12-21,1066.55,NA
2015-12-28,1067.53,NA
2015-12-29,1066.48,NA
2016-01-04,1067.69,NA
2016-01-07,1067.84,NA
2016-01-11,1070.8,NA
2016-01-18,1083.87,NA
2016-01-25,1097.36,NA
2016-02-02,1120.79,NA
2016-02-04,1116.16,NA
2016-02-09,1121.89,NA
2016-02-15,1126.95,NA
2016-02-17,1119.03,NA
2016-02-22,1113.42,NA
2016-02-24,1103.4,NA
2016-03-02,1116.97,NA
2016-03-03,1124.83,NA
2016-03-10,1133.9,NA
2016-03-11,1139.75,NA
2016-03-18,1148.63,NA
2016-03-21,1145.82,NA
2016-03-28,1140.93,NA
2016-03-30,1147.15,NA
2016-04-04,1160.72,NA
2016-04-08,1169.06,NA
2016-04-11,1172.82,NA
2016-04-18,1187.1,NA
2016-04-25,1177.0,NA
2016-04-27,1179.57,NA
2016-05-02,1173.02,NA
2016-05-09,1170.97,NA
2016-05-16,1173.35,NA
2016-05-24,1159.87,NA
2016-05-31,1167.22,NA
2016-06-03,1171.65,NA
2016-06-08,1187.18,NA
2016-06-13,1187.02,NA
2016-06-15,1185.23,NA
2016-06-21,1184.39,NA
2016-06-23,1187.01,NA
2016-06-30,1197.77,NA
2016-07-11,1226.1,NA
2016-07-15,1224.7,NA
2016-07-19,1230.09,NA
2016-07-25,1225.24,NA
2016-07-28,1233.49,NA
2016-08-01,1239.86,NA
2016-08-08,1238.53,NA
2016-08-15,1241.59,NA
2016-08-22,1239.01,NA
2016-08-25,1228.89,NA
2016-08-29,1228.0,NA
2016-09-05,1238.48,NA
2016-09-13,1237.67,NA
2016-09-20,1236.94,NA
2016-09-21,1239.1,NA
2016-09-28,1243.95,NA
2016-10-03,1241.05,NA
2016-10-05,1241.31,NA
2016-10-10,1237.29,NA
2016-10-13,1235.98,NA
2016-10-19,1232.13,NA
2016-10-20,1230.95,NA
2016-10-28,1221.57,NA
2016-11-04,1215.55,NA
2016-11-07,1214.86,NA
2016-11-14,1177.33,NA
2016-11-16,1181.65,NA
2016-11-21,1177.64,NA
2016-11-25,1157.43,NA
2016-11-28,1160.09,NA
2016-12-05,1173.53,NA
2016-12-13,1199.21,NA
2016-12-19,1184.04,NA
2016-12-23,1189.64,NA
2016-12-27,1190.21,NA
2017-01-03,1186.64,NA
2017-01-10,1199.71,NA
2017-01-11,1199.33,NA
2017-01-18,1209.57,NA
2017-01-19,1208.08,NA
2017-01-25,1209.91,NA
2017-01-30,1204.31,NA
2017-02-02,1203.22,NA
2017-02-07,1208.57,NA
2017-02-09,1213.58,NA
2017-02-16,1210.84,NA
2017-02-17,1212.6,NA
2017-02-24,1213.41,NA
2017-02-27,1214.11,NA
2017-03-06,1220.51,NA
2017-03-13,1224.64,NA
2017-03-16,1239.02,NA
2017-03-20,1243.78,NA
2017-03-27,1249.69,NA
2017-04-03,1261.97,NA
2017-04-10,1255.43,NA
2017-04-12,1259.91,NA
2017-04-18,1262.12,NA
2017-04-25,1261.26,NA
2017-05-02,1265.01,NA
2017-05-03,1265.38,NA
2017-05-10,1255.67,NA
2017-05-18,1262.77,NA
2017-05-19,1267.91,NA
2017-05-26,1274.02,NA
2017-05-29,1274.65,NA
2017-06-02,1274.88,NA
2017-06-07,1276.03,NA
2017-06-09,1279.37,NA
2017-06-16,1284.4,NA
2017-07-03,1283.31,NA
2017-07-04,1283.54,NA
2017-07-10,1265.88,NA
2017-07-14,1279.83,NA
2017-07-17,1280.89,NA
2017-07-24,1289.66,NA
2017-07-31,1286.68,NA
2017-08-01,1288.48,NA
2017-08-08,1293.02,NA
2017-08-10,1293.63,NA
2017-08-15,1293.13,NA
2017-08-21,1295.58,NA
2017-08-23,1299.86,NA
2017-08-29,1307.94,NA
2017-08-30,1311.81,NA
2017-09-07,1326.44,NA
2017-09-14,1328.24,NA
2017-09-18,1330.06,NA
2017-09-22,1334.67,NA
2017-09-26,1337.94,NA
2017-09-29,1334.09,NA
2017-10-05,1329.49,NA
2017-10-09,1326.98,NA
2017-10-16,1327.32,NA
2017-10-23,1319.18,NA
2017-10-30,1312.43,NA
2017-11-01,1317.7,NA
2017-11-06,1326.11,NA
2017-11-13,1327.24,NA
2017-11-20,1331.18,NA
2017-11-28,1337.76,NA
2017-11-29,1341.89,NA
2017-12-01,NA,54850000000.0
2017-12-05,1343.66,NA
2017-12-08,1342.12,NA
2017-12-13,1344.37,NA
2017-12-18,1345.88,NA
2017-12-20,1346.9,NA
2017-12-27,1353.76,NA
2017-12-28,1356.42,NA
2018-01-01,NA,71700000000.0
2018-01-04,1367.89,NA
2018-01-05,1369.0,NA
2018-01-12,1379.9,NA
2018-01-15,1380.01,NA
2018-01-19,1382.05,NA
2018-01-24,1375.9,NA
2018-01-29,1368.03,NA
