tanggal,NAV,AUM,currency
2010-02-24,1000.0,NA,IDR
2010-03-08,1000.0,NA,IDR
2010-03-19,1000.0,NA,IDR
2010-03-30,1000.0,NA,IDR
2010-04-12,1000.0,NA,IDR
2010-04-21,1000.0,NA,IDR
2010-05-03,1000.0,NA,IDR
2010-05-14,1000.0,NA,IDR
2010-05-25,1000.0,NA,IDR
2010-06-07,1000.0,NA,IDR
2010-06-16,1000.0,NA,IDR
2010-06-28,1000.0,NA,IDR
2010-07-08,1000.0,NA,IDR
2010-07-20,1000.0,NA,IDR
2010-08-02,1000.0,NA,IDR
2010-08-11,1000.0,NA,IDR
2010-08-23,1000.0,NA,IDR
2010-09-02,1000.0,NA,IDR
2010-09-15,1000.0,NA,IDR
2010-09-27,1000.0,NA,IDR
2010-10-06,1000.0,NA,IDR
2010-10-18,1000.0,NA,IDR
2010-10-28,1000.0,NA,IDR
2010-11-08,1000.0,NA,IDR
2010-11-22,1000.0,NA,IDR
2010-12-01,1000.0,NA,IDR
2010-12-13,1000.0,NA,IDR
2010-12-23,1000.0,NA,IDR
2011-01-03,1000.0,NA,IDR
2011-01-17,1000.0,NA,IDR
2011-01-26,1000.0,NA,IDR
2011-02-07,1000.0,NA,IDR
2011-02-17,1000.0,NA,IDR
2011-02-28,1000.0,NA,IDR
2011-03-11,1000.0,NA,IDR
2011-03-23,1000.0,NA,IDR
2011-04-04,1000.0,NA,IDR
2011-04-14,1000.0,NA,IDR
2011-04-25,1000.0,NA,IDR
2011-05-06,1000.0,NA,IDR
2011-05-18,1000.0,NA,IDR
2011-05-30,1000.0,NA,IDR
2011-06-09,1000.0,NA,IDR
2011-06-20,1000.0,NA,IDR
2011-07-01,1000.0,NA,IDR
2011-07-12,1000.0,NA,IDR
2011-07-25,1000.0,NA,IDR
2011-08-04,1000.0,NA,IDR
2011-08-15,1000.0,NA,IDR
2011-08-26,1000.0,NA,IDR
2011-09-06,1000.0,NA,IDR
2011-09-19,1000.0,NA,IDR
2011-09-29,1000.0,NA,IDR
2011-10-10,1000.0,NA,IDR
2011-10-21,1000.0,NA,IDR
2011-11-01,1000.0,NA,IDR
2011-11-14,1000.0,NA,IDR
2011-11-24,1000.0,NA,IDR
2011-12-05,1000.0,NA,IDR
2011-12-16,1000.0,NA,IDR
2011-12-27,1000.0,NA,IDR
2012-01-09,1000.0,NA,IDR
2012-01-19,1000.0,NA,IDR
2012-01-30,1000.0,NA,IDR
2012-02-10,1000.0,NA,IDR
2012-02-21,1000.0,NA,IDR
2012-03-05,1000.0,NA,IDR
2012-03-14,1000.0,NA,IDR
2012-03-26,1000.0,NA,IDR
2012-04-09,1000.0,NA,IDR
2012-04-17,1000.0,NA,IDR
2012-04-30,1000.0,NA,IDR
2012-05-09,1000.0,NA,IDR
2012-05-21,1000.0,NA,IDR
2012-06-01,1000.0,NA,IDR
2012-06-12,1000.0,NA,IDR
2012-06-25,1000.0,NA,IDR
2012-07-04,1000.0,NA,IDR
2012-07-16,1000.0,NA,IDR
2012-07-27,1000.0,NA,IDR
2012-08-07,1000.0,NA,IDR
2012-08-23,1000.0,NA,IDR
2012-08-29,1000.0,NA,IDR
2012-09-10,1000.0,NA,IDR
2012-09-21,1000.0,NA,IDR
2012-10-02,1000.0,NA,IDR
2012-10-15,1000.0,NA,IDR
2012-10-24,1000.0,NA,IDR
2012-11-05,1000.0,NA,IDR
2012-11-19,1000.0,NA,IDR
2012-11-27,1000.0,NA,IDR
2012-12-10,1000.0,NA,IDR
2012-12-19,1000.0,NA,IDR
2013-01-02,1001.01,NA,IDR
2013-01-10,1002.39,NA,IDR
2013-01-22,1003.33,NA,IDR
2013-02-04,1004.65,NA,IDR
2013-02-13,1006.29,NA,IDR
2013-02-25,1007.36,NA,IDR
2013-03-07,1008.74,NA,IDR
2013-03-18,1009.42,NA,IDR
2013-04-01,1010.75,NA,IDR
2013-04-10,1011.93,NA,IDR
2013-04-22,1013.5,NA,IDR
2013-05-02,1014.97,NA,IDR
2013-05-13,1017.33,NA,IDR
2013-05-27,1017.32,NA,IDR
2013-06-05,1017.85,NA,IDR
2013-06-17,1018.88,NA,IDR
2013-06-27,1017.89,NA,IDR
2013-07-08,1019.14,NA,IDR
2013-07-19,1020.13,NA,IDR
2013-07-31,1021.94,NA,IDR
2013-08-12,1024.13,NA,IDR
2013-08-22,1023.2,NA,IDR
2013-09-02,1024.84,NA,IDR
2013-09-13,1026.9,NA,IDR
2013-09-25,1029.68,NA,IDR
2013-10-07,1030.79,NA,IDR
2013-10-17,1032.02,NA,IDR
2013-10-28,1034.15,NA,IDR
2013-11-08,1035.21,NA,IDR
2013-11-19,1036.46,NA,IDR
2013-12-02,1038.04,NA,IDR
2013-12-12,1039.48,NA,IDR
2013-12-23,1041.63,NA,IDR
2014-01-03,1044.03,NA,IDR
2014-01-15,1045.62,NA,IDR
2014-01-27,1047.39,NA,IDR
2014-02-06,1049.5,NA,IDR
2014-02-17,1051.96,NA,IDR
2014-02-28,1054.38,NA,IDR
2014-03-11,1056.96,NA,IDR
2014-03-24,1059.66,NA,IDR
2014-04-03,1061.26,NA,IDR
2014-04-14,1063.79,NA,IDR
2014-04-25,1065.16,NA,IDR
2014-05-06,1066.77,NA,IDR
2014-05-19,1069.35,NA,IDR
2014-05-30,1070.67,NA,IDR
2014-06-09,1072.04,NA,IDR
2014-06-20,1074.51,NA,IDR
2014-07-01,1076.26,NA,IDR
2014-07-14,1079.95,NA,IDR
2014-07-24,1081.48,NA,IDR
2014-08-04,1083.2,NA,IDR
2014-08-15,1084.92,NA,IDR
2014-08-26,1087.17,NA,IDR
2014-09-08,1089.22,NA,IDR
2014-09-17,1090.44,NA,IDR
2014-09-29,1092.44,NA,IDR
2014-10-10,1095.15,NA,IDR
2014-10-21,1097.56,NA,IDR
2014-11-03,1100.71,NA,IDR
2014-11-12,1101.66,NA,IDR
2014-11-24,1103.88,NA,IDR
