tanggal,NAV,AUM
2017-09-04,1000.39,12000.0
2017-09-07,NA,12010.0
2017-09-08,1001.11,NA
2017-09-14,1002.2,NA
2017-09-20,1003.48,NA
2017-09-25,1004.67,NA
2017-10-02,1005.5,NA
2017-10-06,1006.0,NA
2017-10-12,1006.43,NA
2017-10-17,1007.78,NA
2017-10-23,1008.56,NA
2017-10-30,1009.56,NA
2017-11-01,NA,12170000000.0
2017-11-03,1010.43,NA
2017-11-08,1011.3,NA
2017-11-14,1012.14,NA
2017-11-20,1013.33,NA
2017-11-27,1014.19,NA
2017-12-01,NA,12220000000.0
2017-12-04,1015.14,NA
2017-12-06,1015.68,NA
2017-12-12,1016.01,NA
2017-12-18,1016.96,NA
2017-12-27,1018.07,NA
2017-12-28,1018.15,NA
2018-01-01,NA,510000000000.0
2018-01-03,1018.73,NA
2018-01-09,1019.95,NA
2018-01-15,1020.82,NA
2018-01-22,1021.91,NA
2018-01-25,1022.37,NA
2018-01-31,1023.27,NA
2018-02-01,NA,510000000000.0
2018-02-05,1024.05,NA
2018-02-12,1024.98,NA
2018-02-19,1028.83,NA
2018-02-22,1029.28,NA
2018-02-28,1030.21,NA
2018-03-01,NA,61040000000.0
2018-03-05,1031.0,NA
2018-03-12,1032.06,NA
2018-03-16,1033.66,NA
2018-03-22,1034.97,NA
2018-03-27,1035.42,NA
2018-04-01,NA,690000000000.0
2018-04-02,1036.79,NA
2018-04-09,1037.79,NA
2018-04-13,1038.38,NA
2018-04-18,1039.11,NA
2018-04-24,1039.98,NA
2018-04-30,1040.85,NA
2018-05-01,NA,254690000000.0
2018-05-07,1041.99,NA
2018-05-11,1042.59,NA
2018-05-16,1043.8,NA
2018-05-22,1044.6,NA
2018-05-28,1045.36,NA
2018-06-01,NA,262750000000.0
2018-06-04,1046.43,NA
2018-06-07,1046.83,NA
2018-06-20,1048.42,NA
2018-06-25,1049.52,NA
2018-07-01,NA,53660000000.0
2018-07-02,1050.19,NA
2018-07-05,1050.65,NA
2018-07-11,1051.6,NA
2018-07-16,1052.36,NA
2018-07-23,1053.5,NA
2018-07-27,1054.18,NA
2018-07-31,NA,53660.0
2018-08-02,1055.11,NA
2018-08-08,1056.02,NA
2018-08-13,1056.8,NA
2018-08-20,1057.79,NA
2018-08-24,1058.35,NA
2018-08-30,1059.26,NA
2018-08-31,NA,29060.0
2018-09-04,1059.99,NA
2018-09-10,1060.92,NA
2018-09-17,1062.05,NA
2018-09-21,1062.55,NA
2018-09-27,1063.52,NA
2018-10-01,NA,28110000000.0
2018-10-02,1064.32,NA
2018-10-08,1065.3,NA
2018-10-15,1066.46,NA
2018-10-19,1067.14,NA
2018-10-24,1067.96,NA
2018-10-30,1069.01,NA
2018-11-01,NA,219610000000.0
2018-11-05,1070.04,NA
2018-11-12,1071.38,NA
2018-11-15,1071.97,NA
2018-11-21,1073.13,NA
2018-11-27,1074.28,NA
2018-12-01,NA,122370000000.0
2018-12-03,1075.45,NA
2018-12-10,1078.21,NA
2018-12-13,1078.83,NA
2018-12-19,1080.06,NA
2018-12-26,1081.5,NA
2019-01-01,NA,580000000000.0
2019-01-02,1082.94,NA
2019-01-04,1083.35,NA
2019-01-10,1084.79,NA
2019-01-16,1086.03,NA
2019-01-21,1087.05,NA
2019-01-28,1088.49,NA
2019-02-01,1089.29,600000000000.0
2019-02-07,1090.5,NA
2019-02-12,1091.49,NA
2019-02-18,1092.72,NA
2019-02-25,1094.11,NA
2019-03-01,1094.94,401860000000.0
2019-03-08,1096.34,NA
2019-03-12,1097.36,NA
2019-03-18,1098.66,NA
2019-03-25,1100.03,NA
2019-03-29,1100.82,NA
2019-04-01,NA,910000000000.0
2019-04-04,1101.99,NA
2019-04-09,1103.01,NA
2019-04-15,1104.29,NA
2019-04-22,1105.63,NA
2019-04-25,1106.2,NA
2019-05-01,NA,780000000000.0
2019-05-02,1107.5,NA
2019-05-07,1108.46,NA
2019-05-13,1109.68,NA
2019-05-20,1111.09,NA
2019-05-23,1111.67,NA
2019-05-29,1112.55,NA
2019-06-01,NA,377920000000.0
2019-06-10,1114.82,NA
2019-06-14,1115.64,NA
