tanggal,NAV,AUM,currency
2017-12-01,NA,102510000000.0,IDR
2018-01-01,NA,104100000000.0,IDR
2018-01-30,1133.94,NA,IDR
2018-02-01,NA,101260000000.0,IDR
2018-02-05,1137.05,NA,IDR
2018-02-09,1136.02,NA,IDR
2018-02-14,1134.01,NA,IDR
2018-02-21,1132.12,NA,IDR
2018-02-26,1129.05,NA,IDR
2018-03-01,NA,101650000000.0,IDR
2018-03-02,1122.95,NA,IDR
2018-03-07,1123.74,NA,IDR
2018-03-13,1122.83,NA,IDR
2018-03-19,1128.44,NA,IDR
2018-03-23,1125.21,NA,IDR
2018-03-28,1127.89,NA,IDR
2018-04-01,NA,98990000000.0,IDR
2018-04-03,1134.64,NA,IDR
2018-04-09,1131.75,NA,IDR
2018-04-13,1133.32,NA,IDR
2018-04-18,1125.86,NA,IDR
2018-04-24,1116.62,NA,IDR
2018-04-30,1110.64,NA,IDR
2018-05-01,NA,97910000000.0,IDR
2018-05-04,1110.92,NA,IDR
2018-05-09,1096.24,NA,IDR
2018-05-15,1106.07,NA,IDR
2018-05-21,1091.99,NA,IDR
2018-05-25,1088.54,NA,IDR
2018-05-30,1094.97,NA,IDR
2018-06-01,NA,92720000000.0,IDR
2018-06-05,1105.82,NA,IDR
2018-06-20,1099.64,NA,IDR
2018-06-26,1089.38,NA,IDR
2018-07-01,NA,89950000000.0,IDR
2018-07-02,1081.43,NA,IDR
2018-07-06,1085.78,NA,IDR
2018-07-11,1092.46,NA,IDR
2018-07-17,1088.47,NA,IDR
2018-07-23,1079.24,NA,IDR
2018-07-27,1080.22,NA,IDR
2018-08-01,1082.88,84060000000.0,IDR
2018-08-07,1083.92,NA,IDR
2018-08-13,1081.03,NA,IDR
2018-08-20,1078.05,NA,IDR
2018-08-23,1077.41,NA,IDR
2018-08-28,1079.03,NA,IDR
2018-09-01,NA,46600000000.0,IDR
2018-09-03,1068.69,NA,IDR
2018-09-07,1052.53,NA,IDR
2018-09-12,1051.69,NA,IDR
2018-09-18,1054.29,NA,IDR
2018-09-24,1068.93,NA,IDR
2018-09-28,1072.97,NA,IDR
2018-10-01,NA,45880000000.0,IDR
2018-10-03,1077.95,NA,IDR
2018-10-09,1064.97,NA,IDR
2018-10-15,1052.51,NA,IDR
2018-10-19,1056.11,NA,IDR
2018-10-24,1059.06,NA,IDR
2018-10-30,1059.69,NA,IDR
2018-11-01,NA,47410000000.0,IDR
2018-11-05,1069.76,NA,IDR
2018-11-09,1082.47,NA,IDR
2018-11-14,1077.48,NA,IDR
2018-11-21,1082.49,NA,IDR
2018-11-26,1087.37,NA,IDR
2018-11-30,1092.73,NA,IDR
2018-12-01,NA,47510000000.0,IDR
2018-12-05,1090.7,NA,IDR
2018-12-11,1081.47,NA,IDR
2018-12-17,1083.56,NA,IDR
2018-12-21,1091.54,NA,IDR
2018-12-26,1092.97,NA,IDR
2019-01-01,NA,47430000000.0,IDR
2019-01-02,1093.77,NA,IDR
2019-01-07,1096.76,NA,IDR
2019-01-11,1092.71,NA,IDR
2019-01-16,1091.79,NA,IDR
2019-01-22,1089.48,NA,IDR
2019-01-28,1091.46,NA,IDR
2019-02-01,1102.0,46320000000.0,IDR
2019-02-06,1112.85,NA,IDR
2019-02-12,1107.24,NA,IDR
2019-02-18,1104.57,NA,IDR
2019-02-22,1108.37,NA,IDR
2019-02-27,1115.13,NA,IDR
2019-03-01,NA,44650000000.0,IDR
2019-03-05,1113.85,NA,IDR
2019-03-11,1112.6,NA,IDR
2019-03-15,1119.4,NA,IDR
2019-03-20,1124.81,NA,IDR
2019-03-26,1131.71,NA,IDR
2019-04-01,1132.28,44540000000.0,IDR
2019-04-05,1133.92,NA,IDR
2019-04-10,1132.43,NA,IDR
2019-04-16,1135.11,NA,IDR
2019-04-22,1136.69,NA,IDR
2019-04-26,1131.78,NA,IDR
2019-05-01,NA,44670000000.0,IDR
2019-05-02,1128.38,NA,IDR
2019-05-07,1120.2,NA,IDR
2019-05-13,1117.74,NA,IDR
2019-05-17,1116.37,NA,IDR
2019-05-22,1120.79,NA,IDR
2019-05-28,1135.38,NA,IDR
2019-06-01,NA,47070000000.0,IDR
2019-06-10,1145.94,NA,IDR
2019-06-12,1151.3,NA,IDR
2019-06-18,1158.34,NA,IDR
2019-06-24,1168.76,NA,IDR
2019-06-28,1176.51,NA,IDR
2019-07-01,NA,49270000000.0,IDR
2019-07-03,1182.89,NA,IDR
2019-07-09,1187.69,NA,IDR
2019-07-15,1198.44,NA,IDR
2019-07-19,1200.84,NA,IDR
2019-07-24,1195.22,NA,IDR
2019-07-30,1193.36,NA,IDR
2019-08-01,NA,52660000000.0,IDR
2019-08-05,1175.46,NA,IDR
2019-08-09,1187.44,NA,IDR
2019-08-14,1184.98,NA,IDR
2019-08-20,1188.85,NA,IDR
2019-08-26,1193.08,NA,IDR
2019-08-30,1188.86,NA,IDR
2019-09-01,NA,54880000000.0,IDR
2019-09-04,1190.7,NA,IDR
2019-09-10,1194.65,NA,IDR
2019-09-16,1198.19,NA,IDR
2019-09-20,1198.54,NA,IDR
2019-09-25,1197.59,NA,IDR
2019-10-01,1198.62,58650000000.0,IDR
2019-10-07,1202.51,NA,IDR
2019-10-11,1202.33,NA,IDR
2019-10-16,1206.52,NA,IDR
2019-10-22,1211.47,NA,IDR
2019-10-28,1215.73,NA,IDR
2019-11-01,1220.18,54920000000.0,IDR
2019-11-06,1222.99,NA,IDR
2019-11-12,1223.54,NA,IDR
2019-11-18,1224.23,NA,IDR
2019-11-22,1221.26,NA,IDR
2019-11-27,1220.86,NA,IDR
2019-12-01,NA,55270000000.0,IDR
2019-12-03,1217.68,NA,IDR
2019-12-09,1220.04,NA,IDR
2019-12-13,1215.71,NA,IDR
2019-12-18,1211.03,NA,IDR
2019-12-26,1220.62,NA,IDR
2019-12-30,1223.19,NA,IDR
2020-01-01,NA,60220000000.0,IDR
2020-01-03,1226.5,NA,IDR
2020-01-08,1228.69,NA,IDR
2020-01-14,1236.41,NA,IDR
2020-01-20,1239.57,NA,IDR
