tanggal,NAV,AUM
2017-12-01,NA,498160000000.0
2018-01-01,NA,530000000000.0
2018-01-30,2569.2,NA
2018-02-01,NA,540000000000.00006
2018-02-05,2583.56,NA
2018-02-09,2570.68,NA
2018-02-14,2565.4,NA
2018-02-21,2561.15,NA
2018-02-26,2555.68,NA
2018-03-01,NA,510000000000.0
2018-03-02,2541.93,NA
2018-03-07,2525.54,NA
2018-03-13,2533.01,NA
2018-03-19,2539.56,NA
2018-03-23,2521.43,NA
2018-03-28,2533.17,NA
2018-04-01,NA,499460000000.0
2018-04-03,2566.06,NA
2018-04-09,2572.42,NA
2018-04-13,2582.59,NA
2018-04-18,2569.95,NA
2018-04-24,2527.32,NA
2018-04-30,2520.39,NA
2018-05-01,NA,476320000000.0
2018-05-04,2501.6,NA
2018-05-09,2445.87,NA
2018-05-15,2471.7,NA
2018-05-21,2404.53,NA
2018-05-25,2446.16,NA
2018-05-30,2483.69,NA
2018-06-01,NA,451310000000.0
2018-06-05,2514.77,NA
2018-06-20,2482.07,NA
2018-06-26,2398.19,NA
2018-07-01,NA,438730000000.0
2018-07-02,2377.39,NA
2018-07-06,2394.08,NA
2018-07-11,2433.11,NA
2018-07-17,2425.33,NA
2018-07-23,2399.41,NA
2018-07-27,2411.47,NA
2018-08-01,2429.11,308670000000.0
2018-08-07,2426.92,NA
2018-08-13,2409.44,NA
2018-08-20,2399.37,NA
2018-08-23,2408.99,NA
2018-08-28,2413.25,NA
2018-09-01,NA,306580000000.0
2018-09-03,2360.99,NA
2018-09-07,2311.11,NA
2018-09-12,2296.53,NA
2018-09-18,2316.09,NA
2018-09-24,2357.18,NA
2018-09-28,2385.3,NA
2018-10-01,NA,294040000000.0
2018-10-03,2377.39,NA
2018-10-09,2332.05,NA
2018-10-15,2291.72,NA
2018-10-19,2319.65,NA
2018-10-24,2324.53,NA
2018-10-30,2325.94,NA
2018-11-01,NA,305090000000.0
2018-11-05,2378.78,NA
2018-11-09,2407.62,NA
2018-11-14,2397.58,NA
2018-11-21,2410.9,NA
2018-11-26,2430.61,NA
2018-11-30,2441.22,NA
2018-12-01,NA,294510000000.0
2018-12-05,2435.54,NA
2018-12-11,2402.4,NA
2018-12-17,2416.54,NA
2018-12-21,2442.07,NA
2018-12-26,2442.97,NA
2019-01-01,NA,273480000000.00003
2019-01-02,2442.72,NA
2019-01-07,2462.21,NA
2019-01-11,2458.66,NA
2019-01-16,2455.72,NA
2019-01-21,2452.48,NA
2019-01-28,2458.92,NA
2019-02-01,2489.74,224700000000.0
2019-02-06,2520.72,NA
2019-02-11,2488.27,NA
2019-02-18,2473.28,NA
2019-02-22,2499.37,NA
2019-02-27,2508.89,NA
2019-03-01,NA,225520000000.0
2019-03-04,2510.21,NA
2019-03-11,2502.28,NA
2019-03-15,2528.25,NA
2019-03-20,2546.41,NA
2019-03-25,2553.97,NA
2019-04-01,2564.4,218160000000.0
2019-04-05,2563.04,NA
2019-04-10,2555.84,NA
2019-04-15,2555.41,NA
2019-04-22,2564.08,NA
2019-04-26,2552.04,NA
2019-05-01,NA,218770000000.0
2019-05-02,2531.1,NA
2019-05-06,2510.18,NA
2019-05-13,2484.88,NA
2019-05-17,2466.06,NA
2019-05-22,2469.82,NA
2019-05-27,2504.64,NA
2019-06-01,NA,213760000000.0
2019-06-10,2533.75,NA
2019-06-12,2542.89,NA
2019-06-17,2550.26,NA
2019-06-24,2595.35,NA
2019-06-28,2615.76,NA
2019-07-01,NA,207020000000.0
2019-07-03,2627.26,NA
2019-07-08,2633.59,NA
2019-07-15,2650.95,NA
2019-07-19,2651.23,NA
2019-07-24,2633.98,NA
2019-07-29,2630.36,NA
2019-08-01,NA,203900000000.0
2019-08-05,2577.74,NA
2019-08-09,2615.06,NA
2019-08-14,2607.07,NA
2019-08-19,2619.17,NA
2019-08-26,2618.05,NA
2019-08-30,2603.66,NA
2019-09-01,NA,200830000000.0
2019-09-04,2604.56,NA
2019-09-09,2615.35,NA
2019-09-16,2608.03,NA
2019-09-20,2615.18,NA
2019-09-25,2601.27,NA
2019-09-30,2602.7,NA
2019-10-01,NA,199600000000.0
2019-10-07,2598.08,NA
2019-10-11,2608.12,NA
2019-10-16,2619.72,NA
2019-10-21,2629.04,NA
2019-10-28,2648.8,NA
2019-11-01,2640.38,166330000000.0
