tanggal,NAV,AUM
2020-04-16,946.9,NA
2020-04-20,968.78,NA
2020-04-23,961.52,NA
2020-04-27,936.49,NA
2020-04-30,986.1,NA
2020-05-01,NA,1140000000000.0
2020-05-04,947.94,NA
2020-05-08,950.99,NA
2020-05-11,958.63,NA
2020-05-14,917.52,NA
2020-05-18,911.89,NA
2020-05-26,935.7,NA
2020-05-29,968.36,NA
2020-06-01,NA,1200000000000.0
2020-06-02,996.29,NA
2020-06-05,1023.71,NA
2020-06-09,1048.38,NA
2020-06-12,1006.34,NA
2020-06-16,1035.68,NA
2020-06-19,1030.31,NA
2020-06-23,1012.62,NA
2020-06-29,1022.84,NA
2020-06-30,1021.09,NA
2020-07-01,NA,1260000000000.0
2020-07-06,1038.36,NA
2020-07-07,1036.81,NA
2020-07-13,1055.34,NA
2020-07-15,1059.17,NA
2020-07-20,1049.19,NA
2020-07-22,1068.78,NA
2020-07-27,1070.31,NA
2020-07-29,1063.2,NA
2020-08-01,NA,1300000000000.0
2020-08-03,1034.72,NA
2020-08-05,1074.39,NA
2020-08-10,1084.67,NA
2020-08-12,1115.23,NA
2020-08-18,1133.31,NA
2020-08-19,1127.7,NA
2020-08-24,1127.63,NA
2020-08-27,1149.85,NA
2020-08-31,1112.52,NA
2020-09-01,NA,1160000000000.0
2020-09-03,1126.2,NA
2020-09-07,1114.03,NA
2020-09-10,1028.99,NA
2020-09-14,1090.78,NA
2020-09-17,1052.32,NA
2020-09-21,1041.35,NA
2020-09-24,1004.59,NA
2020-09-28,1017.62,NA
2020-10-01,NA,1230000000000.0
2020-10-02,1019.53,NA
2020-10-05,1025.6,NA
2020-10-09,1047.83,NA
2020-10-12,1054.07,NA
2020-10-16,1054.98,NA
2020-10-20,1055.65,NA
2020-10-23,1058.35,NA
2020-10-27,1057.47,NA
2020-11-01,NA,1360000000000.0
2020-11-02,1053.28,NA
2020-11-03,1060.38,NA
2020-11-09,1110.14,NA
2020-11-10,1136.19,NA
2020-11-16,1151.26,NA
2020-11-17,1163.32,NA
2020-11-23,1189.33,NA
2020-11-25,1192.37,NA
2020-11-30,1167.7,NA
2020-12-01,NA,1410000000000.0
2020-12-02,1215.79,NA
2020-12-07,1230.97,NA
2020-12-10,1223.87,NA
2020-12-14,1232.84,NA
2020-12-16,1262.13,NA
2020-12-21,1261.85,NA
2020-12-23,1217.38,NA
2020-12-28,1238.11,NA
2020-12-30,1214.91,NA
2021-01-01,NA,1350000000000.0
2021-01-04,1242.4,NA
2021-01-07,1234.26,NA
2021-01-11,1283.56,NA
2021-01-14,1275.03,NA
2021-01-18,1274.46,NA
2021-01-21,1285.96,NA
2021-01-25,1250.52,NA
2021-01-28,1200.21,NA
2021-02-01,1201.44,1380000000000.0
2021-02-04,1202.35,NA
2021-02-08,1211.93,NA
2021-02-15,1205.25,NA
2021-02-19,1193.63,NA
2021-02-22,1192.17,NA
2021-02-26,1184.74,NA
2021-03-01,NA,1320000000000.0
2021-03-02,1214.63,NA
2021-03-05,1181.53,NA
