tanggal,NAV,AUM
2007-04-30,NA,476550.0
2007-05-31,1034.5,440830.0
2007-07-10,1046.61,164080.0
2007-07-16,1048.29,NA
2007-07-19,NA,165680.0
2007-07-27,1051.93,NA
2007-08-02,NA,166660.0
2007-08-09,1054.86,NA
2007-08-15,NA,157570.0
2007-08-23,1058.5,NA
2007-08-28,NA,151860.0
2007-09-05,1061.88,NA
2007-09-10,NA,150270.0
2007-09-18,1065.28,NA
2007-09-24,NA,169590.0
2007-10-02,1068.94,NA
2007-10-08,NA,175490.0
2007-10-18,1073.13,NA
2007-10-22,NA,166809.0
2007-10-29,1076.03,NA
2007-11-02,NA,173990.0
2007-11-12,1079.79,NA
2007-11-16,NA,194800.0
2007-11-26,1083.57,NA
2007-11-29,NA,171510.0
2007-12-07,1086.56,NA
2007-12-12,NA,184180.0
2007-12-26,1091.64,167560.0
2008-01-02,1093.52,NA
2008-01-08,NA,159420.0
2008-01-16,1097.3,NA
2008-01-21,NA,165960.0
2008-01-29,1100.82,NA
2008-02-04,NA,176620.0
2008-02-11,1104.33,NA
2008-02-18,NA,163760.0
2008-02-25,1108.15,NA
2008-03-03,NA,199390.0
2008-03-10,1111.97,NA
2008-03-14,NA,239680.0
2008-03-24,1115.81,NA
2008-03-27,NA,285690.0
2008-04-04,1118.84,NA
2008-04-10,NA,332400.0
2008-04-18,1122.7,NA
2008-04-23,NA,389940.0
2008-05-02,1126.27,NA
2008-05-06,NA,410310.0
2008-05-14,1129.98,NA
2008-05-19,NA,425200.0
2008-05-27,1133.81,NA
2008-06-02,NA,422940.0
2008-06-10,1137.95,NA
2008-06-16,NA,403110.0
2008-06-23,1141.8,NA
2008-06-30,NA,373370.0
2008-07-07,1146.58,NA
2008-07-11,NA,361130.0
2008-07-21,1151.43,NA
2008-07-25,NA,334907.0
2008-08-04,1156.1,NA
2008-08-07,NA,321640.0
2008-08-15,1159.42,NA
2008-08-20,NA,307690.0
2008-08-28,1163.35,NA
2008-09-03,NA,287690.0
2008-09-11,1167.59,NA
2008-09-16,NA,245910.0
2008-09-24,1171.57,NA
2008-09-29,NA,246006.0
2008-10-07,1175.74,NA
2008-10-13,NA,201910.0
2008-10-21,1170.43,NA
2008-10-27,NA,137500.0
2008-11-03,1165.59,NA
2008-11-10,NA,108270.0
2008-11-17,1171.91,NA
2008-11-21,NA,82590.0
2008-12-01,1177.49,NA
2008-12-04,NA,77560.0
2008-12-15,1182.96,NA
2008-12-18,NA,48660.0
2008-12-26,1187.25,NA
2009-01-05,NA,47350.0
2009-01-08,1193.76,NA
2009-01-13,NA,47650.0
2009-01-21,1198.8,NA
2009-01-27,NA,48700.0
2009-02-04,1206.42,NA
2009-02-17,1210.37,NA
2009-02-27,NA,49120.0
2009-03-02,1217.0,NA
2009-03-16,1223.6,NA
2009-03-30,1230.14,NA
2009-03-31,NA,51550.0
2009-04-13,1231.0,NA
2009-04-24,1235.09,NA
2009-04-30,NA,57077.8
2009-05-08,1240.31,NA
2009-05-22,1245.55,NA
2009-05-29,NA,55568.3
2009-06-03,1265.97,NA
2009-06-16,1272.68,NA
2009-06-30,1277.53,25760.0
2009-07-13,1281.46,NA
2009-07-27,1284.46,NA
2009-07-31,NA,24330.0
2009-08-10,1288.9,NA
2009-08-24,1293.36,NA
2009-08-31,NA,24620.0
2009-09-04,1298.47,NA
2009-09-17,1303.53,NA
2009-09-30,NA,25430.0
2009-10-01,1309.18,NA
2009-10-14,1309.68,NA
2009-10-27,1313.74,NA
2009-10-30,NA,26840.0
2009-11-10,1319.53,NA
2009-11-23,1322.27,NA
2009-11-30,NA,40820.0
2009-12-07,1325.5,NA
2009-12-21,1330.04,NA
2009-12-30,NA,57940.0
2010-01-04,1333.46,NA
2010-01-15,1339.02,NA
2010-01-28,1342.32,NA
2010-01-29,NA,60130.0
2010-02-10,1345.86,NA
2010-02-24,1352.22,NA
2010-02-25,NA,55690.0
2010-03-09,1359.08,NA
2010-03-22,1361.1,NA
2010-03-31,NA,46770.0
2010-04-05,1367.47,NA
2010-04-19,1379.12,NA
2010-04-30,NA,34560.0
2010-05-03,1389.17,NA
2010-05-14,1390.29,NA
2010-05-31,1391.13,47710.0
2010-06-10,1393.89,NA
2010-06-23,1405.95,NA
2010-06-30,NA,39170.0
2010-07-06,1405.81,NA
2010-07-20,1415.67,NA
2010-07-30,NA,46530.0
2010-08-02,1418.26,NA
2010-08-16,1424.78,NA
2010-08-30,1426.09,NA
2010-08-31,NA,48270.0
2010-09-15,1430.4,NA
2010-09-24,1430.3,NA
2010-09-30,NA,50370.0
2010-10-07,1435.8,NA
2010-10-21,1437.67,NA
2010-10-29,NA,48480.0
2010-11-03,1444.4,NA
2010-11-16,1449.22,NA
2010-11-29,1449.69,NA
2010-11-30,NA,56218.2
2010-12-13,1458.73,NA
2010-12-27,1458.71,NA
2010-12-31,NA,50311.7
2011-01-10,1454.83,NA
2011-01-24,1456.31,NA
2011-01-31,NA,49260.0
2011-02-04,1460.78,NA
2011-02-17,1466.8,NA
2011-02-28,NA,56400.0
2011-03-02,1472.9,NA
2011-03-16,1476.94,NA
2011-03-29,1481.02,NA
2011-03-31,NA,55810.0
2011-04-11,1485.79,NA
2011-04-25,1491.13,NA
2011-04-29,NA,57460.0
2011-05-09,1499.19,NA
2011-05-23,1506.75,NA
2011-05-31,NA,52280.0
2011-06-03,1509.55,NA
2011-06-17,1512.97,NA
2011-06-30,1519.34,35640.0
2011-07-13,1523.22,NA
2011-07-26,1527.53,NA
2011-07-27,NA,1529.47
2011-08-01,NA,1530.9
2011-08-09,1533.12,NA
2011-08-15,NA,1534.89
2011-08-22,1535.93,NA
2011-09-05,1540.83,1540.83
2011-09-09,NA,1540.59
2011-09-19,1541.68,NA
2011-09-22,NA,1542.38
2011-10-03,1547.0,NA
2011-10-05,NA,1547.55
2011-10-14,1551.81,NA
2011-10-19,NA,1550.77
2011-10-27,1556.36,NA
2011-11-01,NA,1557.02
2011-11-10,1559.84,NA
2011-11-14,NA,1569.54
2011-11-23,1568.73,NA
2011-11-28,NA,1569.89
2011-12-06,1574.48,NA
2011-12-12,NA,1574.15
2011-12-19,1578.25,NA
2011-12-27,NA,1581.12
2012-01-03,1582.73,NA
2012-01-06,NA,1582.24
2012-01-16,1590.9,NA
2012-01-20,NA,1594.04
2012-01-30,1602.52,NA
2012-02-02,NA,1604.37
2012-02-13,1608.46,NA
2012-02-15,NA,1609.27
2012-02-24,1609.79,NA
2012-02-28,NA,1610.05
