tanggal,NAV,AUM
2003-09-19,1055.02,NA
2003-10-06,1061.42,NA
2003-10-21,1067.11,NA
2003-11-06,1073.21,NA
2003-12-01,1082.6,NA
2003-12-08,1085.2,NA
2003-12-29,1093.04,NA
2004-01-01,NA,560000000000.0
2004-01-09,1096.99,NA
2004-01-26,1103.23,NA
2004-02-01,NA,640000000000.0
2004-02-10,1108.67,NA
2004-02-26,1114.27,NA
2004-03-01,NA,680000000000.0
2004-03-15,1120.27,NA
2004-03-29,1124.93,NA
2004-04-01,NA,650000000000.0
2004-04-14,1130.17,NA
2004-04-30,1135.35,NA
2004-05-01,NA,760000000000.0
2004-05-17,1140.85,NA
2004-06-01,1139.88,1010000000000.0
2004-06-17,1150.9,NA
2004-07-01,NA,1050000000000.0
2004-07-06,1157.07,NA
2004-07-19,1161.31,NA
2004-08-01,NA,1220000000000.0
2004-08-04,1166.51,NA
2004-08-20,1171.69,NA
2004-09-01,NA,1290000000000.0
2004-09-06,1177.22,NA
2004-09-21,1182.09,NA
2004-10-01,NA,1500000000000.0
2004-10-07,1187.29,NA
2004-10-25,1193.17,NA
2004-11-01,NA,1540000000000.0
2004-11-08,1197.76,NA
2004-11-24,1203.05,NA
2004-12-01,NA,1690000000000.0
2004-12-10,1208.37,NA
2004-12-27,1214.04,NA
2005-01-01,NA,1960000000000.0
2005-01-11,1219.04,NA
2005-01-27,1224.4,NA
2005-02-01,NA,1950000000000.0
2005-02-14,1229.78,NA
2005-02-28,1232.71,NA
2005-03-01,NA,2009999999999.9998
2005-03-16,1240.7,NA
2005-04-01,1246.17,2029999999999.9998
2005-04-18,1251.99,NA
2005-05-01,NA,2290000000000.0
2005-05-03,1257.15,NA
2005-05-19,1262.72,NA
2005-06-01,NA,2240000000000.0
2005-06-06,1269.01,NA
2005-06-20,1273.91,NA
2005-07-01,NA,2410000000000.0
2005-07-07,1279.89,NA
2005-07-22,1285.19,NA
2005-08-01,NA,2280000000000.0
2005-08-08,1291.23,NA
2005-08-23,1296.54,NA
2005-09-01,NA,1240000000000.0
2005-09-08,1040.99,NA
2005-09-26,1045.23,NA
2005-10-01,NA,1150000000000.0
2005-10-10,1096.48,NA
2005-10-26,1096.65,NA
2005-11-01,NA,1090000000000.0001
2005-11-11,1100.98,NA
2005-11-28,1100.07,NA
2005-12-01,NA,1020000000000.0
2005-12-13,1100.8,NA
2005-12-29,1103.14,NA
2006-01-01,NA,960000000000.0
2006-01-16,1106.32,NA
2006-01-30,1111.11,NA
2006-02-01,NA,910000000000.0
2006-02-15,1118.85,NA
2006-03-01,NA,910000000000.0
2006-03-03,1135.05,NA
2006-03-20,1174.87,NA
2006-04-01,NA,880000000000.0
2006-04-04,1216.69,NA
2006-04-20,1247.85,NA
2006-05-01,NA,820000000000.0
2006-05-08,1259.08,NA
2006-05-22,1263.05,NA
2006-06-01,NA,770000000000.0
