tanggal,NAV,AUM
2005-03-28,1008.59,NA
2005-04-01,NA,179100000000.0
2005-04-11,1012.74,NA
2005-04-25,1016.74,NA
2005-05-01,NA,257390000000.0
2005-05-09,1020.75,NA
2005-05-25,1025.6,NA
2005-06-01,NA,366530000000.0
2005-06-08,1029.92,NA
2005-06-23,1034.55,NA
2005-07-01,NA,600000000000.0
2005-07-07,1038.84,NA
2005-07-22,1043.4,NA
2005-08-01,NA,680000000000.0
2005-08-08,1048.47,NA
2005-08-22,1052.6,NA
2005-09-01,NA,710000000000.0
2005-09-05,1056.83,NA
2005-09-20,1061.62,NA
2005-10-01,NA,590000000000.0
2005-10-05,1066.42,NA
2005-10-20,1071.27,NA
2005-11-01,NA,520000000000.0
2005-11-09,1077.93,NA
2005-11-18,1081.0,NA
2005-12-01,NA,468490000000.0
2005-12-05,1087.0,NA
2005-12-19,1092.13,NA
2006-01-01,NA,370740000000.0
2006-01-02,1097.38,NA
2006-01-17,1103.02,NA
2006-02-01,1108.61,310510000000.0
2006-02-15,1113.94,NA
2006-03-01,NA,317540000000.0
2006-03-02,1119.75,NA
2006-03-17,1125.78,NA
2006-04-01,NA,306210000000.0
2006-04-03,1132.55,NA
2006-04-17,1136.49,NA
2006-05-01,1142.39,316030000000.0
2006-05-16,1147.98,NA
2006-05-30,1152.89,NA
2006-06-01,NA,400580000000.0
2006-06-14,1160.8,NA
2006-06-29,1167.12,NA
2006-07-01,NA,384850000000.0
2006-07-14,1173.42,NA
2006-07-31,1179.7,NA
2006-08-01,NA,490210000000.0
2006-08-14,1185.6,NA
2006-08-28,1191.55,NA
2006-09-01,NA,520000000000.0
2006-09-11,1197.51,NA
2006-09-26,1205.2,NA
2006-10-01,NA,910000000000.0
2006-10-11,1211.62,NA
2006-10-30,1215.91,NA
2006-11-01,NA,740000000000.0
2006-11-10,1224.93,NA
2006-11-27,1232.11,NA
2006-12-01,NA,800000000000.0
2006-12-11,1237.84,NA
2006-12-26,1243.96,NA
2007-01-01,NA,830000000000.0
