tanggal,NAV,AUM,currency
2015-03-23,1001.44,NA,IDR
2015-03-30,1005.22,NA,IDR
2015-04-06,1003.91,NA,IDR
2015-04-13,1009.05,NA,IDR
2015-04-21,998.08,NA,IDR
2015-04-28,989.5,NA,IDR
2015-05-05,985.58,NA,IDR
2015-05-13,969.27,NA,IDR
2015-05-20,976.83,NA,IDR
2015-05-27,972.36,NA,IDR
2015-06-04,965.71,NA,IDR
2015-06-11,942.07,NA,IDR
2015-06-19,949.19,NA,IDR
2015-06-26,962.88,NA,IDR
2015-07-03,968.77,NA,IDR
2015-07-13,968.15,NA,IDR
2015-07-22,966.88,NA,IDR
2015-07-27,967.85,NA,IDR
2015-08-03,952.21,NA,IDR
2015-08-10,956.05,NA,IDR
2015-08-18,946.22,NA,IDR
2015-08-24,933.06,NA,IDR
2015-09-01,940.7,NA,IDR
2015-09-08,926.99,NA,IDR
2015-09-15,918.27,NA,IDR
2015-09-23,919.67,NA,IDR
2015-09-30,898.83,NA,IDR
2015-10-07,961.01,NA,IDR
2015-10-15,960.65,NA,IDR
2015-10-22,951.79,NA,IDR
2015-10-30,953.69,NA,IDR
2015-11-06,963.22,NA,IDR
2015-11-13,966.91,NA,IDR
2015-11-23,969.98,NA,IDR
2015-11-30,975.12,NA,IDR
2015-12-07,978.29,NA,IDR
2015-12-14,959.86,NA,IDR
2015-12-21,968.83,NA,IDR
2015-12-28,968.74,NA,IDR
2016-01-04,968.38,NA,IDR
2016-01-12,972.78,NA,IDR
2016-01-19,980.24,NA,IDR
2016-01-26,989.96,NA,IDR
2016-02-03,1008.51,NA,IDR
2016-02-10,1015.6,NA,IDR
2016-02-17,1018.08,NA,IDR
2016-02-25,1003.78,NA,IDR
2016-03-03,1017.39,NA,IDR
2016-03-11,1033.52,NA,IDR
2016-03-18,1041.33,NA,IDR
2016-03-28,1037.94,NA,IDR
2016-04-04,1051.85,NA,IDR
2016-04-11,1063.43,NA,IDR
2016-04-18,1074.24,NA,IDR
2016-04-25,1069.13,NA,IDR
2016-05-02,1063.07,NA,IDR
2016-05-09,1062.07,NA,IDR
2016-05-16,1063.8,NA,IDR
2016-05-24,1053.39,NA,IDR
2016-05-31,1060.09,NA,IDR
2016-06-07,1069.35,NA,IDR
2016-06-15,1074.11,NA,IDR
2016-06-22,1074.59,NA,IDR
2016-06-29,1081.94,NA,IDR
2016-07-11,1107.89,NA,IDR
2016-07-14,1109.34,NA,IDR
2016-07-22,1114.68,NA,IDR
2016-07-29,1122.1,NA,IDR
2016-08-05,1125.7,NA,IDR
2016-08-15,1129.97,NA,IDR
2016-08-22,1128.69,NA,IDR
2016-08-29,1119.93,NA,IDR
2016-09-05,1129.77,NA,IDR
2016-09-13,1128.91,NA,IDR
2016-09-19,1128.83,NA,IDR
2016-09-26,1135.97,NA,IDR
2016-10-04,1133.68,NA,IDR
2016-10-11,1128.08,NA,IDR
2016-10-18,1128.33,NA,IDR
2016-10-26,1128.75,NA,IDR
2016-11-02,1117.89,NA,IDR
2016-11-10,1108.86,NA,IDR
2016-11-17,1083.11,NA,IDR
2016-11-24,1068.89,NA,IDR
2016-12-02,1075.0,NA,IDR
2016-12-09,1098.8,NA,IDR
2016-12-16,1083.23,NA,IDR
2016-12-27,1089.21,NA,IDR
2017-01-03,1088.23,NA,IDR
2017-01-09,1097.96,NA,IDR
2017-01-16,1105.74,NA,IDR
2017-01-23,1109.34,NA,IDR
2017-01-30,1107.43,NA,IDR
2017-02-06,1108.67,NA,IDR
2017-02-14,1113.85,NA,IDR
2017-02-21,1113.85,NA,IDR
2017-02-28,1116.65,NA,IDR
2017-03-08,1128.2,NA,IDR
2017-03-15,1127.66,NA,IDR
2017-03-23,1143.04,NA,IDR
2017-03-30,1148.94,NA,IDR
2017-04-06,1154.1,NA,IDR
2017-04-17,1155.39,NA,IDR
2017-04-21,1155.22,NA,IDR
2017-04-28,1159.36,NA,IDR
2017-05-08,1159.29,NA,IDR
2017-05-15,1158.24,NA,IDR
2017-05-22,1166.1,NA,IDR
2017-05-29,1168.43,NA,IDR
2017-06-05,1171.21,NA,IDR
2017-06-12,1173.64,NA,IDR
2017-06-19,1179.74,NA,IDR
