tanggal,NAV,AUM,currency
2013-07-10,1000.12,NA,IDR
2013-07-18,1001.07,NA,IDR
2013-07-29,1002.29,NA,IDR
2013-08-05,1001.29,NA,IDR
2013-08-13,1002.4,NA,IDR
2013-08-22,1003.21,NA,IDR
2013-09-02,1004.92,NA,IDR
2013-09-09,1005.91,NA,IDR
2013-09-17,1007.07,NA,IDR
2013-09-26,1008.41,NA,IDR
2013-10-04,1009.75,NA,IDR
2013-10-16,1011.72,NA,IDR
2013-10-22,1012.89,NA,IDR
2013-10-30,1014.4,NA,IDR
2013-11-08,1015.69,NA,IDR
2013-11-18,1017.33,NA,IDR
2013-11-25,1018.47,NA,IDR
2013-12-04,1020.03,NA,IDR
2013-12-13,1021.72,NA,IDR
2013-12-23,1023.68,NA,IDR
2013-12-30,1025.08,NA,IDR
2014-01-08,1026.75,NA,IDR
2014-01-16,1028.56,NA,IDR
2014-01-27,1030.77,NA,IDR
2014-02-03,1032.12,NA,IDR
2014-02-11,1033.94,NA,IDR
2014-02-20,1036.19,NA,IDR
2014-03-03,1038.7,NA,IDR
2014-03-10,1040.19,NA,IDR
2014-03-18,1041.77,NA,IDR
2014-03-27,1043.8,NA,IDR
2014-04-04,1045.39,NA,IDR
2014-04-14,1047.94,NA,IDR
2014-04-22,1049.42,NA,IDR
2014-04-30,1050.79,NA,IDR
2014-05-09,1052.5,NA,IDR
2014-05-19,1054.73,NA,IDR
2014-05-26,1055.97,NA,IDR
2014-06-04,1057.86,NA,IDR
2014-06-12,1059.42,NA,IDR
2014-06-23,1061.65,NA,IDR
2014-06-30,1062.96,NA,IDR
2014-07-08,1065.05,NA,IDR
2014-07-17,1066.86,NA,IDR
2014-08-04,1070.68,NA,IDR
2014-08-12,1072.28,NA,IDR
2014-08-21,1074.14,NA,IDR
2014-08-29,1075.85,NA,IDR
2014-09-08,1077.95,NA,IDR
2014-09-16,1079.58,NA,IDR
2014-09-24,1081.32,NA,IDR
2014-10-03,1083.2,NA,IDR
2014-10-13,1085.37,NA,IDR
2014-10-20,1086.87,NA,IDR
2014-10-29,1088.87,NA,IDR
2014-11-07,1090.66,NA,IDR
2014-11-17,1092.77,NA,IDR
2014-11-24,1094.24,NA,IDR
2014-12-03,1096.32,NA,IDR
2014-12-11,1098.1,NA,IDR
