tanggal,NAV,AUM,currency
2013-06-05,976.36,NA,IDR
2013-06-14,932.62,NA,IDR
2013-06-24,865.02,NA,IDR
2013-07-01,926.33,NA,IDR
2013-07-10,877.0,NA,IDR
2013-07-18,945.46,NA,IDR
2013-07-29,913.08,NA,IDR
2013-08-12,925.67,NA,IDR
2013-08-14,936.95,NA,IDR
2013-08-22,830.24,NA,IDR
2013-09-02,832.52,NA,IDR
2013-09-09,861.04,NA,IDR
2013-09-18,928.34,NA,IDR
2013-09-26,922.72,NA,IDR
2013-10-07,913.4,NA,IDR
2013-10-16,955.95,NA,IDR
2013-10-22,952.56,NA,IDR
2013-10-31,950.59,NA,IDR
2013-11-11,944.04,NA,IDR
2013-11-18,937.01,NA,IDR
2013-11-26,911.29,NA,IDR
2013-12-05,908.05,NA,IDR
2013-12-16,887.62,NA,IDR
2013-12-23,902.14,NA,IDR
2014-01-02,928.06,NA,IDR
2014-01-09,925.6,NA,IDR
2014-01-20,964.87,NA,IDR
2014-01-27,954.9,NA,IDR
2014-02-04,968.3,NA,IDR
2014-02-13,999.71,NA,IDR
2014-02-24,1021.91,NA,IDR
2014-03-03,1020.15,NA,IDR
2014-03-11,1040.98,NA,IDR
2014-03-20,1039.19,NA,IDR
2014-04-01,1066.73,NA,IDR
2014-04-07,1076.37,NA,IDR
2014-04-15,1060.28,NA,IDR
2014-04-24,1072.16,NA,IDR
2014-05-05,1078.95,NA,IDR
2014-05-12,1093.14,NA,IDR
2014-05-20,1070.97,NA,IDR
2014-05-30,1073.96,NA,IDR
2014-06-06,1079.57,NA,IDR
2014-06-16,1071.33,NA,IDR
2014-06-24,1069.5,NA,IDR
2014-07-03,1078.24,NA,IDR
2014-07-11,1103.29,NA,IDR
2014-07-21,1118.66,NA,IDR
2014-08-04,1114.66,NA,IDR
2014-08-07,1100.87,NA,IDR
2014-08-15,1119.42,NA,IDR
2014-08-25,1130.59,NA,IDR
2014-09-02,1133.78,NA,IDR
2014-09-11,1138.9,NA,IDR
2014-09-19,1160.69,NA,IDR
2014-09-29,1153.0,NA,IDR
2014-10-07,1132.12,NA,IDR
2014-10-15,1122.66,NA,IDR
2014-10-24,1147.37,NA,IDR
2014-11-03,1159.85,NA,IDR
2014-11-11,1141.92,NA,IDR
2014-11-19,1165.53,NA,IDR
2014-11-28,1172.57,NA,IDR
2014-12-08,1160.82,NA,IDR
2014-12-16,1132.43,NA,IDR
2014-12-24,1166.35,NA,IDR
2015-01-02,1188.08,NA,IDR
2015-01-12,1180.24,NA,IDR
2015-01-20,1168.25,NA,IDR
2015-01-28,1184.8,NA,IDR
2015-02-06,1198.86,NA,IDR
2015-02-09,1200.87,NA,IDR
2015-02-16,1183.75,NA,IDR
2015-02-23,1205.47,NA,IDR
2015-02-24,1207.92,NA,IDR
2015-03-03,1207.92,NA,IDR
2015-03-04,1201.48,NA,IDR
2015-03-11,1191.58,NA,IDR
2015-03-13,1189.3,NA,IDR
2015-03-18,1188.83,NA,IDR
2015-03-23,1194.36,NA,IDR
2015-03-26,1178.82,NA,IDR
2015-03-30,1197.22,NA,IDR
2015-04-02,1208.75,NA,IDR
2015-04-08,1213.89,NA,IDR
2015-04-10,1221.42,NA,IDR
2015-04-17,1193.37,NA,IDR
2015-04-27,1162.04,NA,IDR
2015-05-04,1148.3,NA,IDR
2015-05-11,1156.09,NA,IDR
2015-05-13,1171.32,NA,IDR
2015-05-18,1171.15,NA,IDR
2015-05-22,1186.98,NA,IDR
2015-05-25,1179.81,NA,IDR
