tanggal,NAV,AUM,currency
2013-06-05,1003.12,NA,IDR
2013-06-14,995.85,NA,IDR
2013-06-24,986.66,NA,IDR
2013-07-01,992.92,NA,IDR
2013-07-10,962.55,NA,IDR
2013-07-18,971.55,NA,IDR
2013-07-29,969.47,NA,IDR
2013-08-12,983.0,NA,IDR
2013-08-14,975.74,NA,IDR
2013-08-22,941.23,NA,IDR
2013-09-02,944.35,NA,IDR
2013-09-09,926.06,NA,IDR
2013-09-18,956.56,NA,IDR
2013-09-26,965.26,NA,IDR
2013-10-07,966.95,NA,IDR
2013-10-16,989.06,NA,IDR
2013-10-22,1015.27,NA,IDR
2013-10-31,1011.07,NA,IDR
2013-11-11,962.91,NA,IDR
2013-11-18,953.98,NA,IDR
2013-11-26,943.81,NA,IDR
2013-12-05,932.46,NA,IDR
2013-12-16,942.39,NA,IDR
2013-12-23,944.35,NA,IDR
2014-01-02,950.96,NA,IDR
2014-01-09,926.53,NA,IDR
2014-01-20,956.13,NA,IDR
2014-01-27,930.9,NA,IDR
2014-02-04,935.88,NA,IDR
2014-02-13,954.39,NA,IDR
2014-02-24,972.3,NA,IDR
2014-03-03,986.24,NA,IDR
2014-03-11,1003.88,NA,IDR
2014-03-20,1003.22,NA,IDR
2014-04-01,1028.71,NA,IDR
2014-04-07,1028.72,NA,IDR
2014-04-15,1030.91,NA,IDR
2014-04-24,1027.67,NA,IDR
2014-05-05,1034.31,NA,IDR
2014-05-12,1033.36,NA,IDR
2014-05-20,1035.28,NA,IDR
2014-05-30,1034.89,NA,IDR
2014-06-06,1037.8,NA,IDR
2014-06-16,1036.88,NA,IDR
2014-06-24,1030.75,NA,IDR
2014-07-03,1034.87,NA,IDR
2014-07-11,1039.55,NA,IDR
2014-07-21,1044.42,NA,IDR
2014-08-04,1043.36,NA,IDR
2014-08-07,1038.37,NA,IDR
2014-08-15,1044.03,NA,IDR
2014-08-25,1047.01,NA,IDR
2014-09-02,1053.73,NA,IDR
2014-09-11,1062.94,NA,IDR
2014-09-19,1060.62,NA,IDR
2014-09-29,1051.58,NA,IDR
2014-10-07,1049.59,NA,IDR
2014-10-15,1059.21,NA,IDR
2014-10-24,1076.17,NA,IDR
2014-11-03,1078.43,NA,IDR
2014-11-11,1075.21,NA,IDR
2014-11-19,1083.62,NA,IDR
2014-11-28,1096.22,NA,IDR
2014-12-08,1091.95,NA,IDR
2014-12-16,1048.9,NA,IDR
2014-12-24,1098.2,NA,IDR
2015-01-02,1108.15,NA,IDR
2015-01-12,1115.09,NA,IDR
2015-01-20,1133.34,NA,IDR
2015-01-28,1158.63,NA,IDR
2015-02-06,1169.17,NA,IDR
2015-02-09,1162.84,NA,IDR
2015-02-16,1149.5,NA,IDR
2015-02-23,1167.47,NA,IDR
2015-02-24,1167.74,NA,IDR
2015-03-03,1173.71,NA,IDR
2015-03-04,1159.63,NA,IDR
2015-03-11,1120.39,NA,IDR
2015-03-13,1146.81,NA,IDR
2015-03-18,1148.47,NA,IDR
2015-03-23,1153.79,NA,IDR
2015-03-26,1159.24,NA,IDR
2015-03-30,1153.47,NA,IDR
2015-04-02,1156.17,NA,IDR
2015-04-08,1163.73,NA,IDR
2015-04-10,1167.09,NA,IDR
2015-04-17,1149.87,NA,IDR
2015-04-27,1140.21,NA,IDR
2015-05-04,1134.95,NA,IDR
2015-05-11,1108.57,NA,IDR
2015-05-13,1118.1,NA,IDR
2015-05-18,1121.64,NA,IDR
2015-05-22,1121.77,NA,IDR
2015-05-25,1117.84,NA,IDR
2015-06-01,1111.92,NA,IDR
2015-06-08,1077.31,NA,IDR
2015-06-09,1083.77,NA,IDR
2015-06-16,1083.6,NA,IDR
2015-06-17,1086.11,NA,IDR
2015-06-24,1119.84,NA,IDR
2015-06-26,1113.93,NA,IDR
2015-07-01,1115.2,NA,IDR
2015-07-06,1116.75,NA,IDR
2015-07-08,1093.77,NA,IDR
2015-07-13,1115.62,NA,IDR
2015-07-22,1111.03,NA,IDR
2015-07-23,1114.06,NA,IDR
2015-07-31,1093.03,NA,IDR
2015-08-07,1096.09,NA,IDR
2015-08-10,1097.75,NA,IDR
2015-08-18,1080.56,NA,IDR
2015-08-24,1054.43,NA,IDR
2015-08-26,1057.08,NA,IDR
2015-08-31,1070.63,NA,IDR
2015-09-04,1071.15,NA,IDR
2015-09-07,1060.7,NA,IDR
2015-09-14,1057.19,NA,IDR
2015-09-21,1074.0,NA,IDR
2015-09-29,1024.74,NA,IDR
2015-09-30,1028.62,NA,IDR
2015-10-06,1094.24,NA,IDR
2015-10-08,1088.61,NA,IDR
2015-10-15,1099.62,NA,IDR
2015-10-19,1101.32,NA,IDR
2015-10-21,1089.61,NA,IDR
2015-10-26,1100.41,NA,IDR
2015-10-29,1097.32,NA,IDR
2015-11-04,1096.44,NA,IDR
2015-11-05,1094.81,NA,IDR
2015-11-12,1100.61,NA,IDR
2015-11-13,1099.8,NA,IDR
2015-11-20,1104.5,NA,IDR
2015-11-23,1103.13,NA,IDR
2015-11-27,1108.43,NA,IDR
2015-11-30,1103.88,NA,IDR
2015-12-07,1105.36,NA,IDR
2015-12-10,1099.99,NA,IDR
2015-12-14,1070.54,NA,IDR
2015-12-17,1086.16,NA,IDR
2015-12-21,1087.35,NA,IDR
2015-12-28,1087.21,NA,IDR
2016-01-04,1083.48,NA,IDR
2016-01-11,1076.85,NA,IDR
2016-01-13,1087.29,NA,IDR
2016-01-19,1086.86,NA,IDR
2016-01-21,1090.48,NA,IDR
2016-01-26,1099.1,NA,IDR
2016-02-01,1123.72,NA,IDR
2016-02-03,1121.51,NA,IDR
2016-02-09,1129.13,NA,IDR
2016-02-10,1129.25,NA,IDR
2016-02-16,1134.18,NA,IDR
2016-02-18,1132.23,NA,IDR
2016-02-25,1121.15,NA,IDR
2016-03-04,1153.15,NA,IDR
2016-03-07,1166.01,NA,IDR
2016-03-11,1168.07,NA,IDR
2016-03-14,1172.57,NA,IDR
2016-03-21,1181.23,NA,IDR
2016-03-22,1176.83,NA,IDR
2016-03-28,1173.73,NA,IDR
2016-03-31,1185.23,NA,IDR
2016-04-04,1194.64,NA,IDR
2016-04-11,1209.26,NA,IDR
2016-04-18,1220.18,NA,IDR
2016-04-25,1212.54,NA,IDR
2016-04-26,1212.39,NA,IDR
2016-05-02,1206.47,NA,IDR
2016-05-09,1205.28,NA,IDR
2016-05-10,1203.01,NA,IDR
2016-05-16,1207.46,NA,IDR
2016-05-17,1212.41,NA,IDR
2016-05-23,1196.03,NA,IDR
2016-05-25,1197.24,NA,IDR
2016-05-31,1204.33,NA,IDR
2016-06-01,1204.95,NA,IDR
2016-06-09,1219.35,NA,IDR
2016-06-16,1218.48,NA,IDR
2016-06-20,1218.07,NA,IDR
2016-06-24,1212.08,NA,IDR
2016-06-27,1217.15,NA,IDR
2016-07-01,1241.54,NA,IDR
2016-07-11,1258.97,NA,IDR
2016-07-14,1254.97,NA,IDR
2016-07-18,1255.8,NA,IDR
2016-07-25,1258.22,NA,IDR
2016-08-01,1273.98,NA,IDR
2016-08-08,1273.41,NA,IDR
2016-08-09,1274.18,NA,IDR
2016-08-15,1279.49,NA,IDR
2016-08-18,1279.15,NA,IDR
2016-08-23,1263.56,NA,IDR
2016-08-29,1264.05,NA,IDR
2016-08-30,1262.83,NA,IDR
2016-09-05,1278.19,NA,IDR
2016-09-06,1281.12,NA,IDR
2016-09-13,1275.38,NA,IDR
2016-09-14,1270.46,NA,IDR
2016-09-21,1277.75,NA,IDR
2016-09-22,1281.4,NA,IDR
2016-09-29,1281.22,NA,IDR
2016-09-30,1277.54,NA,IDR
2016-10-06,1278.84,NA,IDR
2016-10-10,1275.39,NA,IDR
2016-10-14,1276.48,NA,IDR
2016-10-18,1272.97,NA,IDR
2016-10-21,1271.88,NA,IDR
2016-10-27,1270.62,NA,IDR
2016-10-31,1256.19,NA,IDR
2016-11-04,1253.83,NA,IDR
2016-11-07,1254.43,NA,IDR
2016-11-14,1215.38,NA,IDR
2016-11-21,1211.35,NA,IDR
