tanggal,NAV,AUM
2024-06-20,1001.84,NA
2024-06-21,1014.19,NA
2024-06-24,1011.64,NA
2024-06-25,1009.52,NA
2024-06-26,1008.47,NA
2024-06-27,1018.39,NA
2024-06-28,1030.96,17050000000.0
2024-07-01,1032.18,27520000000.0
2024-07-02,1028.27,NA
2024-07-03,1029.3,NA
2024-07-04,1030.07,NA
2024-07-05,1037.51,NA
2024-07-08,1041.4,NA
2024-07-09,1046.86,NA
2024-07-10,1047.64,NA
2024-07-11,1051.67,NA
2024-07-12,1055.71,NA
2024-07-15,1047.72,NA
2024-07-16,1041.31,NA
2024-07-17,1047.6,NA
2024-07-18,1052.04,NA
2024-07-19,1048.7,NA
2024-07-22,1052.34,NA
2024-07-23,1051.02,NA
2024-07-24,1043.69,NA
2024-07-25,1040.8,NA
2024-07-26,1041.57,NA
2024-07-29,1040.56,NA
2024-07-30,1030.22,NA
2024-07-31,1036.03,NA
2024-08-01,1046.35,35520000000.0
2024-08-02,1039.21,NA
2024-08-05,1012.3,NA
2024-08-06,1020.8,NA
2024-08-07,1030.92,NA
2024-08-08,1035.48,NA
2024-08-09,1039.6,NA
2024-08-12,1043.86,NA
2024-08-13,1050.89,NA
2024-08-14,1060.84,NA
2024-08-15,1056.8,NA
2024-08-16,1062.11,NA
2024-08-19,1062.37,NA
2024-08-20,1075.86,NA
2024-08-21,1077.48,NA
2024-08-22,1064.61,NA
2024-08-23,1073.19,NA
2024-08-26,1082.05,NA
2024-08-27,1077.38,NA
2024-08-28,1084.46,NA
2024-08-29,1074.59,NA
2024-08-30,1075.71,NA
2024-09-01,NA,48540000000.0
2024-09-02,1082.01,NA
2024-09-03,1074.83,NA
2024-09-04,1073.69,NA
2024-09-05,1079.45,NA
2024-09-06,1082.66,NA
2024-09-09,1080.04,NA
2024-09-10,1086.92,NA
2024-09-11,1087.37,NA
2024-09-12,1090.3,NA
2024-09-13,1088.98,NA
2024-09-17,1095.24,NA
2024-09-18,1101.39,NA
2024-09-19,1109.85,NA
2024-09-20,1107.65,NA
2024-09-23,1118.12,NA
2024-09-24,1121.21,NA
2024-09-25,1111.45,NA
2024-09-26,1110.85,NA
2024-09-27,1105.5,NA
2024-09-30,1086.98,NA
2024-10-01,1100.35,50330000000.0
2024-10-02,1086.88,NA
2024-10-03,1083.1,NA
2024-10-04,1081.37,NA
2024-10-07,1083.78,NA
2024-10-08,1090.74,NA
2024-10-09,1083.24,NA
2024-10-10,1082.97,NA
2024-10-11,1089.16,NA
2024-10-14,1090.4,NA
2024-10-15,1097.38,NA
2024-10-16,1096.43,NA
2024-10-17,1110.44,NA
2024-10-18,1112.96,NA
2024-10-21,1115.39,NA
2024-10-22,1113.91,NA
2024-10-23,1114.55,NA
2024-10-24,1104.96,NA
2024-10-25,1099.75,NA
2024-10-28,1095.1,NA
2024-10-29,1088.29,NA
2024-10-30,1086.87,NA
2024-10-31,1083.65,NA
2024-11-01,1071.17,49520000000.0
2024-11-04,1076.83,NA
2024-11-05,1084.84,NA
2024-11-06,1063.42,NA
2024-11-07,1061.1,NA
2024-11-08,1053.29,NA
2024-11-11,1044.46,NA
2024-11-12,1045.97,NA
2024-11-13,1043.93,NA
2024-11-14,1033.75,NA
2024-11-15,1031.22,NA
2024-11-18,1026.51,NA
2024-11-19,1038.47,NA
2024-11-20,1038.31,NA
2024-11-21,1034.06,NA
2024-11-22,1043.97,NA
2024-11-25,1060.2,NA
2024-11-26,1046.8,NA
2024-11-28,1046.52,NA
2024-11-29,1036.51,NA
2024-12-01,NA,49060000000.0
2024-12-02,1022.59,NA
2024-12-03,1048.04,NA
2024-12-04,1062.22,NA
2024-12-05,1054.35,NA
2024-12-06,1054.95,NA
2024-12-09,1065.4,NA
2024-12-10,1065.15,NA
2024-12-11,1065.18,NA
2024-12-12,1051.29,NA
2024-12-13,1041.83,NA
2024-12-16,1034.48,NA
2024-12-17,1014.16,NA
2024-12-18,1004.36,NA
2024-12-19,982.8,NA
2024-12-20,983.45,NA
2024-12-23,1005.3,NA
2024-12-24,1000.13,NA
2024-12-27,1003.31,NA
2024-12-30,1006.5,49060000000.0
2025-01-02,1011.52,NA
2025-01-03,1016.58,NA
2025-01-06,1006.32,NA
2025-01-07,999.21,NA
2025-01-08,1000.26,NA
2025-01-09,1000.39,NA
2025-01-10,1001.88,NA
2025-01-13,986.93,NA
2025-01-14,977.34,NA
2025-01-15,1000.33,NA
2025-01-16,1003.58,NA
2025-01-17,1007.62,NA
2025-01-20,1007.35,NA
2025-01-21,1010.91,NA
2025-01-22,1023.36,NA
2025-01-23,1023.2,NA
2025-01-24,1012.3,NA
2025-01-30,999.11,NA
2025-01-31,1010.3,NA
2025-02-03,999.52,NA
