tanggal,NAV,AUM,currency
2019-05-27,1000.7,NA,IDR
2019-05-31,999.39,NA,IDR
2019-06-01,NA,13640000000.0,IDR
2019-06-10,1013.32,NA,IDR
2019-06-12,1022.6,NA,IDR
2019-06-17,1015.03,NA,IDR
2019-06-21,1045.63,NA,IDR
2019-06-25,1043.43,NA,IDR
2019-07-01,1062.34,40250000000.0,IDR
2019-07-03,1062.06,NA,IDR
2019-07-08,1060.1,NA,IDR
2019-07-12,1069.58,NA,IDR
2019-07-16,1079.83,NA,IDR
2019-07-22,1082.41,NA,IDR
2019-07-25,1073.33,NA,IDR
2019-07-29,1065.16,NA,IDR
2019-08-01,NA,41540000000.0,IDR
2019-08-02,1066.04,NA,IDR
2019-08-07,1063.76,NA,IDR
2019-08-12,1063.79,NA,IDR
2019-08-15,1069.42,NA,IDR
2019-08-19,1063.35,NA,IDR
2019-08-26,1058.44,NA,IDR
2019-08-28,1060.59,NA,IDR
2019-09-01,NA,41760000000.0,IDR
2019-09-02,1072.83,NA,IDR
2019-09-05,1089.72,NA,IDR
2019-09-10,1078.89,NA,IDR
2019-09-16,1059.55,NA,IDR
2019-09-18,1066.85,NA,IDR
2019-09-23,1069.2,NA,IDR
2019-09-27,1062.13,NA,IDR
2019-10-01,1065.81,51930000000.0,IDR
2019-10-07,1076.72,NA,IDR
2019-10-10,1090.14,NA,IDR
2019-10-14,1084.47,NA,IDR
2019-10-18,1083.41,NA,IDR
2019-10-22,1078.89,NA,IDR
2019-10-28,1071.36,NA,IDR
2019-10-31,1071.16,NA,IDR
2019-11-01,NA,51440000000.0,IDR
2019-11-04,1067.67,NA,IDR
2019-11-08,1049.05,NA,IDR
2019-11-13,1040.92,NA,IDR
2019-11-18,1031.04,NA,IDR
2019-11-21,1032.64,NA,IDR
2019-11-25,1023.14,NA,IDR
2019-12-01,NA,54490000000.0,IDR
2019-12-02,1024.98,NA,IDR
2019-12-04,1024.54,NA,IDR
2019-12-09,1039.71,NA,IDR
2019-12-12,1038.91,NA,IDR
2019-12-17,1049.67,NA,IDR
2019-12-23,1042.63,NA,IDR
2019-12-26,1063.48,NA,IDR
2019-12-30,1066.78,NA,IDR
2020-01-01,NA,50370000000.0,IDR
2020-01-03,1075.5,NA,IDR
2020-01-07,1076.52,NA,IDR
2020-01-13,1074.86,NA,IDR
2020-01-16,1067.23,NA,IDR
2020-01-20,1054.69,NA,IDR
2020-01-24,1046.03,NA,IDR
2020-01-28,1024.4,NA,IDR
2020-02-01,NA,47670000000.0,IDR
2020-02-03,985.45,NA,IDR
2020-02-06,1009.23,NA,IDR
2020-02-07,1015.39,NA,IDR
2020-02-10,998.67,NA,IDR
2020-02-14,992.03,NA,IDR
2020-02-18,1008.89,NA,IDR
2020-02-19,1014.21,NA,IDR
2020-02-24,1002.67,NA,IDR
2020-02-25,997.17,NA,IDR
2020-02-27,975.6,NA,IDR
2020-03-01,NA,38340000000.0,IDR
2020-03-02,943.41,NA,IDR
2020-03-04,984.45,NA,IDR
2020-03-09,944.64,NA,IDR
2020-03-11,938.31,NA,IDR
2020-03-16,890.81,NA,IDR
2020-03-19,832.67,NA,IDR
2020-03-20,824.03,NA,IDR
2020-03-23,797.19,NA,IDR
2020-03-24,799.39,NA,IDR
2020-03-26,852.14,NA,IDR
2020-03-30,845.39,NA,IDR
2020-04-01,850.65,39430000000.0,IDR
2020-04-03,863.31,NA,IDR
2020-04-06,875.98,NA,IDR
2020-04-07,886.63,NA,IDR
2020-04-13,884.84,NA,IDR
2020-04-14,888.17,NA,IDR
2020-04-20,886.36,NA,IDR
2020-04-22,877.78,NA,IDR
2020-04-23,885.66,NA,IDR
2020-04-27,876.8,NA,IDR
2020-04-29,879.38,NA,IDR
2020-05-01,NA,39230000000.0,IDR
2020-05-04,875.91,NA,IDR
2020-05-05,882.69,NA,IDR
2020-05-06,880.05,NA,IDR
2020-05-11,886.71,NA,IDR
2020-05-14,870.74,NA,IDR
2020-05-18,884.28,NA,IDR
2020-05-26,880.92,NA,IDR
2020-05-27,882.1,NA,IDR
2020-05-29,884.31,NA,IDR
2020-06-01,NA,41120000000.0,IDR
2020-06-02,897.65,NA,IDR
2020-06-04,906.5,NA,IDR
2020-06-05,918.38,NA,IDR
2020-06-09,935.8,NA,IDR
2020-06-15,900.47,NA,IDR
2020-06-17,918.03,NA,IDR
2020-06-22,930.04,NA,IDR
2020-06-24,938.14,NA,IDR
2020-06-26,930.57,NA,IDR
2020-06-29,927.26,NA,IDR
2020-06-30,926.15,NA,IDR
2020-07-01,NA,44750000000.0,IDR
2020-07-02,925.31,NA,IDR
2020-07-06,937.67,NA,IDR
2020-07-08,947.34,NA,IDR
2020-07-09,953.16,NA,IDR
2020-07-13,945.31,NA,IDR
2020-07-16,951.65,NA,IDR
2020-07-17,950.42,NA,IDR
2020-07-20,952.62,NA,IDR
2020-07-21,963.69,NA,IDR
2020-07-24,1000.36,NA,IDR
2020-07-27,1024.23,NA,IDR
2020-07-28,1018.13,NA,IDR
2020-07-30,1024.31,NA,IDR
2020-08-01,NA,45110000000.0,IDR
2020-08-03,997.48,NA,IDR
2020-08-04,1005.88,NA,IDR
2020-08-07,1034.0,NA,IDR
2020-08-10,1044.15,NA,IDR
2020-08-11,1035.58,NA,IDR
2020-08-12,1031.7,NA,IDR
2020-08-18,1038.93,NA,IDR
2020-08-19,1034.11,NA,IDR
2020-08-24,1038.18,NA,IDR
2020-08-27,1051.16,NA,IDR
2020-08-31,1031.58,NA,IDR
2020-09-01,NA,41170000000.0,IDR
2020-09-02,1053.48,NA,IDR
2020-09-03,1045.19,NA,IDR
2020-09-07,1035.37,NA,IDR
2020-09-10,970.57,NA,IDR
2020-09-11,989.41,NA,IDR
2020-09-14,1016.66,NA,IDR
2020-09-15,1006.61,NA,IDR
2020-09-18,995.91,NA,IDR
2020-09-21,980.12,NA,IDR
2020-09-22,962.47,NA,IDR
2020-09-23,959.51,NA,IDR
2020-09-25,963.51,NA,IDR
2020-09-28,960.98,NA,IDR
2020-09-29,958.15,NA,IDR
2020-10-01,NA,42850000000.0,IDR
2020-10-02,978.81,NA,IDR
2020-10-05,980.11,NA,IDR
2020-10-06,983.46,NA,IDR
2020-10-07,984.66,NA,IDR
2020-10-12,999.88,NA,IDR
2020-10-14,1005.21,NA,IDR
2020-10-19,994.65,NA,IDR
2020-10-22,991.23,NA,IDR
2020-10-23,994.92,NA,IDR
2020-10-26,993.25,NA,IDR
2020-10-27,996.32,NA,IDR
2020-11-01,NA,42960000000.0,IDR
2020-11-02,986.25,NA,IDR
2020-11-05,1007.16,NA,IDR
2020-11-06,1019.31,NA,IDR
2020-11-09,1025.01,NA,IDR
2020-11-13,1030.61,NA,IDR
2020-11-17,1030.86,NA,IDR
2020-11-18,1037.61,NA,IDR
2020-11-23,1050.51,NA,IDR
2020-11-24,1052.8,NA,IDR
2020-11-26,1067.93,NA,IDR
2020-11-30,1059.88,NA,IDR
2020-12-01,NA,51900000000.0,IDR
2020-12-02,1078.97,NA,IDR
2020-12-07,1145.57,NA,IDR
2020-12-10,1150.03,NA,IDR
2020-12-14,1195.39,NA,IDR
2020-12-17,1233.69,NA,IDR
2020-12-21,1275.54,NA,IDR
2020-12-22,1245.19,NA,IDR
2020-12-28,1264.36,NA,IDR
2020-12-30,1242.15,NA,IDR
2021-01-01,NA,64410000000.0,IDR
2021-01-04,1291.8,NA,IDR
2021-01-08,1317.74,NA,IDR
2021-01-12,1328.03,NA,IDR
2021-01-18,1368.09,NA,IDR
2021-01-19,1367.9,NA,IDR
2021-01-20,1392.51,NA,IDR
2021-01-25,1388.93,NA,IDR
2021-01-27,1363.05,NA,IDR
2021-01-29,1340.82,NA,IDR
2021-02-01,1396.21,105550000000.0,IDR
2021-02-02,1379.98,NA,IDR
2021-02-03,1376.72,NA,IDR
2021-02-08,1418.85,NA,IDR
2021-02-11,1419.93,NA,IDR
2021-02-15,1447.33,NA,IDR
2021-02-18,1476.67,NA,IDR
2021-02-19,1502.29,NA,IDR
2021-02-22,1543.87,NA,IDR
2021-02-24,1515.69,NA,IDR
2021-02-26,1522.63,NA,IDR
2021-03-01,1543.84,156240000000.0,IDR
2021-03-04,1580.63,NA,IDR
2021-03-05,1573.48,NA,IDR
2021-03-08,1569.21,NA,IDR
2021-03-09,1592.9,NA,IDR
2021-03-15,1651.75,NA,IDR
2021-03-16,1630.11,NA,IDR
2021-03-17,1621.14,NA,IDR
2021-03-22,1616.33,NA,IDR
2021-03-24,1583.87,NA,IDR
2021-03-25,1565.65,NA,IDR
2021-03-29,1589.78,NA,IDR
2021-03-30,1552.36,NA,IDR
2021-03-31,1528.5,NA,IDR
2021-04-01,NA,204880000000.0,IDR
2021-04-05,1550.57,NA,IDR
2021-04-07,1596.98,NA,IDR
2021-04-08,1600.01,NA,IDR
2021-04-12,1586.99,NA,IDR
2021-04-15,1676.59,NA,IDR
2021-04-16,1706.12,NA,IDR
2021-04-19,1672.48,NA,IDR
2021-04-20,1677.62,NA,IDR
2021-04-23,1662.58,NA,IDR
2021-04-26,1646.81,NA,IDR
2021-04-27,1643.5,NA,IDR
2021-04-29,1677.15,NA,IDR
2021-04-30,1676.6,NA,IDR
2021-05-01,NA,220100000000.0,IDR
2021-05-03,1659.35,NA,IDR
2021-05-04,1661.32,NA,IDR
2021-05-07,1666.85,NA,IDR
2021-05-10,1694.03,NA,IDR
2021-05-11,1680.22,NA,IDR
2021-05-17,1624.95,NA,IDR
2021-05-19,1664.29,NA,IDR
2021-05-20,1651.5,NA,IDR
2021-05-24,1676.18,NA,IDR
2021-05-27,1751.24,NA,IDR
2021-05-28,1732.62,NA,IDR
2021-05-31,1733.55,NA,IDR
2021-06-01,NA,434130000000.0,IDR
2021-06-02,1771.57,NA,IDR
2021-06-03,1763.54,NA,IDR
2021-06-07,1805.92,NA,IDR
2021-06-10,1815.13,NA,IDR
2021-06-14,1823.81,NA,IDR
2021-06-18,1907.66,NA,IDR
2021-06-21,1950.01,NA,IDR
2021-06-22,2001.13,NA,IDR
