tanggal,NAV,AUM,currency
2019-03-25,1000.57,NA,IDR
2019-04-01,1001.63,333400000000.0,IDR
2019-04-04,1002.14,NA,IDR
2019-04-08,1002.78,NA,IDR
2019-04-12,1003.43,NA,IDR
2019-04-16,1004.11,NA,IDR
2019-04-22,1005.14,NA,IDR
2019-04-25,1005.65,NA,IDR
2019-04-29,1006.31,NA,IDR
2019-05-01,NA,335170000000.0,IDR
2019-05-06,1007.5,NA,IDR
2019-05-08,1007.85,NA,IDR
2019-05-13,1008.71,NA,IDR
2019-05-17,1009.4,NA,IDR
2019-05-21,1010.09,NA,IDR
2019-05-27,1011.13,NA,IDR
2019-05-31,1011.82,NA,IDR
2019-06-01,NA,258399999999.99997,IDR
2019-06-10,1013.55,NA,IDR
2019-06-12,1013.9,NA,IDR
2019-06-17,1014.77,NA,IDR
2019-06-21,1015.46,NA,IDR
2019-06-25,1016.23,NA,IDR
2019-07-01,1017.27,259410000000.00003,IDR
2019-07-04,1017.8,NA,IDR
2019-07-09,1018.67,NA,IDR
2019-07-15,1019.72,NA,IDR
2019-07-17,1020.07,NA,IDR
2019-07-22,1020.95,NA,IDR
2019-07-26,1021.65,NA,IDR
2019-07-30,1022.35,NA,IDR
2019-08-01,NA,286080000000.0,IDR
2019-08-05,1023.39,NA,IDR
2019-08-08,1023.91,NA,IDR
2019-08-13,1024.79,NA,IDR
2019-08-19,1025.84,NA,IDR
2019-08-21,1026.19,NA,IDR
2019-08-26,1027.07,NA,IDR
2019-08-30,1027.76,NA,IDR
2019-09-01,NA,268329999999.99997,IDR
2019-09-04,1028.62,NA,IDR
2019-09-09,1029.5,NA,IDR
2019-09-12,1030.03,NA,IDR
2019-09-17,1030.91,NA,IDR
2019-09-23,1031.97,NA,IDR
2019-09-26,1032.49,NA,IDR
2019-09-30,1035.2,NA,IDR
2019-10-01,NA,282170000000.0,IDR
2019-10-04,1035.92,NA,IDR
2019-10-09,1036.8,NA,IDR
2019-10-14,1037.67,NA,IDR
2019-10-17,1038.18,NA,IDR
2019-10-22,1039.06,NA,IDR
2019-10-28,1040.1,NA,IDR
2019-10-31,1040.62,NA,IDR
2019-11-01,NA,282540000000.0,IDR
