tanggal,NAV,AUM
2015-12-01,NA,15270000000.0
2015-12-07,994.66,NA
2015-12-14,967.49,NA
2015-12-22,997.38,NA
2015-12-28,1002.32,NA
2016-01-01,NA,15660000000.0
2016-01-04,994.92,NA
2016-01-11,987.53,NA
2016-01-18,994.55,NA
2016-01-25,1001.56,NA
2016-02-01,1023.5,26220000000.0
2016-02-05,1064.71,NA
2016-02-12,1054.18,NA
2016-02-19,1043.58,NA
2016-02-26,1052.8,NA
2016-03-01,NA,26660000000.0
2016-03-04,1077.4,NA
2016-03-11,1072.74,NA
2016-03-18,1089.68,NA
2016-03-24,1076.77,NA
2016-03-31,1082.31,NA
2016-04-01,NA,27900000000.0
2016-04-07,1087.1,NA
2016-04-14,1074.82,NA
2016-04-21,1094.02,NA
2016-04-28,1081.1,NA
2016-05-01,NA,30510000000.0
2016-05-09,1065.0,NA
2016-05-11,1079.6,NA
2016-05-18,1070.74,NA
2016-05-25,1075.48,NA
2016-06-01,1088.58,29580000000.0
2016-06-08,1100.5,NA
2016-06-15,1074.36,NA
2016-06-22,1095.03,NA
2016-06-28,1094.7,NA
2016-07-01,NA,32799999999.999996
2016-07-11,1135.71,NA
2016-07-12,1136.74,NA
2016-07-19,1144.57,NA
2016-07-26,1157.77,NA
2016-08-01,NA,36390000000.0
2016-08-02,1183.84,NA
2016-08-09,1204.2,NA
2016-08-15,1175.52,NA
2016-08-22,1199.01,NA
2016-08-29,1175.36,NA
2016-09-01,NA,37400000000.0
2016-09-05,1175.23,NA
2016-09-13,1138.93,NA
2016-09-19,1170.08,NA
2016-09-26,1175.23,NA
2016-10-01,NA,32540000000.0
2016-10-03,1200.86,NA
2016-10-10,1170.04,NA
2016-10-17,1181.48,NA
2016-10-24,1180.7,NA
2016-10-31,1172.85,NA
2016-11-01,NA,35270000000.0
2016-11-07,1162.46,NA
2016-11-14,1095.64,NA
2016-11-21,1101.43,NA
2016-11-28,1085.97,NA
2016-12-01,NA,35640000000.0
2016-12-05,1123.31,NA
2016-12-13,1129.18,NA
2016-12-19,1100.78,NA
2016-12-27,1076.2,NA
2017-01-01,NA,33520000000.000004
2017-01-03,1118.06,NA
2017-01-06,1137.02,NA
2017-01-13,1124.55,NA
2017-01-20,1118.68,NA
2017-01-27,1117.24,NA
2017-02-01,NA,32210000000.0
2017-02-03,1130.36,NA
2017-02-10,1133.43,NA
2017-02-17,1122.32,NA
2017-02-23,1121.54,NA
2017-03-01,NA,34210000000.0
2017-03-02,1123.17,NA
2017-03-09,1116.51,NA
2017-03-16,1137.1,NA
2017-03-23,1148.48,NA
2017-03-30,1148.74,NA
2017-04-01,NA,33490000000.000004
2017-04-06,1162.86,NA
2017-04-12,1154.73,NA
2017-04-20,1143.65,NA
2017-04-26,1174.4,NA
2017-05-01,NA,33520000000.000004
2017-05-03,1158.52,NA
2017-05-10,1155.45,NA
2017-05-17,1141.24,NA
2017-05-24,1159.68,NA
2017-05-30,1155.31,NA
2017-06-01,NA,31530000000.0
2017-06-06,1161.33,NA
2017-06-13,1164.7,NA
2017-06-20,1181.54,NA
2017-07-01,NA,30240000000.0
2017-07-03,1204.28,NA
2017-07-04,1195.58,NA
2017-07-11,1175.55,NA
2017-07-17,1193.12,NA
2017-07-24,1182.86,NA
2017-07-31,1184.78,NA
2017-08-01,NA,29200000000.0
2017-08-07,1159.89,NA
2017-08-14,1166.38,NA
2017-08-21,1179.46,NA
2017-08-28,1189.48,NA
2017-09-01,NA,27820000000.0
2017-09-04,1167.08,NA
2017-09-11,1177.92,NA
2017-09-18,1175.04,NA
2017-09-25,1175.76,NA
2017-10-01,NA,28190000000.0
2017-10-02,1182.56,NA
2017-10-09,1188.92,NA
2017-10-16,1196.1,NA
2017-10-23,1182.56,NA
2017-10-30,1185.57,NA
2017-11-01,NA,57190000000.0
2017-11-06,1211.47,NA
2017-11-13,1205.53,NA
2017-11-21,1207.71,NA
2017-11-27,1214.68,NA
2017-12-01,NA,59890000000.0
2017-12-04,1203.63,NA
2017-12-08,1211.84,NA
2017-12-15,1221.32,NA
2017-12-22,1246.93,NA
2017-12-29,1272.58,NA
2018-01-01,NA,61090000000.0
2018-01-05,1273.49,NA
2018-01-12,1273.45,NA
2018-01-19,1289.17,NA
2018-01-25,1304.23,NA
2018-02-01,1296.31,64080000000.0
2018-02-08,1293.58,NA
2018-02-15,1298.48,NA
2018-02-22,1294.95,NA
2018-03-01,1292.62,59520000000.0
2018-03-08,1244.15,NA
2018-03-14,1228.36,NA
2018-03-21,1199.7,NA
2018-03-28,1175.44,NA
2018-04-01,NA,53120000000.0
2018-04-04,1182.19,NA
2018-04-11,1224.93,NA
2018-04-18,1214.91,NA
2018-04-25,1169.45,NA
2018-05-01,NA,53240000000.0
2018-05-02,1147.46,NA
2018-05-08,1105.62,NA
2018-05-15,1130.12,NA
2018-05-22,1114.82,NA
2018-05-30,1158.67,NA
2018-06-01,NA,49900000000.0
2018-06-05,1178.21,NA
2018-06-20,1123.65,NA
2018-06-25,1099.61,NA
2018-07-01,NA,51650000000.0
2018-07-02,1070.57,NA
2018-07-09,1095.63,NA
2018-07-16,1106.8,NA
2018-07-23,1116.49,NA
2018-07-30,1143.75,NA
2018-08-01,NA,52660000000.0
2018-08-06,1162.79,NA
2018-08-13,1102.26,NA
2018-08-20,1109.7,NA
2018-08-27,1140.78,NA
2018-09-01,NA,52150000000.0
2018-09-03,1130.07,NA
2018-09-10,1110.21,NA
2018-09-17,1106.12,NA
2018-09-24,1112.39,NA
2018-10-01,1129.67,51010000000.0
2018-10-08,1084.93,NA
2018-10-15,1081.87,NA
2018-10-22,1106.77,NA
2018-10-29,1092.51,NA
2018-11-01,NA,52420000000.0
2018-11-05,1137.8,NA
2018-11-09,1128.11,NA
2018-11-16,1148.27,NA
2018-11-23,1138.41,NA
2018-11-30,1151.4,NA
2018-12-01,NA,53070000000.0
2018-12-07,1163.03,NA
2018-12-14,1178.16,NA
2018-12-21,1174.94,NA
2018-12-27,1176.19,NA
2019-01-01,NA,57250000000.0
2019-01-03,1178.98,NA
2019-01-10,1205.73,NA
2019-01-17,1227.37,NA
2019-01-24,1226.81,NA
2019-01-31,1239.2,NA
2019-02-01,NA,55070000000.0
2019-02-07,1234.28,NA
2019-02-13,1200.63,NA
2019-02-20,1218.32,NA
2019-02-27,1213.04,NA
2019-03-01,NA,56510000000.0
2019-03-06,1197.18,NA
2019-03-13,1186.51,NA
2019-03-20,1201.38,NA
2019-03-27,1179.19,NA
2019-04-01,NA,56440000000.0
2019-04-02,1165.62,NA
2019-04-09,1172.12,NA
2019-04-16,1171.83,NA
2019-04-23,1167.79,NA
2019-04-30,1163.82,NA
2019-05-01,NA,50840000000.0
2019-05-07,1128.07,NA
2019-05-14,1083.75,NA
2019-05-20,1052.82,NA
2019-05-27,1094.07,NA
2019-06-01,NA,52100000000.0
2019-06-10,1132.11,NA
2019-06-17,1115.24,NA
2019-06-24,1131.52,NA
2019-07-01,1149.12,46280000000.0
2019-07-08,1145.39,NA
2019-07-15,1151.63,NA
2019-07-22,1156.34,NA
2019-07-29,1131.54,NA
2019-08-01,NA,44910000000.0
2019-08-05,1101.86,NA
2019-08-12,1118.33,NA
2019-08-19,1121.87,NA
2019-08-26,1102.44,NA
2019-09-01,NA,43810000000.0
2019-09-02,1105.34,NA
2019-09-09,1116.58,NA
2019-09-16,1103.46,NA
2019-09-23,1101.5,NA
2019-09-30,1085.21,NA
2019-10-01,NA,44480000000.0
2019-10-07,1041.87,NA
2019-10-11,1067.73,NA
2019-10-18,1081.96,NA
2019-10-25,1104.89,NA
2019-11-01,1096.25,42470000000.0
2019-11-08,1089.47,NA
2019-11-15,1081.54,NA
2019-11-22,1079.83,NA
2019-11-28,1043.91,NA
2019-12-01,NA,44940000000.0
2019-12-05,1081.54,NA
2019-12-12,1087.18,NA
2019-12-19,1110.39,NA
2019-12-26,1123.11,NA
2020-01-01,NA,40670000000.0
2020-01-02,1113.02,NA
2020-01-09,1117.58,NA
2020-01-15,1118.76,NA
2020-01-22,1097.23,NA
2020-01-29,1071.17,NA
2020-02-01,NA,37000000000.0
2020-02-05,1043.92,NA
2020-02-06,1049.16,NA
2020-02-10,1030.45,NA
2020-02-12,1018.07,NA
2020-02-13,1005.69,NA
2020-02-17,1009.29,NA
2020-02-19,1028.37,NA
2020-02-21,1017.36,NA
2020-02-24,999.49,NA
2020-02-26,977.71,NA
2020-02-28,938.53,NA
2020-03-01,NA,29310000000.0
2020-03-03,949.18,NA
2020-03-09,871.84,NA
2020-03-10,886.89,NA
2020-03-16,783.24,NA
2020-03-17,741.93,NA
2020-03-18,713.72,NA
2020-03-23,651.26,NA
2020-03-24,637.8,NA
2020-03-26,709.57,NA
2020-03-30,721.09,NA
2020-03-31,743.0,NA
2020-04-01,NA,31140000000.0
2020-04-02,748.35,NA
2020-04-06,813.21,NA
