tanggal,NAV,AUM,currency
2022-05-17,1000.0,NA,IDR
2022-05-19,992.99,NA,IDR
2022-05-23,981.96,NA,IDR
2022-05-25,982.37,NA,IDR
2022-05-27,1005.75,NA,IDR
2022-05-30,1002.41,NA,IDR
2022-05-31,1029.77,NA,IDR
2022-06-01,NA,2150000000.0,IDR
2022-06-02,1009.91,NA,IDR
2022-06-06,1002.93,NA,IDR
2022-06-08,1013.18,NA,IDR
2022-06-10,983.47,NA,IDR
2022-06-13,971.26,NA,IDR
2022-06-14,976.91,NA,IDR
2022-06-16,986.25,NA,IDR
2022-06-20,985.68,NA,IDR
2022-06-23,982.97,NA,IDR
2022-06-27,975.25,NA,IDR
2022-06-29,960.99,NA,IDR
2022-07-01,942.38,3030000000.0,IDR
2022-07-04,924.2,NA,IDR
2022-07-05,939.0,NA,IDR
2022-07-07,926.18,NA,IDR
2022-07-11,933.13,NA,IDR
2022-07-13,918.87,NA,IDR
2022-07-15,927.85,NA,IDR
2022-07-18,941.04,NA,IDR
2022-07-19,947.45,NA,IDR
2022-07-21,974.37,NA,IDR
2022-07-25,966.26,NA,IDR
2022-07-27,973.4,NA,IDR
2022-07-29,976.84,NA,IDR
2022-08-01,983.22,3130000000.0,IDR
2022-08-02,992.27,NA,IDR
2022-08-04,1010.97,NA,IDR
2022-08-08,1019.26,NA,IDR
2022-08-11,1028.05,NA,IDR
2022-08-15,1013.38,NA,IDR
2022-08-18,1017.33,NA,IDR
2022-08-19,1011.02,NA,IDR
2022-08-22,1010.19,NA,IDR
2022-08-23,1015.47,NA,IDR
2022-08-25,1018.56,NA,IDR
2022-08-29,1013.73,NA,IDR
2022-08-31,1025.06,NA,IDR
2022-09-01,NA,4780000000.0,IDR
2022-09-02,1031.07,NA,IDR
2022-09-05,1040.35,NA,IDR
2022-09-06,1037.74,NA,IDR
2022-09-08,1039.13,NA,IDR
2022-09-12,1043.84,NA,IDR
2022-09-14,1049.18,NA,IDR
2022-09-16,1040.38,NA,IDR
2022-09-19,1051.9,NA,IDR
2022-09-20,1045.12,NA,IDR
2022-09-22,1048.04,NA,IDR
2022-09-26,1036.42,NA,IDR
2022-09-29,1028.29,NA,IDR
2022-10-01,NA,4800000000.0,IDR
2022-10-03,1030.74,NA,IDR
2022-10-05,1034.91,NA,IDR
2022-10-07,1021.62,NA,IDR
2022-10-10,1020.72,NA,IDR
2022-10-11,1017.92,NA,IDR
2022-10-13,1013.93,NA,IDR
2022-10-17,1010.63,NA,IDR
2022-10-19,1014.26,NA,IDR
2022-10-21,1045.12,NA,IDR
2022-10-24,1057.69,NA,IDR
2022-10-25,1053.97,NA,IDR
2022-10-27,1060.01,NA,IDR
2022-10-31,1062.81,NA,IDR
2022-11-01,NA,5310000000.0,IDR
2022-11-02,1047.77,NA,IDR
2022-11-04,1052.21,NA,IDR
2022-11-07,1061.49,NA,IDR
2022-11-08,1053.51,NA,IDR
2022-11-10,1045.27,NA,IDR
2022-11-14,1039.98,NA,IDR
2022-11-17,1037.38,NA,IDR
2022-11-21,1039.67,NA,IDR
2022-11-23,1043.29,NA,IDR
2022-11-25,1049.05,NA,IDR
2022-11-28,1049.63,NA,IDR
2022-11-29,1049.56,NA,IDR
