tanggal,NAV,AUM
2017-12-01,NA,113160000000.0
2018-01-01,NA,105640000000.0
2018-01-30,1355.21,NA
2018-02-01,NA,95990000000.0
2018-02-05,1346.53,NA
2018-02-09,1322.27,NA
2018-02-14,1343.08,NA
2018-02-21,1354.24,NA
2018-02-26,1339.98,NA
2018-03-01,NA,88140000000.0
2018-03-02,1334.79,NA
2018-03-07,1287.75,NA
2018-03-13,1293.96,NA
2018-03-19,1244.93,NA
2018-03-23,1233.38,NA
2018-03-28,1218.26,NA
2018-04-01,NA,84540000000.0
2018-04-03,1247.09,NA
2018-04-09,1270.77,NA
2018-04-13,1267.21,NA
2018-04-18,1272.96,NA
2018-04-24,1261.43,NA
2018-04-30,1225.94,NA
2018-05-01,NA,81860000000.0
2018-05-04,1194.94,NA
2018-05-09,1203.21,NA
2018-05-15,1189.6,NA
2018-05-21,1195.21,NA
2018-05-25,1229.13,NA
2018-05-30,1228.03,NA
2018-06-01,NA,78690000000.0
2018-06-05,1254.92,NA
2018-06-20,1222.57,NA
2018-06-26,1201.32,NA
2018-07-01,NA,83960000000.0
2018-07-02,1175.29,NA
2018-07-06,1171.35,NA
2018-07-11,1205.58,NA
2018-07-17,1206.4,NA
2018-07-23,1217.94,NA
2018-07-27,1236.7,NA
2018-08-01,1232.79,83010000000.0
2018-08-07,1248.51,NA
2018-08-13,1201.96,NA
2018-08-20,1211.69,NA
2018-08-23,1224.29,NA
2018-08-28,1235.68,NA
2018-09-01,NA,82110000000.0
2018-09-03,1219.67,NA
2018-09-07,1181.5,NA
2018-09-12,1178.6,NA
2018-09-18,1186.97,NA
2018-09-24,1194.25,NA
2018-09-28,1212.27,NA
2018-10-01,NA,78760000000.0
2018-10-03,1188.14,NA
2018-10-09,1185.8,NA
2018-10-15,1160.38,NA
2018-10-19,1189.13,NA
2018-10-24,1159.54,NA
2018-10-30,1171.81,NA
2018-11-01,NA,78790000000.0
2018-11-05,1183.0,NA
2018-11-09,1178.65,NA
2018-11-14,1163.85,NA
2018-11-21,1190.87,NA
2018-11-26,1199.88,NA
2018-11-30,1186.2,NA
2018-12-01,NA,82580000000.0
2018-12-05,1202.76,NA
2018-12-11,1186.85,NA
2018-12-17,1195.24,NA
2018-12-21,1208.85,NA
2018-12-26,1188.16,NA
2019-01-01,NA,84520000000.0
2019-01-02,1200.27,NA
2019-01-07,1234.53,NA
2019-01-11,1257.45,NA
2019-01-16,1271.93,NA
2019-01-21,1266.2,NA
2019-01-28,1291.92,NA
2019-02-01,1301.1,79940000000.0
2019-02-06,1306.01,NA
2019-02-11,1289.49,NA
2019-02-18,1277.29,NA
2019-02-22,1290.41,NA
2019-02-27,1290.0,NA
2019-03-01,NA,78670000000.0
2019-03-04,1285.68,NA
2019-03-11,1244.82,NA
2019-03-15,1259.67,NA
2019-03-20,1265.03,NA
2019-03-25,1243.96,NA
2019-04-01,1261.84,102330000000.0
2019-04-05,1263.59,NA
2019-04-10,1263.19,NA
2019-04-15,1253.42,NA
2019-04-22,1253.75,NA
2019-04-26,1259.79,NA
2019-05-01,NA,112780000000.0
2019-05-02,1242.48,NA
2019-05-06,1220.89,NA
2019-05-13,1183.49,NA
2019-05-17,1130.69,NA
2019-05-22,1149.21,NA
2019-05-27,1194.11,NA
2019-06-01,NA,96240000000.0
2019-06-10,1242.39,NA
2019-06-12,1243.38,NA
2019-06-17,1217.01,NA
2019-06-24,1241.95,NA
2019-06-28,1263.76,NA
2019-07-01,NA,99620000000.0
2019-07-03,1269.27,NA
2019-07-08,1265.14,NA
2019-07-15,1287.69,NA
2019-07-19,1287.91,NA
2019-07-24,1276.05,NA
2019-07-29,1266.11,NA
2019-08-01,NA,114320000000.0
2019-08-05,1247.51,NA
2019-08-09,1270.54,NA
2019-08-14,1272.32,NA
2019-08-19,1277.15,NA
2019-08-26,1265.96,NA
2019-08-30,1285.56,NA
2019-09-01,NA,107770000000.0
2019-09-04,1260.66,NA
2019-09-09,1272.95,NA
2019-09-16,1260.35,NA
2019-09-20,1259.6,NA
2019-09-25,1231.1,NA
2019-09-30,1234.59,NA
2019-10-01,NA,96350000000.0
2019-10-07,1215.54,NA
2019-10-11,1237.09,NA
2019-10-16,1249.04,NA
2019-10-21,1245.81,NA
2019-10-28,1255.02,NA
2019-11-01,1235.05,101130000000.0
2019-11-06,1247.39,NA
2019-11-11,1233.07,NA
2019-11-18,1214.21,NA
2019-11-22,1208.92,NA
2019-11-27,1189.4,NA
2019-12-01,NA,80620000000.0
2019-12-02,1205.57,NA
2019-12-09,1227.87,NA
2019-12-13,1238.22,NA
2019-12-18,1239.99,NA
2019-12-23,1244.85,NA
2019-12-30,1240.62,NA
2020-01-01,NA,65500000000.0
2020-01-03,1243.53,NA
2020-01-08,1218.25,NA
2020-01-13,1233.1,NA
2020-01-20,1214.06,NA
2020-01-24,1195.17,NA
2020-01-29,1160.89,NA
2020-02-01,NA,54750000000.0
2020-02-03,1112.99,NA
2020-02-06,1133.46,NA
2020-02-10,1118.07,NA
2020-02-13,1089.61,NA
2020-02-14,1093.74,NA
2020-02-17,1094.66,NA
2020-02-19,1110.02,NA
2020-02-21,1095.59,NA
2020-02-24,1077.23,NA
2020-02-28,1008.94,NA
2020-03-01,NA,42080000000.0
2020-03-02,998.61,NA
2020-03-03,1026.97,NA
2020-03-06,1023.2,NA
2020-03-09,947.0,NA
2020-03-10,957.09,NA
2020-03-11,935.32,NA
