tanggal,NAV,AUM
2016-08-16,2152.33,NA
2016-08-23,2133.79,NA
2016-08-29,2134.25,NA
2016-09-05,2153.49,NA
2016-09-13,2148.44,NA
2016-09-19,2149.32,NA
2016-09-23,2161.42,NA
2016-09-30,2152.82,NA
2016-10-06,2155.66,NA
2016-10-12,2146.42,NA
2016-10-19,2142.38,NA
2016-10-25,2148.66,NA
2016-10-31,2125.03,NA
2016-11-07,2121.83,NA
2016-11-14,2070.46,NA
2016-11-21,2069.83,NA
2016-11-28,2049.47,NA
2016-12-02,2063.49,NA
2016-12-08,2109.61,NA
2016-12-15,2078.15,NA
2016-12-21,2090.33,NA
2016-12-27,2089.97,NA
2017-01-03,2086.74,NA
2017-01-09,2101.82,NA
2017-01-16,2116.65,NA
2017-01-23,2121.18,NA
2017-01-30,2114.02,NA
2017-02-03,2114.23,NA
2017-02-10,2125.07,NA
2017-02-16,2124.32,NA
2017-02-22,2125.0,NA
2017-03-01,2130.13,NA
2017-03-07,2136.06,NA
2017-03-13,2138.02,NA
2017-03-20,2155.25,NA
2017-03-27,2162.01,NA
2017-04-03,2169.0,NA
2017-04-10,2163.7,NA
2017-04-17,2172.1,NA
2017-04-20,2171.26,NA
2017-04-27,2176.3,NA
2017-05-03,2178.1,NA
2017-05-09,2175.22,NA
2017-05-16,2179.26,NA
2017-05-22,2184.43,NA
2017-05-29,2186.7,NA
2017-06-05,2189.39,NA
2017-06-12,2194.01,NA
2017-06-16,2198.5,NA
2017-07-03,2200.45,NA
2017-07-05,2203.17,NA
2017-07-12,2194.52,NA
2017-07-18,2200.47,NA
2017-07-24,2205.51,NA
2017-07-31,2205.69,NA
2017-08-07,2210.7,NA
2017-08-14,2215.27,NA
2017-08-21,2218.43,NA
2017-08-25,2227.93,NA
2017-08-31,2237.78,NA
2017-09-07,2247.31,NA
2017-09-13,2253.12,NA
2017-09-19,2252.16,NA
2017-09-26,2259.84,NA
2017-10-02,2254.22,NA
2017-10-09,2250.4,NA
2017-10-16,2252.83,NA
2017-10-23,2247.3,NA
2017-10-27,2242.01,NA
2017-11-03,2252.44,NA
2017-11-09,2254.66,NA
2017-11-16,2257.85,NA
2017-11-22,2265.13,NA
2017-11-28,2267.98,NA
2017-12-05,2275.93,NA
2017-12-11,2277.65,NA
2017-12-18,2282.11,NA
2017-12-27,2289.92,NA
2018-01-02,2294.97,NA
2018-01-05,2303.71,NA
2018-01-12,2307.08,NA
2018-01-18,2310.56,NA
2018-01-24,2309.55,NA
2018-01-31,2307.37,NA
2018-02-06,2306.26,NA
2018-02-12,2307.99,NA
2018-02-19,2307.38,NA
2018-02-26,2304.72,NA
2018-03-05,2302.28,NA
2018-03-12,2293.81,NA
2018-03-16,2300.96,NA
2018-03-22,2303.22,NA
2018-03-29,2307.42,NA
2018-04-04,2310.97,NA
2018-04-10,2312.5,NA
2018-04-17,2313.32,NA
2018-04-23,2310.78,NA
2018-04-30,2301.64,NA
2018-05-07,2298.78,NA
2018-05-14,2293.42,NA
2018-05-18,2284.57,NA
2018-05-25,2284.93,NA
2018-05-31,2293.87,NA
2018-06-06,2297.54,NA
2018-06-20,2295.7,NA
2018-06-25,2292.29,NA
2018-07-02,2281.34,NA
2018-07-09,2276.98,NA
2018-07-16,2270.67,NA
2018-07-23,2262.82,NA
2018-07-27,2258.56,NA
2018-08-02,2273.31,NA
2018-08-09,2284.46,NA
2018-08-15,2277.72,NA
2018-08-21,2277.49,NA
2018-08-28,2278.31,NA
2018-09-03,2262.98,NA
2018-09-10,2249.58,NA
2018-09-17,2254.75,NA
2018-09-24,2262.47,NA
2018-09-28,2267.12,NA
2018-10-05,2269.69,NA
2018-10-11,2267.73,NA
2018-10-17,2269.66,NA
2018-10-24,2273.74,NA
2018-10-30,2274.72,NA
2018-11-05,2285.2,NA
2018-11-12,2291.32,NA
2018-11-19,2290.93,NA
2018-11-26,2293.66,NA
2018-12-03,2307.52,NA
2018-12-07,2303.98,NA
2018-12-13,2302.63,NA
2018-12-20,2307.56,NA
2018-12-26,2311.01,NA
2019-01-02,2313.09,NA
2019-01-08,2316.48,NA
2019-01-14,2316.33,NA
2019-01-21,2318.94,NA
2019-01-28,2321.87,NA
2019-02-04,2334.69,NA
2019-02-08,2338.65,NA
2019-02-15,2341.71,NA
2019-02-21,2345.14,NA
2019-02-27,2353.34,NA
2019-03-06,2359.92,NA
2019-03-12,2364.92,NA
2019-03-18,2371.39,NA
2019-03-25,2377.22,NA
2019-04-01,2381.08,NA
2019-04-08,2380.78,NA
2019-04-15,2381.71,NA
2019-04-22,2386.55,NA
2019-04-25,2382.4,NA
2019-05-02,2374.38,NA
2019-05-08,2366.55,NA
2019-05-14,2365.94,NA
2019-05-21,2367.46,NA
2019-05-27,2378.69,NA
2019-06-10,2388.29,NA
2019-06-17,2396.12,NA
2019-06-21,2409.55,NA
2019-06-28,2417.78,NA
2019-07-04,2427.64,NA
2019-07-10,2427.54,NA
2019-07-17,2443.06,NA
2019-07-23,2439.23,NA
2019-07-29,2437.14,NA
2019-08-05,2413.7,NA
2019-08-12,2434.78,NA
2019-08-19,2437.99,NA
2019-08-26,2443.84,NA
2019-08-30,2440.12,NA
2019-09-05,2444.22,NA
2019-09-12,2452.74,NA
2019-09-18,2457.94,NA
2019-09-24,2455.84,NA
2019-10-01,2459.19,NA
2019-10-07,2462.55,NA
2019-10-14,2467.76,NA
2019-10-21,2472.6,NA
2019-10-28,2482.25,NA
2019-11-01,2486.79,NA
2019-11-08,2496.26,NA
2019-11-14,2491.93,NA
2019-11-20,2496.56,NA
2019-11-27,2498.24,NA
2019-12-03,2496.55,NA
2019-12-09,2501.32,NA
2019-12-16,2496.02,NA
2019-12-23,2504.35,NA
2019-12-30,2509.69,NA
2020-01-06,2510.61,NA
2020-01-10,2529.8,NA
2020-01-16,2534.31,NA
2020-01-23,2550.26,NA
2020-01-29,2550.66,NA
2020-02-04,2555.97,NA
2020-02-06,2397.81,NA
2020-02-10,2398.98,NA
2020-02-11,2561.97,NA
2020-02-13,2407.53,NA
2020-02-17,2574.92,NA
2020-02-21,2417.83,NA
2020-02-24,2579.82,NA
2020-02-28,2396.77,NA
2020-03-02,2554.97,NA
2020-03-03,2401.31,NA
2020-03-09,2556.37,NA
2020-03-10,2395.3,NA
2020-03-16,2540.13,NA
2020-03-18,2357.05,NA
2020-03-20,2480.39,NA
2020-03-23,2308.94,NA
2020-03-26,2467.75,NA
2020-03-30,2323.97,NA
2020-04-02,2472.7,NA
2020-04-06,2313.68,NA
2020-04-08,2468.38,NA
2020-04-09,2316.04,NA
2020-04-13,2317.94,NA
2020-04-14,2478.03,NA
2020-04-17,2334.71,NA
2020-04-21,2503.67,NA
2020-04-24,2343.41,NA
2020-04-27,2497.56,NA
2020-04-28,2335.42,NA
2020-05-04,2498.84,NA
2020-05-05,2338.26,NA
2020-05-11,2494.87,NA
2020-05-13,2346.76,NA
2020-05-18,2520.17,NA
2020-05-20,2368.01,NA
2020-05-26,2535.31,NA
