tanggal,NAV,AUM
2005-03-30,NA,114290.0
2005-04-14,NA,160140.0
2005-04-29,NA,209180.0
2005-05-16,NA,282600.0
2005-05-30,NA,321710.0
2005-06-13,NA,306070.0
2005-06-27,NA,291930.0
2005-07-11,NA,281690.0
2005-07-26,NA,233670.0
2005-08-10,NA,196200.0
2005-08-25,NA,200750.0
2005-09-08,NA,36090.0
2005-09-23,NA,18330.0
2005-10-10,NA,11250.0
2005-10-24,NA,9861.51
2005-11-09,NA,10482.0
2005-11-21,NA,10560.0
2005-12-06,NA,12830.0
2005-12-20,NA,14220.0
2006-01-04,NA,16440.0
2006-01-19,NA,19430.0
2006-02-02,NA,32060.000000000004
2006-02-17,NA,37170.0
2006-03-06,NA,37840.0
2006-03-20,NA,45920.0
2006-04-03,NA,48540.0
2006-04-17,NA,63060.0
2006-05-02,NA,60040.0
2006-05-17,NA,66960.0
2006-05-31,NA,69930.0
2006-06-15,NA,59080.0
2006-06-30,NA,47100.0
2006-07-14,NA,42040.0
2006-07-31,NA,37240.0
2006-08-14,NA,34230.0
2006-08-28,NA,31310.0
2006-09-11,NA,36890.0
2006-09-26,NA,30450.0
2006-10-11,NA,31290.0
2006-10-30,NA,39720.0
2006-11-09,NA,40560.0
2006-11-24,NA,49090.0
2006-12-12,NA,114000.0
2006-12-26,NA,118810.0
2007-01-08,NA,117930.0
2007-01-22,NA,131740.0
2007-02-05,NA,132820.0
2007-02-20,NA,118600.0
2007-03-07,NA,112660.0
2007-03-22,NA,144400.0
2007-04-05,NA,217660.0
2007-04-20,NA,210740.0
2007-05-07,NA,200950.0
2007-05-21,NA,185262.0
2007-06-04,NA,154770.0
2007-06-18,NA,147920.0
2007-07-03,NA,105910.0
2007-07-17,NA,115300.0
2007-08-02,NA,105176.0
2007-08-16,NA,92560.0
2007-09-03,NA,82970.0
2007-09-14,NA,75080.0
2007-10-01,NA,76850.0
2007-10-18,NA,91180.0
2007-10-29,NA,91700.0
2007-11-12,NA,89140.0
2007-11-27,NA,72030.0
