tanggal,NAV,AUM,currency
2017-12-01,NA,31580000000.0,IDR
2018-01-01,NA,31980000000.0,IDR
2018-01-30,3092.19,NA,IDR
2018-02-01,NA,32439999999.999996,IDR
2018-02-05,3091.23,NA,IDR
2018-02-09,3083.05,NA,IDR
2018-02-14,3086.77,NA,IDR
2018-02-21,3088.55,NA,IDR
2018-02-26,3076.0,NA,IDR
2018-03-01,NA,32070000000.0,IDR
2018-03-02,3065.98,NA,IDR
2018-03-07,3044.8,NA,IDR
2018-03-13,3048.35,NA,IDR
2018-03-19,3036.04,NA,IDR
2018-03-23,3030.19,NA,IDR
2018-03-28,3029.72,NA,IDR
2018-04-01,NA,31970000000.0,IDR
2018-04-03,3044.95,NA,IDR
2018-04-09,3057.66,NA,IDR
2018-04-13,3060.37,NA,IDR
2018-04-18,3060.49,NA,IDR
2018-04-24,3055.62,NA,IDR
2018-04-30,3038.95,NA,IDR
2018-05-01,NA,31980000000.0,IDR
2018-05-04,3036.13,NA,IDR
2018-05-09,3016.78,NA,IDR
2018-05-15,3024.23,NA,IDR
2018-05-21,3018.94,NA,IDR
2018-05-25,3023.06,NA,IDR
2018-05-30,3033.6,NA,IDR
2018-06-01,NA,26660000000.0,IDR
2018-06-05,3049.5,NA,IDR
2018-06-20,3038.64,NA,IDR
2018-06-26,3013.32,NA,IDR
2018-07-01,NA,26610000000.0,IDR
2018-07-02,2990.83,NA,IDR
2018-07-06,2971.04,NA,IDR
2018-07-11,2985.96,NA,IDR
2018-07-17,2979.48,NA,IDR
2018-07-23,2965.03,NA,IDR
2018-07-27,2969.27,NA,IDR
2018-08-01,2971.31,27370000000.0,IDR
2018-08-07,3053.95,NA,IDR
2018-08-13,3054.69,NA,IDR
2018-08-20,3070.32,NA,IDR
2018-08-23,3072.79,NA,IDR
2018-08-28,3075.41,NA,IDR
2018-09-01,NA,27290000000.0,IDR
2018-09-03,3065.59,NA,IDR
2018-09-07,3046.25,NA,IDR
2018-09-12,3037.44,NA,IDR
2018-09-18,3050.59,NA,IDR
2018-09-24,3060.25,NA,IDR
2018-09-28,3068.36,NA,IDR
2018-10-01,NA,26400000000.0,IDR
2018-10-03,3062.22,NA,IDR
2018-10-09,3053.22,NA,IDR
2018-10-15,3035.65,NA,IDR
2018-10-19,3047.45,NA,IDR
2018-10-24,3048.61,NA,IDR
2018-10-30,3048.37,NA,IDR
2018-11-01,NA,26130000000.0,IDR
2018-11-05,3072.57,NA,IDR
2018-11-09,3077.56,NA,IDR
2018-11-14,3072.39,NA,IDR
2018-11-21,3071.45,NA,IDR
2018-11-26,3073.95,NA,IDR
2018-11-30,3074.98,NA,IDR
2018-12-01,NA,26490000000.0,IDR
2018-12-05,3077.85,NA,IDR
2018-12-11,3063.09,NA,IDR
2018-12-17,3071.82,NA,IDR
2018-12-21,3085.74,NA,IDR
2018-12-26,3082.14,NA,IDR
2019-01-01,NA,26900000000.0,IDR
2019-01-02,3086.82,NA,IDR
2019-01-07,3099.55,NA,IDR
2019-01-11,3096.62,NA,IDR
2019-01-16,3102.09,NA,IDR
2019-01-22,3105.86,NA,IDR
2019-01-28,3117.81,NA,IDR
2019-02-01,3134.62,26670000000.0,IDR
2019-02-06,3139.56,NA,IDR
2019-02-12,3126.29,NA,IDR
2019-02-18,3123.84,NA,IDR
2019-02-22,3131.0,NA,IDR
2019-02-27,3141.81,NA,IDR
2019-03-01,NA,26690000000.0,IDR
