tanggal,NAV,AUM
2003-11-14,1008.33,NA
2003-12-01,1006.83,1120000000.0
2003-12-16,1014.95,NA
2004-01-01,NA,4230000000.0000005
2004-01-02,1015.06,NA
2004-01-19,1021.83,NA
2004-02-01,NA,13510000000.0
2004-02-03,1022.51,NA
2004-02-17,1029.05,NA
2004-03-01,NA,31250000000.0
2004-03-04,1033.89,NA
2004-03-23,1040.98,NA
2004-04-01,NA,109680000000.0
2004-04-06,1043.53,NA
2004-04-21,1050.03,NA
2004-05-01,NA,137530000000.0
2004-05-07,1053.63,NA
2004-05-24,1058.39,NA
2004-06-01,NA,140900000000.0
2004-06-08,1061.49,NA
2004-06-23,1065.42,NA
2004-07-01,NA,114640000000.0
2004-07-09,1069.2,NA
2004-07-26,1073.86,NA
2004-08-01,NA,115780000000.0
2004-08-10,1076.84,NA
2004-08-26,1081.23,NA
2004-09-01,NA,111580000000.0
2004-09-14,1084.02,NA
2004-09-27,1087.57,NA
2004-10-01,NA,108130000000.0
2004-10-13,1093.34,NA
2004-10-28,1100.86,NA
2004-11-01,NA,175900000000.0
2004-11-22,1111.82,NA
2004-11-29,1112.91,NA
2004-12-01,NA,214290000000.0
2004-12-15,1120.9,NA
2005-01-01,NA,223500000000.0
2005-01-03,1126.68,NA
2005-01-17,1136.44,NA
2005-02-01,1145.93,253920000000.0
2005-02-17,1148.03,NA
2005-03-01,NA,224350000000.0
2005-03-07,1152.28,NA
2005-03-21,1151.2,NA
2005-04-01,NA,187340000000.0
2005-04-05,1137.0,NA
2005-04-21,1141.72,NA
2005-05-01,NA,172360000000.0
2005-05-09,1145.7,NA
2005-05-23,1148.21,NA
2005-06-01,NA,161860000000.0
2005-06-08,1150.46,NA
2005-06-24,1151.5,NA
2005-07-01,NA,135979999999.99998
2005-07-11,1147.9,NA
2005-07-25,1148.71,NA
2005-08-01,NA,70350000000.0
2005-08-10,1140.74,NA
2005-08-26,1096.6,NA
2005-09-01,NA,29160000000.0
2005-09-12,949.75,NA
2005-09-27,952.45,NA
2005-10-01,NA,29330000000.0
2005-10-13,957.26,NA
2005-10-31,961.56,NA
2005-11-01,NA,28610000000.0
2005-11-14,960.52,NA
2005-11-30,970.53,NA
2005-12-01,NA,25710000000.0
2005-12-15,977.83,NA
2006-01-01,NA,26250000000.0
2006-01-02,981.2,NA
2006-01-16,1005.91,NA
2006-02-01,1012.1,25930000000.0
2006-02-17,1026.11,NA
2006-03-01,NA,25410000000.0
2006-03-06,1054.53,NA
2006-03-21,1049.73,NA
2006-04-01,NA,25920000000.0
2006-04-06,1056.55,NA
2006-04-21,1068.43,NA
2006-05-01,NA,24600000000.0
2006-05-08,1074.77,NA
2006-05-23,1065.09,NA
2006-06-01,NA,23370000000.0
2006-06-08,1063.02,NA
2006-06-26,1064.19,NA
2006-07-01,NA,23560000000.0
2006-07-10,1080.18,NA
2006-07-26,1089.02,NA
2006-08-01,NA,23710000000.0
2006-08-11,1099.33,NA
2006-08-28,1105.45,NA
2006-09-01,NA,23100000000.0
2006-09-11,1115.92,NA
2006-09-27,1128.4,NA
2006-10-01,NA,23650000000.0
2006-10-13,1149.68,NA
2006-10-30,1161.18,NA
2006-11-01,NA,17360000000.0
2006-11-14,1163.68,NA
2006-11-30,1170.35,NA
2006-12-01,NA,16930000000.0
2006-12-18,1197.49,NA
2007-01-01,NA,17120000000.000002
2007-01-02,1207.38,NA
2007-01-16,1209.35,NA
2007-02-01,1225.88,11180000000.0
2007-02-19,1220.8,NA
2007-03-01,NA,11210000000.0
2007-03-05,1226.34,NA
2007-03-21,1234.39,NA
