tanggal,NAV,AUM,currency
2009-01-30,1000.3,NA,IDR
2009-02-11,1026.28,NA,IDR
2009-02-23,1012.13,NA,IDR
2009-03-10,1003.19,NA,IDR
2009-03-19,1024.47,NA,IDR
2009-03-31,1084.49,NA,IDR
2009-04-13,1201.55,NA,IDR
2009-04-24,1260.26,NA,IDR
2009-05-06,1447.93,NA,IDR
2009-05-18,1438.0,NA,IDR
2009-06-01,1643.51,NA,IDR
2009-06-11,1704.3,NA,IDR
2009-06-23,1553.37,NA,IDR
2009-07-06,1642.41,NA,IDR
2009-07-17,1726.3,NA,IDR
2009-07-29,1859.05,NA,IDR
2009-08-10,2007.14,NA,IDR
2009-08-21,1956.41,NA,IDR
2009-09-02,1895.38,NA,IDR
2009-09-14,1981.45,NA,IDR
2009-09-28,1979.33,NA,IDR
2009-10-08,2039.09,NA,IDR
2009-10-20,2083.39,NA,IDR
2009-11-02,1975.33,NA,IDR
2009-11-13,2028.21,NA,IDR
2009-11-25,2073.21,NA,IDR
2009-12-07,2090.14,NA,IDR
2009-12-21,2046.81,NA,IDR
2009-12-31,2117.42,NA,IDR
2010-01-12,2245.95,NA,IDR
2010-01-25,2180.51,NA,IDR
2010-02-05,2110.79,NA,IDR
2010-02-17,2172.8,NA,IDR
2010-03-01,2148.08,NA,IDR
2010-03-15,2205.38,NA,IDR
2010-03-25,2290.99,NA,IDR
2010-04-06,2380.15,NA,IDR
2010-04-19,2355.42,NA,IDR
2010-04-30,2439.97,NA,IDR
2010-05-12,2359.69,NA,IDR
2010-05-24,2115.39,NA,IDR
2010-06-07,2258.82,NA,IDR
2010-06-17,2361.14,NA,IDR
2010-06-29,2350.4,NA,IDR
2010-07-12,2364.38,NA,IDR
2010-07-23,2460.46,NA,IDR
2010-08-04,2383.05,NA,IDR
2010-08-16,2447.2,NA,IDR
2010-08-30,2481.93,NA,IDR
2010-09-15,2660.18,NA,IDR
2010-09-21,2645.6,NA,IDR
2010-10-04,2794.88,NA,IDR
2010-10-15,2827.19,NA,IDR
2010-10-27,2837.51,NA,IDR
2010-11-08,2876.85,NA,IDR
2010-11-22,2882.18,NA,IDR
2010-12-02,2793.86,NA,IDR
2010-12-14,2782.03,NA,IDR
2010-12-27,2770.08,NA,IDR
2011-01-07,2758.12,NA,IDR
2011-01-19,2676.94,NA,IDR
2011-01-31,2539.43,NA,IDR
2011-02-14,2591.87,NA,IDR
2011-02-24,2609.23,NA,IDR
2011-03-08,2683.93,NA,IDR
2011-03-21,2611.26,NA,IDR
2011-04-01,2724.72,NA,IDR
2011-04-13,2733.38,NA,IDR
2011-04-25,2755.97,NA,IDR
2011-05-09,2753.29,NA,IDR
2011-05-19,2770.1,NA,IDR
2011-05-31,2785.09,NA,IDR
2011-06-13,2725.81,NA,IDR
2011-06-24,2783.69,NA,IDR
2011-07-06,2817.47,NA,IDR
2011-07-18,2860.05,NA,IDR
2011-08-01,2951.96,NA,IDR
2011-08-11,2748.5,NA,IDR
2011-08-23,2779.71,NA,IDR
2011-09-05,2774.37,NA,IDR
2011-09-15,2697.75,NA,IDR
