tanggal,NAV,AUM
2007-09-01,NA,7450000000.0
2007-09-19,1094.61,NA
2007-10-01,NA,111700000000.0
2007-10-02,1167.47,NA
2007-10-18,1329.01,NA
2007-10-29,1356.99,NA
2007-11-01,NA,350290000000.0
2007-11-12,1444.57,NA
2007-11-23,1354.31,NA
2007-12-01,NA,352960000000.0
2007-12-06,1464.07,NA
2007-12-19,1373.11,NA
2008-01-01,NA,312580000000.0
2008-01-02,1413.11,NA
2008-01-14,1469.08,NA
2008-01-28,1354.52,NA
2008-02-01,NA,312710000000.0
2008-02-11,1352.19,NA
2008-02-22,1418.12,NA
2008-03-01,NA,330780000000.0
2008-03-06,1382.74,NA
2008-03-19,1169.2,NA
2008-04-01,1194.8,314120000000.0
2008-04-14,1156.06,NA
2008-04-28,1150.76,NA
2008-05-01,NA,333030000000.0
2008-05-12,1199.31,NA
2008-05-23,1246.27,NA
2008-06-01,NA,324880000000.0
2008-06-05,1206.91,NA
2008-06-18,1224.28,NA
2008-07-01,1245.93,279630000000.0
2008-07-14,1139.55,NA
2008-07-28,1064.23,NA
2008-08-01,NA,255010000000.0
2008-08-11,963.74,NA
2008-08-22,968.45,NA
2008-09-01,NA,206720000000.0
2008-09-04,928.51,NA
2008-09-17,777.16,NA
2008-10-01,NA,141490000000.0
2008-10-06,705.98,NA
2008-10-13,645.45,NA
2008-10-27,522.59,NA
2008-11-01,NA,138680000000.0
2008-11-10,592.52,NA
2008-11-21,517.15,NA
2008-12-01,NA,142860000000.0
2008-12-04,529.99,NA
2008-12-17,593.78,NA
2008-12-30,580.39,NA
2009-01-01,NA,144580000000.0
2009-01-12,631.47,NA
2009-01-27,597.14,NA
2009-02-01,NA,144090000000.0
2009-02-09,604.52,NA
2009-02-20,585.1,NA
2009-03-01,NA,148380000000.0
2009-03-05,578.49,NA
2009-03-18,581.7,NA
2009-03-31,609.54,NA
2009-04-01,NA,180780000000.0
2009-04-13,671.32,NA
2009-04-27,697.99,NA
2009-05-01,NA,206340000000.0
2009-05-11,858.06,NA
2009-05-22,854.37,NA
2009-06-01,NA,213610000000.0
2009-06-05,957.37,NA
2009-06-18,865.77,NA
2009-07-01,902.72,243460000000.0
2009-07-14,883.58,NA
2009-07-27,976.17,NA
2009-08-01,NA,242660000000.0
2009-08-10,1105.02,NA
2009-08-24,1101.31,NA
2009-09-01,NA,241880000000.0
2009-09-04,1050.63,NA
2009-09-17,1109.9,NA
2009-09-30,1112.85,NA
2009-10-01,NA,226720000000.0
2009-10-16,1135.21,NA
2009-10-26,1106.74,NA
2009-11-01,NA,229440000000.0
2009-11-09,1062.13,NA
2009-11-23,1108.75,NA
