tanggal,NAV,AUM,currency
2010-04-29,999.75,NA,IDR
2010-05-10,986.28,NA,IDR
2010-05-21,923.24,NA,IDR
2010-06-01,962.16,NA,IDR
2010-06-14,995.74,NA,IDR
2010-06-23,1026.84,NA,IDR
2010-07-05,1020.7,NA,IDR
2010-07-16,1086.24,NA,IDR
2010-07-27,1118.09,NA,IDR
2010-08-09,1125.48,NA,IDR
2010-08-18,1119.64,NA,IDR
2010-08-30,1129.23,NA,IDR
2010-09-15,1229.12,NA,IDR
2010-09-20,1223.29,NA,IDR
2010-10-01,1278.72,NA,IDR
2010-10-12,1282.17,NA,IDR
2010-10-25,1313.5,NA,IDR
2010-11-03,1291.4,NA,IDR
2010-11-15,1303.34,NA,IDR
2010-11-25,1319.78,NA,IDR
2010-12-06,1329.79,NA,IDR
2010-12-17,1275.32,NA,IDR
2010-12-28,1306.03,NA,IDR
2011-01-10,1243.46,NA,IDR
2011-01-19,1260.22,NA,IDR
2011-01-31,1201.93,NA,IDR
2011-02-10,1184.57,NA,IDR
2011-02-22,1223.6,NA,IDR
2011-03-07,1274.83,NA,IDR
2011-03-16,1259.73,NA,IDR
2011-03-24,NA,1298.67,IDR
2011-03-28,1293.25,NA,IDR
2011-04-04,NA,1326.27,IDR
2011-04-07,1338.99,NA,IDR
2011-04-13,NA,1337.58,IDR
2011-04-18,1335.76,NA,IDR
2011-04-25,NA,1360.03,IDR
2011-04-29,1368.23,NA,IDR
2011-05-04,NA,1373.03,IDR
2011-05-10,1364.68,NA,IDR
2011-05-16,NA,1361.58,IDR
2011-05-23,1351.05,NA,IDR
2011-05-24,NA,1350.47,IDR
2011-06-01,1371.44,NA,IDR
2011-06-03,NA,1374.14,IDR
2011-06-13,1339.83,NA,IDR
2011-06-14,NA,1352.87,IDR
2011-06-23,1366.61,NA,IDR
2011-06-24,NA,1371.95,IDR
2011-07-04,1412.39,1412.39,IDR
2011-07-14,NA,1427.56,IDR
2011-07-15,1434.71,NA,IDR
2011-07-25,NA,1465.47,IDR
2011-07-26,1487.22,NA,IDR
2011-08-04,NA,1481.33,IDR
2011-08-08,1399.45,NA,IDR
2011-08-15,NA,1442.14,IDR
2011-08-18,1465.34,NA,IDR
2011-08-24,NA,1395.56,IDR
2011-09-05,1395.33,1395.33,IDR
2011-09-08,1442.19,NA,IDR
2011-09-14,NA,1356.33,IDR
2011-09-19,1340.87,NA,IDR
2011-09-26,NA,1166.95,IDR
2011-09-30,1259.45,NA,IDR
2011-10-04,NA,1144.81,IDR
2011-10-12,1311.96,NA,IDR
2011-10-17,NA,1343.77,IDR
2011-10-24,1344.57,NA,IDR
2011-10-25,NA,1344.23,IDR
2011-11-03,1343.38,NA,IDR
2011-11-04,NA,1378.24,IDR
2011-11-14,1397.31,1397.31,IDR
2011-11-25,1308.63,1308.63,IDR
2011-12-05,NA,1364.15,IDR
2011-12-06,1352.65,NA,IDR
2011-12-15,NA,1333.23,IDR
2011-12-19,1361.36,NA,IDR
2011-12-27,NA,1359.9,IDR
2011-12-28,1350.97,NA,IDR
2012-01-05,NA,1411.83,IDR
2012-01-09,1399.29,NA,IDR
2012-01-16,NA,1402.26,IDR
2012-01-19,1430.15,NA,IDR
2012-01-25,NA,1411.53,IDR
2012-01-30,1395.34,NA,IDR
2012-02-06,NA,1409.59,IDR
2012-02-10,1396.3,NA,IDR
2012-02-15,NA,1420.21,IDR
2012-02-21,1435.46,NA,IDR
2012-02-27,NA,1379.33,IDR
2012-03-05,1442.8,NA,IDR
2012-03-06,NA,1437.85,IDR
2012-03-14,1466.53,NA,IDR
2012-03-16,NA,1452.75,IDR
2012-03-26,1445.94,NA,IDR
2012-03-27,NA,1466.72,IDR
2012-04-05,1490.63,NA,IDR
2012-04-09,NA,1477.57,IDR
2012-04-16,1470.88,1470.88,IDR
2012-04-26,NA,1483.32,IDR
2012-04-27,1476.53,NA,IDR
2012-05-07,NA,1468.69,IDR
2012-05-08,1470.12,NA,IDR
2012-05-21,1396.84,1396.84,IDR
2012-05-28,NA,1387.83,IDR
2012-05-31,1346.19,NA,IDR
2012-06-06,NA,1356.55,IDR
2012-06-11,1370.29,NA,IDR
2012-06-18,NA,1360.2,IDR
2012-06-22,1371.72,NA,IDR
2012-06-27,NA,1387.77,IDR
2012-07-03,1425.79,NA,IDR
2012-07-09,NA,1402.5,IDR
2012-07-16,1421.46,NA,IDR
2012-07-17,NA,1432.52,IDR
2012-07-25,1410.38,NA,IDR
2012-07-27,NA,1423.95,IDR
2012-08-06,1434.94,NA,IDR
2012-08-07,NA,1428.59,IDR
2012-08-16,1441.08,NA,IDR
2012-08-23,NA,1441.38,IDR
2012-08-27,1430.14,1430.14,IDR
2012-09-06,NA,1394.05,IDR
2012-09-07,1406.57,NA,IDR
2012-09-17,NA,1445.38,IDR
2012-09-18,1437.2,NA,IDR
2012-09-27,NA,1424.14,IDR
2012-10-01,1430.34,NA,IDR
2012-10-08,NA,1437.83,IDR
2012-10-10,1437.79,NA,IDR
2012-10-17,NA,1445.6,IDR
2012-10-22,1450.96,NA,IDR
2012-10-29,NA,1443.99,IDR
2012-11-01,1447.28,NA,IDR
2012-11-07,NA,1448.33,IDR
2012-11-12,1436.98,NA,IDR
2012-11-19,NA,1435.07,IDR
2012-11-23,1473.22,NA,IDR
2012-11-27,NA,1471.84,IDR
2012-12-04,1446.7,NA,IDR
2012-12-10,NA,1473.42,IDR
2012-12-17,1487.58,NA,IDR
2012-12-18,NA,1485.78,IDR
2012-12-27,1463.34,NA,IDR
2012-12-28,NA,1473.02,IDR
2013-01-07,1490.62,1490.62,IDR
2013-01-18,1509.09,1509.09,IDR
2013-01-28,NA,1485.44,IDR
2013-01-29,1494.43,NA,IDR
2013-02-07,NA,1506.45,IDR
2013-02-11,1505.58,NA,IDR
2013-02-18,NA,1539.45,IDR
2013-02-20,1543.85,NA,IDR
2013-02-28,NA,1631.15,IDR
2013-03-04,1618.82,NA,IDR
2013-03-11,NA,1661.48,IDR
2013-03-14,1637.88,NA,IDR
2013-03-20,NA,1649.18,IDR
2013-03-25,1631.61,NA,IDR
2013-04-01,NA,1689.52,IDR
2013-04-05,1674.11,NA,IDR
2013-04-10,NA,1657.73,IDR
2013-04-16,1686.16,NA,IDR
2013-04-22,NA,1714.36,IDR
2013-04-29,1728.12,NA,IDR
2013-04-30,NA,1735.56,IDR
2013-05-08,1755.55,NA,IDR
2013-05-10,NA,1764.41,IDR
2013-05-20,1807.62,NA,IDR
2013-05-21,NA,1797.66,IDR
2013-05-30,1794.12,NA,IDR
2013-05-31,NA,1763.3,IDR
2013-06-10,1650.05,1650.05,IDR
2013-06-20,NA,1604.35,IDR
2013-06-21,1561.31,NA,IDR
2013-07-01,NA,1649.49,IDR
2013-07-02,1630.54,NA,IDR
2013-07-11,NA,1588.14,IDR
2013-07-15,1587.8,NA,IDR
2013-07-22,NA,1630.95,IDR
2013-07-24,1634.55,NA,IDR
2013-07-31,NA,1609.74,IDR
2013-08-12,1608.52,1608.52,IDR
2013-08-16,1589.9,NA,IDR
2013-08-21,NA,1463.28,IDR
2013-08-27,1346.79,NA,IDR
2013-09-02,NA,1400.74,IDR
2013-09-09,1411.0,NA,IDR
2013-09-10,NA,1488.32,IDR
2013-09-18,1524.74,NA,IDR
2013-09-23,NA,1563.29,IDR
2013-09-30,1473.88,NA,IDR
2013-10-01,NA,1489.56,IDR
2013-10-10,1536.49,NA,IDR
2013-10-11,NA,1544.54,IDR
2013-10-21,1564.19,1564.19,IDR
2013-11-01,1511.13,1511.13,IDR
2013-11-11,NA,1510.33,IDR
2013-11-12,1484.64,NA,IDR
2013-11-21,NA,1470.9,IDR
2013-11-25,1470.75,NA,IDR
2013-12-02,NA,1471.93,IDR
2013-12-04,1443.1,NA,IDR
2013-12-11,NA,1448.72,IDR
2013-12-16,1399.02,NA,IDR
2013-12-23,NA,1426.42,IDR
2013-12-27,1425.74,NA,IDR
2014-01-02,NA,1477.63,IDR
2014-01-06,1440.02,NA,IDR
2014-01-13,NA,1524.94,IDR
2014-01-17,1523.49,NA,IDR
2014-01-21,NA,1534.61,IDR
2014-01-28,1497.23,NA,IDR
2014-02-03,NA,1518.62,IDR
2014-02-10,1547.68,NA,IDR
2014-02-11,NA,1551.56,IDR
2014-02-19,1598.16,NA,IDR
2014-02-21,NA,1626.91,IDR
2014-03-03,1603.72,1603.72,IDR
2014-03-13,1651.22,NA,IDR
2014-03-14,NA,1726.25,IDR
2014-03-24,NA,1646.37,IDR
2014-03-25,1647.47,NA,IDR
2014-04-03,NA,1717.75,IDR
2014-04-07,1728.22,NA,IDR
2014-04-14,NA,1695.83,IDR
2014-04-16,1702.03,NA,IDR
2014-04-24,NA,1702.72,IDR
2014-04-28,1672.01,NA,IDR
2014-05-05,NA,1689.27,IDR
2014-05-08,1699.4,NA,IDR
2014-05-14,NA,1746.85,IDR
2014-05-19,1756.63,NA,IDR
2014-05-26,NA,1717.45,IDR
2014-05-30,1685.5,NA,IDR
2014-06-04,NA,1704.52,IDR
2014-06-10,1710.38,NA,IDR
2014-06-16,NA,1688.9,IDR
2014-06-23,1669.51,NA,IDR
2014-06-24,NA,1681.35,IDR
2014-07-02,1703.0,NA,IDR
2014-07-04,NA,1697.75,IDR
2014-07-14,1754.42,NA,IDR
2014-07-15,NA,1781.03,IDR
2014-07-24,1783.25,NA,IDR
2014-07-25,NA,1775.26,IDR
2014-08-04,1783.85,1783.85,IDR
2014-08-14,NA,1796.07,IDR
2014-08-15,1786.16,NA,IDR
2014-08-25,NA,1798.29,IDR
2014-08-26,1783.99,NA,IDR
2014-09-04,NA,1791.73,IDR
2014-09-08,1799.42,NA,IDR
2014-09-15,NA,1763.11,IDR
2014-09-17,1775.61,NA,IDR
2014-09-24,NA,1776.45,IDR
2014-09-29,1761.23,NA,IDR
2014-10-06,NA,1713.11,IDR
2014-10-09,1706.51,NA,IDR
2014-10-15,NA,1703.46,IDR
2014-10-20,1736.66,NA,IDR
2014-10-27,NA,1723.29,IDR
2014-11-03,1758.15,NA,IDR
2014-11-04,NA,1751.01,IDR
2014-11-12,1755.79,NA,IDR
2014-11-17,NA,1765.85,IDR
2014-11-24,1803.86,NA,IDR
2014-11-25,NA,1792.44,IDR
2014-12-04,1815.19,NA,IDR
2014-12-05,NA,1818.61,IDR
2014-12-15,1793.97,1793.97,IDR
2014-12-29,1837.98,1837.98,IDR
2015-01-05,NA,1852.4,IDR
2015-01-06,1834.59,NA,IDR
2015-01-15,NA,1840.0,IDR
2015-01-19,1838.19,NA,IDR
2015-01-26,NA,1892.7,IDR
2015-01-28,1893.2,1893.2,IDR
2015-02-04,NA,1919.28,IDR
2015-02-05,NA,1900.23,IDR
2015-02-09,1935.58,NA,IDR
2015-02-12,NA,1928.26,IDR
2015-02-16,1916.82,1916.82,IDR
2015-02-20,1947.1,1947.1,IDR
2015-02-23,1948.67,NA,IDR
2015-02-25,NA,1962.54,IDR
2015-02-26,NA,1963.78,IDR
2015-03-02,1961.4,NA,IDR
2015-03-06,NA,1966.24,IDR
2015-03-09,NA,1933.66,IDR
2015-03-10,1947.93,NA,IDR
2015-03-13,1934.75,1934.75,IDR
2015-03-17,1944.65,NA,IDR
2015-03-18,NA,1943.74,IDR
2015-03-23,NA,1962.9,IDR
2015-03-24,1971.38,NA,IDR
2015-03-25,1959.18,NA,IDR
2015-03-30,NA,1977.59,IDR
2015-04-01,1988.06,NA,IDR
2015-04-06,1976.61,1976.61,IDR
2015-04-07,NA,1998.9,IDR
2015-04-09,1991.3,NA,IDR
2015-04-13,NA,1980.53,IDR
2015-04-15,1966.74,NA,IDR
2015-04-16,1969.82,NA,IDR
2015-04-17,NA,1962.54,IDR
2015-04-20,NA,1964.27,IDR
2015-04-24,1981.45,NA,IDR
2015-04-27,1907.24,1907.24,IDR
2015-04-28,NA,1905.19,IDR
2015-05-04,1882.19,1882.19,IDR
2015-05-07,1901.38,NA,IDR
2015-05-08,NA,1903.88,IDR
2015-05-11,1900.18,1900.18,IDR
2015-05-18,1922.65,1922.65,IDR
2015-05-25,1949.39,NA,IDR
2015-05-26,NA,1956.58,IDR
2015-05-28,NA,1924.87,IDR
2015-05-29,1914.51,NA,IDR
2015-06-01,1915.63,NA,IDR
2015-06-03,NA,1875.98,IDR
2015-06-08,1836.33,1836.33,IDR
2015-06-10,1798.69,1798.69,IDR
2015-06-15,1736.04,NA,IDR
2015-06-17,NA,1786.31,IDR
2015-06-18,NA,1789.99,IDR
2015-06-22,1798.37,NA,IDR
2015-06-23,1795.17,NA,IDR
2015-06-24,NA,1798.02,IDR
2015-06-29,NA,1763.82,IDR
2015-06-30,1772.19,NA,IDR
2015-07-02,1792.44,1792.44,IDR
2015-07-07,1784.91,NA,IDR
2015-07-08,NA,1777.32,IDR
2015-07-09,NA,1766.26,IDR
2015-07-13,1789.1,NA,IDR
2015-07-15,1765.93,NA,IDR
2015-07-22,1782.73,1782.73,IDR
2015-07-24,1759.8,1759.8,IDR
2015-07-29,NA,1697.96,IDR
2015-07-30,1694.04,NA,IDR
2015-07-31,NA,1734.38,IDR
2015-08-04,1724.27,NA,IDR
2015-08-06,1749.77,NA,IDR
2015-08-07,NA,1739.37,IDR
2015-08-10,NA,1735.28,IDR
2015-08-14,1683.83,NA,IDR
2015-08-18,1655.47,1655.47,IDR
2015-08-21,1579.41,NA,IDR
2015-08-24,NA,1517.84,IDR
2015-08-26,1543.33,NA,IDR
2015-08-28,NA,1627.4,IDR
2015-08-31,1648.41,1648.41,IDR
2015-09-07,1574.34,1574.34,IDR
2015-09-08,NA,1584.1,IDR
2015-09-14,1600.77,1600.77,IDR
2015-09-17,1597.05,NA,IDR
2015-09-18,NA,1588.92,IDR
2015-09-21,1587.87,1587.87,IDR
2015-09-28,1478.56,1478.56,IDR
2015-10-05,1580.95,1580.95,IDR
2015-10-08,NA,1646.03,IDR
2015-10-09,1684.55,NA,IDR
2015-10-13,1633.6,1633.6,IDR
2015-10-19,NA,1685.38,IDR
2015-10-20,1691.12,1691.12,IDR
2015-10-27,NA,1730.66,IDR
2015-10-28,1721.19,NA,IDR
2015-10-29,NA,1668.81,IDR
2015-11-02,1659.64,NA,IDR
2015-11-04,1716.91,1716.91,IDR
2015-11-09,NA,1683.03,IDR
2015-11-11,1664.73,1664.73,IDR
2015-11-12,1673.48,NA,IDR
2015-11-18,NA,1687.51,IDR
2015-11-19,1693.57,1693.57,IDR
2015-11-23,1699.11,NA,IDR
2015-11-26,1723.24,1723.24,IDR
