tanggal,NAV,AUM,currency
2008-11-12,1008.67,NA,IDR
2008-11-24,1010.07,NA,IDR
2008-12-09,1012.45,NA,IDR
2008-12-18,1013.47,NA,IDR
2008-12-30,1014.61,NA,IDR
2009-01-12,1016.38,NA,IDR
2009-01-27,1028.6,NA,IDR
2009-02-05,1019.28,NA,IDR
2009-02-17,1016.85,NA,IDR
2009-03-02,1020.77,NA,IDR
2009-03-13,1034.08,NA,IDR
2009-03-25,1037.17,NA,IDR
2009-04-07,1046.93,NA,IDR
2009-04-20,1048.5,NA,IDR
2009-05-01,1030.25,NA,IDR
2009-05-13,1036.23,NA,IDR
2009-05-25,1040.41,NA,IDR
2009-06-08,1050.34,NA,IDR
2009-06-18,1048.49,NA,IDR
2009-07-01,1051.5,NA,IDR
2009-07-13,1055.43,NA,IDR
2009-07-27,1061.28,NA,IDR
2009-08-06,1038.32,NA,IDR
2009-08-18,1034.96,NA,IDR
2009-08-31,1038.78,NA,IDR
2009-09-11,1042.82,NA,IDR
2009-09-24,1048.6,NA,IDR
2009-10-06,1051.55,NA,IDR
2009-10-19,1053.54,NA,IDR
2009-10-30,1051.42,NA,IDR
2009-11-11,1044.94,NA,IDR
2009-11-23,1048.92,NA,IDR
2009-12-07,1053.92,NA,IDR
2009-12-21,1057.68,NA,IDR
2009-12-30,1059.28,NA,IDR
2010-01-11,1066.12,NA,IDR
2010-01-25,1067.92,NA,IDR
2010-02-04,1047.69,NA,IDR
2010-02-16,1048.47,NA,IDR
2010-03-01,1051.1,NA,IDR
2010-03-15,1054.09,NA,IDR
2010-03-25,1057.69,NA,IDR
2010-04-06,1060.08,NA,IDR
2010-04-19,1061.81,NA,IDR
2010-04-30,1063.44,NA,IDR
2010-05-12,1047.17,NA,IDR
2010-05-25,1047.39,NA,IDR
2010-06-07,1048.08,NA,IDR
2010-06-18,1051.39,NA,IDR
2010-06-30,1054.59,NA,IDR
2010-07-12,1057.6,NA,IDR
2010-07-26,1060.41,NA,IDR
2010-08-05,1049.73,NA,IDR
2010-08-18,1049.66,NA,IDR
2010-08-30,1050.31,NA,IDR
2010-09-15,1052.72,NA,IDR
2010-09-23,1053.08,NA,IDR
2010-10-05,1056.3,NA,IDR
2010-10-18,1060.59,NA,IDR
2010-10-29,1064.25,NA,IDR
2010-11-11,1047.86,NA,IDR
2010-11-23,1055.92,NA,IDR
2010-12-06,1053.56,NA,IDR
2010-12-17,1051.11,NA,IDR
2010-12-29,1051.71,NA,IDR
2011-01-10,1058.54,NA,IDR
2011-01-24,1048.82,NA,IDR
2011-02-04,1030.87,NA,IDR
2011-02-16,1031.92,NA,IDR
2011-02-28,1034.04,NA,IDR
2011-03-14,1038.38,NA,IDR
2011-03-24,1040.73,NA,IDR
2011-04-05,1041.18,NA,IDR
2011-04-18,1044.22,NA,IDR
2011-05-02,1030.06,NA,IDR
2011-05-12,1029.76,NA,IDR
2011-05-24,1032.88,NA,IDR
2011-06-06,1034.48,NA,IDR
2011-06-17,1035.5,NA,IDR
2011-06-30,1037.4,NA,IDR
2011-07-12,1041.33,NA,IDR
2011-07-25,1043.25,NA,IDR
2011-08-05,1027.61,NA,IDR
2011-08-18,1029.54,NA,IDR
2011-09-05,1031.73,NA,IDR
2011-09-12,1032.68,NA,IDR
2011-09-22,1031.31,NA,IDR
2011-10-05,1031.36,NA,IDR
2011-10-17,1033.23,NA,IDR
2011-10-31,1035.39,NA,IDR
2011-11-10,1022.4,NA,IDR
2011-11-22,1023.99,NA,IDR
2011-12-05,1025.19,NA,IDR
2011-12-16,1025.87,NA,IDR
2011-12-29,1028.26,NA,IDR
2012-01-10,1029.84,NA,IDR
2012-01-24,1032.35,NA,IDR
2012-02-03,1020.1,NA,IDR
2012-02-15,1022.13,NA,IDR
2012-02-27,1023.36,NA,IDR
2012-03-12,1024.8,NA,IDR
2012-03-26,1026.23,NA,IDR
2012-04-04,1026.08,NA,IDR
2012-04-16,1027.68,NA,IDR
2012-04-30,1028.4,NA,IDR
2012-05-10,1019.53,NA,IDR
2012-05-22,1021.48,NA,IDR
2012-06-04,1023.02,NA,IDR
2012-06-18,1023.82,NA,IDR
2012-06-28,1024.53,NA,IDR
2012-07-10,1025.85,NA,IDR
2012-07-23,1026.63,NA,IDR
2012-08-03,1016.35,NA,IDR
2012-08-15,1016.95,NA,IDR
2012-08-27,1018.31,NA,IDR
2012-09-10,1020.47,NA,IDR
2012-09-21,1022.34,NA,IDR
2012-10-03,1024.13,NA,IDR
2012-10-15,1026.08,NA,IDR
2012-10-29,1028.52,NA,IDR
2012-11-08,1020.08,NA,IDR
2012-11-20,1022.76,NA,IDR
2012-12-03,1025.03,NA,IDR
2012-12-17,1027.37,NA,IDR
2012-12-27,1028.81,NA,IDR
2012-12-31,NA,200150.0,IDR
2013-01-08,1029.5,NA,IDR
2013-01-21,1030.94,NA,IDR
2013-01-31,NA,230611.0,IDR
2013-02-01,1020.99,NA,IDR
2013-02-14,1024.15,NA,IDR
2013-02-26,1026.28,NA,IDR
2013-02-28,NA,253480.0,IDR
2013-03-11,1028.64,NA,IDR
2013-03-22,1027.79,NA,IDR
2013-03-28,NA,206599.0,IDR
2013-04-03,1028.31,NA,IDR
2013-04-15,1029.85,NA,IDR
2013-04-29,1034.62,NA,IDR
2013-04-30,NA,211930.0,IDR
2013-05-10,1026.31,NA,IDR
2013-05-22,1027.3,NA,IDR
2013-05-31,NA,180440.0,IDR
2013-06-03,1025.75,NA,IDR
2013-06-17,1024.07,NA,IDR
2013-06-27,1020.95,NA,IDR
2013-06-28,NA,94510.0,IDR
2013-07-09,1024.29,NA,IDR
2013-07-22,1024.63,NA,IDR
2013-07-31,NA,103810.0,IDR
2013-08-12,1018.25,NA,IDR
2013-08-15,1015.78,NA,IDR
2013-08-27,1015.79,NA,IDR
2013-08-30,NA,66750.0,IDR
2013-09-09,1016.95,NA,IDR
2013-09-20,1021.79,NA,IDR
2013-09-30,NA,86230.0,IDR
2013-10-02,1021.65,NA,IDR
2013-10-16,1023.34,NA,IDR
2013-10-28,1026.93,NA,IDR
2013-10-31,NA,83780.0,IDR
2013-11-08,1017.04,NA,IDR
2013-11-20,1016.92,NA,IDR
2013-11-29,NA,68796.6,IDR
2013-12-02,1017.74,NA,IDR
2013-12-16,1021.3,NA,IDR
2013-12-27,1022.39,NA,IDR
2013-12-30,NA,68630.0,IDR
2014-01-07,1023.28,NA,IDR
2014-01-20,1026.13,NA,IDR
2014-01-30,NA,81138.2,IDR
2014-02-03,1018.17,NA,IDR
2014-02-13,1020.33,NA,IDR
2014-02-25,1022.96,NA,IDR
2014-02-28,NA,109440.0,IDR
2014-03-10,1025.01,NA,IDR
2014-03-21,1026.84,NA,IDR
2014-03-28,NA,127490.0,IDR
2014-04-02,1028.81,NA,IDR
2014-04-15,1031.32,NA,IDR
2014-04-28,1033.08,NA,IDR
2014-04-30,NA,138890.0,IDR
2014-05-09,1024.13,NA,IDR
2014-05-21,1026.37,NA,IDR
2014-05-30,NA,188910.0,IDR
2014-06-02,1028.05,NA,IDR
2014-06-16,1030.27,NA,IDR
2014-06-26,1031.03,NA,IDR
2014-06-30,NA,211340.0,IDR
2014-07-10,1033.93,NA,IDR
2014-07-21,1035.17,NA,IDR
2014-07-25,NA,325330.0,IDR
2014-08-04,1027.42,NA,IDR
2014-08-14,1028.89,NA,IDR
2014-08-26,1030.93,NA,IDR
2014-08-29,NA,273380.0,IDR
2014-09-08,1033.3,NA,IDR
2014-09-22,1035.12,NA,IDR
2014-09-30,NA,184621.0,IDR
2014-10-02,1036.25,NA,IDR
2014-10-14,1038.87,NA,IDR
2014-10-27,1041.97,NA,IDR
2014-10-31,NA,136230.0,IDR
2014-11-07,1033.64,NA,IDR
2014-11-19,1035.95,NA,IDR
2014-11-28,NA,156820.0,IDR
2014-12-01,1038.29,NA,IDR
2014-12-15,1038.22,NA,IDR
2014-12-29,1041.1,NA,IDR
2014-12-30,NA,173740.0,IDR
2015-01-07,1042.71,NA,IDR
2015-01-19,1045.85,NA,IDR
2015-01-30,NA,400230.0,IDR
2015-02-02,1039.95,NA,IDR
2015-02-10,1040.82,NA,IDR
2015-02-12,1040.27,NA,IDR
2015-02-17,1041.57,NA,IDR
2015-02-24,1043.21,NA,IDR
2015-02-25,1043.22,NA,IDR
2015-02-27,NA,1012915.0,IDR
2015-03-04,1043.79,NA,IDR
2015-03-09,1044.0,NA,IDR
2015-03-12,1043.83,NA,IDR
2015-03-19,1045.34,NA,IDR
2015-03-23,1046.53,NA,IDR
2015-03-27,1047.05,NA,IDR
2015-03-31,NA,299630.0,IDR
2015-04-02,1048.4,NA,IDR
2015-04-06,1049.22,NA,IDR
2015-04-13,1050.28,NA,IDR
2015-04-14,1050.04,NA,IDR
2015-04-20,1047.83,NA,IDR
2015-04-27,1048.31,NA,IDR
2015-04-30,NA,180621.0,IDR
2015-05-04,1041.36,NA,IDR
2015-05-08,1037.71,NA,IDR
2015-05-11,1038.16,NA,IDR
2015-05-18,1040.64,NA,IDR
2015-05-20,1040.62,NA,IDR
2015-05-26,1040.99,NA,IDR
2015-05-29,NA,425790.0,IDR
2015-06-03,1041.74,NA,IDR
2015-06-10,1041.05,NA,IDR
2015-06-15,1041.57,NA,IDR
2015-06-17,1041.86,NA,IDR
2015-06-25,1044.67,NA,IDR
2015-06-26,1045.07,NA,IDR
2015-06-30,NA,429020.0,IDR
2015-07-02,1046.29,NA,IDR
2015-07-08,1047.47,NA,IDR
2015-07-09,1046.69,NA,IDR
2015-07-22,1049.42,NA,IDR
2015-07-24,1049.13,NA,IDR
2015-07-31,NA,338380.0,IDR
2015-08-03,1040.22,NA,IDR
2015-08-10,1041.56,NA,IDR
2015-08-13,1041.61,NA,IDR
2015-08-18,1042.95,NA,IDR
2015-08-24,1042.15,NA,IDR
2015-08-26,1041.9,NA,IDR
2015-08-31,1043.11,357330.0,IDR
2015-09-07,1043.98,NA,IDR
2015-09-15,1043.76,NA,IDR
2015-09-21,1044.52,NA,IDR
2015-09-22,1043.77,NA,IDR
2015-09-30,1041.18,296970.0,IDR
2015-10-01,1042.2,NA,IDR
2015-10-07,1047.31,NA,IDR
2015-10-13,1049.36,NA,IDR
2015-10-15,1049.44,NA,IDR
2015-10-22,1049.27,NA,IDR
2015-10-26,1050.1,NA,IDR
2015-10-30,1050.58,408170.0,IDR
2015-11-06,1041.95,NA,IDR
2015-11-16,1043.82,NA,IDR
2015-11-19,1044.31,NA,IDR
2015-11-23,1045.18,NA,IDR
2015-11-30,1045.88,630000.0,IDR
2015-12-01,1046.03,NA,IDR
2015-12-07,1047.15,NA,IDR
2015-12-14,1047.68,NA,IDR
2015-12-21,1048.32,NA,IDR
2015-12-28,1049.6,NA,IDR
2015-12-30,NA,339150.0,IDR
2016-01-05,1051.01,NA,IDR
2016-01-06,1051.27,NA,IDR
2016-01-12,1052.29,NA,IDR
2016-01-18,1054.05,NA,IDR
2016-01-20,1054.29,NA,IDR
2016-01-27,1056.25,NA,IDR
2016-01-29,NA,890000.0,IDR
2016-02-01,1053.47,NA,IDR
2016-02-04,1054.02,NA,IDR
2016-02-11,1054.93,NA,IDR
2016-02-12,1055.14,NA,IDR
2016-02-19,1056.27,NA,IDR
2016-02-24,1057.29,NA,IDR
2016-02-26,1057.43,NA,IDR
2016-02-29,NA,720000.0,IDR
2016-03-07,1056.0,NA,IDR
2016-03-14,1056.94,NA,IDR
2016-03-21,1057.93,NA,IDR
2016-03-28,1058.98,NA,IDR
2016-03-31,1059.73,660000.0,IDR
2016-04-04,1056.69,NA,IDR
2016-04-11,1057.45,NA,IDR
2016-04-12,1057.66,NA,IDR
2016-04-18,1058.63,NA,IDR
2016-04-25,1059.43,NA,IDR
2016-04-26,1059.57,NA,IDR
2016-04-29,NA,660000.0,IDR
2016-05-03,1056.71,NA,IDR
2016-05-09,1057.67,NA,IDR
2016-05-11,1057.72,NA,IDR
2016-05-18,1058.35,NA,IDR
2016-05-19,1058.17,NA,IDR
2016-05-26,1058.62,NA,IDR
2016-05-31,1059.25,1170417.0,IDR
2016-06-02,1055.9,NA,IDR
2016-06-10,1056.61,NA,IDR
2016-06-13,1056.87,NA,IDR
2016-06-17,1057.41,NA,IDR
2016-06-24,1058.06,NA,IDR
2016-06-27,1058.74,NA,IDR
2016-06-30,NA,950000.0,IDR
2016-07-11,1055.65,NA,IDR
2016-07-18,1057.34,NA,IDR
2016-07-19,1057.51,NA,IDR
2016-07-25,1058.39,NA,IDR
2016-07-29,NA,1312924.0,IDR
2016-08-01,1055.92,NA,IDR
2016-08-09,1056.73,NA,IDR
2016-08-12,1057.07,NA,IDR
2016-08-16,1057.85,NA,IDR
2016-08-24,1058.29,NA,IDR
2016-08-31,1059.0,830000.0,IDR
2016-09-05,1056.41,NA,IDR
2016-09-07,1056.81,NA,IDR
2016-09-15,1057.56,NA,IDR
2016-09-19,1057.85,NA,IDR
2016-09-22,1058.35,NA,IDR
2016-09-29,1059.04,NA,IDR
2016-09-30,1059.11,1453946.0,IDR
2016-10-07,1056.21,NA,IDR
2016-10-12,1056.66,NA,IDR
2016-10-17,1057.09,NA,IDR
2016-10-24,1057.65,NA,IDR
2016-10-31,1058.6,1181111.0,IDR
2016-11-07,1056.17,NA,IDR
2016-11-14,1056.76,NA,IDR
2016-11-17,1056.16,NA,IDR
2016-11-21,1055.89,NA,IDR
2016-11-29,1056.4,NA,IDR
2016-11-30,NA,920000.0,IDR
2016-12-06,1055.33,NA,IDR
2016-12-13,1057.22,NA,IDR
2016-12-14,1056.86,NA,IDR
2016-12-21,1057.43,NA,IDR
2016-12-23,1057.76,NA,IDR
2016-12-29,1058.58,NA,IDR
2016-12-30,NA,980000.0,IDR
2017-01-05,1056.3,NA,IDR
2017-01-13,1057.65,NA,IDR
2017-01-17,1058.93,NA,IDR
2017-01-20,1059.6,NA,IDR
2017-01-27,1060.84,NA,IDR
2017-01-30,1060.86,NA,IDR
2017-01-31,NA,1450000.0,IDR
2017-02-06,1058.26,NA,IDR
2017-02-10,1059.15,NA,IDR
2017-02-13,1059.23,NA,IDR
2017-02-20,1060.2,NA,IDR
2017-02-22,1060.61,NA,IDR
2017-02-27,1061.3,NA,IDR
2017-02-28,NA,1440000.0,IDR
2017-03-06,1058.38,NA,IDR
2017-03-13,1059.31,NA,IDR
2017-03-20,1060.81,NA,IDR
2017-03-21,1061.15,NA,IDR
2017-03-29,1062.49,NA,IDR
2017-03-31,1062.92,1790000.0,IDR
2017-04-05,1060.25,NA,IDR
2017-04-12,1061.59,NA,IDR
2017-04-20,1062.5,NA,IDR
2017-04-25,1063.75,NA,IDR
2017-04-27,1064.34,NA,IDR
2017-05-05,1061.42,NA,IDR
2017-05-08,1061.6,NA,IDR
2017-05-12,1061.1,NA,IDR
2017-05-18,1062.21,NA,IDR
2017-05-22,1063.59,NA,IDR
2017-05-29,1064.24,NA,IDR
2017-05-30,1064.59,NA,IDR
2017-05-31,NA,1720000.0,IDR
2017-06-05,1062.43,NA,IDR
2017-06-12,1063.7,NA,IDR
2017-06-19,1064.85,NA,IDR
2017-06-30,NA,2120000.0,IDR
2017-07-03,1062.69,NA,IDR
2017-07-06,1062.07,NA,IDR
2017-07-11,1062.42,NA,IDR
2017-07-18,1064.05,NA,IDR
2017-07-26,1065.81,NA,IDR
2017-07-31,1065.86,1280000.0,IDR
2017-08-02,1061.96,NA,IDR
2017-08-10,1063.71,NA,IDR
2017-08-11,1064.0,NA,IDR
2017-08-18,1065.17,NA,IDR
2017-08-23,1065.94,NA,IDR
2017-08-25,1066.98,NA,IDR
2017-08-31,NA,1460000.0,IDR
2017-09-04,1066.5,NA,IDR
2017-09-11,1069.17,NA,IDR
2017-09-18,1070.62,NA,IDR
2017-09-25,1072.36,NA,IDR
2017-09-29,1072.97,NA,IDR
2017-10-02,1068.97,NA,IDR
2017-10-09,1069.41,NA,IDR
2017-10-11,1069.7,NA,IDR
2017-10-16,1070.77,NA,IDR
2017-10-23,1071.35,NA,IDR
2017-10-31,1071.34,1850000.0,IDR
2017-11-06,1068.95,NA,IDR
2017-11-07,1069.07,NA,IDR
2017-11-15,1070.42,NA,IDR
2017-11-16,1070.79,NA,IDR
2017-11-22,1071.51,NA,IDR
2017-11-29,1072.33,NA,IDR
2017-11-30,1072.69,1270000.0,IDR
2017-12-01,NA,1750000000000.0,IDR
2017-12-07,1070.37,NA,IDR
2017-12-11,1071.13,NA,IDR
2017-12-15,1071.64,NA,IDR
2017-12-22,1072.36,NA,IDR
2017-12-27,1073.4,NA,IDR
2018-01-01,NA,1550000000000.0,IDR
2018-01-02,1070.34,NA,IDR
2018-01-04,1070.58,NA,IDR
2018-01-08,1071.3,NA,IDR
2018-01-15,1072.18,NA,IDR
2018-01-16,1072.19,NA,IDR
2018-01-22,1072.69,NA,IDR
2018-01-29,1073.37,NA,IDR
2018-01-31,NA,1480000.0,IDR
2018-02-05,1070.73,NA,IDR
2018-02-09,1070.88,NA,IDR
2018-02-13,1071.68,NA,IDR
2018-02-20,1072.31,NA,IDR
2018-02-22,1072.31,NA,IDR
2018-02-28,1073.03,1160000.0,IDR
2018-03-06,1069.37,NA,IDR
2018-03-07,1069.01,NA,IDR
2018-03-14,1070.61,NA,IDR
2018-03-19,1071.13,NA,IDR
2018-03-22,1071.07,NA,IDR
2018-03-29,1072.63,NA,IDR
2018-04-01,NA,650000000000.0,IDR
2018-04-02,1070.12,NA,IDR
2018-04-06,1069.49,NA,IDR
2018-04-11,1070.23,NA,IDR
2018-04-13,1069.92,NA,IDR
2018-04-23,1070.22,NA,IDR
2018-04-30,1069.3,NA,IDR
2018-05-01,NA,690000000000.0,IDR
2018-05-07,1066.29,NA,IDR
2018-05-14,1068.7,NA,IDR
2018-05-18,1066.56,NA,IDR
2018-05-21,1066.72,NA,IDR
2018-05-28,1068.43,NA,IDR
2018-05-30,1068.15,NA,IDR
2018-06-01,NA,570000000000.0,IDR
2018-06-05,1065.4,NA,IDR
2018-06-20,1065.77,NA,IDR
2018-06-25,1067.03,NA,IDR
2018-06-27,1067.6,NA,IDR
2018-07-01,NA,880000000000.0,IDR
2018-07-05,1063.31,NA,IDR
2018-07-12,1066.55,NA,IDR
2018-07-17,1066.73,NA,IDR
2018-07-20,1067.09,NA,IDR
2018-07-27,1066.45,NA,IDR
2018-07-30,1066.38,NA,IDR
2018-07-31,NA,880850.0,IDR
2018-08-03,1064.58,NA,IDR
2018-08-13,1065.88,NA,IDR
2018-08-20,1067.06,NA,IDR
2018-08-23,1067.2,NA,IDR
2018-08-27,1067.23,NA,IDR
2018-08-31,NA,1080000.0,IDR
2018-09-03,1063.65,NA,IDR
2018-09-04,1063.37,NA,IDR
2018-09-10,1061.33,NA,IDR
2018-09-17,1062.33,NA,IDR
2018-09-25,1063.85,NA,IDR
2018-09-28,1064.52,NA,IDR
2018-10-01,NA,680000000000.0,IDR
2018-10-02,1061.52,NA,IDR
2018-10-10,1063.11,NA,IDR
2018-10-17,1064.52,NA,IDR
2018-10-22,1065.88,NA,IDR
2018-10-25,1066.63,NA,IDR
2018-11-01,1064.61,1250000000000.0,IDR
2018-11-05,1065.7,NA,IDR
2018-11-09,1066.13,NA,IDR
2018-11-16,1067.16,NA,IDR
2018-11-26,1068.44,NA,IDR
2018-11-28,1068.64,NA,IDR
2018-12-01,NA,720000000000.0,IDR
2018-12-03,1065.64,NA,IDR
2018-12-10,1065.82,NA,IDR
2018-12-17,1067.35,NA,IDR
2018-12-26,1069.3,NA,IDR
2019-01-01,NA,1140000000000.0,IDR
2019-01-02,1067.12,NA,IDR
2019-01-03,1067.19,NA,IDR
2019-01-07,1067.81,NA,IDR
2019-01-15,1068.28,NA,IDR
2019-01-22,1069.32,NA,IDR
2019-01-28,1070.24,NA,IDR
2019-01-30,1070.58,NA,IDR
2019-02-01,NA,1060000000000.0,IDR
2019-02-06,1068.53,NA,IDR
2019-02-11,1068.99,NA,IDR
2019-02-14,1069.38,NA,IDR
2019-02-21,1070.98,NA,IDR
2019-03-01,1069.21,690000000000.0,IDR
2019-03-05,1070.07,NA,IDR
2019-03-08,1070.49,NA,IDR
2019-03-18,1072.41,NA,IDR
2019-03-25,1073.74,NA,IDR
2019-03-29,1074.37,NA,IDR
2019-04-01,1071.27,670000000000.0,IDR
2019-04-08,1072.07,NA,IDR
2019-04-10,1072.43,NA,IDR
2019-04-15,1073.2,NA,IDR
2019-04-22,1074.69,NA,IDR
2019-04-23,1074.83,NA,IDR
2019-04-30,1075.81,NA,IDR
2019-05-01,NA,830000000000.0,IDR
2019-05-06,1072.96,NA,IDR
2019-05-07,1073.04,NA,IDR
2019-05-14,1074.26,NA,IDR
2019-05-17,1074.75,NA,IDR
2019-05-22,1075.51,NA,IDR
2019-05-29,1076.78,NA,IDR
2019-06-01,NA,1040000000000.0,IDR
2019-06-10,1074.84,NA,IDR
2019-06-13,1074.93,NA,IDR
2019-06-21,1076.08,NA,IDR
2019-06-24,1076.49,NA,IDR
2019-06-28,1077.36,NA,IDR
2019-07-01,NA,650000000000.0,IDR
2019-07-05,1074.74,NA,IDR
2019-07-08,1075.11,NA,IDR
2019-07-15,1076.68,NA,IDR
2019-07-17,1076.99,NA,IDR
2019-07-22,1077.68,NA,IDR
2019-07-29,1078.18,NA,IDR
2019-08-01,NA,570000000000.0,IDR
2019-08-05,1074.73,NA,IDR
2019-08-12,1076.24,NA,IDR
2019-08-20,1077.59,NA,IDR
2019-08-22,1078.08,NA,IDR
2019-08-27,1078.72,NA,IDR
2019-09-01,NA,451760000000.0,IDR
2019-09-03,1076.06,NA,IDR
2019-09-04,1076.29,NA,IDR
2019-09-11,1077.84,NA,IDR
2019-09-16,1078.71,NA,IDR
2019-09-19,1079.49,NA,IDR
2019-09-26,1081.02,NA,IDR
2019-09-30,1081.83,NA,IDR
2019-10-01,NA,530000000000.0,IDR
2019-10-03,1078.88,NA,IDR
2019-10-10,1080.44,NA,IDR
2019-10-11,1080.7,NA,IDR
2019-10-18,1082.08,NA,IDR
2019-10-22,1082.93,NA,IDR
2019-10-28,1083.95,NA,IDR
2019-11-01,NA,383540000000.0,IDR
2019-11-04,1081.8,NA,IDR
2019-11-11,1083.54,NA,IDR
2019-11-15,1084.06,NA,IDR
2019-11-18,1084.53,NA,IDR
2019-11-25,1085.53,NA,IDR
2019-11-27,1085.61,NA,IDR
2019-12-01,NA,433230000000.0,IDR
2019-12-02,1082.68,NA,IDR
2019-12-09,1083.81,NA,IDR
2019-12-10,1083.97,NA,IDR
2019-12-17,1084.68,NA,IDR
2019-12-23,1085.54,NA,IDR
2019-12-26,1086.08,NA,IDR
2020-01-01,NA,424180000000.0,IDR
2020-01-02,1083.44,NA,IDR
2020-01-03,1083.55,NA,IDR
2020-01-09,1084.47,NA,IDR
2020-01-15,1085.66,NA,IDR
2020-01-16,1085.91,NA,IDR
2020-01-24,1087.17,NA,IDR
2020-01-27,1087.41,NA,IDR
2020-01-31,1087.72,NA,IDR
2020-02-01,NA,341470000000.0,IDR
