tanggal,NAV,AUM,currency
2016-08-16,36980.0,NA,IDR
2016-08-23,37460.0,NA,IDR
2016-08-29,36900.0,NA,IDR
2016-09-05,36980.0,NA,IDR
2016-09-13,35980.0,NA,IDR
2016-09-19,36950.0,NA,IDR
2016-09-23,37290.0,NA,IDR
2016-09-30,36890.0,NA,IDR
2016-10-06,37220.0,NA,IDR
2016-10-12,36950.0,NA,IDR
2016-10-19,37160.0,NA,IDR
2016-10-25,36850.0,NA,IDR
2016-10-31,37000.0,NA,IDR
2016-11-07,36590.0,NA,IDR
2016-11-14,34340.0,NA,IDR
2016-11-21,34550.0,NA,IDR
2016-11-28,33990.0,NA,IDR
2016-12-02,35040.0,NA,IDR
2016-12-08,35510.0,NA,IDR
2016-12-15,35010.0,NA,IDR
2016-12-21,33870.0,NA,IDR
2016-12-27,33860.0,NA,IDR
2017-01-03,35130.0,NA,IDR
2017-01-09,35450.0,NA,IDR
2017-01-16,34960.0,NA,IDR
2017-01-23,34850.0,NA,IDR
2017-01-30,35030.0,NA,IDR
2017-02-03,35540.0,NA,IDR
2017-02-10,35490.0,NA,IDR
2017-02-16,35560.0,NA,IDR
2017-02-22,35380.0,NA,IDR
2017-03-01,35400.0,NA,IDR
2017-03-07,35700.0,NA,IDR
2017-03-13,35597.5,NA,IDR
2017-03-20,36310.0,NA,IDR
2017-03-27,36420.0,NA,IDR
2017-04-03,36790.0,NA,IDR
2017-04-10,36680.0,NA,IDR
2017-04-17,36270.0,NA,IDR
2017-04-21,37080.0,NA,IDR
2017-04-27,37333.5,NA,IDR
2017-05-03,36840.0,NA,IDR
2017-05-10,37200.0,NA,IDR
2017-05-16,36890.0,NA,IDR
2017-05-22,37560.0,NA,IDR
2017-05-29,37210.0,NA,IDR
2017-06-05,37600.0,NA,IDR
2017-06-12,37210.0,NA,IDR
2017-06-19,37504.0,NA,IDR
2017-07-03,38780.0,NA,IDR
2017-07-06,38060.0,NA,IDR
2017-07-12,37850.0,NA,IDR
2017-07-18,37770.3,NA,IDR
2017-07-25,37700.0,NA,IDR
2017-07-31,37450.0,NA,IDR
2017-08-07,36790.0,NA,IDR
2017-08-14,37300.0,NA,IDR
2017-08-21,37660.0,NA,IDR
2017-08-25,38120.0,NA,IDR
2017-09-04,37450.0,NA,IDR
2017-09-07,37590.0,NA,IDR
2017-09-13,37600.0,NA,IDR
2017-09-20,37860.0,NA,IDR
2017-09-26,37580.0,NA,IDR
2017-10-02,38010.0,NA,IDR
2017-10-09,38050.0,NA,IDR
2017-10-16,38360.0,NA,IDR
2017-10-23,38190.0,NA,IDR
2017-10-30,38010.0,NA,IDR
2017-11-03,38590.0,NA,IDR
2017-11-09,38420.0,NA,IDR
2017-11-16,38490.0,NA,IDR
2017-11-22,38660.0,NA,IDR
2017-11-28,39039.8,NA,IDR
2017-12-01,NA,3680000000000.0,IDR
2017-12-05,38630.0,NA,IDR
2017-12-11,38830.0,NA,IDR
2017-12-18,39300.0,NA,IDR
2017-12-27,40280.0,NA,IDR
2018-01-01,NA,3860000000000.0,IDR
2018-01-02,40270.0,NA,IDR
2018-01-05,40390.0,NA,IDR
2018-01-12,40770.0,NA,IDR
2018-01-18,41260.0,NA,IDR
2018-01-24,42380.0,NA,IDR
2018-01-31,41580.0,NA,IDR
2018-02-01,NA,4179999999999.9995,IDR
2018-02-06,41290.0,NA,IDR
2018-02-12,41460.0,NA,IDR
2018-02-19,42400.0,NA,IDR
2018-02-26,41370.0,NA,IDR
2018-03-01,NA,4550000000000.0,IDR
2018-03-05,41230.0,NA,IDR
2018-03-12,41217.6,NA,IDR
2018-03-16,39920.0,NA,IDR
2018-03-22,39850.0,NA,IDR
2018-03-29,39370.0,NA,IDR
2018-04-01,NA,4750000000000.0,IDR
2018-04-04,39430.0,NA,IDR
2018-04-10,40490.0,NA,IDR
2018-04-17,40200.0,NA,IDR
2018-04-23,40260.0,NA,IDR
2018-04-30,38350.0,NA,IDR
2018-05-01,NA,4610000000000.0,IDR
2018-05-07,37850.0,NA,IDR
2018-05-14,38530.0,NA,IDR
2018-05-18,37300.0,NA,IDR
2018-05-25,38510.0,NA,IDR
2018-05-31,38400.0,NA,IDR
2018-06-01,NA,4770000000000.0,IDR
2018-06-06,39190.0,NA,IDR
2018-06-20,37820.0,NA,IDR
2018-06-25,37550.0,NA,IDR
2018-07-01,NA,4510000000000.0,IDR
2018-07-02,36990.0,NA,IDR
2018-07-09,37501.1,NA,IDR
2018-07-16,37930.0,NA,IDR
2018-07-23,38110.0,NA,IDR
2018-07-27,38590.0,NA,IDR
2018-08-01,NA,4200000000000.0,IDR
2018-08-03,38540.0,NA,IDR
2018-08-09,39042.9,NA,IDR
2018-08-15,37050.0,NA,IDR
2018-08-23,38110.0,NA,IDR
2018-08-28,38380.0,NA,IDR
2018-09-01,NA,4300000000000.0,IDR
2018-09-03,37850.0,NA,IDR
2018-09-10,37130.0,NA,IDR
2018-09-17,37000.0,NA,IDR
2018-09-24,37160.0,NA,IDR
2018-10-01,37670.0,4510000000000.0,IDR
2018-10-05,36330.0,NA,IDR
2018-10-11,36060.0,NA,IDR
2018-10-18,37100.0,NA,IDR
2018-10-24,36220.0,NA,IDR
2018-10-30,36950.0,NA,IDR
2018-11-01,NA,4320000000000.0005,IDR
2018-11-06,37940.0,NA,IDR
2018-11-12,36660.0,NA,IDR
2018-11-19,38019.7,NA,IDR
2018-11-26,37880.0,NA,IDR
2018-12-01,NA,4490000000000.0,IDR
2018-12-03,38800.0,NA,IDR
2018-12-07,38570.0,NA,IDR
2018-12-14,38820.0,NA,IDR
2018-12-20,38820.0,NA,IDR
2018-12-26,38530.0,NA,IDR
2019-01-01,NA,4500000000000.0,IDR
2019-01-02,38740.0,NA,IDR
2019-01-08,39260.0,NA,IDR
2019-01-14,39560.0,NA,IDR
2019-01-21,40140.0,NA,IDR
2019-01-28,40020.0,NA,IDR
2019-02-01,NA,4360000000000.0005,IDR
2019-02-04,40073.4,NA,IDR
2019-02-11,40340.0,NA,IDR
2019-02-15,39740.0,NA,IDR
2019-02-21,40580.0,NA,IDR
2019-02-28,40050.0,NA,IDR
2019-03-01,NA,4620000000000.0,IDR
2019-03-06,40150.0,NA,IDR
2019-03-12,39720.0,NA,IDR
2019-03-19,40320.0,NA,IDR
2019-03-25,39400.0,NA,IDR
2019-04-01,39940.0,4880000000000.0,IDR
2019-04-08,39860.0,NA,IDR
2019-04-15,39970.0,NA,IDR
2019-04-22,39930.0,NA,IDR
2019-04-26,40049.1,NA,IDR
2019-05-01,NA,4640000000000.0,IDR
2019-05-02,40030.0,NA,IDR
2019-05-08,39580.0,NA,IDR
2019-05-15,37910.0,NA,IDR
2019-05-21,37440.0,NA,IDR
2019-05-27,38610.0,NA,IDR
2019-06-01,NA,4560000000000.0,IDR
2019-06-10,39831.1,NA,IDR
2019-06-17,39310.0,NA,IDR
2019-06-24,39788.8,NA,IDR
2019-06-28,40270.0,NA,IDR
2019-07-01,NA,4950000000000.0,IDR
2019-07-04,40190.0,NA,IDR
2019-07-11,40480.0,NA,IDR
2019-07-17,40380.0,NA,IDR
2019-07-23,40430.0,NA,IDR
2019-07-30,40370.0,NA,IDR
2019-08-01,NA,4980000000000.0,IDR
2019-08-05,39140.0,NA,IDR
2019-08-12,39560.0,NA,IDR
2019-08-19,39670.0,NA,IDR
2019-08-26,39360.0,NA,IDR
2019-08-30,39910.0,NA,IDR
2019-09-01,NA,4970000000000.0,IDR
2019-09-06,39447.7,NA,IDR
2019-09-12,39580.0,NA,IDR
2019-09-18,39190.0,NA,IDR
2019-09-25,38290.0,NA,IDR
2019-10-01,38360.0,4910000000000.0,IDR
2019-10-07,37580.0,NA,IDR
2019-10-14,38180.0,NA,IDR
2019-10-21,38506.7,NA,IDR
2019-10-28,38950.0,NA,IDR
2019-11-01,NA,5100000000000.0,IDR
2019-11-04,38130.0,NA,IDR
2019-11-08,38040.0,NA,IDR
2019-11-15,37940.0,NA,IDR
2019-11-21,37980.0,NA,IDR
2019-11-27,37310.0,NA,IDR
2019-12-01,NA,5310000000000.0,IDR
2019-12-04,37610.0,NA,IDR
2019-12-10,37860.0,NA,IDR
2019-12-16,38130.2,NA,IDR
2019-12-23,38810.0,NA,IDR
2019-12-30,38750.0,NA,IDR
2020-01-01,NA,4940000000000.0,IDR
