tanggal,NAV,AUM,currency
2012-12-26,1009.51,NA,IDR
2013-01-01,NA,53760000000.0,IDR
2013-01-03,1009.92,NA,IDR
2013-01-14,1023.05,NA,IDR
2013-01-21,1029.8,NA,IDR
2013-01-30,1036.62,NA,IDR
2013-02-01,NA,88070000000.0,IDR
2013-02-08,1037.02,NA,IDR
2013-02-18,1060.28,NA,IDR
2013-02-26,1036.64,NA,IDR
2013-03-01,NA,108870000000.0,IDR
2013-03-07,1081.81,NA,IDR
2013-03-18,1106.49,NA,IDR
2013-03-26,1115.28,NA,IDR
2013-04-01,NA,131720000000.0,IDR
2013-04-04,1111.13,NA,IDR
2013-04-15,1108.14,NA,IDR
2013-04-22,1123.46,NA,IDR
2013-05-01,1116.35,137110000000.00002,IDR
2013-05-10,1130.3,NA,IDR
2013-05-20,1146.95,NA,IDR
2013-05-28,1152.76,NA,IDR
2013-06-01,NA,128810000000.0,IDR
2013-06-07,1123.91,NA,IDR
2013-06-17,1083.03,NA,IDR
2013-06-24,1002.42,NA,IDR
2013-07-01,NA,127270000000.0,IDR
2013-07-03,1009.88,NA,IDR
2013-07-12,997.23,NA,IDR
2013-07-22,1035.37,NA,IDR
2013-07-31,995.56,NA,IDR
2013-08-01,NA,118730000000.0,IDR
2013-08-12,1019.85,NA,IDR
2013-08-19,948.37,NA,IDR
2013-08-27,850.95,NA,IDR
2013-09-01,NA,146750000000.0,IDR
2013-09-05,911.11,NA,IDR
2013-09-16,993.84,NA,IDR
2013-09-23,1056.14,NA,IDR
2013-10-01,NA,159500000000.0,IDR
2013-10-02,990.98,NA,IDR
2013-10-11,1034.79,NA,IDR
2013-10-21,1038.33,NA,IDR
2013-10-29,1057.53,NA,IDR
2013-11-01,NA,160720000000.0,IDR
2013-11-07,1046.73,NA,IDR
2013-11-18,1039.66,NA,IDR
2013-11-25,1041.29,NA,IDR
2013-12-01,NA,157840000000.0,IDR
2013-12-04,1044.0,NA,IDR
2013-12-16,1007.12,NA,IDR
2013-12-23,1000.56,NA,IDR
2014-01-01,NA,162860000000.0,IDR
2014-01-02,1024.76,NA,IDR
2014-01-10,1039.26,NA,IDR
2014-01-20,1080.26,NA,IDR
2014-01-28,1081.9,NA,IDR
2014-02-01,NA,169270000000.0,IDR
2014-02-06,1111.39,NA,IDR
2014-02-17,1137.75,NA,IDR
2014-02-24,1141.97,NA,IDR
2014-03-01,NA,187550000000.0,IDR
2014-03-05,1173.86,NA,IDR
2014-03-14,1202.29,NA,IDR
2014-03-24,1186.43,NA,IDR
2014-04-01,1208.64,174310000000.0,IDR
2014-04-10,1157.58,NA,IDR
2014-04-21,1195.88,NA,IDR
2014-04-28,1202.63,NA,IDR
2014-05-01,NA,182350000000.0,IDR
