tanggal,NAV,AUM,currency
2014-08-18,1004.89,NA,IDR
2014-08-25,1023.21,NA,IDR
2014-09-01,1033.02,75790000000.0,IDR
2014-09-09,1053.86,NA,IDR
2014-09-17,1063.29,NA,IDR
2014-09-24,1061.95,NA,IDR
2014-10-01,NA,95880000000.0,IDR
2014-10-02,1029.85,NA,IDR
2014-10-10,1016.79,NA,IDR
2014-10-20,1046.96,NA,IDR
2014-10-27,1051.43,NA,IDR
2014-11-01,NA,120160000000.0,IDR
2014-11-03,1058.92,NA,IDR
2014-11-10,1037.21,NA,IDR
2014-11-18,1077.17,NA,IDR
2014-11-26,1095.55,NA,IDR
2014-12-01,NA,225010000000.0,IDR
2014-12-04,1122.6,NA,IDR
2014-12-12,1118.35,NA,IDR
2014-12-22,1095.43,NA,IDR
2014-12-29,1132.03,NA,IDR
2015-01-01,NA,253410000000.0,IDR
2015-01-05,1129.92,NA,IDR
2015-01-12,1130.67,NA,IDR
2015-01-20,1105.62,NA,IDR
2015-01-28,1128.22,NA,IDR
2015-02-01,NA,227080000000.0,IDR
2015-02-05,1133.53,NA,IDR
2015-02-10,1129.76,NA,IDR
2015-02-12,1119.16,NA,IDR
2015-02-17,1107.3,NA,IDR
2015-02-20,1124.55,NA,IDR
2015-02-25,1124.74,NA,IDR
2015-03-01,NA,212180000000.0,IDR
2015-03-02,1136.15,NA,IDR
2015-03-04,1115.24,NA,IDR
2015-03-09,1087.12,NA,IDR
2015-03-12,1069.96,NA,IDR
2015-03-16,1067.49,NA,IDR
2015-03-19,1090.89,NA,IDR
2015-03-24,1077.32,NA,IDR
2015-03-27,1051.78,NA,IDR
2015-04-01,1073.45,210140000000.0,IDR
2015-04-06,1066.89,NA,IDR
2015-04-08,1094.68,NA,IDR
2015-04-13,1084.26,NA,IDR
2015-04-16,1087.0,NA,IDR
2015-04-20,1084.71,NA,IDR
2015-04-24,1087.02,NA,IDR
2015-04-27,1050.7,NA,IDR
2015-05-01,NA,215000000000.0,IDR
2015-05-04,1020.78,NA,IDR
2015-05-11,1050.54,NA,IDR
2015-05-18,1080.55,NA,IDR
2015-05-25,1078.69,NA,IDR
2015-05-26,1076.92,NA,IDR
2015-06-01,NA,202690000000.0,IDR
2015-06-03,1023.95,NA,IDR
2015-06-10,966.5,NA,IDR
2015-06-17,961.08,NA,IDR
2015-06-18,961.03,NA,IDR
2015-06-25,973.27,NA,IDR
2015-06-26,971.02,NA,IDR
2015-07-01,NA,202920000000.0,IDR
2015-07-02,975.23,NA,IDR
2015-07-06,972.86,NA,IDR
2015-07-09,972.05,NA,IDR
2015-07-13,978.5,NA,IDR
2015-07-22,978.71,NA,IDR
2015-07-24,962.49,NA,IDR
2015-07-27,942.05,NA,IDR
2015-08-01,NA,182070000000.0,IDR
2015-08-03,932.14,NA,IDR
2015-08-04,926.78,NA,IDR
2015-08-10,915.97,NA,IDR
2015-08-12,854.14,NA,IDR
2015-08-18,874.44,NA,IDR
2015-08-20,859.3,NA,IDR
2015-08-24,779.46,NA,IDR
2015-08-27,818.44,NA,IDR
2015-08-31,845.62,NA,IDR
2015-09-01,NA,170120000000.0,IDR
2015-09-04,834.29,NA,IDR
2015-09-07,813.9,NA,IDR
2015-09-14,832.68,NA,IDR
2015-09-15,824.29,NA,IDR
2015-09-21,841.45,NA,IDR
2015-09-22,837.01,NA,IDR
2015-09-28,783.65,NA,IDR
2015-09-30,789.83,NA,IDR
2015-10-01,NA,179680000000.0,IDR
2015-10-06,828.89,NA,IDR
2015-10-07,845.64,NA,IDR
2015-10-13,841.55,NA,IDR
2015-10-15,838.48,NA,IDR
2015-10-21,847.69,NA,IDR
2015-10-22,850.77,NA,IDR
2015-10-29,834.59,NA,IDR
2015-10-30,839.06,NA,IDR
2015-11-01,NA,171570000000.0,IDR
2015-11-06,848.28,NA,IDR
2015-11-16,811.25,NA,IDR
2015-11-23,827.4,NA,IDR
2015-11-30,801.24,NA,IDR
2015-12-01,NA,176600000000.0,IDR
2015-12-07,807.97,NA,IDR
2015-12-14,774.05,NA,IDR
2015-12-15,779.6,NA,IDR
2015-12-21,804.92,NA,IDR
2015-12-23,805.21,NA,IDR
2015-12-28,809.75,NA,IDR
2016-01-01,NA,171140000000.0,IDR
2016-01-04,806.37,NA,IDR
2016-01-05,817.47,NA,IDR
2016-01-08,816.58,NA,IDR
2016-01-12,809.9,NA,IDR
2016-01-18,795.88,NA,IDR
2016-01-20,792.73,NA,IDR
2016-01-25,796.78,NA,IDR
2016-01-27,797.24,NA,IDR
2016-02-01,804.43,178240000000.0,IDR
2016-02-04,807.72,NA,IDR
2016-02-09,809.25,NA,IDR
2016-02-11,817.44,NA,IDR
2016-02-16,827.78,NA,IDR
2016-02-19,824.4,NA,IDR
2016-02-24,830.5,NA,IDR
2016-02-26,838.7,NA,IDR
2016-03-01,NA,189510000000.0,IDR
2016-03-03,852.15,NA,IDR
2016-03-07,858.73,NA,IDR
2016-03-10,854.52,NA,IDR
2016-03-15,867.99,NA,IDR
2016-03-18,889.52,NA,IDR
2016-03-21,880.96,NA,IDR
2016-03-28,875.66,NA,IDR
2016-04-01,NA,196450000000.0,IDR
2016-04-04,891.42,NA,IDR
2016-04-11,897.28,NA,IDR
2016-04-18,909.82,NA,IDR
2016-04-19,922.12,NA,IDR
2016-04-26,926.36,NA,IDR
2016-05-01,NA,194090000000.0,IDR
2016-05-03,915.25,NA,IDR
2016-05-04,906.29,NA,IDR
2016-05-11,897.49,NA,IDR
2016-05-12,901.27,NA,IDR
2016-05-18,906.75,NA,IDR
2016-05-20,902.25,NA,IDR
2016-05-26,919.01,NA,IDR
2016-05-30,924.67,NA,IDR
2016-06-01,NA,200080000000.0,IDR
2016-06-02,917.83,NA,IDR
2016-06-06,928.15,NA,IDR
2016-06-10,928.56,NA,IDR
2016-06-13,921.24,NA,IDR
2016-06-17,926.29,NA,IDR
