tanggal,NAV,AUM,currency
2016-12-13,997.11,NA,IDR
2016-12-19,1002.47,NA,IDR
2016-12-27,999.27,NA,IDR
2016-12-30,995.25,NA,IDR
2017-01-01,NA,1030000000.0,IDR
2017-01-06,1010.17,NA,IDR
2017-01-12,1013.43,NA,IDR
2017-01-18,1016.36,NA,IDR
2017-01-24,1018.71,NA,IDR
2017-01-30,1031.38,NA,IDR
2017-02-01,NA,1050000000.0,IDR
2017-02-06,1032.93,NA,IDR
2017-02-13,1037.98,NA,IDR
2017-02-17,1038.75,NA,IDR
2017-02-23,1043.17,NA,IDR
2017-03-01,1045.56,7260000000.0,IDR
2017-03-08,1054.98,NA,IDR
2017-03-14,1044.13,NA,IDR
2017-03-20,1048.29,NA,IDR
2017-03-27,1051.12,NA,IDR
2017-04-01,NA,9720000000.0,IDR
2017-04-03,1083.05,NA,IDR
2017-04-07,1074.92,NA,IDR
2017-04-13,1083.5,NA,IDR
2017-04-20,1079.42,NA,IDR
2017-04-25,1083.5,NA,IDR
2017-05-01,NA,16920000000.000002,IDR
2017-05-02,1090.4,NA,IDR
2017-05-08,1087.16,NA,IDR
2017-05-15,1089.17,NA,IDR
2017-05-22,1102.38,NA,IDR
2017-05-26,1104.88,NA,IDR
2017-06-01,NA,21240000000.0,IDR
2017-06-02,1105.36,NA,IDR
2017-06-07,1106.96,NA,IDR
2017-06-13,1111.96,NA,IDR
2017-06-19,1121.73,NA,IDR
2017-07-01,NA,24030000000.0,IDR
2017-07-04,1113.52,NA,IDR
2017-07-10,1092.67,NA,IDR
2017-07-14,1110.19,NA,IDR
2017-07-20,1115.27,NA,IDR
2017-07-26,1117.36,NA,IDR
2017-08-01,1120.82,32080000000.0,IDR
2017-08-07,1122.23,NA,IDR
2017-08-14,1124.42,NA,IDR
2017-08-21,1125.58,NA,IDR
2017-08-25,1131.03,NA,IDR
2017-08-31,1140.19,NA,IDR
2017-09-01,NA,25460000000.0,IDR
2017-09-07,1153.7,NA,IDR
2017-09-13,1160.7,NA,IDR
2017-09-19,1159.56,NA,IDR
2017-09-25,1176.44,NA,IDR
2017-10-01,NA,180290000000.0,IDR
2017-10-02,1161.01,NA,IDR
2017-10-09,1153.06,NA,IDR
2017-10-13,1153.55,NA,IDR
2017-10-19,1152.15,NA,IDR
2017-10-25,1138.93,NA,IDR
2017-10-31,1140.72,NA,IDR
2017-11-01,NA,204990000000.0,IDR
2017-11-07,1158.49,NA,IDR
2017-11-13,1155.6,NA,IDR
2017-11-20,1160.58,NA,IDR
2017-11-27,1164.01,NA,IDR
2017-12-01,NA,375460000000.0,IDR
2017-12-04,1168.62,NA,IDR
2017-12-07,1168.76,NA,IDR
2017-12-13,1170.44,NA,IDR
2017-12-19,1172.47,NA,IDR
2017-12-27,1178.97,NA,IDR
2018-01-01,NA,298390000000.0,IDR
2018-01-02,1185.56,NA,IDR
2018-01-08,1202.48,NA,IDR
2018-01-15,1197.42,NA,IDR
2018-01-19,1196.78,NA,IDR
2018-01-25,1192.49,NA,IDR
2018-01-31,1186.67,NA,IDR
2018-02-01,NA,311920000000.0,IDR
2018-02-06,1182.92,NA,IDR
2018-02-12,1182.93,NA,IDR
2018-02-19,1177.02,NA,IDR
2018-02-26,1174.12,NA,IDR
2018-03-01,NA,325130000000.0,IDR
2018-03-02,1167.34,NA,IDR
2018-03-08,1159.29,NA,IDR
2018-03-15,1166.57,NA,IDR
2018-03-21,1166.46,NA,IDR
2018-03-27,1164.31,NA,IDR
2018-04-01,NA,148610000000.0,IDR
2018-04-02,1177.68,NA,IDR
2018-04-09,1179.4,NA,IDR
2018-04-16,1180.96,NA,IDR
2018-04-20,1170.57,NA,IDR
2018-04-26,1145.62,NA,IDR
2018-05-01,NA,148820000000.0,IDR
2018-05-02,1152.15,NA,IDR
2018-05-08,1142.35,NA,IDR
2018-05-15,1146.05,NA,IDR
2018-05-21,1129.99,NA,IDR
2018-05-28,1144.79,NA,IDR
2018-06-01,NA,141200000000.0,IDR
2018-06-04,1153.14,NA,IDR
2018-06-08,1144.52,NA,IDR
2018-06-20,1146.42,NA,IDR
2018-06-26,1120.66,NA,IDR
2018-07-01,NA,134680000000.0,IDR
2018-07-02,1119.78,NA,IDR
2018-07-09,1134.76,NA,IDR
2018-07-16,1134.58,NA,IDR
2018-07-23,1123.78,NA,IDR
2018-07-27,1125.19,NA,IDR
2018-08-01,NA,134300000000.00002,IDR
2018-08-02,1127.45,NA,IDR
2018-08-08,1131.09,NA,IDR
2018-08-14,1118.15,NA,IDR
2018-08-20,1127.52,NA,IDR
2018-08-27,1127.76,NA,IDR
2018-09-01,NA,167380000000.0,IDR
2018-09-03,1107.83,NA,IDR
2018-09-07,1092.36,NA,IDR
2018-09-14,1092.62,NA,IDR
2018-09-20,1101.74,NA,IDR
2018-09-26,1103.68,NA,IDR
2018-10-01,NA,172210000000.0,IDR
2018-10-02,1108.35,NA,IDR
2018-10-08,1097.44,NA,IDR
2018-10-15,1084.13,NA,IDR
2018-10-22,1088.29,NA,IDR
2018-10-26,1090.19,NA,IDR
2018-11-01,1095.4,125040000000.0,IDR
2018-11-07,1109.16,NA,IDR
2018-11-14,1111.01,NA,IDR
2018-11-21,1114.6,NA,IDR
2018-11-26,1117.75,NA,IDR
2018-12-01,NA,125270000000.0,IDR
2018-12-03,1122.68,NA,IDR
2018-12-10,1111.42,NA,IDR
2018-12-14,1113.93,NA,IDR
2018-12-20,1119.06,NA,IDR
2018-12-26,1120.78,NA,IDR
2019-01-01,NA,124840000000.0,IDR
2019-01-02,1124.62,NA,IDR
2019-01-07,1124.42,NA,IDR
2019-01-14,1119.2,NA,IDR
2019-01-21,1117.0,NA,IDR
2019-01-28,1118.03,NA,IDR
2019-02-01,1130.93,123500000000.0,IDR
2019-02-07,1139.6,NA,IDR
2019-02-13,1136.0,NA,IDR
2019-02-19,1132.61,NA,IDR
2019-02-25,1140.13,NA,IDR
2019-03-01,NA,118830000000.0,IDR
2019-03-04,1146.4,NA,IDR
2019-03-11,1143.9,NA,IDR
2019-03-15,1153.74,NA,IDR
2019-03-22,1166.34,NA,IDR
2019-03-28,1162.04,NA,IDR
2019-04-01,NA,116530000000.0,IDR
2019-04-04,1167.4,NA,IDR
2019-04-09,1165.44,NA,IDR
2019-04-15,1166.2,NA,IDR
2019-04-22,1169.54,NA,IDR
2019-04-29,1160.21,NA,IDR
2019-05-01,NA,116340000000.0,IDR
2019-05-03,1151.87,NA,IDR
2019-05-09,1141.77,NA,IDR
2019-05-15,1144.48,NA,IDR
2019-05-22,1140.64,NA,IDR
2019-05-28,1150.53,NA,IDR
2019-06-01,NA,101050000000.0,IDR
2019-06-10,1166.58,NA,IDR
2019-06-17,1178.96,NA,IDR
2019-06-21,1195.3,NA,IDR
2019-06-27,1200.87,NA,IDR
2019-07-01,NA,65319999999.99999,IDR
2019-07-03,1214.89,NA,IDR
2019-07-09,1219.14,NA,IDR
2019-07-15,1231.86,NA,IDR
2019-07-22,1228.1,NA,IDR
2019-07-29,1225.81,NA,IDR
2019-08-01,NA,76260000000.0,IDR
2019-08-05,1203.62,NA,IDR
2019-08-09,1221.69,NA,IDR
2019-08-15,1216.92,NA,IDR
2019-08-21,1228.24,NA,IDR
2019-08-27,1226.49,NA,IDR
2019-09-01,NA,70300000000.0,IDR
2019-09-02,1227.88,NA,IDR
2019-09-09,1232.95,NA,IDR
2019-09-16,1237.62,NA,IDR
2019-09-23,1239.03,NA,IDR
2019-09-27,1236.91,NA,IDR
2019-10-01,NA,85110000000.0,IDR
2019-10-03,1242.04,NA,IDR
2019-10-09,1241.98,NA,IDR
2019-10-15,1247.59,NA,IDR
2019-10-21,1254.88,NA,IDR
2019-10-28,1261.54,NA,IDR
2019-11-01,NA,95140000000.0,IDR
2019-11-04,1269.47,NA,IDR
2019-11-08,1275.46,NA,IDR
2019-11-14,1270.89,NA,IDR
2019-11-21,1273.25,NA,IDR
2019-11-27,1273.82,NA,IDR
2019-12-01,NA,96110000000.0,IDR
2019-12-03,1272.63,NA,IDR
2019-12-09,1277.7,NA,IDR
