tanggal,NAV,AUM,currency
2017-09-01,NA,20950000000.0,IDR
2017-10-01,NA,20990000000.0,IDR
2017-11-01,NA,21330000000.0,IDR
2017-12-01,NA,20530000000.0,IDR
2018-01-01,NA,21620000000.0,IDR
2018-01-30,1076.28,NA,IDR
2018-02-01,NA,21780000000.0,IDR
2018-02-05,1074.49,NA,IDR
2018-02-09,1058.42,NA,IDR
2018-02-14,1074.01,NA,IDR
2018-02-21,1086.93,NA,IDR
2018-02-26,1083.44,NA,IDR
2018-03-01,NA,21350000000.0,IDR
2018-03-02,1081.27,NA,IDR
2018-03-07,1071.03,NA,IDR
2018-03-13,1071.72,NA,IDR
2018-03-19,1061.23,NA,IDR
2018-03-23,1059.16,NA,IDR
2018-03-28,1057.4,NA,IDR
2018-04-01,NA,21880000000.0,IDR
2018-04-03,1069.68,NA,IDR
2018-04-09,1076.5,NA,IDR
2018-04-13,1080.76,NA,IDR
2018-04-18,1089.38,NA,IDR
2018-04-24,1084.1,NA,IDR
2018-04-30,1087.7,NA,IDR
2018-05-01,NA,22150000000.0,IDR
2018-05-04,1073.09,NA,IDR
2018-05-09,1076.4,NA,IDR
2018-05-15,1082.81,NA,IDR
2018-05-21,1087.61,NA,IDR
2018-05-25,1095.67,NA,IDR
2018-05-30,1098.67,NA,IDR
2018-06-01,NA,22160000000.0,IDR
2018-06-05,1106.89,NA,IDR
2018-06-20,1110.84,NA,IDR
2018-06-26,1108.16,NA,IDR
2018-07-01,NA,21920000000.0,IDR
2018-07-02,1086.29,NA,IDR
2018-07-06,1065.94,NA,IDR
2018-07-11,1086.57,NA,IDR
2018-07-17,1096.52,NA,IDR
2018-07-23,1086.21,NA,IDR
2018-07-27,1098.59,NA,IDR
2018-08-01,1103.31,22490000000.0,IDR
2018-08-07,1113.52,NA,IDR
2018-08-13,1086.97,NA,IDR
2018-08-20,1080.33,NA,IDR
2018-08-23,1083.79,NA,IDR
2018-08-28,1085.59,NA,IDR
2018-09-01,NA,22340000000.0,IDR
2018-09-03,1119.65,NA,IDR
2018-09-07,1089.74,NA,IDR
2018-09-12,1088.04,NA,IDR
2018-09-18,1096.05,NA,IDR
2018-09-24,1106.48,NA,IDR
2018-09-28,1110.32,NA,IDR
2018-10-01,NA,22670000000.0,IDR
2018-10-03,1108.6,NA,IDR
2018-10-09,1125.48,NA,IDR
2018-10-15,1135.9,NA,IDR
2018-10-19,1134.33,NA,IDR
2018-10-25,1131.54,NA,IDR
2018-10-30,1121.76,NA,IDR
2018-11-01,NA,28250000000.0,IDR
2018-11-05,1136.57,NA,IDR
2018-11-09,1144.2,NA,IDR
2018-11-15,1147.91,NA,IDR
2018-11-21,1146.61,NA,IDR
2018-11-26,1131.21,NA,IDR
2018-11-30,1149.78,NA,IDR
2018-12-01,NA,29750000000.0,IDR
2018-12-06,1169.8,NA,IDR
2018-12-11,1170.8,NA,IDR
2018-12-17,1171.42,NA,IDR
2018-12-21,1184.85,NA,IDR
2018-12-27,1203.69,NA,IDR
2019-01-01,NA,31710000000.0,IDR
2019-01-02,1209.29,NA,IDR
2019-01-07,1226.86,NA,IDR
2019-01-11,1240.37,NA,IDR
2019-01-17,1253.98,NA,IDR
2019-01-22,1235.32,NA,IDR
2019-01-28,1241.13,NA,IDR
2019-02-01,1259.64,35020000000.0,IDR
2019-02-07,1281.15,NA,IDR
2019-02-12,1266.13,NA,IDR
2019-02-18,1285.37,NA,IDR
2019-02-22,1278.02,NA,IDR
2019-02-28,1288.2,NA,IDR
2019-03-01,NA,41980000000.0,IDR
2019-03-05,1280.09,NA,IDR
2019-03-11,1265.02,NA,IDR
2019-03-15,1272.61,NA,IDR
2019-03-21,1275.09,NA,IDR
2019-03-26,1255.06,NA,IDR
2019-04-01,1258.98,42310000000.0,IDR
2019-04-05,1257.11,NA,IDR
2019-04-11,1261.0,NA,IDR
2019-04-16,1257.9,NA,IDR
2019-04-22,1260.04,NA,IDR
2019-04-26,1272.23,NA,IDR
2019-05-01,NA,40330000000.0,IDR
2019-05-02,1259.2,NA,IDR
2019-05-07,1258.59,NA,IDR
2019-05-13,1262.91,NA,IDR
2019-05-17,1229.83,NA,IDR
2019-05-23,1258.04,NA,IDR
2019-05-28,1266.67,NA,IDR
2019-06-01,NA,39650000000.0,IDR
2019-06-10,1302.48,NA,IDR
2019-06-13,1296.22,NA,IDR
2019-06-18,1291.37,NA,IDR
2019-06-24,1316.43,NA,IDR
2019-06-28,1328.0,NA,IDR
2019-07-01,NA,47190000000.0,IDR
2019-07-04,1350.73,NA,IDR
2019-07-09,1349.57,NA,IDR
2019-07-15,1373.0,NA,IDR
2019-07-19,1378.95,NA,IDR
2019-07-25,1386.72,NA,IDR
2019-07-30,1372.57,NA,IDR
2019-08-01,NA,47960000000.0,IDR
2019-08-05,1347.97,NA,IDR
2019-08-09,1381.72,NA,IDR
2019-08-15,1398.74,NA,IDR
2019-08-20,1387.8,NA,IDR
2019-08-26,1370.13,NA,IDR
2019-08-30,1378.39,NA,IDR
2019-09-01,NA,50700000000.0,IDR
2019-09-05,1402.76,NA,IDR
2019-09-10,1410.73,NA,IDR
2019-09-16,1408.36,NA,IDR
2019-09-20,1419.32,NA,IDR
2019-09-26,1399.21,NA,IDR
2019-10-01,1379.63,51120000000.0,IDR
2019-10-07,1347.43,NA,IDR
2019-10-11,1377.67,NA,IDR
2019-10-17,1376.62,NA,IDR
2019-10-22,1373.62,NA,IDR
2019-10-28,1383.69,NA,IDR
2019-11-01,1353.78,46980000000.0,IDR
2019-11-07,1333.47,NA,IDR
2019-11-12,1324.88,NA,IDR
2019-11-18,1311.15,NA,IDR
2019-11-22,1291.57,NA,IDR
2019-11-28,1254.32,NA,IDR
2019-12-01,NA,54830000000.0,IDR
2019-12-03,1284.59,NA,IDR
2019-12-09,1297.5,NA,IDR
2019-12-13,1296.34,NA,IDR
2019-12-19,1311.33,NA,IDR
2019-12-26,1312.43,NA,IDR
2019-12-30,1312.07,NA,IDR
2020-01-01,NA,51770000000.0,IDR
2020-01-03,1316.95,NA,IDR
2020-01-09,1299.89,NA,IDR
2020-01-14,1302.32,NA,IDR
2020-01-20,1274.5,NA,IDR
2020-01-24,1268.98,NA,IDR
2020-01-30,1253.85,NA,IDR
2020-02-01,NA,46820000000.0,IDR
2020-02-04,1245.26,NA,IDR
2020-02-10,1236.22,NA,IDR
