tanggal,NAV,AUM,currency
2012-05-15,980.49,NA,IDR
2012-05-25,953.07,NA,IDR
2012-06-01,NA,29290000000.0,IDR
2012-06-04,875.01,NA,IDR
2012-06-13,934.48,NA,IDR
2012-06-22,924.47,NA,IDR
2012-07-01,NA,30200000000.0,IDR
2012-07-02,954.57,NA,IDR
2012-07-11,959.39,NA,IDR
2012-07-23,946.14,NA,IDR
2012-07-30,951.24,NA,IDR
2012-08-01,NA,27890000000.0,IDR
2012-08-09,939.22,NA,IDR
2012-08-23,928.54,NA,IDR
2012-08-28,917.6,NA,IDR
2012-09-01,NA,27120000000.0,IDR
2012-09-07,909.73,NA,IDR
2012-09-17,934.64,NA,IDR
2012-09-26,937.25,NA,IDR
2012-10-01,NA,26490000000.0,IDR
2012-10-05,957.23,NA,IDR
2012-10-15,951.44,NA,IDR
2012-10-24,947.35,NA,IDR
2012-11-01,NA,26380000000.0,IDR
2012-11-05,940.0,NA,IDR
2012-11-12,953.04,NA,IDR
2012-11-22,963.23,NA,IDR
2012-12-01,NA,26090000000.0,IDR
2012-12-03,957.81,NA,IDR
2012-12-11,960.28,NA,IDR
2012-12-20,941.63,NA,IDR
2012-12-31,946.99,NA,IDR
2013-01-01,NA,27510000000.0,IDR
2013-01-08,976.33,NA,IDR
2013-01-18,1001.84,NA,IDR
2013-01-28,988.59,NA,IDR
2013-02-01,NA,36530000000.0,IDR
2013-02-06,1013.55,NA,IDR
2013-02-15,1063.97,NA,IDR
2013-02-25,1088.12,NA,IDR
2013-03-01,NA,30980000000.0,IDR
2013-03-06,1112.94,NA,IDR
2013-03-18,1115.29,NA,IDR
2013-03-26,1136.11,NA,IDR
2013-04-01,NA,31530000000.0,IDR
2013-04-04,1153.5,NA,IDR
2013-04-15,1146.93,NA,IDR
2013-04-23,1163.65,NA,IDR
2013-05-01,NA,39640000000.0,IDR
2013-05-03,1157.34,NA,IDR
2013-05-13,1180.36,NA,IDR
2013-05-22,1224.66,NA,IDR
2013-05-31,1200.51,NA,IDR
2013-06-01,NA,39380000000.0,IDR
2013-06-10,1127.41,NA,IDR
2013-06-19,1135.12,NA,IDR
2013-07-01,1098.54,35070000000.0,IDR
2013-07-08,1007.91,NA,IDR
2013-07-18,1084.51,NA,IDR
2013-07-29,1034.76,NA,IDR
2013-08-01,NA,32500000000.0,IDR
2013-08-12,1039.36,NA,IDR
2013-08-15,1062.35,NA,IDR
2013-08-26,908.75,NA,IDR
2013-09-01,NA,33390000000.0,IDR
2013-09-03,913.02,NA,IDR
2013-09-13,961.77,NA,IDR
2013-09-23,1022.66,NA,IDR
2013-10-01,NA,35290000000.0,IDR
2013-10-02,974.5,NA,IDR
2013-10-16,1000.27,NA,IDR
2013-10-21,1014.87,NA,IDR
2013-10-31,1002.09,NA,IDR
2013-11-01,NA,32900000000.0,IDR
2013-11-11,982.73,NA,IDR
2013-11-19,963.72,NA,IDR
2013-11-28,925.51,NA,IDR
2013-12-01,NA,33110000000.0,IDR
2013-12-09,928.95,NA,IDR
2013-12-17,921.36,NA,IDR
2013-12-27,927.64,NA,IDR
2014-01-01,NA,34000000000.0,IDR
2014-01-06,919.68,NA,IDR
2014-01-15,973.85,NA,IDR
2014-01-24,975.9,NA,IDR
2014-02-01,NA,36370000000.0,IDR
2014-02-03,961.88,NA,IDR
2014-02-12,995.77,NA,IDR
2014-02-24,1035.57,NA,IDR
2014-03-01,NA,37690000000.0,IDR
2014-03-03,1024.64,NA,IDR
2014-03-13,1072.75,NA,IDR
2014-03-24,1078.84,NA,IDR
2014-04-01,1108.94,32670000000.0,IDR
2014-04-10,1069.18,NA,IDR
2014-04-21,1097.66,NA,IDR
2014-04-29,1094.09,NA,IDR
2014-05-01,NA,32240000000.000004,IDR
2014-05-09,1102.03,NA,IDR
2014-05-19,1122.18,NA,IDR
2014-05-28,1117.64,NA,IDR
2014-06-01,NA,31550000000.0,IDR
2014-06-09,1082.56,NA,IDR
2014-06-16,1077.87,NA,IDR
2014-06-26,1069.55,NA,IDR
2014-07-01,NA,29980000000.0,IDR
2014-07-07,1102.92,NA,IDR
2014-07-15,1112.72,NA,IDR
2014-07-24,1122.59,NA,IDR
2014-08-01,NA,32240000000.000004,IDR
2014-08-04,1134.12,NA,IDR
2014-08-12,1153.72,NA,IDR
2014-08-22,1165.6,NA,IDR
2014-09-01,1160.94,26060000000.0,IDR
2014-09-10,1148.2,NA,IDR
2014-09-19,1171.29,NA,IDR
2014-09-29,1150.5,NA,IDR
2014-10-01,NA,24630000000.0,IDR
2014-10-08,1097.69,NA,IDR
2014-10-20,1105.62,NA,IDR
2014-10-27,1114.45,NA,IDR
2014-11-01,NA,21450000000.0,IDR
2014-11-06,1135.98,NA,IDR
2014-11-17,1155.33,NA,IDR
2014-11-25,1183.72,NA,IDR
2014-12-01,NA,17630000000.0,IDR
2014-12-05,1194.84,NA,IDR
2014-12-15,1181.37,NA,IDR
2014-12-24,1183.39,NA,IDR
2015-01-01,NA,23500000000.0,IDR
2015-01-02,1219.52,NA,IDR
2015-01-12,1214.27,NA,IDR
2015-01-21,1199.78,NA,IDR
2015-02-01,NA,19110000000.0,IDR
2015-02-02,1220.24,NA,IDR
2015-02-09,1244.08,NA,IDR
2015-02-10,1241.23,NA,IDR
2015-02-17,1238.96,NA,IDR
2015-02-20,1258.98,NA,IDR
2015-02-25,1248.66,NA,IDR
2015-03-01,NA,18550000000.0,IDR
2015-03-02,1267.19,NA,IDR
2015-03-04,1259.57,NA,IDR
2015-03-10,1263.0,NA,IDR
2015-03-12,1252.89,NA,IDR
2015-03-19,1244.11,NA,IDR
2015-03-27,1198.31,NA,IDR
2015-03-30,1209.42,NA,IDR
2015-04-01,NA,23420000000.0,IDR
2015-04-06,1222.0,NA,IDR
2015-04-07,1228.97,NA,IDR
2015-04-13,1214.84,NA,IDR
2015-04-17,1203.34,NA,IDR
2015-04-20,1202.76,NA,IDR
2015-04-27,1147.62,NA,IDR
2015-05-01,NA,44500000000.0,IDR
2015-05-04,1129.28,NA,IDR
2015-05-06,1137.44,NA,IDR
2015-05-11,1145.04,NA,IDR
2015-05-15,1154.73,NA,IDR
2015-05-18,1158.29,NA,IDR
2015-05-25,1180.57,NA,IDR
2015-05-26,1189.05,NA,IDR
2015-06-01,NA,42380000000.0,IDR
2015-06-03,1147.52,NA,IDR
2015-06-10,1102.23,NA,IDR
2015-06-15,1067.15,NA,IDR
2015-06-17,1093.48,NA,IDR
2015-06-23,1101.75,NA,IDR
2015-06-25,1096.77,NA,IDR
2015-07-01,NA,40620000000.0,IDR
2015-07-02,1108.25,NA,IDR
2015-07-09,1076.0,NA,IDR
2015-07-13,1081.72,NA,IDR
2015-07-22,1073.69,NA,IDR
2015-07-24,1061.62,NA,IDR
2015-07-31,1043.54,NA,IDR
2015-08-01,NA,38420000000.0,IDR
2015-08-03,1045.86,NA,IDR
2015-08-10,1035.99,NA,IDR
2015-08-18,971.95,NA,IDR
2015-08-19,971.72,NA,IDR
2015-08-24,904.7,NA,IDR
2015-08-28,980.21,NA,IDR
2015-08-31,984.69,NA,IDR
2015-09-01,NA,31840000000.0,IDR
2015-09-07,945.01,NA,IDR
2015-09-15,967.62,NA,IDR
2015-09-16,965.45,NA,IDR
2015-09-22,972.25,NA,IDR
2015-09-28,934.16,NA,IDR
2015-09-30,940.54,NA,IDR
2015-10-01,NA,29950000000.0,IDR
2015-10-05,974.65,NA,IDR
2015-10-07,999.45,NA,IDR
2015-10-15,1013.22,NA,IDR
2015-10-22,1036.8,NA,IDR
2015-10-26,1057.53,NA,IDR
2015-10-30,1021.53,NA,IDR
2015-11-01,NA,28870000000.0,IDR
2015-11-03,1035.8,NA,IDR
2015-11-06,1043.25,NA,IDR
2015-11-12,1011.68,NA,IDR
2015-11-16,991.84,NA,IDR
2015-11-23,1015.28,NA,IDR
2015-11-30,976.32,NA,IDR
2015-12-01,1002.41,30670000000.0,IDR
2015-12-07,997.35,NA,IDR
2015-12-11,985.87,NA,IDR
2015-12-14,973.82,NA,IDR
2015-12-21,1007.83,NA,IDR
2015-12-28,1012.39,NA,IDR
2015-12-30,1027.8,NA,IDR
2016-01-01,NA,31400000000.0,IDR
2016-01-05,1013.58,NA,IDR
2016-01-08,1015.09,NA,IDR
2016-01-12,1014.25,NA,IDR
2016-01-18,1005.68,NA,IDR
2016-01-20,999.73,NA,IDR
2016-01-27,1031.35,NA,IDR
2016-01-28,1035.33,NA,IDR
2016-02-01,NA,29390000000.0,IDR
2016-02-04,1056.65,NA,IDR
2016-02-09,1072.83,NA,IDR
2016-02-11,1077.71,NA,IDR
2016-02-16,1074.72,NA,IDR
2016-02-19,1062.31,NA,IDR
2016-02-25,1052.12,NA,IDR
2016-02-26,1066.92,NA,IDR
2016-03-01,NA,31060000000.0,IDR
2016-03-07,1116.17,NA,IDR
2016-03-14,1132.48,NA,IDR
2016-03-15,1123.71,NA,IDR
2016-03-21,1138.13,NA,IDR
2016-03-28,1117.42,NA,IDR
2016-04-01,NA,32060000000.000004,IDR
2016-04-04,1134.01,NA,IDR
2016-04-11,1139.83,NA,IDR
2016-04-13,1167.35,NA,IDR
2016-04-18,1164.87,NA,IDR
2016-04-22,1177.36,NA,IDR
2016-04-26,1161.31,NA,IDR
2016-05-01,NA,32290000000.0,IDR
2016-05-02,1173.37,NA,IDR
2016-05-03,1175.94,NA,IDR
2016-05-11,1173.84,NA,IDR
2016-05-18,1166.12,NA,IDR
2016-05-23,1165.22,NA,IDR
2016-05-26,1181.25,NA,IDR
2016-05-30,1193.12,NA,IDR
2016-06-01,NA,34000000000.0,IDR
2016-06-02,1193.64,NA,IDR
2016-06-09,1217.96,NA,IDR
2016-06-10,1213.8,NA,IDR
2016-06-17,1199.33,NA,IDR
2016-06-20,1209.72,NA,IDR
2016-06-27,1203.78,NA,IDR
2016-06-28,1214.39,NA,IDR
2016-07-01,NA,35370000000.0,IDR
2016-07-11,1260.96,NA,IDR
2016-07-18,1316.92,NA,IDR
2016-07-25,1319.92,NA,IDR
2016-07-26,1323.69,NA,IDR
2016-08-01,1380.67,39960000000.0,IDR
2016-08-05,1416.39,NA,IDR
2016-08-09,1424.71,NA,IDR
2016-08-15,1393.83,NA,IDR
2016-08-16,1402.76,NA,IDR
2016-08-24,1413.59,NA,IDR
2016-08-31,1399.84,NA,IDR
2016-09-01,NA,44080000000.0,IDR
2016-09-05,1394.16,NA,IDR
2016-09-07,1388.35,NA,IDR
2016-09-13,1346.94,NA,IDR
2016-09-15,1358.3,NA,IDR
2016-09-22,1389.73,NA,IDR
2016-09-30,1397.29,NA,IDR
2016-10-01,NA,62220000000.0,IDR
2016-10-03,1427.71,NA,IDR
2016-10-07,1412.56,NA,IDR
2016-10-11,1415.62,NA,IDR
2016-10-17,1448.92,NA,IDR
2016-10-20,1456.79,NA,IDR
2016-10-24,1469.81,NA,IDR
2016-10-31,1511.87,NA,IDR
2016-11-01,NA,70210000000.0,IDR
2016-11-07,1512.05,NA,IDR
2016-11-08,1535.28,NA,IDR
2016-11-14,1479.61,NA,IDR
2016-11-18,1465.23,NA,IDR
2016-11-21,1476.4,NA,IDR
2016-11-28,1481.58,NA,IDR
2016-11-29,1487.91,NA,IDR
2016-12-01,NA,95370000000.0,IDR
2016-12-06,1541.79,NA,IDR
2016-12-07,1534.71,NA,IDR
2016-12-14,1536.75,NA,IDR
2016-12-16,1529.31,NA,IDR
2016-12-21,1493.58,NA,IDR
2016-12-27,1479.78,NA,IDR
2016-12-29,1528.3,NA,IDR
2017-01-01,NA,141960000000.0,IDR
2017-01-04,1532.98,NA,IDR
2017-01-05,1549.27,NA,IDR
2017-01-13,1569.92,NA,IDR
2017-01-16,1565.34,NA,IDR
2017-01-20,1583.47,NA,IDR
2017-01-23,1588.78,NA,IDR
2017-01-27,1622.87,NA,IDR
2017-02-01,NA,165280000000.0,IDR
2017-02-02,1641.28,NA,IDR
2017-02-06,1644.41,NA,IDR
2017-02-13,1661.7,NA,IDR
2017-02-20,1654.29,NA,IDR
2017-02-21,1636.11,NA,IDR
2017-02-27,1667.44,NA,IDR
2017-03-01,NA,227800000000.0,IDR
2017-03-03,1666.47,NA,IDR
2017-03-06,1670.11,NA,IDR
2017-03-13,1677.42,NA,IDR
2017-03-21,1742.75,NA,IDR
2017-03-22,1742.34,NA,IDR
2017-03-29,1763.67,NA,IDR
2017-03-31,1772.88,NA,IDR
2017-04-01,NA,258269999999.99997,IDR
2017-04-05,1800.08,NA,IDR
2017-04-10,1784.86,NA,IDR
2017-04-12,1794.49,NA,IDR
2017-04-20,1760.67,NA,IDR
2017-04-27,1807.62,NA,IDR
2017-05-01,NA,248030000000.0,IDR
2017-05-02,1785.21,NA,IDR
2017-05-05,1800.44,NA,IDR
2017-05-08,1812.26,NA,IDR
2017-05-12,1803.56,NA,IDR
2017-05-18,1797.69,NA,IDR
2017-05-22,1832.06,NA,IDR
2017-05-29,1812.39,NA,IDR
2017-06-01,NA,352920000000.0,IDR
2017-06-05,1816.87,NA,IDR
2017-06-06,1800.66,NA,IDR
2017-06-12,1796.28,NA,IDR
2017-06-15,1810.79,NA,IDR
2017-06-19,1821.06,NA,IDR
2017-07-01,NA,395770000000.0,IDR
2017-07-04,1859.68,NA,IDR
2017-07-11,1837.73,NA,IDR
2017-07-14,1871.81,NA,IDR
2017-07-18,1861.88,NA,IDR
2017-07-24,1845.49,NA,IDR
2017-07-26,1839.16,NA,IDR
2017-08-01,NA,447060000000.0,IDR
2017-08-02,1860.32,NA,IDR
2017-08-10,1841.43,NA,IDR
2017-08-11,1826.48,NA,IDR
2017-08-18,1860.25,NA,IDR
2017-08-21,1855.11,NA,IDR
2017-08-25,1867.42,NA,IDR
2017-08-30,1851.07,NA,IDR
2017-09-01,NA,483630000000.0,IDR
2017-09-04,1832.48,NA,IDR
2017-09-11,1841.4,NA,IDR
2017-09-18,1840.9,NA,IDR
2017-09-19,1845.89,NA,IDR
2017-09-25,1837.42,NA,IDR
2017-09-28,1807.41,NA,IDR
2017-10-01,NA,489970000000.0,IDR
2017-10-02,1829.54,NA,IDR
2017-10-09,1840.89,NA,IDR
2017-10-16,1844.96,NA,IDR
2017-10-17,1831.94,NA,IDR
2017-10-23,1858.53,NA,IDR
2017-10-27,1879.77,NA,IDR
2017-10-31,1880.83,NA,IDR
2017-11-01,NA,570000000000.0,IDR
2017-11-06,1893.44,NA,IDR
2017-11-07,1898.56,NA,IDR
2017-11-15,1882.69,NA,IDR
2017-11-22,1898.65,NA,IDR
2017-11-24,1890.38,NA,IDR
2017-11-30,1865.74,NA,IDR
2017-12-01,NA,620000000000.0,IDR
2017-12-04,1863.45,NA,IDR
2017-12-07,1848.73,NA,IDR
2017-12-13,1847.16,NA,IDR
2017-12-15,1868.17,NA,IDR
2017-12-22,1880.91,NA,IDR
2017-12-27,1896.87,NA,IDR
2018-01-01,NA,780000000000.0,IDR
2018-01-02,1926.53,NA,IDR
2018-01-08,1969.0,NA,IDR
2018-01-11,1979.59,NA,IDR
2018-01-15,2011.68,NA,IDR
2018-01-22,2047.91,NA,IDR
2018-01-29,2138.9,NA,IDR
2018-01-30,2106.72,NA,IDR
2018-02-01,NA,930000000000.0,IDR
2018-02-05,2113.89,NA,IDR
2018-02-08,2111.14,NA,IDR
2018-02-13,2130.97,NA,IDR
2018-02-19,2180.92,NA,IDR
2018-02-20,2158.48,NA,IDR
2018-02-27,2150.37,NA,IDR
2018-02-28,2153.26,NA,IDR
2018-03-01,NA,970000000000.0,IDR
2018-03-07,2098.06,NA,IDR
2018-03-09,2128.59,NA,IDR
2018-03-14,2096.55,NA,IDR
2018-03-19,2067.39,NA,IDR
2018-03-22,2063.97,NA,IDR
2018-03-28,2041.76,NA,IDR
2018-03-29,2053.2,NA,IDR
2018-04-01,NA,990000000000.0,IDR
2018-04-06,2068.21,NA,IDR
2018-04-13,2099.12,NA,IDR
2018-04-16,2099.57,NA,IDR
2018-04-23,2137.06,NA,IDR
2018-04-26,2024.25,NA,IDR
2018-04-30,2050.19,NA,IDR
2018-05-01,NA,950000000000.0,IDR
2018-05-07,2023.96,NA,IDR
2018-05-14,2041.16,NA,IDR
2018-05-15,2013.8,NA,IDR
2018-05-21,1988.78,NA,IDR
2018-05-24,2059.5,NA,IDR
2018-05-28,2079.5,NA,IDR
2018-06-01,NA,910000000000.0,IDR
2018-06-04,2068.9,NA,IDR
2018-06-05,2075.16,NA,IDR
2018-06-20,2039.48,NA,IDR
2018-06-22,2031.31,NA,IDR
2018-06-27,2007.59,NA,IDR
2018-07-01,NA,910000000000.0,IDR
2018-07-02,1955.36,NA,IDR
2018-07-05,1940.89,NA,IDR
2018-07-11,2009.46,NA,IDR
2018-07-12,2014.34,NA,IDR
2018-07-20,2024.57,NA,IDR
2018-07-27,2068.41,NA,IDR
2018-07-30,2083.44,NA,IDR
2018-08-01,NA,900000000000.0,IDR
2018-08-03,2089.51,NA,IDR
2018-08-08,2100.79,NA,IDR
2018-08-13,2011.89,NA,IDR
2018-08-20,2011.57,NA,IDR
2018-08-27,2043.87,NA,IDR
2018-09-01,NA,920000000000.0,IDR
2018-09-03,2046.34,NA,IDR
2018-09-06,1962.5,NA,IDR
2018-09-10,1985.71,NA,IDR
2018-09-17,2012.7,NA,IDR
2018-09-25,2011.6,NA,IDR
2018-10-01,NA,890000000000.0,IDR
2018-10-02,2008.99,NA,IDR
2018-10-04,1973.83,NA,IDR
2018-10-10,1971.66,NA,IDR
2018-10-15,1943.54,NA,IDR
2018-10-17,1970.95,NA,IDR
2018-10-23,1943.87,NA,IDR
2018-10-25,1915.51,NA,IDR
2018-11-01,1922.01,890000000000.0,IDR
2018-11-02,1955.94,NA,IDR
2018-11-09,1961.16,NA,IDR
2018-11-12,1939.99,NA,IDR
2018-11-16,1998.56,NA,IDR
2018-11-21,1961.76,NA,IDR
2018-11-26,1969.34,NA,IDR
2018-12-01,NA,920000000000.0,IDR
2018-12-03,1994.6,NA,IDR
2018-12-10,1990.0,NA,IDR
2018-12-17,1990.17,NA,IDR
2018-12-20,2004.19,NA,IDR
2018-12-26,1999.85,NA,IDR
2019-01-01,NA,940000000000.0,IDR
2019-01-02,2025.96,NA,IDR
2019-01-07,2075.41,NA,IDR
2019-01-08,2087.48,NA,IDR
2019-01-15,2122.3,NA,IDR
2019-01-17,2126.41,NA,IDR
2019-01-22,2109.77,NA,IDR
2019-01-28,2113.3,NA,IDR
2019-01-30,2109.79,NA,IDR
2019-02-01,NA,910000000000.0,IDR
2019-02-06,2159.15,NA,IDR
2019-02-14,2102.46,NA,IDR
2019-02-15,2084.45,NA,IDR
2019-02-21,2141.26,NA,IDR
2019-02-25,2153.51,NA,IDR
2019-03-01,2139.44,900000000000.0,IDR
2019-03-06,2102.99,NA,IDR
2019-03-08,2102.97,NA,IDR
2019-03-15,2135.17,NA,IDR
2019-03-18,2156.24,NA,IDR
2019-03-25,2121.66,NA,IDR
2019-04-01,2142.75,870000000000.0,IDR
2019-04-04,2149.36,NA,IDR
2019-04-08,2125.06,NA,IDR
2019-04-15,2119.8,NA,IDR
2019-04-22,2126.48,NA,IDR
2019-04-30,2153.72,NA,IDR
2019-05-01,NA,970000000000.0,IDR
2019-05-02,2138.28,NA,IDR
2019-05-07,2124.91,NA,IDR
2019-05-13,2117.49,NA,IDR
2019-05-14,2105.55,NA,IDR
2019-05-21,2093.99,NA,IDR
2019-05-22,2084.6,NA,IDR
2019-05-29,2147.1,NA,IDR
2019-05-31,2166.71,NA,IDR
2019-06-01,NA,1100000000000.0,IDR
2019-06-10,2205.26,NA,IDR
2019-06-13,2204.04,NA,IDR
2019-06-19,2220.92,NA,IDR
2019-06-21,2204.85,NA,IDR
2019-06-28,2227.89,NA,IDR
2019-07-01,NA,1450000000000.0,IDR
2019-07-08,2247.72,NA,IDR
2019-07-15,2279.56,NA,IDR
2019-07-17,2264.88,NA,IDR
2019-07-22,2279.72,NA,IDR
2019-07-29,2246.53,NA,IDR
2019-08-01,NA,1440000000000.0,IDR
2019-08-05,2195.66,NA,IDR
2019-08-12,2227.05,NA,IDR
2019-08-15,2229.75,NA,IDR
2019-08-20,2231.57,NA,IDR
2019-08-26,2196.67,NA,IDR
2019-08-27,2208.48,NA,IDR
2019-09-01,NA,1680000000000.0,IDR
2019-09-03,2198.2,NA,IDR
2019-09-04,2195.34,NA,IDR
2019-09-11,2249.96,NA,IDR
2019-09-12,2242.38,NA,IDR
2019-09-19,2198.71,NA,IDR
2019-09-23,2186.34,NA,IDR
2019-09-26,2185.55,NA,IDR
2019-10-01,2139.42,1770000000000.0,IDR
2019-10-03,2102.06,NA,IDR
