tanggal,NAV,AUM,currency
2022-12-22,998.48,NA,IDR
2022-12-26,992.15,NA,IDR
2022-12-27,991.45,NA,IDR
2022-12-29,988.91,NA,IDR
2022-12-30,989.28,NA,IDR
2023-01-01,NA,10290000000.0,IDR
2023-01-02,984.91,NA,IDR
2023-01-03,991.48,NA,IDR
2023-01-04,978.83,NA,IDR
2023-01-06,960.63,NA,IDR
2023-01-09,963.03,NA,IDR
2023-01-11,940.69,NA,IDR
2023-01-12,950.59,NA,IDR
2023-01-16,957.18,NA,IDR
2023-01-17,972.65,NA,IDR
2023-01-18,973.55,NA,IDR
2023-01-20,985.76,NA,IDR
2023-01-24,981.09,NA,IDR
2023-01-25,973.07,NA,IDR
2023-01-26,982.93,NA,IDR
2023-01-30,988.06,NA,IDR
2023-01-31,977.21,NA,IDR
2023-02-01,NA,10480000000.0,IDR
2023-02-02,976.07,NA,IDR
2023-02-03,986.07,NA,IDR
2023-02-06,983.58,NA,IDR
2023-02-07,992.15,NA,IDR
2023-02-08,996.29,NA,IDR
2023-02-10,994.23,NA,IDR
2023-02-13,990.69,NA,IDR
2023-02-15,993.55,NA,IDR
2023-02-16,988.18,NA,IDR
2023-02-20,989.4,NA,IDR
2023-02-21,983.65,NA,IDR
2023-02-22,975.56,NA,IDR
2023-02-24,984.09,NA,IDR
2023-02-27,986.47,NA,IDR
2023-03-01,983.59,10780000000.0,IDR
2023-03-02,985.29,NA,IDR
2023-03-06,975.33,NA,IDR
2023-03-07,971.79,NA,IDR
2023-03-09,980.9,NA,IDR
2023-03-10,975.88,NA,IDR
2023-03-13,980.28,NA,IDR
2023-03-14,957.47,NA,IDR
2023-03-15,955.94,NA,IDR
2023-03-17,970.94,NA,IDR
2023-03-20,964.75,NA,IDR
2023-03-21,979.68,NA,IDR
2023-03-24,996.73,NA,IDR
2023-03-27,988.96,NA,IDR
2023-03-28,993.08,NA,IDR
2023-03-29,1010.99,NA,IDR
2023-03-31,1004.91,NA,IDR
2023-04-01,NA,11180000000.0,IDR
2023-04-03,1010.58,NA,IDR
2023-04-05,1012.97,NA,IDR
2023-04-06,1012.42,NA,IDR
2023-04-10,1012.97,NA,IDR
