tanggal,NAV,AUM,currency
2014-10-27,991.91,NA,IDR
2014-11-01,NA,346920000.0,IDR
2014-11-03,993.21,NA,IDR
2014-11-11,994.49,NA,IDR
2014-11-18,995.95,NA,IDR
2014-11-26,997.59,NA,IDR
2014-12-01,NA,349150000.0,IDR
2014-12-04,999.17,NA,IDR
2014-12-11,1000.63,NA,IDR
2014-12-19,1002.3,NA,IDR
2014-12-29,1004.23,NA,IDR
2015-01-01,NA,351400000.0,IDR
2015-01-05,1005.63,NA,IDR
2015-01-12,1007.11,NA,IDR
2015-01-19,1008.59,NA,IDR
2015-01-26,1010.04,NA,IDR
2015-02-01,NA,350620000.0,IDR
2015-02-03,1011.66,NA,IDR
2015-02-10,1005.23,NA,IDR
2015-02-11,1005.44,NA,IDR
2015-02-17,1006.71,NA,IDR
2015-02-20,1007.34,NA,IDR
2015-02-25,1008.37,NA,IDR
2015-02-26,1008.58,NA,IDR
2015-03-01,NA,355330000.0,IDR
2015-03-04,1016.56,NA,IDR
2015-03-06,1016.98,NA,IDR
2015-03-12,1018.23,NA,IDR
2015-03-16,1019.07,NA,IDR
2015-03-19,1019.7,NA,IDR
2015-03-23,1020.53,NA,IDR
2015-03-27,1021.37,NA,IDR
2015-03-30,1021.99,NA,IDR
2015-04-01,NA,352380000.0,IDR
2015-04-06,1016.92,NA,IDR
2015-04-13,1018.07,NA,IDR
2015-04-20,1011.62,NA,IDR
2015-04-21,1011.83,NA,IDR
2015-04-27,1013.08,NA,IDR
2015-04-29,1013.5,NA,IDR
2015-05-01,NA,354190000.0,IDR
2015-05-04,1014.45,NA,IDR
2015-05-06,1014.49,NA,IDR
2015-05-11,1015.25,NA,IDR
2015-05-15,1016.07,NA,IDR
2015-05-18,1016.68,NA,IDR
2015-05-22,1017.5,NA,IDR
2015-05-26,1018.32,NA,IDR
2015-06-01,1019.47,1380000000.0,IDR
2015-06-03,1019.88,NA,IDR
2015-06-08,1020.69,NA,IDR
2015-06-10,1050.36,NA,IDR
2015-06-15,1048.12,NA,IDR
2015-06-17,1048.44,NA,IDR
2015-06-22,1049.21,NA,IDR
2015-06-25,1049.77,NA,IDR
2015-06-29,1050.31,NA,IDR
2015-07-01,NA,4720000000.0,IDR
2015-07-02,1050.76,NA,IDR
2015-07-07,1051.48,NA,IDR
2015-07-09,1051.14,NA,IDR
2015-07-15,1054.97,NA,IDR
2015-07-22,1056.09,NA,IDR
2015-07-24,1056.49,NA,IDR
2015-07-30,1057.67,NA,IDR
2015-08-01,NA,5770000000.0,IDR
2015-08-03,1058.53,NA,IDR
2015-08-07,1059.27,NA,IDR
2015-08-10,1059.9,NA,IDR
2015-08-14,1060.71,NA,IDR
2015-08-18,1061.04,NA,IDR
2015-08-24,1062.19,NA,IDR
2015-08-31,1063.61,NA,IDR
2015-09-01,NA,580000000.0,IDR
2015-09-07,1060.05,NA,IDR
2015-09-14,1058.55,NA,IDR
2015-09-15,1067.91,NA,IDR
2015-09-22,1069.12,NA,IDR
2015-09-30,1071.22,NA,IDR
2015-10-01,NA,590000000.0,IDR
2015-10-07,1072.92,NA,IDR
2015-10-15,1073.56,NA,IDR
2015-10-22,1075.4,NA,IDR
2015-10-23,1075.67,NA,IDR
2015-10-30,1077.51,NA,IDR
2015-11-01,NA,1780000000.0,IDR
2015-11-06,1079.04,NA,IDR
2015-11-09,1079.83,NA,IDR
2015-11-16,1079.43,NA,IDR
2015-11-23,1081.12,NA,IDR
2015-11-30,1083.47,NA,IDR
2015-12-01,NA,1840000000.0,IDR
2015-12-07,1085.06,NA,IDR
2015-12-08,1085.3,NA,IDR
2015-12-14,1086.2,NA,IDR
2015-12-16,1086.62,NA,IDR
2015-12-21,1087.43,NA,IDR
2015-12-23,1087.9,NA,IDR
2015-12-28,1089.07,NA,IDR
2016-01-01,NA,2410000000.0,IDR
2016-01-04,1090.16,NA,IDR
2016-01-05,1090.39,NA,IDR
2016-01-08,1091.08,NA,IDR
2016-01-12,1091.6,NA,IDR
2016-01-15,1091.74,NA,IDR
2016-01-20,1092.8,NA,IDR
2016-01-25,1093.76,NA,IDR
