tanggal,NAV,AUM,currency
2013-11-18,992.29,NA,IDR
2013-11-25,983.58,NA,IDR
2013-12-01,NA,22650000000.0,IDR
2013-12-03,978.63,NA,IDR
2013-12-12,960.39,NA,IDR
2013-12-20,948.2,NA,IDR
2013-12-30,950.92,NA,IDR
2014-01-01,NA,28960000000.0,IDR
2014-01-06,942.13,NA,IDR
2014-01-15,981.7,NA,IDR
2014-01-23,1002.0,NA,IDR
2014-02-01,NA,27370000000.0,IDR
2014-02-03,990.0,NA,IDR
2014-02-10,1001.41,NA,IDR
2014-02-17,1018.48,NA,IDR
2014-02-25,1019.74,NA,IDR
2014-03-01,NA,30010000000.0,IDR
2014-03-06,1043.26,NA,IDR
2014-03-14,1068.94,NA,IDR
2014-03-24,1049.71,NA,IDR
2014-04-01,1061.11,38180000000.0,IDR
2014-04-08,1066.23,NA,IDR
2014-04-17,1073.18,NA,IDR
2014-04-25,1078.97,NA,IDR
2014-05-01,NA,38280000000.0,IDR
2014-05-05,1060.9,NA,IDR
2014-05-12,1085.12,NA,IDR
2014-05-20,1067.61,NA,IDR
2014-05-30,1071.25,NA,IDR
2014-06-01,NA,37220000000.0,IDR
2014-06-06,1073.29,NA,IDR
2014-06-16,1054.68,NA,IDR
2014-06-23,1040.42,NA,IDR
2014-07-01,1045.44,38280000000.0,IDR
2014-07-10,1101.3,NA,IDR
2014-07-18,1100.32,NA,IDR
2014-08-01,NA,40330000000.0,IDR
2014-08-04,1116.81,NA,IDR
2014-08-12,1116.06,NA,IDR
2014-08-21,1142.64,NA,IDR
2014-08-29,1128.79,NA,IDR
2014-09-01,NA,33670000000.0,IDR
2014-09-08,1143.91,NA,IDR
2014-09-15,1119.91,NA,IDR
2014-09-23,1116.97,NA,IDR
2014-10-01,NA,33759999999.999996,IDR
2014-10-02,1060.63,NA,IDR
2014-10-10,1035.0,NA,IDR
2014-10-20,1028.61,NA,IDR
2014-10-27,1035.82,NA,IDR
2014-11-01,NA,31050000000.0,IDR
2014-11-04,1046.62,NA,IDR
2014-11-13,1033.03,NA,IDR
2014-11-21,1051.93,NA,IDR
2014-12-01,1058.77,31100000000.0,IDR
2014-12-08,1056.23,NA,IDR
2014-12-16,1031.63,NA,IDR
2014-12-29,1076.6,NA,IDR
2015-01-01,NA,31090000000.0,IDR
2015-01-02,1081.01,NA,IDR
2015-01-12,1073.13,NA,IDR
2015-01-19,1043.02,NA,IDR
2015-01-27,1070.89,NA,IDR
2015-02-01,NA,31360000000.0,IDR
2015-02-05,1082.29,NA,IDR
2015-02-10,1086.59,NA,IDR
2015-02-13,1095.53,NA,IDR
2015-02-17,1084.69,NA,IDR
2015-02-23,1092.43,NA,IDR
2015-02-25,1100.35,NA,IDR
2015-03-01,NA,30150000000.0,IDR
2015-03-02,1102.54,NA,IDR
2015-03-04,1090.03,NA,IDR
2015-03-10,1081.41,NA,IDR
2015-03-12,1067.85,NA,IDR
2015-03-19,1069.37,NA,IDR
2015-03-27,1036.38,NA,IDR
2015-04-01,NA,27930000000.0,IDR
2015-04-06,1051.87,NA,IDR
2015-04-13,1051.55,NA,IDR
2015-04-20,1037.02,NA,IDR
2015-04-21,1051.66,NA,IDR
2015-04-27,1004.91,NA,IDR
2015-04-30,981.05,NA,IDR
2015-05-01,NA,28680000000.0,IDR
2015-05-04,984.14,NA,IDR
2015-05-08,1001.11,NA,IDR
2015-05-11,1004.73,NA,IDR
2015-05-18,1022.38,NA,IDR
2015-05-25,1025.62,NA,IDR
2015-05-26,1032.19,NA,IDR
2015-06-01,NA,27970000000.0,IDR
2015-06-03,1001.87,NA,IDR
2015-06-10,963.97,NA,IDR
2015-06-17,956.41,NA,IDR
2015-06-19,963.0,NA,IDR
2015-06-25,963.0,NA,IDR
2015-06-29,947.47,NA,IDR
2015-07-01,NA,26580000000.0,IDR
2015-07-02,960.01,NA,IDR
2015-07-06,956.73,NA,IDR
2015-07-09,930.44,NA,IDR
2015-07-14,944.38,NA,IDR
2015-07-22,942.94,NA,IDR
2015-07-24,930.1,NA,IDR
2015-07-31,909.17,NA,IDR
2015-08-01,NA,23340000000.0,IDR
2015-08-03,902.49,NA,IDR
2015-08-10,882.42,NA,IDR
2015-08-18,822.04,NA,IDR
2015-08-24,733.43,NA,IDR
2015-08-25,748.23,NA,IDR
2015-08-31,798.45,NA,IDR
2015-09-01,NA,22490000000.0,IDR
2015-09-02,786.85,NA,IDR
2015-09-07,770.2,NA,IDR
2015-09-11,797.34,NA,IDR
2015-09-15,793.35,NA,IDR
2015-09-21,799.19,NA,IDR
2015-09-22,794.88,NA,IDR
2015-09-28,761.57,NA,IDR
2015-09-30,769.42,NA,IDR
2015-10-01,NA,24360000000.0,IDR
2015-10-06,802.12,NA,IDR
2015-10-07,813.99,NA,IDR
2015-10-15,829.78,NA,IDR
2015-10-22,848.49,NA,IDR
2015-10-23,862.17,NA,IDR
2015-10-30,833.35,NA,IDR
2015-11-01,NA,22750000000.0,IDR
2015-11-02,833.32,NA,IDR
2015-11-06,848.4,NA,IDR
2015-11-09,827.74,NA,IDR
2015-11-16,791.38,NA,IDR
2015-11-17,797.95,NA,IDR
2015-11-23,815.03,NA,IDR
2015-11-25,812.95,NA,IDR
2015-11-30,778.21,NA,IDR
2015-12-01,NA,22720000000.0,IDR
2015-12-04,790.76,NA,IDR
2015-12-07,791.99,NA,IDR
2015-12-14,743.27,NA,IDR
2015-12-21,765.62,NA,IDR
2015-12-28,770.81,NA,IDR
2015-12-29,772.46,NA,IDR
2016-01-01,NA,23360000000.0,IDR
2016-01-05,773.54,NA,IDR
2016-01-06,784.21,NA,IDR
2016-01-12,770.5,NA,IDR
2016-01-15,775.65,NA,IDR
2016-01-20,766.26,NA,IDR
2016-01-25,777.78,NA,IDR
2016-01-27,786.99,NA,IDR
2016-02-01,797.76,22270000000.0,IDR
2016-02-04,805.46,NA,IDR
2016-02-09,816.5,NA,IDR
2016-02-11,823.44,NA,IDR
2016-02-17,823.16,NA,IDR
2016-02-19,812.52,NA,IDR
2016-02-26,817.01,NA,IDR
2016-03-01,NA,23810000000.0,IDR
2016-03-07,861.38,NA,IDR
2016-03-14,873.73,NA,IDR
2016-03-21,880.68,NA,IDR
2016-03-22,878.33,NA,IDR
2016-03-28,868.73,NA,IDR
2016-03-30,874.56,NA,IDR
2016-04-01,NA,24970000000.0,IDR
2016-04-04,879.13,NA,IDR
2016-04-08,891.94,NA,IDR
2016-04-11,887.63,NA,IDR
2016-04-18,911.13,NA,IDR
2016-04-25,925.47,NA,IDR
2016-04-26,918.73,NA,IDR
2016-05-01,NA,24720000000.0,IDR
2016-05-03,906.56,NA,IDR
2016-05-11,901.9,NA,IDR
2016-05-18,900.74,NA,IDR
2016-05-20,889.37,NA,IDR
2016-05-26,906.62,NA,IDR
2016-05-30,917.42,NA,IDR
2016-06-01,NA,25840000000.0,IDR
2016-06-02,917.64,NA,IDR
2016-06-06,934.51,NA,IDR
2016-06-10,938.36,NA,IDR
2016-06-14,928.3,NA,IDR
2016-06-17,933.83,NA,IDR
2016-06-22,942.42,NA,IDR
2016-06-27,930.71,NA,IDR
2016-07-01,943.16,27870000000.0,IDR
2016-07-11,957.78,NA,IDR
2016-07-18,997.51,NA,IDR
2016-07-25,1004.94,NA,IDR
2016-07-26,1007.76,NA,IDR
2016-08-01,1043.06,23690000000.0,IDR
2016-08-03,1041.17,NA,IDR
2016-08-09,1076.68,NA,IDR
2016-08-12,1069.24,NA,IDR
2016-08-16,1058.72,NA,IDR
2016-08-22,1078.15,NA,IDR
2016-08-24,1072.44,NA,IDR
2016-08-29,1052.91,NA,IDR
2016-08-31,1050.97,NA,IDR
2016-09-01,NA,25620000000.0,IDR
2016-09-06,1042.7,NA,IDR
2016-09-07,1040.51,NA,IDR
2016-09-14,987.88,NA,IDR
2016-09-15,1007.7,NA,IDR
2016-09-22,1036.35,NA,IDR
2016-09-23,1030.86,NA,IDR
2016-09-30,1042.14,NA,IDR
2016-10-01,NA,33670000000.0,IDR
2016-10-03,1056.93,NA,IDR
2016-10-07,1051.69,NA,IDR
2016-10-10,1045.88,NA,IDR
2016-10-17,1080.6,NA,IDR
2016-10-18,1087.04,NA,IDR
2016-10-24,1086.54,NA,IDR
2016-10-26,1096.16,NA,IDR
2016-10-31,1105.27,NA,IDR
2016-11-01,NA,27990000000.0,IDR
2016-11-04,1088.02,NA,IDR
2016-11-07,1103.52,NA,IDR
2016-11-14,1083.61,NA,IDR
2016-11-21,1065.47,NA,IDR
2016-11-29,1074.95,NA,IDR
2016-12-01,NA,29000000000.0,IDR
2016-12-06,1101.61,NA,IDR
2016-12-07,1097.64,NA,IDR
2016-12-14,1098.57,NA,IDR
2016-12-16,1094.64,NA,IDR
2016-12-21,1073.51,NA,IDR
2016-12-27,1064.26,NA,IDR
2016-12-29,1097.4,NA,IDR
2017-01-01,NA,27210000000.0,IDR
2017-01-03,1091.69,NA,IDR
2017-01-05,1099.96,NA,IDR
2017-01-10,1114.75,NA,IDR
2017-01-13,1115.34,NA,IDR
2017-01-18,1119.71,NA,IDR
2017-01-20,1117.67,NA,IDR
2017-01-27,1117.61,NA,IDR
2017-02-01,NA,27990000000.0,IDR
2017-02-06,1127.52,NA,IDR
2017-02-13,1122.87,NA,IDR
2017-02-20,1110.32,NA,IDR
2017-02-21,1100.83,NA,IDR
2017-02-27,1112.97,NA,IDR
2017-03-01,1115.91,29650000000.0,IDR
2017-03-06,1135.72,NA,IDR
2017-03-10,1133.88,NA,IDR
2017-03-13,1135.32,NA,IDR
2017-03-20,1158.24,NA,IDR
2017-03-21,1172.42,NA,IDR
2017-03-27,1176.96,NA,IDR
2017-03-29,1200.95,NA,IDR
2017-04-01,NA,36690000000.0,IDR
2017-04-04,1231.68,NA,IDR
2017-04-05,1222.01,NA,IDR
2017-04-12,1225.33,NA,IDR
2017-04-20,1208.12,NA,IDR
2017-04-21,1222.39,NA,IDR
2017-04-27,1224.74,NA,IDR
2017-05-01,NA,37780000000.0,IDR
2017-05-02,1201.86,NA,IDR
2017-05-05,1183.23,NA,IDR
2017-05-08,1193.32,NA,IDR
2017-05-12,1188.87,NA,IDR
2017-05-16,1194.32,NA,IDR
2017-05-22,1206.3,NA,IDR
2017-05-24,1204.0,NA,IDR
2017-05-29,1194.97,NA,IDR
2017-06-01,NA,33619999999.999996,IDR
2017-06-02,1200.12,NA,IDR
2017-06-05,1198.61,NA,IDR
2017-06-12,1186.76,NA,IDR
2017-06-19,1190.24,NA,IDR
2017-07-01,NA,30380000000.0,IDR
2017-07-04,1202.1,NA,IDR
2017-07-05,1208.38,NA,IDR
2017-07-11,1207.05,NA,IDR
2017-07-14,1212.56,NA,IDR
2017-07-18,1214.67,NA,IDR
2017-07-24,1222.35,NA,IDR
2017-07-26,1220.77,NA,IDR
2017-07-31,1223.26,NA,IDR
2017-08-01,NA,25480000000.0,IDR
2017-08-02,1219.88,NA,IDR
2017-08-08,1234.29,NA,IDR
2017-08-10,1231.38,NA,IDR
2017-08-16,1228.7,NA,IDR
2017-08-18,1229.75,NA,IDR
2017-08-25,1230.02,NA,IDR
2017-09-01,NA,26180000000.0,IDR
2017-09-04,1214.57,NA,IDR
2017-09-11,1218.94,NA,IDR
2017-09-18,1227.25,NA,IDR
2017-09-19,1227.54,NA,IDR
2017-09-25,1218.84,NA,IDR
2017-09-27,1219.84,NA,IDR
2017-10-01,NA,31700000000.0,IDR
2017-10-02,1233.27,NA,IDR
2017-10-05,1248.63,NA,IDR
2017-10-09,1257.65,NA,IDR
2017-10-16,1275.22,NA,IDR
2017-10-23,1272.3,NA,IDR
2017-10-31,1281.63,NA,IDR
2017-11-01,NA,38120000000.0,IDR
2017-11-07,1299.73,NA,IDR
2017-11-08,1294.04,NA,IDR
2017-11-15,1292.32,NA,IDR
2017-11-16,1311.96,NA,IDR
2017-11-22,1297.08,NA,IDR
2017-11-27,1290.71,NA,IDR
2017-11-30,1293.13,NA,IDR
2017-12-01,NA,36330000000.0,IDR
2017-12-04,1282.2,NA,IDR
2017-12-07,1250.24,NA,IDR
2017-12-12,1271.36,NA,IDR
2017-12-15,1291.71,NA,IDR
2017-12-20,1292.37,NA,IDR
2017-12-22,1299.37,NA,IDR
2017-12-28,1303.9,NA,IDR
2018-01-01,NA,67930000000.00001,IDR
2018-01-02,1331.53,NA,IDR
2018-01-08,1393.1,NA,IDR
2018-01-15,1420.51,NA,IDR
2018-01-22,1451.24,NA,IDR
2018-01-23,1467.12,NA,IDR
2018-01-29,1504.6,NA,IDR
2018-01-31,1498.89,NA,IDR
2018-02-01,NA,131710000000.00002,IDR
2018-02-05,1513.96,NA,IDR
2018-02-08,1516.69,NA,IDR
2018-02-13,1525.71,NA,IDR
2018-02-19,1551.42,NA,IDR
2018-02-20,1539.73,NA,IDR
2018-02-26,1552.47,NA,IDR
2018-02-28,1561.39,NA,IDR
2018-03-01,NA,176930000000.0,IDR
