tanggal,NAV,AUM,currency
2008-05-30,1002.58,NA,IDR
2008-06-01,NA,41980000000.0,IDR
2008-06-12,968.68,NA,IDR
2008-06-24,986.69,NA,IDR
2008-07-01,NA,112100000000.0,IDR
2008-07-07,994.13,NA,IDR
2008-07-21,1032.77,NA,IDR
2008-07-31,1060.69,NA,IDR
2008-08-01,NA,117870000000.0,IDR
2008-08-13,1052.69,NA,IDR
2008-08-25,1034.28,NA,IDR
2008-09-01,NA,111580000000.0,IDR
2008-09-08,1033.36,NA,IDR
2008-09-19,1002.64,NA,IDR
2008-10-01,NA,92870000000.0,IDR
2008-10-06,952.37,NA,IDR
2008-10-14,893.59,NA,IDR
2008-10-27,783.23,NA,IDR
2008-11-01,NA,101110000000.0,IDR
2008-11-10,881.73,NA,IDR
2008-11-21,791.29,NA,IDR
2008-12-01,NA,18140000000.0,IDR
2008-12-03,885.4,NA,IDR
2008-12-16,992.86,NA,IDR
2008-12-30,1067.34,NA,IDR
2009-01-01,NA,70820000000.0,IDR
2009-01-12,1070.6,NA,IDR
2009-01-22,1074.08,NA,IDR
2009-02-01,NA,87000000000.0,IDR
2009-02-04,1079.29,NA,IDR
2009-02-16,1084.02,NA,IDR
2009-03-01,NA,81380000000.0,IDR
2009-03-02,1090.06,NA,IDR
2009-03-13,1110.39,NA,IDR
2009-03-27,1115.27,NA,IDR
2009-04-01,NA,116400000000.0,IDR
2009-04-07,1119.65,NA,IDR
2009-04-20,1125.11,NA,IDR
2009-05-01,NA,203270000000.0,IDR
2009-05-04,1130.53,NA,IDR
2009-05-15,1134.99,NA,IDR
2009-05-27,1139.76,NA,IDR
2009-06-01,NA,242710000000.0,IDR
2009-06-09,1145.11,NA,IDR
2009-06-22,1150.15,NA,IDR
2009-07-01,NA,302530000000.0,IDR
2009-07-06,1156.19,NA,IDR
2009-07-16,1162.27,NA,IDR
2009-07-29,1166.43,NA,IDR
2009-08-01,NA,345840000000.0,IDR
2009-08-10,1175.08,NA,IDR
2009-08-24,1180.39,NA,IDR
2009-09-01,NA,386730000000.0,IDR
2009-09-04,1184.26,NA,IDR
2009-09-16,1188.35,NA,IDR
2009-09-29,1192.81,NA,IDR
2009-10-01,NA,406990000000.0,IDR
2009-10-12,1197.23,NA,IDR
2009-10-26,1202.05,NA,IDR
2009-11-01,NA,443240000000.0,IDR
2009-11-05,1205.41,NA,IDR
2009-11-18,1209.81,NA,IDR
2009-11-30,1213.78,NA,IDR
2009-12-01,NA,498370000000.0,IDR
2009-12-14,1218.44,NA,IDR
2009-12-28,1223.14,NA,IDR
2010-01-01,NA,510000000000.0,IDR
2010-01-07,1226.61,NA,IDR
2010-01-19,1230.7,NA,IDR
2010-02-01,1235.13,520000000000.0,IDR
2010-02-15,1239.93,NA,IDR
2010-03-01,1244.71,560000000000.0,IDR
2010-03-10,1247.8,NA,IDR
2010-03-23,1252.21,NA,IDR
2010-04-01,NA,570000000000.0,IDR
2010-04-05,1256.62,NA,IDR
2010-04-19,1261.35,NA,IDR
2010-04-29,1264.63,NA,IDR
2010-05-01,NA,499370000000.0,IDR
2010-05-12,1268.78,NA,IDR
2010-05-24,1272.59,NA,IDR
2010-06-01,NA,550000000000.0,IDR
2010-06-07,1277.06,NA,IDR
2010-06-18,1280.58,NA,IDR
2010-07-01,1284.76,540000000000.00006,IDR
2010-07-13,1288.64,NA,IDR
2010-07-26,1292.9,NA,IDR
2010-08-01,NA,530000000000.0,IDR
2010-08-09,1297.51,NA,IDR
2010-08-20,1301.23,NA,IDR
2010-09-01,1305.17,550000000000.0,IDR
2010-09-14,1309.22,NA,IDR
2010-09-27,1313.28,NA,IDR
2010-10-01,NA,520000000000.0,IDR
2010-10-11,1317.63,NA,IDR
2010-10-21,1320.78,NA,IDR
2010-11-01,NA,482190000000.0,IDR
2010-11-03,1325.01,NA,IDR
2010-11-15,1328.97,NA,IDR
2010-11-29,1333.49,NA,IDR
2010-12-01,NA,477460000000.0,IDR
2010-12-10,1337.0,NA,IDR
2010-12-22,1340.85,NA,IDR
2011-01-01,NA,443760000000.0,IDR
2011-01-04,1345.04,NA,IDR
2011-01-17,1349.23,NA,IDR
2011-01-31,1353.77,NA,IDR
2011-02-01,NA,429840000000.0,IDR
2011-02-10,1357.02,NA,IDR
2011-02-23,1361.25,NA,IDR
2011-03-01,NA,408130000000.0,IDR
2011-03-07,1365.17,NA,IDR
2011-03-21,1369.76,NA,IDR
2011-04-01,1373.38,408890000000.0,IDR
2011-04-14,1377.66,NA,IDR
2011-04-26,1381.63,NA,IDR
2011-05-01,NA,380610000000.0,IDR
2011-05-09,1385.94,NA,IDR
2011-05-23,1390.6,NA,IDR
2011-06-01,NA,375920000000.0,IDR
2011-06-03,1394.27,NA,IDR
2011-06-15,1398.27,NA,IDR
2011-06-28,1402.54,NA,IDR
2011-07-01,NA,392230000000.0,IDR
2011-07-11,1406.48,NA,IDR
2011-07-25,1411.1,NA,IDR
2011-08-01,NA,348760000000.0,IDR
2011-08-04,1414.39,NA,IDR
2011-08-18,1418.94,NA,IDR
2011-09-01,NA,325970000000.0,IDR
2011-09-05,1424.72,NA,IDR
2011-09-12,1427.05,NA,IDR
2011-09-23,1430.44,NA,IDR
2011-10-01,NA,313220000000.0,IDR
2011-10-06,1434.31,NA,IDR
2011-10-18,1438.11,NA,IDR
2011-10-31,1442.37,NA,IDR
2011-11-01,NA,318120000000.0,IDR
2011-11-14,1447.49,NA,IDR
2011-11-25,1451.41,NA,IDR
2011-12-01,NA,366890000000.0,IDR
2011-12-07,1456.12,NA,IDR
2011-12-20,1460.79,NA,IDR
2012-01-01,NA,404360000000.0,IDR
2012-01-02,1465.55,NA,IDR
2012-01-16,1471.81,NA,IDR
2012-01-26,1481.01,NA,IDR
2012-02-01,NA,369850000000.0,IDR
2012-02-07,1498.46,NA,IDR
2012-02-20,1512.78,NA,IDR
