tanggal,NAV,AUM,currency
2000-01-17,1253.97,NA,IDR
2000-02-07,1206.02,NA,IDR
2000-02-23,1171.33,NA,IDR
2000-03-13,1168.14,NA,IDR
2000-04-03,1136.56,NA,IDR
2000-04-20,1067.17,NA,IDR
2000-05-08,1088.91,NA,IDR
2000-05-29,930.73,NA,IDR
2000-06-16,947.1,NA,IDR
2000-07-04,978.31,NA,IDR
2000-07-24,987.28,NA,IDR
2000-08-10,953.2,NA,IDR
2000-08-29,907.49,NA,IDR
2000-09-18,813.51,NA,IDR
2000-10-05,844.9,NA,IDR
2000-10-24,839.15,NA,IDR
2000-11-13,844.58,NA,IDR
2000-11-30,850.02,NA,IDR
2000-12-19,804.92,NA,IDR
2001-01-08,784.94,NA,IDR
2001-01-26,792.04,NA,IDR
2001-02-13,821.69,NA,IDR
2001-03-06,824.85,NA,IDR
2001-03-23,740.81,NA,IDR
2001-04-11,706.38,NA,IDR
2001-04-30,673.54,NA,IDR
2001-05-18,711.67,NA,IDR
2001-06-06,771.94,NA,IDR
2001-06-25,796.74,NA,IDR
2001-07-13,811.42,NA,IDR
2001-08-01,827.38,NA,IDR
2001-08-21,834.96,NA,IDR
2001-09-10,829.47,NA,IDR
2001-09-26,766.94,NA,IDR
2001-10-18,727.13,NA,IDR
2001-11-07,723.65,NA,IDR
2001-11-23,730.97,NA,IDR
2001-12-11,692.01,NA,IDR
2002-01-02,698.13,NA,IDR
2002-01-17,722.64,NA,IDR
2002-02-05,747.53,NA,IDR
2002-02-25,743.68,NA,IDR
2002-03-14,748.15,NA,IDR
2002-04-24,866.81,NA,IDR
2002-05-10,848.32,NA,IDR
2002-06-03,825.27,NA,IDR
2002-06-17,823.08,NA,IDR
2002-07-05,750.82,NA,IDR
2002-07-23,723.46,NA,IDR
2002-08-12,693.18,NA,IDR
2002-08-30,715.36,NA,IDR
2002-09-18,688.24,NA,IDR
2002-10-07,649.63,NA,IDR
2002-10-25,582.59,NA,IDR
