tanggal,NAV,AUM,currency
2008-04-22,1000.0,NA,IDR
2008-05-01,NA,253460000000.0,IDR
2008-05-05,1000.0,NA,IDR
2008-05-19,1000.0,NA,IDR
2008-05-30,1000.0,NA,IDR
2008-06-01,NA,302960000000.0,IDR
2008-06-11,1000.0,NA,IDR
2008-06-24,1000.0,NA,IDR
2008-07-01,NA,269680000000.0,IDR
2008-07-07,1000.0,NA,IDR
2008-07-21,1000.0,NA,IDR
2008-08-01,1000.0,226580000000.0,IDR
2008-08-13,1000.0,NA,IDR
2008-08-26,1000.0,NA,IDR
2008-09-01,NA,170860000000.0,IDR
2008-09-08,1000.0,NA,IDR
2008-09-22,1000.0,NA,IDR
2008-10-01,NA,71530000000.0,IDR
2008-10-06,1000.0,NA,IDR
2008-10-15,1000.0,NA,IDR
2008-10-28,1000.0,NA,IDR
2008-11-01,NA,102240000000.0,IDR
2008-11-10,1000.0,NA,IDR
2008-11-24,1000.0,NA,IDR
2008-12-01,NA,78190000000.0,IDR
2008-12-04,1000.0,NA,IDR
2008-12-17,1000.0,NA,IDR
2008-12-30,1000.0,NA,IDR
2009-01-01,NA,121140000000.0,IDR
2009-01-12,1000.0,NA,IDR
2009-01-23,1000.0,NA,IDR
2009-02-01,NA,126080000000.0,IDR
2009-02-05,1000.0,NA,IDR
2009-02-18,1000.0,NA,IDR
2009-03-01,NA,202180000000.0,IDR
2009-03-02,1000.0,NA,IDR
2009-03-16,1000.0,NA,IDR
2009-03-27,1000.0,NA,IDR
2009-04-01,NA,215800000000.0,IDR
2009-04-13,1000.0,NA,IDR
2009-04-21,1000.0,NA,IDR
2009-05-01,NA,164390000000.0,IDR
2009-05-04,1000.0,NA,IDR
2009-05-18,1000.0,NA,IDR
2009-05-29,1000.0,NA,IDR
2009-06-01,NA,174470000000.0,IDR
2009-06-11,1000.0,NA,IDR
2009-06-23,1000.0,NA,IDR
2009-07-01,NA,209310000000.0,IDR
2009-07-06,1000.0,NA,IDR
2009-07-21,1000.0,NA,IDR
2009-07-31,1000.0,NA,IDR
2009-08-01,NA,245310000000.0,IDR
2009-08-12,1000.0,NA,IDR
2009-08-25,1000.0,NA,IDR
2009-09-01,NA,251220000000.0,IDR
2009-09-07,1000.0,NA,IDR
2009-09-24,1000.0,NA,IDR
2009-10-01,NA,239010000000.0,IDR
2009-10-02,1000.0,NA,IDR
2009-10-14,1000.0,NA,IDR
2009-10-27,1000.0,NA,IDR
2009-11-01,NA,230960000000.0,IDR
2009-11-09,1000.0,NA,IDR
2009-11-23,1000.0,NA,IDR
2009-12-01,NA,225650000000.0,IDR
2009-12-04,1000.0,NA,IDR
2009-12-16,1000.0,NA,IDR
2009-12-29,1000.0,NA,IDR
2010-01-01,NA,266250000000.0,IDR
2010-01-11,1000.0,NA,IDR
2010-01-25,1000.0,NA,IDR
2010-02-01,NA,299500000000.0,IDR
2010-02-04,1000.0,NA,IDR
2010-02-17,1000.0,NA,IDR
2010-03-01,NA,362680000000.0,IDR
2010-03-02,1000.0,NA,IDR
2010-03-15,1000.0,NA,IDR
2010-03-29,1000.0,NA,IDR
2010-04-01,NA,399470000000.0,IDR
2010-04-08,1000.0,NA,IDR
2010-04-21,1000.0,NA,IDR
2010-05-01,NA,385900000000.0,IDR
2010-05-03,1000.0,NA,IDR
2010-05-17,1000.0,NA,IDR
2010-05-31,1000.0,NA,IDR
2010-06-01,NA,356430000000.0,IDR
2010-06-10,1000.0,NA,IDR
2010-06-23,1000.0,NA,IDR
2010-07-01,NA,324450000000.0,IDR
2010-07-05,1000.0,NA,IDR
2010-07-19,1000.0,NA,IDR
2010-07-30,1000.0,NA,IDR
2010-08-01,NA,343620000000.0,IDR
2010-08-12,1000.0,NA,IDR
2010-08-24,1000.0,NA,IDR
2010-09-01,NA,344320000000.0,IDR
2010-09-06,1000.0,NA,IDR
2010-09-20,1000.0,NA,IDR
2010-10-01,1000.0,322520000000.0,IDR
2010-10-14,1000.0,NA,IDR
2010-10-26,1000.0,NA,IDR
2010-11-01,NA,322640000000.0,IDR
2010-11-08,1000.0,NA,IDR
2010-11-22,1000.0,NA,IDR
2010-12-01,NA,244510000000.0,IDR
2010-12-03,1000.0,NA,IDR
2010-12-15,1000.0,NA,IDR
2010-12-28,1000.0,NA,IDR
2011-01-01,NA,262470000000.00003,IDR
2011-01-10,1000.0,NA,IDR
2011-01-24,1000.0,NA,IDR
2011-02-01,NA,279620000000.0,IDR
2011-02-04,1000.0,NA,IDR
2011-02-16,1000.0,NA,IDR
2011-03-01,1000.0,262970000000.00003,IDR
2011-03-14,1000.0,NA,IDR
2011-03-28,1000.0,NA,IDR
2011-04-01,NA,292670000000.0,IDR
2011-04-08,1000.0,NA,IDR
2011-04-20,1000.0,NA,IDR
2011-05-01,NA,319900000000.0,IDR
2011-05-03,1000.0,NA,IDR
2011-05-16,1000.0,NA,IDR
2011-05-30,1000.0,NA,IDR
2011-06-01,NA,330820000000.0,IDR
2011-06-09,1000.0,NA,IDR
2011-06-22,1000.0,NA,IDR
2011-07-01,NA,339460000000.0,IDR
2011-07-04,1000.0,NA,IDR
2011-07-18,1000.0,NA,IDR
2011-08-01,1000.0,362800000000.0,IDR
2011-08-11,1000.0,NA,IDR
2011-08-24,1000.0,NA,IDR
2011-09-01,NA,361740000000.0,IDR
2011-09-05,1000.0,NA,IDR
2011-09-19,1000.0,NA,IDR
2011-09-30,1000.0,NA,IDR
2011-10-01,NA,339970000000.0,IDR
2011-10-13,1000.0,NA,IDR
2011-10-26,1000.0,NA,IDR
2011-11-01,NA,375030000000.0,IDR
2011-11-07,1000.0,NA,IDR
2011-11-21,1000.0,NA,IDR
2011-12-01,NA,418300000000.0,IDR
2011-12-02,1000.0,NA,IDR
2011-12-15,1000.0,NA,IDR
2011-12-27,1000.0,NA,IDR
2012-01-01,NA,463650000000.0,IDR
2012-01-09,1000.0,NA,IDR
2012-01-24,1000.0,NA,IDR
2012-02-01,NA,448770000000.0,IDR
2012-02-03,1000.0,NA,IDR
2012-02-16,1000.0,NA,IDR
2012-02-28,1000.0,NA,IDR
2012-03-01,NA,550000000000.0,IDR
2012-03-12,1000.0,NA,IDR
2012-03-26,1000.0,NA,IDR
2012-04-01,NA,640000000000.0,IDR
2012-04-09,1000.0,NA,IDR
2012-04-18,1000.0,NA,IDR
2012-05-01,1000.0,570000000000.0,IDR
