tanggal,NAV,AUM,currency
2007-01-01,NA,24640000000.0,IDR
2007-01-11,945.05,NA,IDR
2007-01-24,999.61,NA,IDR
2007-02-01,NA,35830000000.0,IDR
2007-02-07,996.89,NA,IDR
2007-02-20,1015.05,NA,IDR
2007-03-01,NA,42050000000.0,IDR
2007-03-06,952.45,NA,IDR
2007-03-20,988.9,NA,IDR
2007-04-01,NA,53210000000.0,IDR
2007-04-02,1030.55,NA,IDR
2007-04-16,1096.81,NA,IDR
2007-04-30,1115.3,NA,IDR
2007-05-01,NA,82610000000.0,IDR
2007-05-14,1152.9,NA,IDR
2007-05-28,1206.64,NA,IDR
2007-06-01,NA,116530000000.0,IDR
2007-06-08,1190.29,NA,IDR
2007-06-22,1224.25,NA,IDR
2007-07-01,NA,151200000000.0,IDR
2007-07-05,1262.0,NA,IDR
2007-07-19,1330.04,NA,IDR
2007-08-01,1287.5,159240000000.0,IDR
2007-08-15,1119.59,NA,IDR
2007-08-29,1175.65,NA,IDR
2007-09-01,NA,181710000000.0,IDR
2007-09-11,1231.33,NA,IDR
2007-09-25,1327.63,NA,IDR
2007-10-01,NA,171310000000.0,IDR
2007-10-08,1394.58,NA,IDR
2007-10-22,1417.28,NA,IDR
2007-11-01,NA,194430000000.0,IDR
2007-11-05,1509.58,NA,IDR
2007-11-19,1534.29,NA,IDR
2007-12-01,NA,220120000000.0,IDR
2007-12-03,1592.16,NA,IDR
2007-12-17,1552.85,NA,IDR
2007-12-28,1618.14,NA,IDR
2008-01-01,NA,249610000000.0,IDR
2008-01-14,1629.8,NA,IDR
2008-01-24,1434.68,NA,IDR
2008-02-01,NA,259529999999.99997,IDR
2008-02-08,1519.63,NA,IDR
2008-02-20,1533.21,NA,IDR
2008-03-01,NA,232370000000.0,IDR
2008-03-05,1506.02,NA,IDR
2008-03-18,1293.1,NA,IDR
2008-04-01,1315.43,270950000000.0,IDR
2008-04-14,1223.31,NA,IDR
2008-04-28,1236.73,NA,IDR
2008-05-01,NA,298010000000.0,IDR
2008-05-12,1305.71,NA,IDR
2008-05-26,1351.14,NA,IDR
2008-06-01,NA,286390000000.0,IDR
2008-06-09,1357.32,NA,IDR
2008-06-23,1365.84,NA,IDR
2008-07-01,NA,254970000000.0,IDR
2008-07-04,1301.3,NA,IDR
2008-07-18,1115.62,NA,IDR
2008-08-01,1182.7,228360000000.0,IDR
2008-08-14,1074.87,NA,IDR
2008-08-28,1067.95,NA,IDR
2008-09-01,NA,171890000000.0,IDR
2008-09-10,855.09,NA,IDR
2008-09-24,858.03,NA,IDR
2008-10-01,NA,100860000000.0,IDR
2008-10-07,662.35,NA,IDR
2008-10-21,566.63,NA,IDR
2008-11-01,NA,95560000000.0,IDR
2008-11-03,528.1,NA,IDR
2008-11-17,464.39,NA,IDR
2008-12-01,461.98,94150000000.0,IDR
2008-12-15,497.64,NA,IDR
2008-12-30,476.3,NA,IDR
2009-01-01,NA,92240000000.0,IDR
2009-01-12,501.84,NA,IDR
2009-01-23,461.7,NA,IDR
2009-02-01,NA,94310000000.0,IDR
2009-02-06,488.71,NA,IDR
2009-02-19,488.66,NA,IDR
2009-03-01,NA,96320000000.0,IDR
2009-03-05,466.34,NA,IDR
2009-03-18,471.32,NA,IDR
2009-04-01,499.19,117320000000.0,IDR
2009-04-14,576.92,NA,IDR
2009-04-28,595.68,NA,IDR
2009-05-01,NA,135639999999.99998,IDR
2009-05-11,728.83,NA,IDR
2009-05-25,733.93,NA,IDR
2009-06-01,NA,135320000000.0,IDR
2009-06-08,804.02,NA,IDR
2009-06-22,722.26,NA,IDR
2009-07-01,NA,153960000000.0,IDR
2009-07-06,718.56,NA,IDR
2009-07-21,771.13,NA,IDR
2009-08-01,NA,152460000000.0,IDR
2009-08-03,848.21,NA,IDR
2009-08-14,895.51,NA,IDR
2009-08-28,863.46,NA,IDR
2009-09-01,NA,154620000000.0,IDR
2009-09-10,871.39,NA,IDR
2009-09-24,878.56,NA,IDR
2009-10-01,NA,141390000000.0,IDR
2009-10-07,887.29,NA,IDR
2009-10-21,883.17,NA,IDR
2009-11-01,NA,141180000000.0,IDR
2009-11-03,803.65,NA,IDR
2009-11-17,861.98,NA,IDR
2009-11-30,826.53,NA,IDR
2009-12-01,NA,145320000000.0,IDR
2009-12-14,860.31,NA,IDR
2009-12-28,856.87,NA,IDR
2010-01-01,NA,146660000000.0,IDR
2010-01-11,927.72,NA,IDR
2010-01-25,890.34,NA,IDR
2010-02-01,NA,155310000000.0,IDR
2010-02-08,848.36,NA,IDR
2010-02-19,862.54,NA,IDR
2010-03-01,NA,166620000000.0,IDR
2010-03-05,871.05,NA,IDR
2010-03-18,914.65,NA,IDR
2010-04-01,957.24,170240000000.0,IDR
2010-04-14,978.59,NA,IDR
2010-04-28,978.95,NA,IDR
2010-05-01,NA,151180000000.0,IDR
2010-05-12,930.31,NA,IDR
2010-05-25,759.07,NA,IDR
2010-06-01,NA,152090000000.0,IDR
2010-06-08,855.52,NA,IDR
2010-06-21,918.81,NA,IDR
2010-07-01,NA,155860000000.0,IDR
2010-07-05,882.0,NA,IDR
2010-07-19,903.01,NA,IDR
2010-08-01,NA,143840000000.0,IDR
2010-08-02,929.66,NA,IDR
2010-08-16,925.29,NA,IDR
2010-08-30,928.09,NA,IDR
2010-09-01,NA,153740000000.0,IDR
2010-09-14,955.1,NA,IDR
2010-09-24,1008.22,NA,IDR
2010-10-01,NA,149430000000.0,IDR
2010-10-07,1049.62,NA,IDR
2010-10-21,1066.9,NA,IDR
2010-11-01,NA,146050000000.0,IDR
2010-11-03,1048.39,NA,IDR
2010-11-18,1068.44,NA,IDR
2010-11-30,1041.44,NA,IDR
2010-12-01,NA,151160000000.0,IDR
2010-12-14,1093.07,NA,IDR
2010-12-27,1086.89,NA,IDR
2011-01-01,NA,134770000000.00002,IDR
2011-01-10,1054.39,NA,IDR
2011-01-24,976.56,NA,IDR
2011-02-01,NA,137980000000.0,IDR
2011-02-07,1018.04,NA,IDR
2011-02-21,1032.14,NA,IDR
2011-03-01,NA,147400000000.0,IDR
2011-03-07,1031.44,NA,IDR
2011-03-18,1013.04,NA,IDR
2011-04-01,1080.65,143850000000.0,IDR
2011-04-15,1094.1,NA,IDR
2011-04-28,1111.34,NA,IDR
2011-05-01,NA,145340000000.0,IDR
2011-05-12,1123.69,NA,IDR
2011-05-25,1111.53,NA,IDR
2011-06-01,NA,147050000000.0,IDR
2011-06-08,1139.73,NA,IDR
2011-06-21,1141.77,NA,IDR
2011-07-01,NA,155080000000.0,IDR
2011-07-05,1176.87,NA,IDR
2011-07-18,1210.74,NA,IDR
2011-08-01,1267.58,148030000000.0,IDR
2011-08-15,1221.17,NA,IDR
2011-09-01,NA,140060000000.0,IDR
2011-09-05,1193.6,NA,IDR
2011-09-12,1218.1,NA,IDR
2011-09-26,1032.22,NA,IDR
2011-10-01,NA,120100000000.0,IDR
2011-10-07,1047.04,NA,IDR
2011-10-21,1136.02,NA,IDR
2011-11-01,NA,114040000000.0,IDR
2011-11-03,1134.16,NA,IDR
2011-11-17,1182.15,NA,IDR
2011-11-30,1139.99,NA,IDR
2011-12-01,NA,119580000000.0,IDR
2011-12-14,1179.24,NA,IDR
2011-12-27,1177.25,NA,IDR
2012-01-01,NA,123470000000.0,IDR
2012-01-10,1247.41,NA,IDR
2012-01-24,1249.79,NA,IDR
2012-02-01,NA,125350000000.0,IDR
2012-02-06,1243.93,NA,IDR
2012-02-20,1289.17,NA,IDR
2012-03-01,NA,133800000000.00002,IDR
2012-03-05,1290.07,NA,IDR
2012-03-19,1321.05,NA,IDR
2012-04-01,NA,148130000000.0,IDR
2012-04-02,1376.68,NA,IDR
2012-04-16,1378.7,NA,IDR
2012-04-27,1393.0,NA,IDR
2012-05-01,NA,136810000000.0,IDR
2012-05-11,1329.06,NA,IDR
2012-05-24,1286.57,NA,IDR
2012-06-01,NA,149880000000.0,IDR
2012-06-07,1241.12,NA,IDR
2012-06-20,1271.98,NA,IDR
2012-07-01,NA,165880000000.0,IDR
2012-07-04,1327.05,NA,IDR
2012-07-17,1341.15,NA,IDR
2012-07-31,1349.14,NA,IDR
2012-08-01,NA,159760000000.0,IDR
2012-08-13,1312.44,NA,IDR
2012-08-27,1323.13,NA,IDR
2012-09-01,NA,174680000000.0,IDR
2012-09-10,1299.7,NA,IDR
2012-09-24,1334.16,NA,IDR
2012-10-01,NA,185100000000.0,IDR
2012-10-08,1363.47,NA,IDR
2012-10-22,1392.59,NA,IDR
2012-11-01,NA,205670000000.0,IDR
2012-11-02,1394.73,NA,IDR
2012-11-19,1400.05,NA,IDR
2012-11-29,1414.37,NA,IDR
2012-12-01,NA,225090000000.0,IDR
2012-12-13,1409.98,NA,IDR
2012-12-26,1408.51,NA,IDR
2013-01-01,NA,237590000000.0,IDR
2013-01-09,1404.61,NA,IDR
2013-01-23,1438.65,NA,IDR
2013-02-01,NA,234260000000.0,IDR
2013-02-05,1443.0,NA,IDR
2013-02-19,1474.78,NA,IDR
2013-03-01,NA,200780000000.0,IDR
