tanggal,NAV,AUM,currency
2020-01-01,NA,39290000000.0,IDR
2020-01-16,1011.38,NA,IDR
2020-01-20,1011.16,NA,IDR
2020-01-23,1017.21,NA,IDR
2020-01-27,1016.33,NA,IDR
2020-01-31,1020.28,NA,IDR
2020-02-01,NA,39350000000.0,IDR
2020-02-04,1020.8,NA,IDR
2020-02-07,1024.48,NA,IDR
2020-02-10,1025.02,NA,IDR
2020-02-11,1025.03,NA,IDR
2020-02-17,1029.74,NA,IDR
2020-02-19,1031.23,NA,IDR
2020-02-24,1032.02,NA,IDR
2020-02-26,1031.73,NA,IDR
2020-03-01,NA,37470000000.0,IDR
2020-03-02,1018.42,NA,IDR
2020-03-05,1037.6,NA,IDR
2020-03-09,1025.64,NA,IDR
2020-03-12,1018.74,NA,IDR
2020-03-13,1012.18,NA,IDR
2020-03-16,1007.35,NA,IDR
2020-03-20,972.85,NA,IDR
2020-03-24,949.88,NA,IDR
2020-03-27,966.15,NA,IDR
2020-03-30,970.18,NA,IDR
2020-03-31,971.52,NA,IDR
2020-04-01,NA,37630000000.0,IDR
2020-04-06,972.7,NA,IDR
2020-04-08,963.98,NA,IDR
2020-04-13,968.31,NA,IDR
2020-04-15,982.31,NA,IDR
2020-04-16,975.88,NA,IDR
2020-04-20,981.38,NA,IDR
2020-04-23,977.42,NA,IDR
2020-04-27,976.73,NA,IDR
2020-04-30,975.1,NA,IDR
2020-05-01,NA,38290000000.0,IDR
2020-05-04,972.66,NA,IDR
2020-05-05,969.23,NA,IDR
2020-05-08,963.74,NA,IDR
2020-05-11,964.33,NA,IDR
2020-05-12,965.41,NA,IDR
2020-05-15,972.1,NA,IDR
2020-05-18,978.56,NA,IDR
2020-05-19,981.65,NA,IDR
2020-05-20,984.3,NA,IDR
2020-05-26,989.07,NA,IDR
2020-05-27,1001.6,NA,IDR
2020-06-01,NA,39370000000.0,IDR
2020-06-02,997.08,NA,IDR
2020-06-03,1012.27,NA,IDR
2020-06-04,1013.75,NA,IDR
2020-06-08,1004.8,NA,IDR
2020-06-10,1012.11,NA,IDR
2020-06-11,1012.46,NA,IDR
2020-06-15,1012.19,NA,IDR
2020-06-18,1012.6,NA,IDR
2020-06-19,1013.12,NA,IDR
2020-06-22,1014.22,NA,IDR
2020-06-23,1012.61,NA,IDR
2020-06-25,1020.51,NA,IDR
2020-06-29,1019.56,NA,IDR
2020-06-30,1020.9,NA,IDR
2020-07-01,NA,40160000000.0,IDR
2020-07-03,1020.99,NA,IDR
2020-07-06,1021.31,NA,IDR
2020-07-08,1023.65,NA,IDR
2020-07-10,1027.53,NA,IDR
2020-07-13,1029.65,NA,IDR
2020-07-14,1028.15,NA,IDR
2020-07-15,1029.4,NA,IDR
2020-07-17,1029.82,NA,IDR
2020-07-20,1030.06,NA,IDR
2020-07-21,1032.66,NA,IDR
2020-07-23,1035.51,NA,IDR
2020-07-27,1040.4,NA,IDR
2020-07-29,1038.29,NA,IDR
2020-08-01,NA,40870000000.0,IDR
2020-08-03,1039.79,NA,IDR
2020-08-05,1040.65,NA,IDR
2020-08-07,1041.63,NA,IDR
2020-08-10,1042.46,NA,IDR
2020-08-11,1044.1,NA,IDR
2020-08-13,1049.44,NA,IDR
2020-08-18,1057.08,NA,IDR
2020-08-19,1060.13,NA,IDR
2020-08-24,1060.84,NA,IDR
2020-08-26,1059.81,NA,IDR
2020-08-28,1056.49,NA,IDR
2020-08-31,1058.11,NA,IDR
2020-09-01,NA,41110000000.0,IDR
2020-09-03,1056.86,NA,IDR
2020-09-04,1057.3,NA,IDR
2020-09-07,1058.0,NA,IDR
2020-09-08,1057.92,NA,IDR
2020-09-10,1056.59,NA,IDR
2020-09-14,1057.29,NA,IDR
2020-09-15,1058.57,NA,IDR
2020-09-18,1060.68,NA,IDR
2020-09-21,1061.17,NA,IDR
2020-09-22,1061.4,NA,IDR
2020-09-23,1061.36,NA,IDR
2020-09-25,1062.4,NA,IDR
2020-09-28,1062.89,NA,IDR
2020-09-29,1062.08,NA,IDR
2020-09-30,1062.89,NA,IDR
2020-10-01,NA,41610000000.0,IDR
2020-10-05,1063.05,NA,IDR
2020-10-07,1065.34,NA,IDR
2020-10-08,1065.52,NA,IDR
2020-10-12,1067.09,NA,IDR
