tanggal,NAV,AUM
2017-04-17,983.3,NA
2017-04-25,1007.23,NA
2017-05-01,NA,15240000000.0
2017-05-02,1005.0,NA
2017-05-05,1012.94,NA
2017-05-10,1006.34,NA
2017-05-16,997.63,NA
2017-05-22,1023.03,NA
2017-05-29,1013.22,NA
2017-06-01,NA,111420000000.0
2017-06-05,1026.43,NA
2017-06-09,1012.52,NA
2017-06-14,1043.15,NA
2017-06-20,1031.79,NA
2017-07-01,NA,111660000000.0
2017-07-03,1053.41,NA
2017-07-10,1025.31,NA
2017-07-14,1036.65,NA
2017-07-19,1031.45,NA
2017-07-25,1035.59,NA
2017-07-31,1036.2,NA
2017-08-01,NA,153490000000.0
2017-08-08,1029.7,NA
2017-08-14,1023.22,NA
2017-08-18,1037.9,NA
2017-08-23,1041.88,NA
2017-08-29,1038.88,NA
2017-09-01,NA,152060000000.0
2017-09-04,1019.67,NA
2017-09-11,1031.08,NA
2017-09-18,1026.48,NA
2017-09-22,1028.12,NA
2017-09-27,1017.99,NA
2017-10-01,NA,154270000000.0
2017-10-03,1032.32,NA
2017-10-09,1028.86,NA
2017-10-16,1035.88,NA
2017-10-23,1031.63,NA
2017-10-27,1031.86,NA
2017-11-01,1044.99,154140000000.0
2017-11-07,1056.76,NA
2017-11-13,1046.0,NA
2017-11-20,1054.79,NA
2017-11-27,1061.35,NA
2017-12-01,NA,335810000000.0
2017-12-04,1053.04,NA
2017-12-06,1064.31,NA
2017-12-12,1065.53,NA
2017-12-18,1080.64,NA
2017-12-27,1109.12,NA
2018-01-01,NA,360190000000.0
2018-01-02,1121.88,NA
2018-01-05,1126.18,NA
2018-01-11,1131.3,NA
2018-01-16,1140.34,NA
2018-01-22,1148.22,NA
2018-01-29,1171.89,NA
2018-02-01,NA,750000000000.0
2018-02-05,1153.03,NA
2018-02-09,1143.74,NA
2018-02-15,1153.73,NA
2018-02-20,1166.79,NA
2018-02-26,1136.98,NA
2018-03-01,NA,930000000000.0
2018-03-05,1131.03,NA
2018-03-12,1116.81,NA
2018-03-16,1077.09,NA
2018-03-22,1066.09,NA
2018-03-27,1054.79,NA
2018-04-01,NA,890000000000.0
2018-04-02,1063.51,NA
2018-04-09,1066.34,NA
2018-04-16,1073.41,NA
2018-04-20,1082.41,NA
2018-04-26,988.47,NA
2018-05-01,NA,890000000000.0
2018-05-02,1008.48,NA
2018-05-07,985.16,NA
2018-05-14,1013.48,NA
2018-05-21,957.53,NA
2018-05-25,1010.76,NA
2018-05-31,1006.89,NA
2018-06-01,NA,860000000000.0
2018-06-05,1029.65,NA
2018-06-20,979.58,NA
2018-06-25,972.17,NA
2018-06-29,962.33,NA
2018-07-01,NA,890000000000.0
2018-07-05,960.32,NA
2018-07-10,984.6,NA
2018-07-16,984.26,NA
2018-07-23,989.64,NA
2018-07-30,1009.65,NA
2018-08-01,NA,910000000000.0
2018-08-03,1005.52,NA
2018-08-09,1015.57,NA
2018-08-14,954.94,NA
2018-08-20,978.37,NA
2018-08-27,1006.01,NA
2018-09-01,NA,900000000000.0
2018-09-03,992.97,NA
2018-09-07,975.71,NA
2018-09-13,972.9,NA
2018-09-18,961.87,NA
2018-09-24,978.45,NA
2018-10-01,993.3,1010000000000.0
2018-10-08,953.76,NA
2018-10-12,952.85,NA
2018-10-18,971.29,NA
2018-10-24,941.55,NA
2018-10-29,953.35,NA
2018-11-01,NA,1050000000000.0
2018-11-05,995.55,NA
2018-11-12,957.85,NA
2018-11-16,1010.3,NA
2018-11-22,1005.42,NA
2018-11-28,1001.26,NA
2018-12-01,NA,1070000000000.0001
2018-12-03,1027.13,NA
2018-12-10,1022.62,NA
2018-12-17,1018.78,NA
2018-12-21,1037.9,NA
2018-12-27,1036.54,NA
2019-01-01,NA,920000000000.0
2019-01-02,1031.96,NA
2019-01-07,1051.98,NA
2019-01-14,1056.49,NA
2019-01-21,1077.16,NA
2019-01-25,1073.64,NA
2019-01-31,1081.3,NA
2019-02-01,NA,750000000000.0
2019-02-06,1078.19,NA
2019-02-11,1062.82,NA
2019-02-18,1058.32,NA
2019-02-25,1060.9,NA
2019-03-01,1057.91,720000000000.0
2019-03-08,1033.97,NA
2019-03-13,1035.09,NA
2019-03-18,1064.01,NA
2019-03-25,1041.43,NA
2019-04-01,1054.16,700000000000.0
2019-04-05,1058.96,NA
2019-04-11,1045.13,NA
2019-04-18,1066.35,NA
2019-04-22,1047.61,NA
2019-04-29,1049.77,NA
2019-05-01,NA,680000000000.0
2019-05-06,1021.82,NA
2019-05-10,1011.19,NA
2019-05-16,956.97,NA
2019-05-22,964.5,NA
2019-05-27,1004.18,NA
2019-06-01,NA,700000000000.0
2019-06-10,1046.02,NA
2019-06-14,1038.82,NA
2019-06-20,1057.03,NA
2019-06-26,1048.04,NA
2019-07-01,1067.78,710000000000.0
2019-07-08,1059.49,NA
2019-07-15,1072.31,NA
2019-07-19,1076.13,NA
2019-07-25,1066.39,NA
2019-07-31,1062.13,NA
2019-08-01,NA,680000000000.0
2019-08-06,1000.66,NA
2019-08-12,1022.62,NA
2019-08-19,1021.89,NA
2019-08-23,1013.12,NA
2019-08-29,1017.23,NA
2019-09-01,NA,479810000000.0
2019-09-04,1011.54,NA
2019-09-10,1029.21,NA
2019-09-16,1018.01,NA
2019-09-23,1009.92,NA
2019-09-27,1003.56,NA
2019-10-01,NA,466910000000.0
2019-10-03,968.08,NA
2019-10-09,966.22,NA
2019-10-15,991.92,NA
2019-10-21,1006.97,NA
2019-10-28,1025.31,NA
2019-11-01,1010.92,452650000000.0
