tanggal,NAV,AUM
2018-01-01,NA,40390000000.0
2018-01-30,1054.68,NA
2018-02-01,NA,131110000000.00002
2018-02-05,1057.88,NA
2018-02-09,1049.17,NA
2018-02-14,1062.12,NA
2018-02-21,1068.02,NA
2018-02-26,1041.95,NA
2018-03-01,NA,135919999999.99998
2018-03-02,1051.01,NA
2018-03-07,1007.74,NA
2018-03-13,1010.84,NA
2018-03-19,990.55,NA
2018-03-23,971.53,NA
2018-03-28,954.39,NA
2018-04-01,NA,129680000000.0
2018-04-03,974.72,NA
2018-04-09,977.5,NA
2018-04-13,978.22,NA
2018-04-18,989.78,NA
2018-04-24,967.06,NA
2018-04-30,916.82,NA
2018-05-01,NA,129509999999.99998
2018-05-04,880.12,NA
2018-05-09,920.57,NA
2018-05-15,898.88,NA
2018-05-21,868.0,NA
2018-05-25,920.81,NA
2018-05-30,926.79,NA
2018-06-01,NA,123420000000.0
2018-06-05,936.76,NA
2018-06-20,886.43,NA
2018-06-26,872.64,NA
2018-07-01,NA,127270000000.0
2018-07-02,866.37,NA
2018-07-06,860.86,NA
2018-07-11,894.57,NA
2018-07-17,884.53,NA
2018-07-23,902.65,NA
2018-07-27,912.69,NA
2018-08-01,919.72,129740000000.00002
2018-08-07,932.34,NA
2018-08-13,889.59,NA
2018-08-20,892.88,NA
2018-08-23,912.65,NA
2018-08-28,924.05,NA
2018-09-01,NA,129630000000.0
2018-09-03,908.3,NA
2018-09-07,897.53,NA
2018-09-12,881.37,NA
2018-09-18,882.77,NA
2018-09-24,897.84,NA
2018-09-28,916.42,NA
2018-10-01,NA,127090000000.0
2018-10-03,896.21,NA
2018-10-09,883.84,NA
2018-10-15,873.61,NA
2018-10-19,890.93,NA
2018-10-24,864.54,NA
2018-10-30,888.62,NA
2018-11-01,NA,133389999999.99998
2018-11-05,921.16,NA
2018-11-09,905.85,NA
2018-11-14,901.2,NA
2018-11-21,921.17,NA
2018-11-26,938.82,NA
2018-11-30,941.43,NA
2018-12-01,NA,136770000000.00002
2018-12-05,955.45,NA
2018-12-11,943.9,NA
2018-12-17,945.37,NA
2018-12-21,962.39,NA
2018-12-26,953.57,NA
2019-01-01,NA,71440000000.0
2019-01-02,956.6,NA
2019-01-07,973.37,NA
2019-01-11,983.29,NA
2019-01-16,989.25,NA
2019-01-21,997.73,NA
2019-01-28,985.0,NA
2019-02-01,1005.06,64870000000.00001
2019-02-06,997.35,NA
2019-02-11,985.16,NA
2019-02-18,982.5,NA
2019-02-22,978.76,NA
2019-02-27,984.89,NA
2019-03-01,NA,66000000000.0
2019-03-04,979.62,NA
2019-03-11,959.2,NA
2019-03-15,976.93,NA
2019-03-20,982.11,NA
2019-03-25,966.54,NA
2019-04-01,977.65,66780000000.0
2019-04-05,984.4,NA
2019-04-10,987.88,NA
2019-04-15,976.45,NA
2019-04-22,976.44,NA
2019-04-26,980.13,NA
2019-05-01,NA,65560000000.0
2019-05-02,976.82,NA
2019-05-06,957.06,NA
2019-05-13,936.91,NA
2019-05-17,878.36,NA
2019-05-22,901.12,NA
2019-05-27,940.99,NA
2019-06-01,NA,68269999999.99999
2019-06-10,982.25,NA
2019-06-12,979.05,NA
2019-06-17,964.94,NA
2019-06-24,979.51,NA
2019-06-28,994.42,NA
2019-07-01,NA,68980000000.0
2019-07-03,1001.02,NA
2019-07-08,994.69,NA
2019-07-15,1009.15,NA
2019-07-19,1011.89,NA
2019-07-24,1000.7,NA
2019-07-29,986.14,NA
2019-08-01,NA,87480000000.0
2019-08-05,952.8,NA
2019-08-09,966.17,NA
2019-08-14,962.25,NA
2019-08-19,957.86,NA
2019-08-26,942.12,NA
2019-08-30,970.49,NA
2019-09-01,NA,115010000000.0
2019-09-04,950.86,NA
2019-09-09,964.43,NA
2019-09-16,956.87,NA
2019-09-20,953.03,NA
2019-09-25,935.05,NA
2019-09-30,940.89,NA
2019-10-01,NA,116610000000.0
2019-10-07,903.53,NA
2019-10-11,918.23,NA
2019-10-16,932.24,NA
2019-10-21,945.06,NA
