tanggal,NAV,AUM
2016-08-22,999.89,NA
2016-08-29,998.13,NA
2016-09-05,1002.82,NA
2016-09-13,1000.15,NA
2016-09-19,998.71,NA
2016-09-23,1003.86,NA
2016-09-29,1003.37,NA
2016-10-06,1002.31,NA
2016-10-12,998.03,NA
2016-10-18,999.15,NA
2016-10-25,1000.32,NA
2016-10-31,994.4,NA
2016-11-07,989.09,NA
2016-11-14,969.56,NA
2016-11-21,960.94,NA
2016-11-25,946.77,NA
2016-12-01,952.21,NA
2016-12-08,973.39,NA
2016-12-14,970.13,NA
2016-12-20,964.67,NA
2016-12-27,965.28,NA
2017-01-03,965.35,NA
2017-01-09,975.48,NA
2017-01-16,983.75,NA
2017-01-23,988.15,NA
2017-01-27,986.4,NA
2017-02-03,984.96,NA
2017-02-09,988.7,NA
2017-02-16,990.7,NA
2017-02-22,988.52,NA
2017-02-28,990.42,NA
2017-03-06,994.71,NA
2017-03-13,996.63,NA
2017-03-20,1005.19,NA
2017-03-27,1012.25,NA
2017-04-03,1018.85,NA
2017-04-07,1017.0,NA
2017-04-13,1019.67,NA
2017-04-20,1021.56,NA
2017-04-26,1023.53,NA
2017-05-02,1024.75,NA
2017-05-09,1024.83,NA
2017-05-15,1023.96,NA
2017-05-22,1029.78,NA
2017-05-29,1031.08,NA
2017-06-05,1034.74,NA
2017-06-09,1036.5,NA
2017-06-16,1038.42,NA
2017-06-22,1039.72,NA
2017-07-03,1041.64,NA
2017-07-04,1040.75,NA
2017-07-11,1030.48,NA
2017-07-17,1036.24,NA
2017-07-24,1043.18,NA
2017-07-31,1041.97,NA
2017-08-07,1041.89,NA
2017-08-11,1044.67,NA
2017-08-18,1047.75,NA
2017-08-24,1050.37,NA
2017-08-30,1061.67,NA
2017-09-06,1071.55,NA
2017-09-12,1080.38,NA
2017-09-18,1077.54,NA
2017-09-25,1084.48,NA
2017-10-02,1085.3,NA
2017-10-09,1082.56,NA
2017-10-16,1086.88,NA
2017-10-20,1086.17,NA
2017-10-26,1079.93,NA
2017-11-02,1083.99,NA
2017-11-08,1088.12,NA
2017-11-14,1088.24,NA
2017-11-21,1091.85,NA
