tanggal,NAV,AUM
2014-04-14,1003.6,NA
2014-04-21,1008.73,NA
2014-04-30,1003.31,NA
2014-05-01,NA,22280000000.0
2014-05-08,1011.43,NA
2014-05-16,1053.97,NA
2014-05-26,1036.63,NA
2014-06-01,NA,23740000000.0
2014-06-02,1018.05,NA
2014-06-09,1012.62,NA
2014-06-17,1026.45,NA
2014-06-25,1009.1,NA
2014-07-01,NA,19200000000.0
2014-07-03,1017.06,NA
2014-07-11,1058.04,NA
2014-07-21,1081.67,NA
2014-08-01,NA,39120000000.0
2014-08-04,1071.27,NA
2014-08-05,1068.73,NA
2014-08-13,1076.86,NA
2014-08-21,1082.84,NA
2014-08-29,1059.72,NA
2014-09-01,NA,54900000000.0
2014-09-08,1082.91,NA
2014-09-15,1066.12,NA
2014-09-22,1079.49,NA
2014-09-30,1057.97,NA
2014-10-01,NA,59070000000.0
2014-10-08,1024.03,NA
2014-10-16,1022.61,NA
2014-10-27,1039.21,NA
2014-11-01,NA,60640000000.0
2014-11-03,1054.04,NA
2014-11-10,1022.08,NA
2014-11-18,1063.47,NA
2014-11-26,1082.35,NA
2014-12-01,NA,102470000000.0
2014-12-04,1101.92,NA
2014-12-12,1096.63,NA
2014-12-22,1084.67,NA
2014-12-29,1093.82,NA
2015-01-01,NA,131539999999.99998
2015-01-05,1104.18,NA
2015-01-13,1100.68,NA
2015-01-22,1114.03,NA
2015-01-30,1124.88,NA
2015-02-01,NA,115190000000.0
2015-02-09,1142.21,NA
2015-02-16,1133.28,NA
2015-02-23,1158.38,NA
2015-03-01,NA,172720000000.0
2015-03-02,1166.92,NA
2015-03-03,1163.65,NA
2015-03-10,1154.47,NA
2015-03-11,1141.57,NA
2015-03-17,1147.23,NA
2015-03-19,1152.12,NA
2015-03-25,1132.78,NA
2015-03-27,1135.29,NA
2015-04-01,1158.12,194860000000.0
2015-04-06,1167.98,NA
2015-04-09,1161.39,NA
2015-04-13,1150.72,NA
2015-04-16,1148.84,NA
2015-04-20,1144.32,NA
2015-04-24,1150.93,NA
2015-04-29,1072.95,NA
2015-05-01,NA,208130000000.0
2015-05-04,1083.29,NA
2015-05-07,1082.76,NA
2015-05-11,1085.98,NA
2015-05-15,1104.01,NA
2015-05-18,1106.51,NA
2015-05-25,1124.43,NA
2015-06-01,1113.07,270300000000.0
2015-06-08,1058.55,NA
2015-06-15,1008.3,NA
2015-06-16,1017.82,NA
2015-06-23,1035.75,NA
2015-06-24,1042.31,NA
2015-06-30,1026.15,NA
2015-07-01,NA,293660000000.0
2015-07-02,1041.6,NA
2015-07-07,1036.33,NA
2015-07-10,1026.98,NA
2015-07-15,1026.55,NA
2015-07-22,1040.26,NA
2015-07-27,1005.75,NA
2015-07-30,983.39,NA
2015-08-01,NA,335930000000.0
2015-08-04,1000.49,NA
2015-08-06,1011.95,NA
2015-08-12,941.58,NA
2015-08-14,968.54,NA
2015-08-20,936.23,NA
2015-08-21,910.59,NA
2015-08-28,947.88,NA
2015-08-31,963.23,NA
2015-09-01,NA,423490000000.0
2015-09-07,906.61,NA
2015-09-14,923.66,NA
2015-09-21,917.35,NA
2015-09-28,857.7,NA
2015-09-29,877.24,NA
2015-10-01,NA,540000000000.00006
2015-10-05,915.82,NA
2015-10-07,950.17,NA
2015-10-13,949.52,NA
2015-10-15,960.42,NA
2015-10-20,986.72,NA
2015-10-26,1017.98,NA
2015-10-28,997.17,NA
2015-11-01,NA,570000000000.0
2015-11-02,957.54,NA
2015-11-04,997.38,NA
2015-11-09,960.68,NA
2015-11-12,953.63,NA
2015-11-17,967.78,NA
2015-11-19,972.26,NA
2015-11-25,981.89,NA
2015-11-26,987.44,NA
2015-12-01,NA,690000000000.0
2015-12-03,973.43,NA
2015-12-04,968.51,NA
2015-12-11,952.96,NA
2015-12-21,974.05,NA
2015-12-28,987.9,NA
2016-01-01,NA,1150000000000.0
2016-01-04,1000.01,NA
2016-01-11,1079.95,NA
2016-01-12,1077.1,NA
2016-01-18,1074.84,NA
2016-01-21,969.84,NA
2016-01-25,987.38,NA
2016-01-29,1009.19,NA
2016-02-01,NA,1320000000000.0
2016-02-02,1000.32,NA
2016-02-09,1045.74,NA
2016-02-15,1047.18,NA
2016-02-17,1050.18,NA
2016-02-22,1011.21,NA
2016-02-24,1015.45,NA
2016-03-01,1036.39,1160000000000.0
2016-03-03,1049.81,NA
2016-03-10,1047.38,NA
2016-03-17,1066.98,NA
2016-03-18,1064.84,NA
2016-03-28,1043.62,NA
2016-04-01,NA,1150000000000.0
2016-04-04,1063.48,NA
2016-04-11,1042.8,NA
2016-04-18,1056.36,NA
2016-04-25,1058.95,NA
2016-04-27,1047.0,NA
2016-05-01,NA,1360000000000.0
2016-05-02,1038.54,NA
2016-05-09,1026.59,NA
2016-05-13,1038.24,NA
2016-05-16,1028.89,NA
2016-05-23,1033.11,NA
2016-05-24,1024.55,NA
2016-05-30,1053.83,NA
2016-05-31,1044.27,NA
2016-06-01,NA,1660000000000.0
2016-06-06,1069.14,NA
2016-06-08,1071.27,NA
2016-06-14,1049.54,NA
2016-06-15,1051.36,NA
2016-06-22,1071.03,NA
2016-06-23,1065.47,NA
2016-06-30,1100.36,NA
2016-07-01,NA,1510000000000.0
2016-07-11,1110.64,NA
2016-07-15,1111.85,NA
2016-07-18,1113.71,NA
2016-07-25,1129.8,NA
2016-08-01,1159.35,1560000000000.0
2016-08-02,1160.0,NA
2016-08-08,1187.36,NA
2016-08-10,1178.96,NA
2016-08-15,1154.83,NA
2016-08-18,1188.27,NA
2016-08-22,1178.83,NA
2016-08-26,1172.14,NA
2016-08-29,1155.03,NA
2016-09-01,NA,1910000000000.0
2016-09-05,1154.3,NA
2016-09-13,1116.67,NA
2016-09-19,1138.95,NA
2016-09-20,1138.95,NA
2016-09-27,1159.85,NA
2016-09-28,1159.08,NA
2016-10-01,NA,2009999999999.9998
2016-10-05,1153.95,NA
2016-10-13,1128.93,NA
2016-10-20,1142.78,NA
2016-10-24,1139.05,NA
2016-10-28,1135.0,NA
2016-10-31,1134.71,NA
2016-11-01,NA,1980000000000.0
2016-11-04,1107.55,NA
2016-11-07,1114.36,NA
2016-11-14,1049.34,NA
2016-11-15,1036.18,NA
2016-11-21,1050.14,NA
2016-11-23,1063.82,NA
2016-11-28,1038.25,NA
2016-12-01,1066.68,2029999999999.9998
2016-12-05,1078.95,NA
2016-12-09,1087.65,NA
2016-12-13,1082.45,NA
2016-12-19,1054.11,NA
2016-12-27,1031.17,NA
2017-01-01,NA,2009999999999.9998
2017-01-03,1071.05,NA
2017-01-10,1084.38,NA
2017-01-11,1079.95,NA
2017-01-18,1074.84,NA
2017-01-19,1076.76,NA
2017-01-25,1070.35,NA
2017-01-27,1072.27,NA
2017-02-01,NA,2049999999999.9998
2017-02-02,1081.41,NA
2017-02-06,1091.62,NA
2017-02-09,1085.54,NA
2017-02-13,1093.72,NA
2017-02-17,1080.09,NA
2017-02-20,1081.31,NA
2017-02-24,1093.55,NA
2017-02-28,1088.44,NA
2017-03-01,NA,2089999999999.9998
2017-03-06,1085.07,NA
2017-03-08,1082.05,NA
2017-03-13,1079.92,NA
2017-03-16,1104.45,NA
2017-03-20,1105.93,NA
2017-03-24,1117.05,NA
2017-03-27,1109.84,NA
2017-04-01,NA,2089999999999.9998
2017-04-03,1122.76,NA
2017-04-10,1121.57,NA
2017-04-17,1109.57,NA
2017-04-18,1115.82,NA
2017-04-25,1123.15,NA
2017-04-26,1134.55,NA
2017-05-01,NA,1900000000000.0
2017-05-03,1119.75,NA
2017-05-04,1123.33,NA
2017-05-10,1120.74,NA
2017-05-12,1122.63,NA
2017-05-18,1111.3,NA
2017-05-22,1135.84,NA
2017-05-26,1123.4,NA
2017-05-29,1122.42,NA
2017-06-01,NA,1890000000000.0
2017-06-02,1137.53,NA
2017-06-05,1139.49,NA
2017-06-09,1120.97,NA
2017-06-13,1132.02,NA
2017-06-16,1131.28,NA
2017-06-21,1152.52,NA
2017-07-01,NA,1830000000000.0
2017-07-03,1170.59,NA
2017-07-07,1150.58,NA
2017-07-10,1140.06,NA
2017-07-17,1150.61,NA
2017-07-24,1145.45,NA
2017-07-31,1151.02,NA
2017-08-01,1142.28,1850000000000.0
2017-08-08,1138.68,NA
2017-08-09,1139.95,NA
2017-08-15,1138.2,NA
2017-08-18,1149.39,NA
2017-08-23,1152.13,NA
2017-08-25,1153.36,NA
2017-08-30,1149.54,NA
2017-09-01,NA,1840000000000.0
