tanggal,NAV,AUM
2023-07-20,996.25,NA
2023-07-24,998.19,NA
2023-07-25,998.44,NA
2023-07-26,1003.69,NA
2023-07-27,993.32,NA
2023-07-28,998.17,NA
2023-07-31,1003.24,NA
2023-08-01,997.93,NA
2023-08-02,998.26,NA
2023-08-03,1007.37,NA
2023-08-04,1000.08,NA
2023-08-07,1007.79,NA
2023-08-08,1005.63,NA
2023-08-09,1013.71,NA
2023-08-10,1015.08,NA
2023-08-11,1012.6,NA
2023-08-14,1015.89,NA
2023-08-15,1006.37,NA
2023-08-16,1006.58,NA
2023-08-18,997.38,NA
2023-08-21,993.66,NA
2023-08-22,1003.28,NA
2023-08-23,1000.6,NA
2023-08-24,997.64,NA
2023-08-25,998.19,NA
2023-08-28,997.24,NA
2023-08-29,1000.36,NA
2023-08-30,1001.83,NA
2023-08-31,998.42,NA
2023-09-01,1001.28,NA
2023-09-04,1006.25,NA
2023-09-05,1008.26,NA
2023-09-06,1004.47,NA
2023-09-07,992.89,NA
2023-09-08,986.79,NA
2023-09-11,993.5,NA
2023-09-12,986.83,NA
2023-09-13,986.27,NA
2023-09-14,985.13,NA
2023-09-15,986.35,NA
2023-09-18,979.66,NA
2023-09-19,988.94,NA
2023-09-20,995.31,NA
2023-09-21,992.5,NA
2023-09-22,995.21,NA
2023-09-25,990.58,NA
2023-09-26,982.32,NA
2023-09-27,981.74,NA
2023-09-29,983.97,NA
2023-10-01,NA,97120000000.0
2023-10-02,990.69,NA
2023-10-04,988.5,NA
2023-10-05,984.28,NA
2023-10-06,985.34,NA
2023-10-09,979.48,NA
2023-10-11,982.93,NA
2023-10-12,990.64,NA
2023-10-13,989.54,NA
2023-10-16,983.24,NA
2023-10-18,971.96,NA
2023-10-19,956.34,NA
2023-10-20,959.86,NA
2023-10-23,945.48,NA
2023-10-24,957.82,NA
2023-10-26,938.33,NA
2023-10-27,939.58,NA
2023-10-30,936.75,NA
2023-10-31,933.33,97120000000.0
2023-11-01,NA,100400000000.0
2023-11-02,943.78,NA
2023-11-03,945.17,NA
2023-11-06,960.2,NA
2023-11-07,952.59,NA
2023-11-09,946.17,NA
2023-11-10,937.16,NA
2023-11-13,935.25,NA
2023-11-14,936.8,NA
2023-11-15,951.3,NA
2023-11-17,950.52,NA
2023-11-20,950.68,NA
2023-11-21,948.64,NA
2023-11-22,948.7,NA
2023-11-24,955.5,NA
2023-11-27,956.43,NA
2023-11-28,957.44,NA
2023-11-29,954.14,NA
2023-11-30,NA,100400000000.0
2023-12-01,957.79,87620000000.0
2023-12-04,963.1,NA
2023-12-05,964.56,NA
2023-12-06,959.4,NA
2023-12-07,957.28,NA
2023-12-11,947.3,NA
2023-12-12,946.44,NA
2023-12-13,940.14,NA
2023-12-14,963.29,NA
2023-12-18,961.29,NA
2023-12-19,966.09,NA
2023-12-20,964.08,NA
2023-12-21,963.73,NA
2023-12-27,971.7,NA
2023-12-28,981.46,NA
2023-12-29,980.5,87620000000.0
2024-01-01,NA,74660000000.0
2024-01-02,986.39,NA
2024-01-03,978.49,NA
2024-01-04,994.86,NA
2024-01-05,993.28,NA
2024-01-08,987.82,NA
2024-01-09,994.8,NA
2024-01-10,996.86,NA
2024-01-11,998.09,NA
2024-01-12,1006.89,NA
2024-01-15,1004.12,NA
2024-01-16,1003.31,NA
2024-01-17,999.37,NA
2024-01-18,996.09,NA
2024-01-19,995.4,NA
2024-01-22,993.76,NA
2024-01-23,987.79,NA
2024-01-24,985.83,NA
2024-01-25,977.29,NA
2024-01-26,972.7,NA
2024-01-29,985.18,NA
2024-01-30,993.22,NA
2024-01-31,994.91,74660000000.0
2024-02-01,999.05,55750000000.0
2024-02-02,1004.62,NA
2024-02-05,1001.0,NA
2024-02-06,1004.76,NA
2024-02-07,1005.73,NA
2024-02-12,1020.79,NA
2024-02-13,1010.02,NA
2024-02-15,1027.22,NA
2024-02-16,1031.27,NA
2024-02-19,1024.76,NA
2024-02-20,1039.1,NA
2024-02-21,1038.12,NA
2024-02-22,1029.32,NA
2024-02-23,1023.63,NA
2024-02-26,1022.23,NA
2024-02-27,1020.76,NA
2024-02-28,1026.69,NA
2024-02-29,1020.98,55750000000.0
