tanggal,NAV,AUM
2022-09-05,999.03,NA
2022-09-06,999.13,NA
2022-09-08,1001.18,NA
2022-09-12,1004.06,NA
2022-09-13,1005.11,NA
2022-09-15,1003.16,NA
2022-09-19,1001.74,NA
2022-09-21,1001.56,NA
2022-09-23,996.62,NA
2022-09-26,993.68,NA
2022-09-28,995.35,NA
2022-09-30,997.76,NA
2022-10-01,NA,357420000.0
2022-10-03,998.1,NA
2022-10-05,1000.25,NA
2022-10-07,999.11,NA
2022-10-10,997.3,NA
2022-10-11,994.74,NA
2022-10-12,994.62,NA
2022-10-14,994.48,NA
2022-10-17,992.42,NA
2022-10-18,993.09,NA
2022-10-20,989.78,NA
2022-10-24,986.03,NA
2022-10-25,985.49,NA
2022-10-27,989.62,NA
2022-10-31,990.6,NA
2022-11-01,993.33,366540000.0
2022-11-03,994.35,NA
2022-11-07,992.49,NA
2022-11-09,993.87,NA
2022-11-10,994.16,NA
2022-11-14,1000.83,NA
2022-11-16,1003.97,NA
2022-11-18,1002.35,NA
2022-11-21,1002.9,NA
2022-11-23,1009.61,NA
2022-11-25,1013.29,NA
2022-11-28,1013.57,NA
2022-11-29,1014.75,NA
2022-11-30,1017.78,NA
2022-12-01,NA,143090000.0
2022-12-02,1025.23,NA
2022-12-05,1024.44,NA
2022-12-06,1024.19,NA
2022-12-08,1022.13,NA
2022-12-09,1023.12,NA
2022-12-12,1022.9,NA
2022-12-13,1022.42,NA
2022-12-15,1018.87,NA
2022-12-19,1019.82,NA
2022-12-20,1020.0,NA
2022-12-22,1019.73,NA
2022-12-26,1020.46,NA
2022-12-28,1020.66,NA
2022-12-29,1021.62,NA
2023-01-01,NA,124670000.0
2023-01-02,1021.47,NA
2023-01-04,1020.98,NA
2023-01-06,1021.63,NA
2023-01-09,1023.66,NA
2023-01-11,1024.4,NA
2023-01-13,1026.31,NA
2023-01-16,1025.77,NA
2023-01-17,1024.7,NA
2023-01-18,1025.52,NA
2023-01-20,1025.35,NA
2023-01-24,1025.44,NA
2023-01-26,1024.3,NA
2023-01-27,1024.6,NA
2023-01-30,1025.45,NA
2023-01-31,1025.16,NA
2023-02-01,NA,121450000.0
2023-02-02,1026.2,NA
2023-02-06,1024.85,NA
2023-02-07,1024.92,NA
2023-02-09,1027.28,NA
2023-02-13,1024.27,NA
2023-02-15,1024.13,NA
2023-02-16,1025.48,NA
2023-02-20,1025.14,NA
2023-02-22,1022.45,NA
2023-02-24,1022.05,NA
2023-02-27,1020.73,NA
2023-03-01,1021.09,119340000.0
