tanggal,NAV,AUM
2018-12-01,NA,13560000000.0
2018-12-03,1004.34,NA
2018-12-10,990.23,NA
2018-12-13,1001.29,NA
2018-12-17,984.73,NA
2018-12-26,986.63,NA
2019-01-01,NA,9290000000.0
2019-01-02,995.35,NA
2019-01-07,1011.99,NA
2019-01-09,1009.45,NA
2019-01-14,1019.44,NA
2019-01-18,1047.7,NA
2019-01-23,1038.3,NA
2019-01-28,1030.14,NA
2019-02-01,1055.14,22500000000.0
2019-02-06,1046.41,NA
2019-02-11,1037.35,NA
2019-02-15,1005.37,NA
2019-02-20,1025.69,NA
2019-02-25,1028.1,NA
2019-03-01,1015.41,27160000000.0
2019-03-06,1007.83,NA
2019-03-11,994.09,NA
2019-03-15,1013.16,NA
2019-03-19,1022.87,NA
2019-03-25,1010.18,NA
2019-03-29,1035.6,NA
2019-04-01,NA,33049999999.999996
2019-04-02,1035.97,NA
2019-04-08,1042.73,NA
2019-04-12,1036.52,NA
2019-04-16,1047.98,NA
2019-04-22,1044.3,NA
2019-04-25,1036.64,NA
2019-04-30,1046.64,NA
2019-05-01,NA,35720000000.0
2019-05-06,1008.01,NA
2019-05-09,989.67,NA
2019-05-14,970.74,NA
2019-05-20,940.71,NA
2019-05-23,968.88,NA
2019-05-28,971.15,NA
2019-06-01,NA,27250000000.0
2019-06-10,1036.86,NA
2019-06-11,1035.36,NA
2019-06-17,1022.05,NA
2019-06-20,1050.79,NA
2019-06-24,1040.8,NA
2019-07-01,1065.51,26380000000.0
2019-07-04,1061.28,NA
2019-07-08,1050.98,NA
2019-07-15,1072.77,NA
2019-07-18,1064.71,NA
2019-07-22,1067.69,NA
2019-07-29,1049.82,NA
2019-07-31,1057.05,NA
2019-08-01,NA,37480000000.0
2019-08-05,1015.91,NA
2019-08-12,1025.19,NA
2019-08-14,1028.81,NA
2019-08-19,1018.66,NA
2019-08-23,1014.93,NA
2019-08-28,1019.42,NA
2019-09-01,NA,37970000000.0
2019-09-02,1024.83,NA
2019-09-06,1021.24,NA
2019-09-11,1030.23,NA
2019-09-16,1017.71,NA
2019-09-20,1014.81,NA
2019-09-25,1001.91,NA
2019-09-30,1009.45,NA
2019-10-01,NA,35430000000.0
2019-10-04,980.54,NA
2019-10-09,973.51,NA
2019-10-14,988.97,NA
2019-10-18,1004.16,NA
2019-10-23,1020.69,NA
2019-10-28,1020.1,NA
2019-11-01,1009.6,39800000000.0
2019-11-05,1027.84,NA
2019-11-11,1001.08,NA
2019-11-15,995.16,NA
2019-11-19,1005.98,NA
2019-11-25,990.83,NA
2019-11-28,972.04,NA
2019-12-01,NA,43620000000.0
2019-12-03,999.74,NA
2019-12-09,1011.73,NA
2019-12-12,1000.4,NA
2019-12-17,1022.93,NA
2019-12-23,1039.91,NA
2019-12-26,1041.21,NA
2020-01-01,NA,151280000000.0
2020-01-02,1037.18,NA
2020-01-06,1034.27,NA
2020-01-09,1036.8,NA
2020-01-14,1055.45,NA
2020-01-20,1042.89,NA
2020-01-23,1047.15,NA
2020-01-27,1030.82,NA
2020-02-01,NA,239880000000.0
2020-02-03,982.91,NA
2020-02-06,1007.16,NA
2020-02-10,1002.28,NA
2020-02-13,988.74,NA
2020-02-17,984.67,NA
2020-02-20,996.47,NA
2020-02-21,989.1,NA
2020-02-24,973.59,NA
2020-02-28,924.33,NA
2020-03-01,NA,180370000000.0
2020-03-02,904.11,NA
2020-03-03,936.95,NA
2020-03-04,965.91,NA
2020-03-09,858.87,NA
2020-03-10,879.73,NA
2020-03-16,791.87,NA
2020-03-18,711.7,NA
2020-03-23,631.57,NA
2020-03-26,703.85,NA
2020-03-27,748.16,NA
2020-03-30,723.09,NA
2020-04-01,730.79,221570000000.0
2020-04-02,736.64,NA
2020-04-06,777.91,NA
2020-04-09,744.29,NA
2020-04-13,735.57,NA
2020-04-15,731.13,NA
2020-04-17,729.98,NA
2020-04-20,721.12,NA
2020-04-21,707.51,NA
2020-04-24,700.74,NA
2020-04-28,705.43,NA
2020-04-29,712.19,NA
