tanggal,NAV,AUM
2008-05-23,NA,36920.0
2008-05-26,1082.98,NA
2008-06-04,NA,104680.0
2008-06-06,1089.55,NA
2008-06-17,NA,165110.0
2008-06-18,1071.43,NA
2008-06-30,NA,231780.0
2008-07-01,1078.28,NA
2008-07-11,NA,255740.0
2008-07-14,1030.27,NA
2008-07-24,NA,264470.0
2008-07-28,999.28,NA
2008-08-05,NA,261606.0
2008-08-07,955.45,NA
2008-08-19,NA,247750.0
2008-08-20,903.35,NA
2008-09-01,957.83,264100.0
2008-09-11,NA,215540.0
2008-09-15,730.07,NA
2008-09-24,NA,209090.0
2008-09-26,762.1,NA
2008-10-06,NA,168530.0
2008-10-08,550.66,NA
2008-10-20,NA,141880.0
2008-10-21,547.17,NA
2008-10-31,NA,118440.0
2008-11-03,525.33,NA
2008-11-12,NA,127980.0
2008-11-17,476.24,NA
2008-11-24,NA,107820.0
2008-11-27,457.7,NA
2008-12-09,NA,117390.0
2008-12-10,501.28,NA
2008-12-19,NA,130220.0
2008-12-22,513.05,NA
2009-01-05,556.31,137920.0
2009-01-13,NA,135610.0
2009-01-16,527.38,NA
2009-01-27,NA,126847.0
2009-01-29,512.31,NA
2009-02-09,NA,130199.99999999999
2009-02-10,524.62,NA
2009-02-19,NA,130910.0
2009-02-23,524.08,NA
2009-03-03,NA,123730.0
2009-03-10,512.41,NA
2009-03-16,NA,124270.0
2009-03-20,516.64,NA
2009-03-31,NA,134280.0
2009-04-01,568.49,NA
2009-04-13,NA,153600.0
2009-04-14,653.29,NA
2009-04-22,NA,166500.0
2009-04-27,670.29,NA
2009-05-04,NA,191350.0
2009-05-11,863.72,NA
2009-05-18,NA,236280.0
2009-05-22,904.46,NA
2009-05-29,NA,266200.0
2009-06-03,973.31,NA
2009-06-10,NA,311660.0
2009-06-15,981.43,NA
2009-06-23,NA,286096.0
2009-06-29,974.15,NA
2009-07-06,NA,314510.0
2009-07-10,968.79,NA
2009-07-17,NA,326550.0
2009-07-23,1022.59,NA
2009-07-30,NA,351760.0
2009-08-04,1132.55,NA
2009-08-11,NA,322300.0
2009-08-18,1145.12,NA
2009-08-24,NA,352420.0
2009-08-31,1129.11,NA
2009-09-07,NA,359910.0
2009-09-11,1161.59,NA
2009-09-17,NA,369250.0
2009-09-24,1181.18,NA
2009-09-30,NA,377930.0
2009-10-06,1199.17,NA
2009-10-12,NA,369090.0
2009-10-19,1215.11,NA
2009-10-26,NA,385540.0
2009-11-02,1129.82,NA
2009-11-06,NA,394530.0
2009-11-12,1147.95,NA
2009-11-18,NA,405169.0
2009-11-25,1167.33,NA
2009-11-30,NA,380920.0
2009-12-07,1157.35,NA
2009-12-14,NA,379930.0
2009-12-21,1119.35,NA
2009-12-28,NA,357940.0
2010-01-04,1191.27,NA
2010-01-06,NA,371710.0
2010-01-14,1275.46,NA
2010-01-19,NA,348130.0
2010-01-26,1230.02,NA
2010-02-01,NA,383570.0
2010-02-08,1180.12,NA
2010-02-15,NA,439230.0
2010-02-22,1219.11,NA
2010-02-25,NA,469350.0
2010-03-05,1234.84,NA
2010-03-09,NA,491530.0
2010-03-17,1320.58,NA
2010-03-22,NA,469320.0
2010-03-30,1338.95,NA
2010-04-05,NA,570000.0
2010-04-12,1385.69,NA
2010-04-15,NA,620000.0
2010-04-26,1425.24,NA
2010-04-28,NA,690000.0
2010-05-06,1338.31,NA
2010-05-10,NA,780000.0
2010-05-19,1287.6,NA
2010-05-24,NA,780000.0
2010-06-01,1270.55,NA
2010-06-04,NA,889507.0
2010-06-14,1301.89,NA
2010-06-16,NA,900000.0
2010-06-25,1339.91,NA
2010-06-29,NA,850000.0
2010-07-08,1335.33,NA
2010-07-13,NA,880000.0
2010-07-20,1358.3,NA
2010-07-23,NA,840000.0
2010-08-02,1403.32,NA
2010-08-05,NA,750000.0
2010-08-16,1398.27,NA
2010-08-18,NA,740000.0
2010-08-27,1438.83,NA
2010-08-30,NA,700000.0
2010-09-15,1535.5,690000.0
2010-09-21,1539.92,NA
2010-09-23,NA,660000.0
2010-10-04,1630.36,NA
2010-10-06,NA,680000.0
2010-10-18,1659.94,700000.0
2010-10-28,1686.72,NA
2010-11-01,NA,750000.0
2010-11-10,1730.16,NA
2010-11-12,NA,780000.0
2010-11-22,1706.34,NA
2010-11-24,NA,780000.0
2010-12-06,1728.98,830000.0
2010-12-17,1641.56,NA
2010-12-20,NA,870000.0
2010-12-30,1714.43,NA
2011-01-03,NA,960000.0
2011-01-11,1607.33,NA
2011-01-12,NA,1001430.0
2011-01-24,1539.85,NA
2011-01-25,NA,1029021.0
2011-02-07,1583.58,1060584.0
2011-02-18,1584.45,NA
2011-02-21,NA,1083793.0
2011-03-02,1564.12,NA
2011-03-03,NA,1087397.0
2011-03-15,1583.16,1101338.0
2011-03-28,1637.39,1133925.0
2011-04-11,1692.86,1166060.0
2011-04-21,1716.56,1241619.0
2011-05-04,1721.88,1253833.0
2011-05-16,1723.39,1332226.0
2011-05-30,1725.17,1418709.0
2011-06-10,1703.45,1413701.0
2011-06-22,1710.1,1447640.0
2011-07-05,1736.1,1445072.0
2011-07-18,1769.49,1397164.0
2011-07-29,NA,1302707.0
2011-08-01,1881.55,NA
2011-08-11,1731.67,1219539.0
2011-08-23,NA,1235361.0
2011-08-24,1728.45,NA
2011-09-05,1723.92,1236923.0
2011-09-19,1666.82,1187866.0
2011-09-29,NA,1100308.0
2011-09-30,1527.98,NA
2011-10-11,NA,1074521.0
2011-10-13,1586.14,NA
2011-10-24,NA,1154251.0
2011-10-25,1616.68,NA
2011-11-07,1641.19,1165934.0
2011-11-18,NA,1133761.0
