tanggal,NAV,AUM
2018-08-01,NA,15730000000.0
2018-09-01,NA,10750000000.0
2018-09-10,1003.24,NA
2018-09-14,1004.05,NA
2018-09-19,1004.35,NA
2018-09-24,1003.27,NA
2018-10-01,1006.11,10810000000.0
2018-10-03,1007.4,NA
2018-10-08,1008.03,NA
2018-10-15,1009.18,NA
2018-10-18,1009.73,NA
2018-10-23,1010.37,NA
2018-10-29,1011.08,NA
2018-11-01,1011.25,700000000.0
2018-11-06,1014.88,NA
2018-11-12,1009.23,NA
2018-11-15,1019.25,NA
2018-11-21,1018.4,NA
2018-11-26,1017.12,NA
2018-11-30,1015.9,NA
2018-12-01,NA,50320000000.0
2018-12-05,1009.69,NA
2018-12-10,1007.7,NA
2018-12-14,1006.95,NA
2018-12-19,1002.43,NA
2018-12-26,996.66,NA
2019-01-01,NA,50400000000.0
2019-01-02,996.58,NA
2019-01-07,997.43,NA
2019-01-14,998.61,NA
2019-01-17,999.11,NA
2019-01-22,999.97,NA
2019-01-28,1000.95,NA
2019-01-31,1001.42,NA
2019-02-01,NA,1050000000000.0
2019-02-06,1002.35,NA
2019-02-11,1003.14,NA
2019-02-15,1002.39,NA
2019-02-19,1003.14,NA
2019-02-25,1004.28,NA
2019-03-01,1004.87,1060000000000.0
2019-03-06,1005.81,NA
2019-03-11,1006.63,NA
2019-03-15,1007.22,NA
2019-03-20,1008.04,NA
2019-03-25,1008.84,NA
2019-04-01,1009.92,1060000000000.0
2019-04-04,1010.35,NA
2019-04-08,1011.03,NA
2019-04-15,1012.08,NA
2019-04-18,1012.6,NA
2019-04-23,1013.44,NA
2019-04-29,1014.38,NA
2019-05-01,NA,50580000000.0
2019-05-02,1014.84,NA
2019-05-07,1015.62,NA
2019-05-13,1016.44,NA
2019-05-17,1016.23,NA
2019-05-21,1016.6,NA
2019-05-27,1016.31,NA
2019-05-31,1016.93,NA
2019-06-01,NA,550000000000.0
2019-06-10,1017.34,NA
2019-06-14,1017.96,NA
2019-06-19,1018.73,NA
2019-06-24,1019.5,NA
2019-07-01,1009.44,550000000000.0
2019-07-03,1010.17,NA
2019-07-08,1010.71,NA
2019-07-15,1013.0,NA
2019-07-18,1013.56,NA
2019-07-23,1014.4,NA
2019-07-29,1014.81,NA
2019-08-01,1015.03,560000000000.0
2019-08-06,1015.38,NA
2019-08-12,1016.68,NA
2019-08-16,1017.16,NA
2019-08-20,1018.2,NA
2019-08-26,1019.19,NA
2019-08-30,1022.69,NA
2019-09-01,NA,520000000000.0
2019-09-04,1023.45,NA
2019-09-09,1023.99,NA
2019-09-13,1024.71,NA
2019-09-18,1025.62,NA
2019-09-23,1026.42,NA
2019-09-30,1028.28,NA
2019-10-01,NA,520000000000.0
2019-10-02,1028.67,NA
2019-10-07,1029.65,NA
2019-10-14,1030.98,NA
2019-10-17,1031.47,NA
2019-10-22,1032.56,NA
2019-10-28,1033.66,NA
2019-10-31,1034.52,NA
2019-11-01,NA,530000000000.0
2019-11-05,1035.55,NA
2019-11-11,1036.57,NA
2019-11-15,1037.01,NA
2019-11-19,1037.44,NA
2019-11-25,1038.26,NA
2019-11-29,1038.79,NA
2019-12-01,NA,12590000000.0
2019-12-04,1039.56,NA
2019-12-09,1043.04,NA
2019-12-13,1043.73,NA
2019-12-18,1044.31,NA
2019-12-23,1044.97,NA
2019-12-30,1078.95,NA
2020-01-01,NA,8090000000.0
2020-01-02,1076.99,NA
2020-01-06,1077.43,NA
2020-01-13,1078.27,NA
2020-01-16,1078.64,NA
2020-01-21,1079.25,NA
2020-01-27,1081.03,NA
2020-01-30,1081.95,NA
2020-02-01,NA,8220000000.000001
2020-02-04,1083.77,NA
2020-02-06,1084.52,NA
2020-02-10,1086.05,NA
2020-02-13,1087.18,NA
2020-02-14,1087.55,NA
2020-02-17,1088.74,NA
2020-02-18,1089.13,NA
2020-02-21,1090.05,NA
2020-02-24,1090.37,NA
2020-02-28,1090.81,NA
2020-03-01,NA,8220000000.000001
2020-03-03,1091.27,NA
2020-03-04,1091.42,NA
2020-03-09,1091.64,NA
2020-03-10,1092.26,NA
2020-03-13,1093.03,NA
2020-03-16,1094.26,NA
2020-03-18,1094.13,NA
2020-03-23,1093.84,NA
2020-03-26,1094.6,NA
2020-03-30,1095.49,NA
2020-04-01,NA,8270000000.0
2020-04-02,1094.65,NA
2020-04-06,1095.0,NA
2020-04-09,1095.32,NA
2020-04-13,1096.09,NA
2020-04-16,1095.88,NA
2020-04-17,1096.25,NA
2020-04-21,1096.95,NA
2020-04-24,1096.84,NA
2020-04-27,1097.05,NA
2020-04-28,1097.04,NA
2020-04-30,1097.36,NA
2020-05-01,NA,8539999999.999999
2020-05-04,1097.33,NA
2020-05-05,1097.43,NA
2020-05-11,1098.26,NA
2020-05-13,1098.71,NA
2020-05-15,1098.63,NA
2020-05-18,1098.85,NA
2020-05-19,1099.21,NA
2020-05-20,1099.38,NA
2020-05-26,1100.29,NA
2020-05-28,1100.46,NA
2020-05-29,1100.43,NA
2020-06-01,NA,8340000000.0
2020-06-02,1101.19,NA
2020-06-03,1101.8,NA
2020-06-04,1101.72,NA
2020-06-08,1101.96,NA
2020-06-12,1102.5,NA
2020-06-16,1103.08,NA
2020-06-17,1103.2,NA
2020-06-19,1103.49,NA
2020-06-22,1104.09,NA
2020-06-23,1104.28,NA
2020-06-29,1105.29,NA
2020-07-01,1105.11,11780000000.0
2020-07-02,1105.25,NA
2020-07-06,1105.74,NA
2020-07-08,1105.97,NA
2020-07-13,1106.56,NA
2020-07-15,1106.8,NA
2020-07-16,1106.93,NA
2020-07-20,1107.37,NA
2020-07-21,1107.64,NA
2020-07-23,1107.97,NA
2020-07-27,1108.37,NA
2020-07-30,1108.76,NA
2020-08-01,NA,18460000000.0
2020-08-03,1109.06,NA
2020-08-04,1109.16,NA
2020-08-07,1109.61,NA
2020-08-10,1110.01,NA
2020-08-11,1110.19,NA
2020-08-14,1110.55,NA
2020-08-18,1111.03,NA
2020-08-24,1111.69,NA
2020-08-26,1111.84,NA
2020-08-28,1112.07,NA
2020-08-31,1112.47,NA
2020-09-01,NA,21570000000.0
2020-09-02,1112.68,NA
2020-09-07,1113.49,NA
2020-09-10,1113.72,NA
2020-09-11,1113.83,NA
2020-09-14,1114.2,NA
2020-09-16,1114.09,NA
2020-09-17,1114.54,NA
2020-09-21,1114.74,NA
2020-09-24,1115.04,NA
2020-09-28,1115.45,NA
2020-10-01,1115.62,25270000000.0
2020-10-02,1115.68,NA
2020-10-05,1116.05,NA
2020-10-06,1118.24,NA
2020-10-09,1118.79,NA
2020-10-12,1119.26,NA
2020-10-13,1119.56,NA
2020-10-15,1119.87,NA
2020-10-19,1120.39,NA
2020-10-20,1120.53,NA
2020-10-21,1120.61,NA
2020-10-26,1122.02,NA
2020-11-01,NA,27390000000.0
2020-11-02,1122.95,NA
2020-11-03,1123.17,NA
2020-11-05,1123.52,NA
2020-11-09,1124.0,NA
2020-11-12,1124.38,NA
2020-11-13,1124.52,NA
2020-11-16,1124.89,NA
2020-11-18,1125.21,NA
2020-11-20,1125.38,NA
2020-11-23,1125.77,NA
2020-11-27,1126.2,NA
2020-12-01,1126.62,34170000000.0
2020-12-02,1126.88,NA
2020-12-07,1127.46,NA
2020-12-08,1127.76,NA
2020-12-11,1127.96,NA
2020-12-14,1128.19,NA
2020-12-16,1128.8,NA
2020-12-21,1129.43,NA
2020-12-23,1129.72,NA
2020-12-28,1130.21,NA
2021-01-01,NA,33900000000.0
2021-01-04,1131.79,NA
