tanggal,NAV,AUM
2004-04-29,1000.0,NA
2004-05-14,1000.0,NA
2004-05-31,1000.0,NA
2004-06-14,1000.0,NA
2004-06-30,1000.0,NA
2004-07-16,1000.0,NA
2004-08-02,1000.0,NA
2004-08-16,1000.0,NA
2004-08-31,1000.0,NA
2004-09-16,1000.0,NA
2004-10-01,1000.0,NA
2004-10-18,1000.0,NA
2004-11-01,1000.0,NA
2004-11-17,1000.0,NA
2004-12-02,1000.0,NA
2004-12-20,1000.0,NA
2005-01-03,1000.0,NA
2005-01-18,1000.0,NA
2005-01-31,NA,660000.0
2005-02-03,1000.0,NA
2005-02-18,1000.0,NA
2005-02-24,NA,680000.0
2005-03-07,1000.0,NA
2005-03-10,NA,630000.0
2005-03-21,1000.0,NA
2005-03-28,NA,1134055.0
2005-04-06,1000.0,NA
2005-04-11,NA,1714205.0
2005-04-21,1000.0,NA
2005-04-25,NA,2061525.0
2005-05-09,1000.0,NA
2005-05-10,NA,1800707.0
2005-05-23,1000.0,NA
2005-05-25,NA,1584164.0
2005-06-07,1000.0,NA
2005-06-09,NA,1378782.0
2005-06-22,1000.0,NA
2005-06-24,NA,1253117.0
2005-07-08,1000.0,NA
2005-07-11,NA,1254936.0
2005-07-25,1000.0,1304510.0
2005-08-08,1000.0,NA
2005-08-09,NA,1333957.0
2005-08-24,1000.0,1144828.0
2005-09-08,1000.0,402940.0
2005-09-23,NA,21331.6
2005-09-26,1000.0,NA
2005-10-10,1000.0,13170.0
2005-10-24,NA,8310.48
2005-10-25,1000.0,NA
2005-11-09,1000.0,6961.6
2005-11-22,NA,5356.73
2005-11-25,1000.0,NA
2005-12-08,NA,4035.93
2005-12-12,1000.0,NA
2005-12-23,NA,2736.73
2005-12-26,1000.0,NA
2006-01-09,NA,2506.88
2006-01-10,1000.0,NA
2006-01-23,NA,4533.9
2006-01-26,1000.0,NA
2006-02-06,NA,4811.35
2006-02-10,1000.0,NA
2006-02-21,NA,4785.25
2006-02-27,1000.0,NA
2006-03-08,NA,4705.06
2006-03-14,1000.0,NA
2006-03-24,NA,4315.26
2006-03-29,1000.0,NA
2006-04-11,NA,4192.55
2006-04-14,1000.0,NA
2006-04-24,NA,4197.09
2006-05-01,1000.0,NA
2006-05-08,NA,2194.86
2006-05-15,1000.0,NA
2006-05-23,NA,2101.48
2006-05-30,1000.0,NA
2006-06-07,NA,2157.78
2006-06-15,1000.0,NA
2006-06-22,NA,1860.85
2006-06-30,1000.0,NA
2006-07-07,NA,1954.07
2006-07-17,1000.0,NA
2006-07-24,NA,1933.07
2006-07-31,1000.0,NA
2006-08-07,NA,1734.75
2006-08-16,1000.0,NA
2006-08-22,NA,1739.69
2006-08-31,1000.0,NA
2006-09-06,NA,1580.36
2006-09-18,1000.0,NA
2006-09-21,NA,1442.79
2006-10-02,1000.0,NA
2006-10-06,NA,1447.57
2006-10-17,1000.0,NA
2006-10-30,NA,1316.97
2006-11-02,1000.0,NA
2006-11-06,NA,1320.47
2006-11-17,1000.0,NA
2006-11-21,NA,1288.08
2006-12-04,1000.0,NA
2006-12-06,NA,1344.48
2006-12-18,1000.0,NA
2006-12-21,NA,5900.6
2007-01-03,1000.0,NA
2007-01-05,NA,5452.88
2007-01-18,1000.0,NA
2007-01-22,NA,3318.29
2007-02-05,1000.0,3326.1
2007-02-19,1000.0,4929.37
2007-03-06,1000.0,NA
2007-03-07,NA,3333.14
2007-03-21,1000.0,NA
2007-03-22,NA,3341.75
2007-04-06,1000.0,NA
2007-04-09,NA,3535.36
2007-04-23,1000.0,3873.69
2007-05-07,1000.0,35340.0
2007-05-21,NA,42440.0
2007-05-23,1000.0,NA
2007-06-05,NA,44500.0
2007-06-07,1000.0,NA
2007-06-21,NA,45270.0
2007-06-25,1000.0,NA
2007-07-06,NA,52120.0
2007-07-09,1000.0,NA
2007-07-23,NA,52264.8
2007-07-24,1000.0,NA
2007-08-06,NA,44561.2
2007-08-08,1000.0,NA
2007-08-20,NA,54572.4
2007-08-24,1000.0,NA
2007-09-04,NA,68230.0
2007-09-10,1000.0,NA
2007-09-19,NA,72910.0
2007-09-24,1000.0,NA
2007-10-04,NA,75290.0
2007-10-09,1000.0,NA
2007-10-22,NA,105090.0
2007-10-25,1000.0,NA
2007-11-05,NA,105426.0
2007-11-12,1000.0,NA
2007-11-19,NA,79880.0
2007-11-26,1000.0,NA
2007-12-04,NA,86260.0
2007-12-11,1000.0,NA
2007-12-19,NA,97410.0
2007-12-26,1000.0,NA
2008-01-03,NA,99870.0
2008-01-11,1000.0,NA
2008-01-18,NA,92761.3
2008-01-28,1000.0,NA
2008-02-04,NA,78949.8
2008-02-11,1000.0,NA
2008-02-18,NA,75720.0
2008-02-26,1000.0,NA
2008-03-04,NA,79450.0
2008-03-13,1000.0,NA
2008-03-19,NA,76168.9
2008-03-28,1000.0,NA
2008-04-03,NA,80820.0
2008-04-14,1000.0,NA
2008-04-18,NA,65269.99999999999
2008-04-28,1000.0,NA
2008-05-05,NA,68090.0
2008-05-14,1000.0,NA
2008-05-19,NA,67550.0
2008-05-30,1000.0,NA
2008-06-03,NA,82853.4
2008-06-16,1000.0,NA
2008-06-18,NA,76870.0
2008-06-30,1000.0,NA
2008-07-03,NA,70262.5
2008-07-15,1000.0,NA
2008-07-18,NA,68260.0
2008-07-31,1000.0,NA
2008-08-04,NA,65646.7
2008-08-15,1000.0,NA
2008-08-19,NA,56580.0
2008-09-01,1000.0,56460.0
