tanggal,NAV,AUM
2014-02-28,NA,124130.0
2014-03-28,NA,7079.2
2014-04-30,NA,178840.0
2014-05-30,NA,47010.0
2014-06-30,NA,6955.72
2014-07-25,NA,7044.23
2014-08-29,NA,7152.72
2014-09-30,NA,17180.0
2014-10-31,NA,7153.64
2014-11-28,NA,6927.55
2014-12-30,NA,2011307.0
2015-01-30,NA,110050.0
2015-02-27,NA,210300.0
2015-03-31,NA,210430.0
2015-04-30,NA,210378.0
2015-05-29,NA,211630.0
2015-06-30,NA,212990.0
2015-07-31,NA,210900.0
2015-08-31,NA,181370.0
2015-09-30,NA,210390.0
2015-10-30,NA,210400.0
2015-11-30,NA,210400.0
2015-12-30,NA,210090.0
2016-01-29,NA,210120.0
2016-02-29,NA,210200.0
2016-03-31,NA,210240.0
2016-04-29,NA,130180.0
2016-07-29,NA,10002.3
2016-08-23,1089.11,NA
2016-08-30,1090.03,NA
2016-08-31,NA,11540.0
2016-09-05,1090.9,NA
2016-09-13,1092.01,NA
2016-09-19,1093.0,NA
2016-09-26,1093.96,NA
2016-09-30,1094.42,28580.0
2016-10-07,1094.88,NA
2016-10-13,1095.53,NA
2016-10-19,1096.2,NA
2016-10-26,1096.73,NA
2016-10-31,NA,29570.0
2016-11-01,1097.2,NA
2016-11-07,1097.76,NA
2016-11-14,1098.09,NA
2016-11-21,1098.66,NA
2016-11-28,1099.34,NA
2016-11-30,NA,36400.0
2016-12-02,1099.72,NA
2016-12-09,1100.09,NA
2016-12-15,1100.58,NA
2016-12-21,1100.99,NA
2016-12-28,1101.79,NA
2016-12-30,NA,18020.0
2017-01-03,1102.31,NA
2017-01-09,1102.55,NA
2017-01-16,1102.95,NA
2017-01-23,1103.6,NA
2017-01-30,1104.2,NA
2017-02-06,1104.76,NA
2017-02-10,1105.05,NA
2017-02-16,1105.44,NA
2017-02-23,1106.02,NA
2017-03-01,1106.54,NA
2017-03-07,1107.06,NA
2017-03-14,1107.66,NA
2017-03-20,1108.0,NA
2017-03-27,1108.51,NA
2017-04-03,1109.02,NA
2017-04-10,1109.39,NA
2017-04-17,1109.82,NA
2017-04-21,1110.2,NA
2017-04-27,1110.71,NA
2017-05-03,1110.99,NA
2017-05-09,1111.46,NA
2017-05-16,1111.85,NA
2017-05-22,1112.46,NA
2017-05-29,1112.89,NA
2017-06-05,1113.5,NA
2017-06-12,1113.92,NA
2017-06-16,1114.18,NA
2017-07-03,1115.74,NA
2017-07-05,1115.86,NA
2017-07-12,1116.41,NA
2017-07-18,1116.96,NA
2017-07-24,1117.52,NA
2017-07-31,1118.0,NA
2017-08-07,1118.55,NA
2017-08-14,1119.07,NA
2017-08-21,1119.48,NA
2017-08-25,1119.64,NA
2017-08-31,1119.97,NA
2017-09-07,1120.55,NA
2017-09-13,1120.95,NA
2017-09-19,1121.32,NA
2017-09-26,1121.74,NA
2017-10-02,1122.22,NA
2017-10-09,1122.52,NA
2017-10-16,1123.01,NA
2017-10-23,1123.5,NA
2017-10-27,1123.72,NA
2017-11-01,NA,55560000000.0
2017-11-03,1124.03,NA
2017-11-09,1124.52,NA
2017-11-15,1124.95,NA
2017-11-21,1125.34,NA
2017-11-28,1126.02,NA
2017-12-01,NA,47280000000.0
2017-12-04,1126.62,NA
2017-12-11,1127.47,NA
2017-12-18,1127.59,NA
2017-12-27,1128.15,NA
2017-12-29,1128.22,NA
2018-01-01,NA,55670000000.0
2018-01-05,1128.61,NA
2018-01-11,1129.01,NA
2018-01-17,1129.48,NA
2018-01-24,1130.13,NA
2018-01-30,1130.63,NA
2018-01-31,NA,1130.71
2018-02-01,NA,57420000000.0
