tanggal,NAV,AUM
2000-01-17,4575.74,NA
2000-02-07,4088.58,NA
2000-02-23,3764.36,NA
2000-03-13,3760.21,NA
2000-04-03,3609.03,NA
2000-04-20,3227.35,NA
2000-05-08,3358.85,NA
2000-05-29,2751.21,NA
2000-06-16,2882.63,NA
2000-07-03,2956.51,NA
2000-07-24,2984.95,NA
2000-08-10,2901.97,NA
2000-08-29,2874.96,NA
2000-09-18,2585.38,NA
2000-10-05,2640.79,NA
2000-10-24,2641.92,NA
2000-11-16,2639.86,NA
2000-11-30,2698.61,NA
2000-12-19,2601.15,NA
2001-01-08,2545.57,NA
2001-01-26,2580.8,NA
2001-02-13,2608.24,NA
2001-03-06,2649.02,NA
2001-03-23,2382.84,NA
2001-04-11,2396.97,NA
2001-04-30,2379.27,NA
2001-05-18,2501.69,NA
2001-06-06,2645.91,NA
2001-06-25,2865.81,NA
2001-07-13,2919.52,NA
2001-08-01,2929.39,NA
2001-08-20,2920.81,NA
2001-09-10,2954.34,NA
2001-09-26,2717.89,NA
2001-10-16,2620.11,NA
2001-11-05,2655.93,NA
2001-11-22,2725.19,NA
2001-12-11,2654.22,NA
2002-01-08,2783.69,NA
2002-01-17,3004.62,NA
2002-02-04,3178.7,NA
2002-02-25,3215.19,NA
2002-04-24,3875.41,NA
2002-05-10,3892.66,NA
2002-06-03,3804.4,NA
2002-06-17,3915.03,NA
2002-07-04,3581.24,NA
2002-07-23,3531.54,NA
2002-08-12,3334.85,NA
2002-08-30,3323.91,NA
2002-09-17,3219.86,NA
2002-10-07,2975.78,NA
2002-10-25,2626.58,NA
2002-11-13,2739.88,NA
2002-12-02,2900.56,NA
2002-12-20,3190.15,NA
2003-01-08,2914.06,NA
2003-01-27,2987.95,NA
2003-02-14,3028.7,NA
2003-03-06,2981.22,NA
2003-03-24,2978.81,NA
2003-04-14,3305.85,NA
2003-04-30,3401.01,NA
2003-05-19,3469.0,NA
2003-06-09,3891.1,NA
2003-06-26,3769.17,NA
2003-07-14,4039.68,NA
2003-08-04,3751.03,NA
2003-08-21,3940.22,NA
2003-09-08,4349.89,NA
2003-09-29,4455.03,NA
2003-10-16,4761.47,NA
2003-11-04,4599.42,NA
2003-12-01,4684.14,NA
2003-12-11,4791.32,NA
2003-12-30,5038.47,NA
2004-01-19,5676.59,NA
2004-02-05,5499.39,NA
2004-02-24,5815.0,NA
2004-03-15,5503.73,NA
2004-04-02,5701.76,NA
2004-04-20,6220.87,NA
2004-05-10,5596.31,NA
2004-05-28,5889.59,NA
2004-06-16,5671.78,NA
2004-07-06,6168.6,NA
2004-07-23,6239.04,NA
2004-07-30,NA,12837.0
2004-08-11,6172.26,NA
2004-08-30,6147.47,NA
2004-08-31,NA,12840.0
2004-09-17,6689.17,NA
2004-09-21,NA,6750.47
2004-10-04,NA,6957.85
2004-10-06,7002.57,NA
2004-10-18,NA,7027.48
2004-10-25,6978.54,NA
2004-11-02,NA,7271.53
2004-11-22,7732.96,7732.96
2004-12-01,8142.86,NA
2004-12-02,NA,8210.96
2004-12-17,NA,8269.89
2004-12-20,8184.03,NA
2005-01-03,NA,8476.48
2005-01-10,8624.29,NA
2005-01-17,NA,8717.16
2005-01-26,8874.17,NA
2005-02-01,NA,9024.49
2005-02-14,9034.22,NA
2005-02-17,NA,9250.31
2005-03-04,NA,9418.41
2005-03-07,9432.99,NA
2005-03-21,NA,9872.45
2005-03-24,9513.8,NA
2005-04-04,NA,9404.97
2005-04-11,9499.0,NA
2005-04-19,NA,9124.98
2005-05-02,8948.07,NA
2005-05-04,NA,9125.21
2005-05-19,9212.3,9212.3
2005-06-06,NA,9688.98
2005-06-07,9655.62,NA
2005-06-20,NA,10110.0
2005-06-27,9895.83,NA
2005-07-04,NA,10050.0
2005-07-14,9985.95,NA
2005-07-20,NA,10120.0
2005-08-02,10560.0,NA
2005-08-04,NA,10530.0
2005-08-19,NA,9722.79
2005-08-22,9610.22,NA
2005-09-05,NA,9317.34
2005-09-08,9608.43,NA
2005-09-19,NA,9544.83
2005-09-27,9349.97,NA
2005-10-04,NA,9931.86
2005-10-17,9809.84,NA
2005-10-20,NA,9742.16
2005-11-09,9528.06,9528.06
2005-11-21,NA,9564.67
2005-11-22,9694.14,NA
2005-12-05,NA,10220.0
2005-12-12,10730.0,NA
2005-12-20,NA,10540.0
2006-01-02,10694.8,NA
2006-01-04,NA,10910.0
2006-01-18,11240.0,NA
2006-01-19,NA,11520.0
2006-02-06,11810.0,11810.0
2006-02-20,NA,12250.0
2006-02-24,12110.0,NA
2006-03-06,NA,12480.0
2006-03-15,12520.0,NA
2006-03-22,NA,13000.0
2006-04-03,13340.0,NA
2006-04-06,NA,13480.0
2006-04-21,14770.0,14770.0
2006-05-08,NA,15700.0
2006-05-10,15920.0,NA
2006-05-22,NA,13200.0
2006-05-29,13640.0,NA
2006-06-06,NA,13510.0
2006-06-19,12740.0,NA
2006-06-21,NA,12730.0
2006-07-05,13830.0,NA
2006-07-07,NA,13880.0
2006-07-24,13630.0,13630.0
2006-08-07,NA,14480.0
2006-08-14,14490.0,NA
2006-08-22,NA,14674.4
2006-08-30,14430.0,NA
2006-09-06,NA,14740.0
2006-09-18,14499.7,NA
2006-09-21,NA,14810.0
2006-10-09,15000.0,15000.0
2006-10-30,15150.0,15150.0
2006-11-06,NA,15570.0
2006-11-13,15290.0,NA
2006-11-22,NA,15840.0
2006-12-04,15520.0,NA
2006-12-07,NA,16270.0
2006-12-21,16140.0,NA
2006-12-22,NA,16140.0
2007-01-08,NA,16500.0
2007-01-09,16110.0,NA
2007-01-22,NA,16050.0
2007-01-29,15780.0,NA
2007-02-06,NA,15860.0
2007-02-15,16059.999999999998,NA
2007-02-21,NA,16290.0
2007-03-06,15370.0,NA
2007-03-09,NA,15740.0
2007-03-26,16280.000000000002,16280.000000000002
2007-04-09,NA,17090.0
2007-04-12,17230.0,NA
2007-04-24,NA,17640.0
2007-05-01,17640.0,NA
2007-05-09,NA,18060.0
2007-05-21,18330.0,NA
2007-05-24,NA,18270.0
2007-06-08,18130.0,NA
2007-06-11,NA,18314.5
2007-06-25,NA,18920.0
2007-06-26,18940.0,NA
2007-07-09,NA,19830.0
2007-07-16,19940.0,NA
2007-07-24,NA,21230.0
2007-08-03,20060.0,NA
2007-08-09,NA,19770.0
2007-08-23,18420.0,NA
2007-08-24,NA,18520.0
2007-09-10,19230.2,19230.2
2007-09-24,NA,20990.0
2007-09-28,20960.0,NA
2007-10-09,NA,22340.0
2007-10-18,23260.0,NA
2007-10-24,NA,22460.0
2007-11-05,23330.0,NA
2007-11-09,NA,23770.0
2007-11-23,22650.0,NA
2007-11-26,NA,23300.0
2007-12-10,NA,24870.0
2007-12-12,24940.0,NA
2007-12-26,NA,24160.0
2008-01-02,24080.0,NA
2008-01-09,NA,24830.0
2008-01-18,22700.0,NA
2008-01-24,NA,21820.0
2008-02-06,22970.0,NA
2008-02-08,NA,22970.0
2008-02-25,24100.0,24100.0
2008-03-10,NA,21710.0
2008-03-17,19540.0,NA
2008-03-25,NA,20520.0
2008-04-02,19560.0,NA
2008-04-10,NA,18820.0
2008-04-21,19870.0,NA
2008-04-25,NA,19120.0
2008-05-12,20370.0,20370.0
2008-05-26,NA,20760.0
2008-05-29,21320.0,NA
2008-06-10,NA,20490.0
2008-06-16,20840.0,NA
2008-06-25,NA,20660.0
2008-07-07,20290.0,NA
2008-07-10,NA,19760.0
2008-07-24,19550.0,NA
2008-07-28,NA,19788.5
2008-08-11,NA,18390.0
2008-08-12,17600.0,NA
2008-08-25,NA,18080.0
2008-09-01,18470.0,NA
2008-09-10,NA,16290.0
2008-09-18,15491.2,NA
2008-09-25,NA,16151.9
2008-10-07,14570.0,NA
2008-10-10,NA,13130.0
2008-10-27,10500.0,10500.0
2008-11-10,NA,12510.0
2008-11-13,11910.0,NA
2008-11-25,NA,11530.0
2008-12-02,11890.0,NA
2008-12-11,NA,13200.0
2008-12-22,13490.0,NA
2008-12-26,NA,13540.0
2009-01-09,14220.0,NA
2009-01-12,NA,14170.0
2009-01-27,13200.0,13200.0
2009-02-10,NA,13190.0
2009-02-16,13280.0,NA
2009-02-25,NA,12950.0
2009-03-10,12940.0,NA
2009-03-12,NA,12960.0
2009-03-25,14090.0,NA
2009-03-30,NA,14020.0
2009-04-13,15770.0,15770.0
2009-04-27,NA,16620.0
2009-05-01,18460.0,NA
2009-05-13,NA,21580.0
2009-05-20,21550.0,NA
2009-05-28,NA,21550.0
2009-06-08,23990.0,NA
2009-06-12,NA,24080.0
2009-06-26,23510.0,NA
2009-06-29,NA,23540.0
2009-07-13,NA,23370.0
2009-07-15,24620.0,NA
2009-07-28,NA,25920.0
2009-08-03,27610.0,NA
2009-08-12,NA,27720.0
2009-08-21,27380.0,NA
2009-08-28,NA,27820.0
2009-09-09,27770.0,NA
2009-09-14,NA,27740.0
2009-09-28,27840.0,27840.0
2009-10-13,NA,28840.0
2009-10-19,29490.0,NA
2009-10-28,NA,27370.0
2009-11-04,27530.0,NA
2009-11-12,NA,28130.0
2009-11-23,28803.7,NA
2009-11-30,NA,27890.0
2009-12-14,29030.0,29030.0
2009-12-28,NA,28990.0
2010-01-04,29770.0,NA
2010-01-13,NA,30400.0
2010-01-18,30370.0,NA
2010-01-28,NA,30050.0
2010-02-08,28360.0,NA
2010-02-12,NA,29110.0
2010-02-25,29290.0,NA
2010-03-01,NA,29370.0
2010-03-15,NA,30340.0
2010-03-17,31250.0,NA
2010-03-30,NA,32040.0
2010-04-05,33210.0,NA
2010-04-14,NA,33225.0
2010-04-22,33700.0,NA
2010-04-30,NA,34000.0
2010-05-11,31720.0,NA
2010-05-17,NA,31770.0
2010-05-31,31700.0,31700.0
2010-06-15,NA,32049.999999999996
2010-06-17,32747.6,NA
2010-06-30,NA,33140.0
2010-07-06,33300.0,NA
2010-07-15,NA,34290.0
2010-07-26,34810.0,NA
2010-08-02,NA,35070.0
2010-08-13,34520.0,NA
2010-08-16,NA,34510.0
2010-08-30,NA,34960.0
2010-08-31,34740.0,NA
2010-09-15,NA,37730.0
2010-09-20,37492.1,NA
2010-09-30,NA,38600.0
2010-10-08,38970.0,NA
2010-10-15,NA,39510.0
2010-10-27,39570.0,NA
2010-11-01,NA,39600.0
2010-11-15,39310.0,39310.0
2010-11-30,NA,37490.0
2010-12-03,39460.0,NA
2010-12-15,NA,38490.0
2010-12-22,38070.0,NA
2010-12-31,NA,38880.0
2011-01-10,36100.0,NA
2011-01-17,NA,36620.0
2011-01-28,35733.0,NA
2011-01-31,NA,34810.0
2011-02-14,NA,35000.0
2011-02-16,34920.0,NA
2011-03-02,NA,35890.0
2011-03-07,36890.0,NA
2011-03-17,NA,35950.0
2011-03-25,37410.0,NA
2011-04-01,NA,38290.0
2011-04-13,38590.0,NA
2011-04-18,NA,38490.0
2011-05-02,39410.0,39410.0
2011-05-18,NA,39010.0
2011-05-23,38480.0,NA
2011-06-03,NA,39070.0
2011-06-08,38860.0,NA
2011-06-17,NA,37850.0
2011-06-27,38715.2,NA
2011-07-04,NA,40240.0
2011-07-18,40570.0,40570.0
2011-08-02,NA,41950.0
2011-08-04,41200.0,NA
2011-08-18,NA,40080.0
2011-08-22,38080.0,NA
2011-09-05,NA,38510.0
2011-09-12,38610.0,NA
2011-09-19,NA,37020.0
2011-09-29,35290.0,NA
2011-10-03,NA,33360.0
2011-10-17,NA,37510.0
2011-10-18,36468.5,NA
2011-11-02,NA,37920.0
2011-11-07,38170.0,NA
2011-11-17,NA,38153.9
2011-11-24,37080.0,NA
2011-12-02,NA,37820.0
2011-12-13,37400.0,NA
2011-12-19,NA,37590.0
2012-01-02,37819.6,37819.6
2012-01-17,NA,38841.9
2012-01-19,39220.0,NA
2012-02-02,NA,39430.0
2012-02-07,38670.0,NA
2012-02-17,NA,39100.0
2012-02-27,37640.0,NA
2012-03-05,NA,39010.0
2012-03-16,39420.0,NA
2012-03-19,NA,39380.0
2012-04-03,41350.0,41350.0
2012-04-18,NA,40760.0
2012-04-23,40600.0,NA
2012-05-03,NA,41220.0
2012-05-11,39850.0,NA
2012-05-21,NA,38230.0
2012-05-30,37560.0,NA
2012-06-04,NA,35500.0
2012-06-18,37110.0,37110.0
2012-07-04,NA,39250.0
2012-07-06,39380.0,NA
2012-07-19,NA,40000.0
2012-07-25,39230.0,NA
2012-08-03,NA,39410.0
2012-08-13,39100.0,NA
2012-08-23,NA,39490.0
2012-08-31,38250.0,NA
2012-09-03,NA,38820.0
