tanggal,NAV,AUM
2023-12-07,1014.35,NA
2023-12-08,1012.72,NA
2023-12-11,1011.48,NA
2023-12-12,1013.2,NA
2023-12-13,1006.49,NA
2023-12-14,1031.78,NA
2023-12-15,1037.32,NA
2023-12-18,1031.58,NA
2023-12-19,1041.4,NA
2023-12-20,1046.5,NA
2023-12-21,1048.57,NA
2023-12-22,1054.57,NA
2023-12-27,1055.25,NA
2023-12-28,1064.47,NA
2023-12-29,1054.05,NA
2024-01-01,NA,37240000000.0
2024-01-02,1065.57,NA
2024-01-03,1059.87,NA
2024-01-04,1078.81,NA
2024-01-05,1078.66,NA
2024-01-08,1065.72,NA
2024-01-09,1054.08,NA
2024-01-10,1053.74,NA
2024-01-11,1051.97,NA
2024-01-12,1062.19,NA
2024-01-15,1054.29,NA
2024-01-16,1057.82,NA
2024-01-17,1053.3,NA
2024-01-18,1061.18,NA
2024-01-19,1061.81,NA
2024-01-22,1064.7,NA
2024-01-23,1065.53,NA
2024-01-24,1060.83,NA
2024-01-25,1051.76,NA
2024-01-26,1043.81,NA
2024-01-29,1062.89,NA
2024-01-30,1070.94,NA
2024-01-31,1071.55,NA
2024-02-01,1073.87,36960000000.0
2024-02-02,1080.66,NA
2024-02-05,1076.15,NA
2024-02-06,1081.15,NA
2024-02-07,1082.4,NA
2024-02-12,1096.78,NA
2024-02-13,1077.42,NA
2024-02-15,1095.82,NA
2024-02-16,1110.34,NA
2024-02-19,1100.15,NA
2024-02-20,1114.35,NA
2024-02-21,1114.68,NA
2024-02-22,1103.77,NA
2024-02-23,1093.68,NA
2024-02-26,1093.09,NA
2024-02-27,1091.02,NA
2024-02-28,1100.32,NA
2024-02-29,1093.29,NA
2024-03-01,1091.35,67930000000.00001
2024-03-04,1088.25,NA
2024-03-05,1087.08,NA
2024-03-06,1101.02,NA
2024-03-07,1111.72,NA
2024-03-08,1116.55,NA
2024-03-13,1130.21,NA
2024-03-14,1135.28,NA
2024-03-15,1117.08,NA
2024-03-18,1111.52,NA
2024-03-19,1116.95,NA
2024-03-20,1127.06,NA
2024-03-21,1124.5,NA
2024-03-22,1125.13,NA
2024-03-25,1139.25,NA
2024-03-26,1135.33,NA
2024-03-27,1123.8,NA
2024-03-28,1117.02,NA
2024-04-01,1097.5,87490000000.0
2024-04-02,1093.79,NA
2024-04-03,1077.78,NA
2024-04-04,1097.0,NA
2024-04-05,1092.67,NA
2024-04-16,1061.12,NA
2024-04-17,1053.16,NA
2024-04-18,1065.71,NA
2024-04-19,1049.82,NA
2024-04-22,1050.14,NA
2024-04-23,1059.4,NA
2024-04-24,1069.2,NA
2024-04-25,1056.26,NA
2024-04-26,1027.41,NA
2024-04-29,1044.63,NA
2024-04-30,1057.16,NA
2024-05-01,NA,101500000000.0
2024-05-02,1021.5,NA
2024-05-03,1022.01,NA
2024-05-06,1023.72,NA
2024-05-07,1016.62,NA
2024-05-08,1011.84,NA
2024-05-13,1015.88,NA
2024-05-14,1024.81,NA
2024-05-15,1042.04,NA
2024-05-16,1056.29,NA
2024-05-17,1068.27,NA
2024-05-20,1045.77,NA
2024-05-21,1024.71,NA
2024-05-22,1025.82,NA
2024-05-27,995.79,NA
2024-05-28,1008.98,NA
2024-05-29,991.36,NA
2024-05-30,986.26,NA
2024-05-31,991.03,NA
2024-06-01,NA,61240000000.0
2024-06-03,1009.89,NA
2024-06-04,1017.25,NA
2024-06-05,998.89,NA
2024-06-06,1012.69,NA
2024-06-07,1004.64,NA
2024-06-10,1011.44,NA
2024-06-11,989.39,NA
2024-06-12,982.94,NA
2024-06-13,974.99,NA
2024-06-14,955.5,NA
2024-06-19,953.16,NA
2024-06-20,975.32,NA
2024-06-21,999.73,NA
2024-06-24,997.14,NA
2024-06-25,996.14,NA
2024-06-26,993.21,NA
2024-06-27,1008.98,NA
2024-06-28,1030.66,NA
2024-07-01,1036.35,75840000000.0
2024-07-02,1030.03,NA
2024-07-03,1036.38,NA
2024-07-04,1039.99,NA
2024-07-05,1049.79,NA
2024-07-08,1045.94,NA
2024-07-09,1056.27,NA
2024-07-10,1061.06,NA
2024-07-11,1064.3,NA
2024-07-12,1069.97,NA
2024-07-15,1062.35,NA
2024-07-16,1056.15,NA
2024-07-17,1059.56,NA
2024-07-18,1073.22,NA
2024-07-19,1066.34,NA
2024-07-22,1069.79,NA
2024-07-23,1066.38,NA
2024-07-24,1055.27,NA
2024-07-25,1057.77,NA
2024-07-26,1062.48,NA
2024-07-29,1058.28,NA
2024-07-30,1045.06,NA
2024-07-31,1047.48,NA
2024-08-01,1065.13,42380000000.0
2024-08-02,1061.33,NA
2024-08-05,1021.71,NA
2024-08-06,1034.88,NA
2024-08-07,1051.45,NA
2024-08-08,1056.29,NA
2024-08-09,1060.47,NA
2024-08-12,1066.61,NA
2024-08-13,1075.21,NA
2024-08-14,1085.6,NA
2024-08-15,1081.34,NA
2024-08-16,1083.91,NA
2024-08-19,1083.36,NA
2024-08-20,1092.89,NA
2024-08-21,1096.9,NA
2024-08-22,1081.65,NA
2024-08-23,1089.09,NA
2024-08-26,1099.62,NA
2024-08-27,1089.48,NA
2024-08-28,1100.32,NA
2024-08-29,1089.79,NA
2024-08-30,1100.8,NA
2024-09-01,NA,66989999999.99999
2024-09-02,1100.83,NA
2024-09-03,1090.35,NA
2024-09-04,1092.23,NA
2024-09-05,1093.2,NA
2024-09-06,1100.77,NA
2024-09-09,1097.58,NA
2024-09-10,1101.42,NA
2024-09-11,1100.41,NA
2024-09-12,1100.94,NA
2024-09-13,1106.11,NA
2024-09-17,1111.32,NA
2024-09-18,1116.39,NA
2024-09-19,1129.09,NA
2024-09-20,1107.81,NA
2024-09-23,1131.47,NA
2024-09-24,1128.71,NA
2024-09-25,1118.18,NA
2024-09-26,1107.11,NA
2024-09-27,1096.94,NA
2024-09-30,1070.44,NA
2024-10-01,1091.08,179980000000.0
2024-10-02,1076.79,NA
2024-10-03,1075.39,NA
2024-10-04,1066.46,NA
2024-10-07,1062.82,NA
2024-10-08,1080.65,NA
2024-10-10,1064.89,NA
2024-10-11,1066.35,NA
2024-10-14,1066.88,NA
2024-10-15,1077.89,NA
2024-10-16,1077.51,NA
2024-10-17,1092.91,NA
2024-10-18,1095.81,NA
2024-10-21,1095.15,NA
2024-10-22,1083.23,NA
2024-10-23,1082.81,NA
2024-10-24,1074.31,NA
2024-10-25,1074.74,NA
2024-10-28,1060.14,NA
2024-10-29,1051.58,NA
2024-10-30,1044.33,NA
2024-10-31,1043.68,NA
2024-11-01,1032.87,186050000000.0
2024-11-04,1031.59,NA
