tanggal,NAV,AUM
2006-07-01,NA,353640000000.0
2006-07-07,1000.0,NA
2006-07-21,1000.0,NA
2006-08-01,NA,383800000000.0
2006-08-04,1000.0,NA
2006-08-22,1000.0,NA
2006-09-01,1000.0,330400000000.0
2006-09-14,1000.0,NA
2006-09-28,1000.0,NA
2006-10-01,NA,393440000000.0
2006-10-12,1000.0,NA
2006-10-30,1000.0,NA
2006-11-01,NA,430300000000.0
2006-11-09,1000.0,NA
2006-11-23,1000.0,NA
2006-12-01,NA,392020000000.0
2006-12-07,1000.0,NA
2006-12-21,1000.0,NA
2007-01-01,NA,530000000000.0
2007-01-04,1000.0,NA
2007-01-18,1000.0,NA
2007-01-31,1000.0,NA
2007-02-01,NA,378170000000.0
2007-02-14,1000.0,NA
2007-02-28,1000.0,NA
2007-03-01,NA,331990000000.0
2007-03-14,1000.0,NA
2007-03-28,1000.0,NA
2007-04-01,NA,387170000000.0
2007-04-11,1000.0,NA
2007-04-25,1000.0,NA
2007-05-01,NA,338570000000.0
2007-05-09,1000.0,NA
2007-05-23,1000.0,NA
2007-06-01,NA,409990000000.0
2007-06-06,1000.0,NA
2007-06-19,1000.0,NA
2007-07-01,NA,437300000000.0
2007-07-03,1000.0,NA
2007-07-17,1000.0,NA
2007-07-31,1000.0,NA
2007-08-01,NA,403050000000.0
2007-08-14,1000.0,NA
2007-08-28,1000.0,NA
2007-09-01,NA,497810000000.0
2007-09-11,1000.0,NA
2007-09-25,1000.0,NA
2007-10-01,NA,365790000000.0
2007-10-09,1000.0,NA
2007-10-23,1000.0,NA
2007-11-01,NA,233620000000.0
2007-11-05,1000.0,NA
2007-11-19,1000.0,NA
2007-12-01,NA,256279999999.99997
2007-12-03,1000.0,NA
2007-12-17,1000.0,NA
2008-01-01,NA,235790000000.0
2008-01-02,1000.0,NA
2008-01-14,1000.0,NA
2008-01-28,1000.0,NA
2008-02-01,NA,272890000000.0
2008-02-11,1000.0,NA
2008-02-25,1000.0,NA
2008-03-01,NA,368430000000.0
2008-03-10,1000.0,NA
2008-03-24,1000.0,NA
2008-04-01,NA,312250000000.0
2008-04-07,1000.0,NA
2008-04-21,1000.0,NA
2008-05-01,NA,354370000000.0
2008-05-05,1000.0,NA
2008-05-19,1000.0,NA
2008-06-01,NA,316270000000.0
2008-06-02,1000.0,NA
2008-06-16,1000.0,NA
2008-06-30,1000.0,NA
2008-07-01,NA,269230000000.00003
2008-07-14,1000.0,NA
2008-07-28,1000.0,NA
2008-08-01,NA,368980000000.0
2008-08-11,1000.0,NA
2008-08-25,1000.0,NA
2008-09-01,NA,206330000000.0
2008-09-08,1000.0,NA
2008-09-22,1000.0,NA
2008-10-01,NA,236860000000.0
2008-10-06,1000.0,NA
2008-10-20,1000.0,NA
2008-11-01,NA,218080000000.0
2008-11-03,1000.0,NA
2008-11-17,1000.0,NA
2008-12-01,1000.0,162820000000.0
2008-12-15,1000.0,NA
2008-12-26,1000.0,NA
2009-01-01,NA,190740000000.0
2009-01-09,1000.0,NA
2009-01-23,1000.0,NA
2009-02-01,NA,184800000000.0
2009-02-06,1000.0,NA
2009-02-20,1000.0,NA
2009-03-01,NA,168110000000.0
2009-03-06,1000.0,NA
2009-03-20,1000.0,NA
2009-04-01,NA,167570000000.0
2009-04-03,1000.0,NA
2009-04-17,1000.0,NA
2009-05-01,1000.0,198670000000.0
2009-05-14,1000.0,NA
2009-05-28,1000.0,NA
2009-06-01,NA,226080000000.0
2009-06-11,1000.0,NA
2009-06-25,1000.0,NA
2009-07-01,NA,212880000000.0
2009-07-09,1000.0,NA
2009-07-23,1000.0,NA
2009-08-01,NA,291120000000.0
2009-08-06,1000.0,NA
2009-08-20,1000.0,NA
2009-09-01,NA,221950000000.0
2009-09-03,1000.0,NA
2009-09-17,1000.0,NA
2009-09-30,1000.0,NA
2009-10-01,NA,202250000000.0
2009-10-14,1000.0,NA
2009-10-28,1000.0,NA
2009-11-01,NA,204100000000.0
2009-11-11,1000.0,NA
2009-11-25,1000.0,NA
2009-12-01,NA,213180000000.0
2009-12-09,1000.0,NA
2009-12-23,1000.0,NA
2010-01-01,NA,262600000000.00003
2010-01-06,1000.0,NA
2010-01-20,1000.0,NA
