tanggal,NAV,AUM
2022-01-14,1004.21,NA
2022-01-17,1000.33,NA
2022-01-18,998.26,NA
2022-01-21,1010.09,NA
2022-01-24,998.99,NA
2022-01-25,987.85,NA
2022-01-28,997.02,NA
2022-01-31,984.5,NA
2022-02-02,989.83,NA
2022-02-03,990.28,NA
2022-02-07,1005.94,NA
2022-02-08,1002.69,NA
2022-02-09,1012.49,NA
2022-02-10,1017.67,NA
2022-02-14,1002.08,NA
2022-02-15,1011.25,NA
2022-02-16,1016.18,NA
2022-02-17,1009.85,NA
2022-02-18,1014.54,NA
2022-02-21,1013.37,NA
2022-02-22,1002.92,NA
2022-02-23,1011.46,NA
2022-02-24,991.8,NA
2022-02-25,1005.9,NA
2022-03-01,1008.08,NA
2022-03-02,998.42,NA
2022-03-04,1009.91,NA
2022-03-07,993.57,NA
2022-03-08,994.41,NA
2022-03-10,1009.85,NA
2022-03-14,1027.5,NA
2022-03-15,1026.23,NA
2022-03-17,1027.83,NA
2022-03-21,1023.54,NA
2022-03-22,1026.89,NA
2022-03-23,1031.49,NA
2022-03-24,1043.23,NA
2022-03-28,1043.19,NA
2022-03-30,1039.66,NA
2022-03-31,1038.86,NA
2022-04-04,1036.91,NA
2022-04-06,1017.27,NA
2022-04-11,1019.33,NA
2022-04-13,1036.22,NA
2022-04-18,1035.3,NA
2022-04-20,1048.08,NA
2022-04-22,1051.98,NA
2022-04-25,1060.09,NA
2022-04-27,1062.47,NA
2022-05-01,NA,3660000000.0
2022-05-09,1012.27,NA
2022-05-10,1011.76,NA
2022-05-11,1020.8,NA
2022-05-12,987.76,NA
2022-05-13,987.98,NA
2022-05-17,996.27,NA
2022-05-19,998.29,NA
2022-05-20,1002.43,NA
2022-05-23,991.01,NA
2022-05-24,998.42,NA
2022-05-27,1016.49,NA
2022-05-30,1010.43,NA
2022-05-31,1030.5,NA
2022-06-01,NA,3340000000.0
2022-06-02,1011.93,NA
2022-06-06,1008.23,NA
2022-06-07,1004.25,NA
2022-06-08,1018.83,NA
2022-06-09,1009.38,NA
2022-06-10,989.74,NA
2022-06-13,978.99,NA
2022-06-14,983.34,NA
2022-06-15,980.77,NA
2022-06-16,986.31,NA
2022-06-17,976.45,NA
2022-06-20,983.75,NA
2022-06-21,990.31,NA
2022-06-22,976.35,NA
2022-06-23,981.92,NA
2022-06-24,987.34,NA
2022-06-27,980.13,NA
2022-06-28,978.34,NA
2022-06-30,960.3,NA
2022-07-01,953.72,3470000000.0
2022-07-04,937.23,NA
2022-07-05,950.2,NA
2022-07-07,948.12,NA
2022-07-11,948.12,NA
2022-07-12,947.66,NA
2022-07-14,938.09,NA
2022-07-18,948.95,NA
2022-07-19,952.07,NA
2022-07-20,973.08,NA
2022-07-21,975.32,NA
2022-07-25,966.88,NA
2022-07-27,972.78,NA
2022-07-28,970.72,NA
2022-08-01,972.97,3470000000.0
2022-08-03,988.33,NA
2022-08-05,1000.52,NA
2022-08-08,1004.45,NA
2022-08-10,1002.51,NA
2022-08-12,1003.98,NA
2022-08-15,998.28,NA
2022-08-18,1002.44,NA
2022-08-19,996.54,NA
2022-08-22,994.55,NA
2022-08-23,998.51,NA
2022-08-24,1001.84,NA
2022-08-26,987.7,NA
2022-08-29,988.38,NA
2022-08-30,988.28,NA
2022-08-31,995.85,NA
2022-09-01,996.42,16530000000.000002
2022-09-02,1002.05,NA
2022-09-05,1009.81,NA
2022-09-06,1001.97,NA
2022-09-08,1007.04,NA
2022-09-09,1010.59,NA
2022-09-12,1008.39,NA
2022-09-13,1018.44,NA
2022-09-15,1025.59,NA
2022-09-16,1004.5,NA
2022-09-19,1013.79,NA
2022-09-20,1008.36,NA
2022-09-22,1006.94,NA
2022-09-26,1002.11,NA
2022-09-27,1000.71,NA
2022-09-28,999.46,NA
2022-09-29,997.08,NA
2022-10-01,NA,13740000000.0
2022-10-03,996.25,NA
2022-10-04,1000.02,NA
2022-10-05,996.37,NA
2022-10-06,995.32,NA
2022-10-07,984.37,NA
2022-10-10,983.25,NA
2022-10-11,980.22,NA
2022-10-12,978.37,NA
2022-10-13,974.9,NA
2022-10-14,966.38,NA
2022-10-17,968.79,NA
2022-10-18,969.16,NA
2022-10-20,994.68,NA
2022-10-21,1002.33,NA
2022-10-24,1012.95,NA
2022-10-25,1008.82,NA
2022-10-27,1014.84,NA
2022-10-31,1009.71,NA
2022-11-01,1007.21,17650000000.0
2022-11-03,996.36,NA
2022-11-07,1004.76,NA
2022-11-08,996.42,NA
2022-11-10,990.75,NA
2022-11-14,986.63,NA
2022-11-16,979.47,NA
2022-11-17,982.77,NA
2022-11-21,982.86,NA
2022-11-23,984.37,NA
2022-11-28,989.1,NA
2022-11-30,1004.81,NA
2022-12-01,NA,11690000000.0
2022-12-02,991.72,NA
2022-12-05,982.36,NA
2022-12-07,954.19,NA
2022-12-09,950.04,NA
2022-12-12,954.87,NA
2022-12-14,961.45,NA
2022-12-16,958.93,NA
2022-12-19,954.04,NA
2022-12-20,951.21,NA
2022-12-21,951.55,NA
2022-12-22,953.79,NA
2022-12-23,944.51,NA
